booth_code,x,y
CP123,1289,178
CO111,1333,468
CO101,1336,622
CN119,1134,430
CN113,1116,489
CO112,1148,488
CM101,1134,629
CL119,1041,429
CL113,1041,489
CL109,1028,585
CL105,1027,632
CL101,1025,680
CM104,1060,601
CM100,1056,679
CL123,913,178
CK119,949,457
CK107,934,600
CL108,966,583
CK101,950,662
CJ119,860,433
CJ113,861,490
CJ109,843,587
CJ101,857,664
CK108,875,586
CJ112,786,508
CJ108,768,569
CJ106,786,602
CJ104,785,633
CJ102,785,662
CJ100,787,693
CI119,769,447
CI113,754,507
CI107,759,601
CI105,756,633
CI101,756,679
CI112,685,489
CI108,684,587
CI100,686,665
CH119,667,431
CH113,655,488
CH109,657,586
CH105,654,634
CH101,653,680
CH108,593,587
CH104,594,636
CH123,546,177
CG113,578,453
CG107,563,618
CG101,581,678
CG112,495,507
CD119,432,444
CF113,447,506
CD113,387,507
CF101,475,651
CD101,385,648
CD123,168,182
CC115,265,434
CC101,265,601
CB115,145,432
CB107,143,555
CB101,142,681
CA115,68,413
CA113,69,444
CA109,68,511
CA105,67,598
CA101,67,679
