booth_code,x,y
D36,399,125
D38,422,125
D40,446,135
D35,397,141
D34,398,157
D37,423,158
D39,447,158
E15,530,191
E16,552,190
D33,413,201
D32,383,191
D31,383,209
D12,301,201
D25,337,191
D24,337,209
B12,265,200
B11,236,201
B10,242,243
D11,302,235
D10,302,252
D23,336,233
D22,337,252
D28,374,235
D29,395,234
D30,415,233
D27,391,252
B10,250,309
D26,418,311
D05,299,278
D04,300,295
D03,298,312
D02,300,328
D01,298,345
D09,322,280
D08,321,297
D07,322,311
D06,322,335
D16,350,280
D21,374,280
D20,374,295
D19,371,310
D18,374,326
D17,373,343
D15,350,295
D14,350,312
D13,351,336
D43,466,286
D46,491,289
D42,467,311
D45,488,311
D41,467,336
D44,488,337
E17,572,193
E12,530,209
E13,552,210
E09,531,235
E50,769,289
E49,771,318
E48,770,338
E47,664,190
E43,664,209
E39,666,235
E35,665,252
E31,666,282
E27,667,298
E23,666,325
E19,666,343
E46,645,190
E42,646,207
E38,646,235
E34,644,252
E30,645,282
E26,645,297
E22,644,326
E45,625,189
E41,625,208
E37,625,235
E33,626,255
E29,625,281
E25,625,299
E21,627,326
E44,604,190
E40,603,209
E36,604,234
E32,604,255
E28,602,283
E24,605,298
E20,604,327
E18,624,341
E10,551,237
E11,573,234
E06,531,255
E07,555,253
E08,572,253
E03,530,281
E04,553,280
E05,572,282
E02,553,298
E01,553,333
A24,170,206
A23,180,252
A18,161,295
A17,170,337
A22,130,199
A21,133,221
A20,152,253
A19,128,255
A16,90,190
A15,101,212
A14,80,212
A13,92,260
A12,88,300
A11,98,338
A10,50,198
A09,49,221
A08,46,247
A07,49,263
A06,49,280
A05,49,300
A04,47,321
A03,48,339
A02,143,397
A01,109,511
C15,598,409
C14,629,490
C04,618,559
C13,542,474
C07,533,492
C06,531,520
C05,531,552
C12,554,492
C11,552,510
C10,551,527
C09,553,547
C08,552,564
C15,424,408
C02,370,499
C03,446,499
C01,428,564
B09,275,434
B04,226,479
B05,270,513
B08,318,496
B07,280,480
B06,257,479
B03,227,506
B02,228,523
B01,274,563
