booth_code,x,y
7A411,28,45
7A501,45,18
7A502,62,19
7B502,78,19
7B501,95,19
7C501,122,19
7D502,219,19
7E502,246,19
7F502,286,19
7F501,305,19
7A407,28,84
7A405,28,103
7A403,29,118
7A401,28,135
7A305,29,162
7B411,70,62
7A408,63,87
7A406,65,103
7B407,79,87
7B405,80,104
7B401,72,129
7B412,112,53
7B410,111,71
7B402,112,108
7C411,130,61
7C407,130,85
7C405,131,105
7C401,130,128
7A303,28,199
7A300,28,225
7B301,73,190
7A207,28,268
7A203,28,292
7A113,28,346
7A103,28,415
7A100,28,476
7B101,72,436
7C101,122,435
7A114,61,358
7B113,79,358
7C113,122,357
7B201,71,295
7A210,62,244
7A208,63,260
7B209,78,254
7B210,112,254
7C209,130,254
7B204,112,286
7C205,130,279
7C203,130,295
7C201,121,312
7B306,113,173
7B304,112,192
7B302,113,209
7C305,130,174
7C303,130,192
7C301,131,211
7D101,172,398
7E113,228,357
7E101,230,415
7F113,279,348
7F101,280,414
7G113,330,347
7G101,331,415
7H113,382,357
7H101,381,416
7I101,452,398
7K101,542,398
7L101,608,398
7M101,670,398
8B101,736,398
8C101,802,398
8D101,865,398
8E101,927,400
8G101,1013,398
8I101,1115,398
8J101,1182,398
8K101,1231,399
8L109,1284,372
8L113,1290,348
8L101,1282,434
8M113,1332,355
8L110,1324,384
8L108,1325,400
8M107,1340,393
8M101,1333,433
8N101,1384,398
8N110,1425,392
8N108,1426,411
8N104,1426,433
8N100,1426,478
8N304,1426,178
8N302,1426,204
8N210,1426,231
8N208,1426,256
8N206,1426,272
8N204,1426,289
8N202,1426,307
8N112,1426,338
7G501,349,46
7I501,412,43
7J501,490,46
7K501,593,45
7M501,671,46
8A501,713,46
8A502,746,46
8B501,789,46
8B502,821,45
8C501,847,45
8D501,905,48
8D502,953,17
8F501,1006,18
8F502,1047,18
8G502,1073,18
8H501,1124,18
8H502,1149,18
8I502,1194,19
8J502,1216,19
8K501,1233,20
8L502,1299,18
7C412,163,52
7C410,164,71
7C408,163,89
7C406,164,104
7C404,164,121
7C402,164,138
7D411,182,53
7D409,181,72
7D407,181,87
7D405,182,103
7D401,182,129
7D412,220,64
7D406,220,95
7D402,219,129
7E411,236,64
7E407,237,86
7E405,238,105
7E401,236,131
7E412,269,53
7E410,270,71
7E406,269,96
7E402,272,128
7F411,288,72
7F405,286,104
7F401,287,129
7G405,330,103
7G401,329,129
7H405,382,104
7H401,382,131
7I405,437,103
7I401,435,130
7I406,475,112
7J405,495,112
7J401,486,137
7K405,539,112
7K401,540,138
7L401,591,123
7M401,643,121
8A401,693,120
8A402,741,121
8B401,800,119
8B402,847,120
8C405,864,113
8C401,864,138
8D401,907,123
8D412,952,63
8D408,950,86
8E411,969,63
8E407,968,86
8E401,959,123
8E412,1002,64
8E408,1001,87
8E406,1000,103
8F411,1019,63
8F405,1020,96
8F401,1011,131
8F412,1060,72
8F402,1053,119
8G401,1070,119
8G412,1104,63
8G406,1103,97
8G404,1104,122
8G402,1105,138
8H411,1121,64
8H407,1120,87
8H405,1121,104
8H401,1122,130
8H412,1152,53
8H410,1151,69
8H408,1152,86
8H406,1153,103
8H402,1154,130
8I411,1170,64
8I407,1171,85
8I405,1171,104
8I401,1172,131
8I412,1213,62
8I408,1203,87
8I406,1205,105
8I404,1205,122
8I402,1205,138
8J407,1222,86
8J405,1222,104
8J403,1222,124
8J401,1222,139
8K409,1265,79
8J406,1254,105
8K405,1270,105
8K401,1264,130
8K408,1307,79
8K406,1308,104
8K402,1306,132
8L402,1331,136
8M401,1357,138
8M402,1376,138
8N401,1391,138
8N402,1409,139
7D305,173,173
7C302,163,199
7D301,182,199
7E305,229,173
7E301,229,200
7F301,282,192
7F306,321,174
7G305,339,173
7G301,331,199
7H301,381,191
7I305,434,173
7I301,435,199
7J301,488,190
7K305,539,175
7K301,538,199
7L301,600,190
7L302,679,190
8B301,761,190
8D301,845,190
8E301,926,191
8F301,977,190
8G305,1028,173
8G301,1028,199
8H301,1079,192
8H306,1121,173
8I305,1137,174
8I301,1129,200
8J301,1181,190
8J302,1223,190
8K305,1240,173
8K301,1238,200
8L301,1282,192
8M305,1332,175
8L302,1324,200
8M301,1342,200
8M306,1374,173
8M302,1374,200
8N301,1392,192
7C210,164,253
7C202,163,294
7D209,182,254
7D201,180,295
7E201,228,282
7F209,279,254
7F201,278,294
7G201,329,280
7H201,381,294
7I209,436,254
7I201,436,294
7J201,484,280
7K209,547,244
7K201,547,286
7L209,607,245
7L201,608,284
7M201,669,282
8B201,738,300
8C201,805,281
8D209,870,256
8D201,869,296
8E201,926,281
8F209,977,254
8F201,977,297
8G209,1028,254
8G201,1029,296
8G210,1070,245
8H209,1088,245
8H201,1079,289
8I209,1128,254
8I201,1129,296
8I210,1171,255
8J209,1189,254
8J201,1181,296
8J210,1220,255
8J206,1220,280
8K209,1240,254
8K205,1236,281
8K201,1231,303
8K210,1272,255
8K206,1273,278
8L209,1289,254
8L205,1290,278
8L201,1282,303
8L210,1323,254
8L206,1325,282
8L202,1324,305
8M209,1342,254
8M205,1340,282
8M201,1341,305
8M210,1374,245
8M208,1375,261
8M206,1376,280
8N209,1392,255
8N205,1393,280
8N201,1384,303
