booth_code,x,y
A121,23,85
A120,23,109
A118,23,144
A116,23,165
A115,24,184
A114,23,199
A113,24,217
A112,24,233
A111,23,255
A110,25,296
A109,23,342
A107,23,384
A105,23,406
A100,25,474
A123,88,67
B604,80,102
B600,81,117
B500,82,162
B402,60,205
B403,75,206
B400,59,221
B401,75,221
B405,104,213
B300,59,276
B303,82,274
B202,74,325
B207,109,325
B200,65,351
B204,100,349
B105,82,400
B100,80,456
A002,115,521
A001,145,521
C600,177,133
C402,147,207
C404,192,214
C400,148,220
C300,161,273
C200,177,343
C102,151,401
C105,176,390
C108,191,392
C104,175,410
C109,207,404
C100,174,461
A003,49,521
D700,206,67
D701,223,67
D704,264,66
D600,258,113
D602,294,112
D500,243,162
D502,276,160
D400,251,215
D402,276,204
D401,276,222
D403,294,213
D300,267,274
D202,251,323
D204,285,324
D200,267,340
D201,267,360
D100,270,430
E700,332,67
E701,348,67
E702,375,66
E703,392,65
E602,336,101
E600,335,119
E604,368,112
E502,328,152
E503,344,154
E504,360,152
E505,376,151
E500,343,170
E501,376,172
E400,327,216
E401,359,214
E300,351,271
E200,352,341
E105,334,390
E109,368,389
E103,334,407
E107,368,409
E100,341,462
E102,370,441
F700,425,68
F701,454,67
F702,475,68
F600,442,111
F502,412,153
F503,427,153
F504,445,152
F505,471,160
F500,418,170
F501,445,170
F400,445,201
F300,442,260
F200,444,338
F100,443,430
G600,528,111
G604,561,110
G500,512,161
G501,545,163
G404,511,204
G405,537,205
G407,560,204
G400,512,222
G401,537,222
G403,562,221
G300,535,273
G200,531,325
G201,535,352
G101,535,401
G100,535,458
H700,585,67
H703,636,68
H704,662,69
H706,677,68
H707,724,67
K700,815,68
K701,831,68
K702,847,67
H600,627,112
H500,609,161
H503,645,153
H504,661,152
H502,652,170
H400,597,213
H402,613,206
H404,641,204
H401,634,222
H300,595,256
H301,596,282
H303,638,274
H200,628,343
H101,628,402
H100,628,455
J603,710,103
J606,744,102
J600,703,119
J601,737,120
J501,696,153
J502,712,155
J506,737,151
J500,703,170
J504,738,171
J400,727,214
J300,719,274
J200,703,341
J203,738,342
J101,728,401
J100,721,458
K600,813,111
K500,813,161
K402,805,205
K404,829,204
K405,846,205
K400,804,222
K403,836,221
K300,788,274
K304,832,259
K305,846,256
K303,846,273
K302,838,290
K203,787,324
K200,789,351
K209,829,324
K210,846,323
K205,829,349
K208,847,343
K207,846,356
K105,802,399
K106,835,401
K100,811,459
L602,895,104
L600,896,119
M600,957,114
L500,887,162
L502,912,153
L501,913,172
M505,964,153
M500,948,172
M504,972,170
L404,887,204
L405,913,207
L400,896,221
M400,949,214
M403,972,214
L300,881,275
L303,903,255
L302,904,284
M302,949,258
M300,951,285
M303,979,262
L200,879,340
L203,905,325
L201,906,351
L101,888,410
L105,913,391
L104,913,408
L103,912,425
L100,896,467
M204,964,325
M200,953,349
M202,981,349
M100,968,435
H001,578,521
H002,602,520
H003,620,519
H004,638,518
H006,701,520
H008,767,520
H009,793,519
H010,833,522
M700,1012,72
N113,1017,213
N109,1016,277
N108,1017,338
N106,1017,376
N105,1017,392
N104,1016,416
N102,1017,457
N100,1017,482
2S100,436,654
