NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
2H Trading & Supplies,2H Trading & Supplies,Egypt,"About us Ever Pure Egypt is a trusted name in beauty and personal care, offering high-quality haircare, skincare, and bodycare products. With a focus on natural ingredients and innovative formulas, we deliver solutions that combine effectiveness, safety, and style. Our wide range includes shampoos, body splashes, lotions, and treatments designed to suit different needs. Committed to excellence and customer satisfaction, Ever Pure Egypt continues to grow as a brand that helps people look and feel their best every day.","About us Ever Pure Egypt is a trusted name in beauty and personal care, offering high-quality haircare, skincare, and bodycare products. With a focus on natural ingredients and innovative formulas, we deliver solutions that combine effectiveness, safety, and style. Our wide range includes shampoos, body splashes, lotions, and treatments designed to suit different needs. Committed to excellence and customer satisfaction, Ever Pure Egypt continues to grow as a brand that helps people look and feel their best every day.",,Exhibitor,Beauty World Middle East and Wellness and Spa Exhibition 2025,Hall 3 — Booth A15,3,,1,,,8 Personal Care & Hygiene,8 Personal Care & Hygiene,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/2h-trading--supplies.html#exhibitorheadline,0,
4CS Distribution,4CS Distribution,France,"4CS Distribution is a participating exhibitor at Beautyworld Middle East 2025, providing beauty, cosmetics, wellness and spa-related products.","4CS Distribution is a participating exhibitor at Beautyworld Middle East 2025, providing beauty, cosmetics, wellness and spa-related products.",,Exhibitor,Beauty World Middle East and Wellness and Spa Exhibition 2025,Hall 4 — Booth D12,4,,1,,,Beauty,Beauty,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/4cs-distribution.html#exhibitorheadline,0,
Infinity Peak Ventures inc. (Manufacturer of Canadian lifestyle beauty products),Infinity Peak Ventures inc. (Manufacturer of Canadian lifestyle beauty products),Canada,"About us Canadian Lifestyle is a Canadian beauty brand inspired by the purity of nature and guided by science. We create clean, safe, and inclusive skincare solutions designed for all skin types and lifestyles. Our products are developed in leading Canadian laboratories, combining natural ingredients with cutting-edge innovation to ensure quality, safety, and effectiveness. Every formula is cruelty-free, eco-conscious, and dermatologically tested, reflecting our commitment to both people and the planet. With the belief that “real beauty is born where science meets nature”, we aim to deliver high-performance products that empower confidence, self-expression, and well-being — all while celebrating diversity and harmony. Pure Beauty. Pure Canada. Together in Harmony.","About us Canadian Lifestyle is a Canadian beauty brand inspired by the purity of nature and guided by science. We create clean, safe, and inclusive skincare solutions designed for all skin types and lifestyles. Our products are developed in leading Canadian laboratories, combining natural ingredients with cutting-edge innovation to ensure quality, safety, and effectiveness. Every formula is cruelty-free, eco-conscious, and dermatologically tested, reflecting our commitment to both people and the planet. With the belief that “real beauty is born where science meets nature”, we aim to deliver high-performance products that empower confidence, self-expression, and well-being — all while celebrating diversity and harmony. Pure Beauty. Pure Canada. Together in Harmony.",http://Canadianlifestyle.ca,Exhibitor,Beauty World Middle East and Wellness and Spa Exhibition 2025,Hall SR — Booth F12,SR,,1,,,3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 3.14 Suncare; 5.14 Shampoo / Conditioner; 8.13 Foot Care,3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 3.14 Suncare; 5.14 Shampoo / Conditioner; 8.13 Foot Care,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/9444-4734-qubec-inc.html#exhibitorheadline,2,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/9444-4734-qubec-inc/mf_7_1190221_4846360_10000053202501.html; https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/9444-4734-qubec-inc/mf_7_1190221_4853332_10000053202501.html
A.A. Perfumes,A.A. Perfumes,India,"A.A. Perfumes is a participating exhibitor at Beautyworld Middle East 2025, providing beauty, cosmetics, wellness and spa-related products.","A.A. Perfumes is a participating exhibitor at Beautyworld Middle East 2025, providing beauty, cosmetics, wellness and spa-related products.",http://www.paarfumbox.com,Exhibitor,Beauty World Middle East and Wellness and Spa Exhibition 2025,Hall Z6 — Booth G40,Z6,,1,,,4 Fragrance,4 Fragrance,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/aa-perfumes.html#exhibitorheadline,0,
AARAV Fragrances & Flavors Private Limited,AARAV Fragrances & Flavors Private Limited,India,"About us Great Place to Work® Certified 2025 | Ecovadis Certified 2025 | Dun & Bradstreet Leading SMEs of India 2024 | Times Group ET Now SME Transformers of India 2024 At AARAV Fragrances and Flavors, we craft world-class fragrances, flavors, and ingredients that empower our business partners to stand out and enhance their consumers' experiences. Guided by our core values of Balance, Clarity, and Integrity, we are a trusted B2B partner to leading FMCG and Food & Beverage brands across Personal Care, Home Care, Air Care, Fine Fragrance, Fabric Care, and Incense categories. Founded in 2007, AARAV is now among the top three fragrance companies in the Indian subcontinent. With a rapidly expanding team of 250+ employees PAN India, we are a young and dynamic organization—our average employee age is 33 years, and we proudly maintain a 55% male–45% female gender ratio, fostering a progressive and inclusive workplace. Our state-of-the-art facilities include: 📍 Wada, Maharashtra – Fragrances, Flavors & Ingredients Plants 📍 Pawane, Navi Mumbai – R&D Center 📍 Thane, Wagle Estate – Corporate Headquarters Led by Mr. Ajit Vaze, a veteran master perfumer with 40 years of experience, former President of the Fragrance & Flavors Association of India and a member of the renowned Vaze-Kelkar Family, we combine legacy with innovation. Our in-house specialty ingredient development, perfumery school, and advanced R&D facility—led exclusively with scientists from IIT Bombay—enable us to drive breakthroughs in fragrance creation, complex chemistries, and cutting-edge production processes. Discover more about our philosophy, creative & technological capabilities at www.aarav.co.","About us Great Place to Work® Certified 2025 | Ecovadis Certified 2025 | Dun & Bradstreet Leading SMEs of India 2024 | Times Group ET Now SME Transformers of India 2024 At AARAV Fragrances and Flavors, we craft world-class fragrances, flavors, and ingredients that empower our business partners to stand out and enhance their consumers' experiences. Guided by our core values of Balance, Clarity, and Integrity, we are a trusted B2B partner to leading FMCG and Food & Beverage brands across Personal Care, Home Care, Air Care, Fine Fragrance, Fabric Care, and Incense categories. Founded in 2007, AARAV is now among the top three fragrance companies in the Indian subcontinent. With a rapidly expanding team of 250+ employees PAN India, we are a young and dynamic organization—our average employee age is 33 years, and we proudly maintain a 55% male–45% female gender ratio, fostering a progressive and inclusive workplace. Our state-of-the-art facilities include: 📍 Wada, Maharashtra – Fragrances, Flavors & Ingredients Plants 📍 Pawane, Navi Mumbai – R&D Center 📍 Thane, Wagle Estate – Corporate Headquarters Led by Mr. Ajit Vaze, a veteran master perfumer with 40 years of experience, former President of the Fragrance & Flavors Association of India and a member of the renowned Vaze-Kelkar Family, we combine legacy with innovation. Our in-house specialty ingredient development, perfumery school, and advanced R&D facility—led exclusively with scientists from IIT Bombay—enable us to drive breakthroughs in fragrance creation, complex chemistries, and cutting-edge production processes. Discover more about our philosophy, creative & technological capabilities at www.aarav.co.",http://www.aarav.co,Exhibitor,Beauty World Middle East and Wellness and Spa Exhibition 2025,Hall Z2 — Booth E13,Z2,,1,,,4 Fragrance,4 Fragrance,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/aarav-fragrances--flavors-private-limited.html#exhibitorheadline,0,
Abdos Lamitubes Mfg LLC,Abdos Lamitubes Mfg LLC,United Arab Emirates,"About us Abdos Lamitubes Mfg LLC is the largest manufactire of Plastic & Aluminium laminated Tubes (ABL/PBL) for Cosmetics & Beauty, Personal Care, Toilerties, Oral Care, Hair Care, Pharmaceuticals, Home, Industrial and Food industry. We offer inhouse printing & moulding capabilities at our Umm Al Quwain factory, facilitating to the requirements of all producers in the Middle East and Africa regions.","About us Abdos Lamitubes Mfg LLC is the largest manufactire of Plastic & Aluminium laminated Tubes (ABL/PBL) for Cosmetics & Beauty, Personal Care, Toilerties, Oral Care, Hair Care, Pharmaceuticals, Home, Industrial and Food industry. We offer inhouse printing & moulding capabilities at our Umm Al Quwain factory, facilitating to the requirements of all producers in the Middle East and Africa regions.",http://www.abdoslamitubes.com,Exhibitor,Beauty World Middle East and Wellness and Spa Exhibition 2025,Hall 8 — Booth C11,8,,1,,,3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 5.14 Shampoo / Conditioner; 6.4 Contract Manufacturing & Private Label; 6.11 Tubes; 7.1 Primary Packaging; 7.4 Sustainable Packaging,3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 5.14 Shampoo / Conditioner; 6.4 Contract Manufacturing & Private Label; 6.11 Tubes; 7.1 Primary Packaging; 7.4 Sustainable Packaging,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/abdos-lamitubes-manufacturing-llc.html#exhibitorheadline,2,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/abdos-lamitubes-manufacturing-llc/mf_7_aexv8a00cbgi_4627875_10000053202501.html; https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/abdos-lamitubes-manufacturing-llc/mf_7_aexv8a00cbgi_4627881_10000053202501.html
A.M. Dhamma Perfumes Industry,A.M. Dhamma Perfumes Industry,United Arab Emirates,"About us We offer a complete solution, from developing the Fragrance to designing, manufacturing, and the required logistics support. Discover the wardrobe of fragrance creations with A.M Dhamma Perfumes. Fragrances are made with the highest quality ingredients for exquisite creations. Choose the perfect fragrance for you from our Selection of Irresistible scents. BUILD YOUR FRAGRANCE BRAND WITH US WITH THE LOWEST MOQ'S READY WHOLESALE PREMIUM PRODUCTS ALSO AVAILABLE WITH A VARIETY OF 200+ SKUS Whether you take inspiration from an existing scent or decide to start from scratch, we pride ourselves on taking care of the hard work so you don’t have to. We use only the finest quality ingredients and our fragrances are known for their superior and long-lasting scent. We have a range of perfume manufacturing units and facilities with state-of-the-art equipment to create the scents you need carefully. Though we use several advanced processes, equipment, and quality standards, we always make our products affordable to all our clients. As a responsible and experienced perfume manufacturer in the United Arab Emirates, We offer a complete solution starting from developing the Fragrance to designing, manufacturing, and the logistics support required. Each perfume is created using only the finest quality ingredients including our proprietary, high-grade fragrances.  Our perfumes are known for their sill-age and long-lasting wonderful scent. We continually strive to make our perfumes the finest by constantly testing for quality.","About us We offer a complete solution, from developing the Fragrance to designing, manufacturing, and the required logistics support. Discover the wardrobe of fragrance creations with A.M Dhamma Perfumes. Fragrances are made with the highest quality ingredients for exquisite creations. Choose the perfect fragrance for you from our Selection of Irresistible scents. BUILD YOUR FRAGRANCE BRAND WITH US WITH THE LOWEST MOQ'S READY WHOLESALE PREMIUM PRODUCTS ALSO AVAILABLE WITH A VARIETY OF 200+ SKUS Whether you take inspiration from an existing scent or decide to start from scratch, we pride ourselves on taking care of the hard work so you don’t have to. We use only the finest quality ingredients and our fragrances are known for their superior and long-lasting scent. We have a range of perfume manufacturing units and facilities with state-of-the-art equipment to create the scents you need carefully. Though we use several advanced processes, equipment, and quality standards, we always make our products affordable to all our clients. As a responsible and experienced perfume manufacturer in the United Arab Emirates, We offer a complete solution starting from developing the Fragrance to designing, manufacturing, and the logistics support required. Each perfume is created using only the finest quality ingredients including our proprietary, high-grade fragrances.  Our perfumes are known for their sill-age and long-lasting wonderful scent. We continually strive to make our perfumes the finest by constantly testing for quality.",http://www.amdhamma.com,Exhibitor,Beauty World Middle East and Wellness and Spa Exhibition 2025,Hall Z4 — Booth E34,Z4,,1,,,4 Fragrance,4 Fragrance,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/abdul-mateen-dhamma-perfumes-industry.html#exhibitorheadline,2,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/abdul-mateen-dhamma-perfumes-industry/mf_7_aexv8a003llr_4625520_10000053202501.html; https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/abdul-mateen-dhamma-perfumes-industry/mf_7_aexv8a003llr_4625521_10000053202501.html
"Abely Cosmetics Co., Limited","Abely Cosmetics Co., Limited",China,"About us Our Heritage: A Foundation Built on Excellence Founded on the principle that exceptional fragrance deserves exceptional presentation, Abely Perfume Packaging has evolved into a cornerstone of the global luxury beauty supply chain. For years, we have dedicated ourselves exclusively to the art and science of high-end perfume packaging. Our journey began with a simple vision: to transcend the ordinary and become the premier partner for luxury brands seeking to create not just a packaging, but an integral part of the sensory experience. From our initial focus on precision craftsmanship, we have expanded our mastery to encompass every facet of perfume packaging, serving a prestigious clientele across Europe, the Middle East, and North America. Our longevity is a testament to our unwavering commitment to quality, innovation, and deep, collaborative partnerships. Our Craft: Where Vision Meets Precision We believe the bottle is the first tangible interaction a customer has with a fragrance; it is the silent ambassador of the brand's soul. Our process is a meticulous symphony of design, engineering, and artisan craftsmanship. Design & Conceptualization: Our in-house design team works shoulder-to-shoulder with your creative visionaries. We specialize in translating abstract brand stories into breathtaking, tangible forms. Whether you bring us a detailed blueprint or a nascent idea, we provide expert guidance on materials, ergonomics, trends, and market-specific aesthetics. Engineering & Prototyping: Beauty must be functional. Our engineering team ensures that every design is not only stunning but also manufacturable, leak-proof, and user-friendly. We employ state-of-the-art 3D modeling and rapid prototyping to bring concepts to life quickly, allowing for perfect refinement before production. Artisan Manufacturing: This is where magic happens. We control the entire manufacturing process, utilizing: Premium Glass: From delicate, hand-blown crystal-like clarity to bold, heavyweight molded glass with complex curves. Metallic Excellence: Precision-crafted caps, collars, and accessories in polished gold, palladium, antique brass, and more, using techniques like die-casting, spinning, and electroplating. Specialty Materials: Expertise in luxurious ceramics, advanced polymers, and exotic wood accents. Surface Finishing: The final touch of luxury. We excel in applied techniques such as silk-screen printing, hot stamping with foils, sophisticated lacquering, satin and matte textures, and intricate engraving. Our Global Reach: Intimate Understanding of Diverse Markets Our export focus on the discerning markets of Europe, the Middle East, and America has endowed us with unique cultural and commercial insights. We understand that luxury is perceived differently across the globe. For our clients in the Middle East , we appreciate the appetite for grandeur, opulence, and intricate detail. We create pieces that embody majesty through bold silhouettes, high-quality gilding, deep embossing, and designs that reflect heritage and prestige. For the European market, we emphasize timeless elegance, minimalist chic, and sustainable innovation, often focusing on classic forms with a modern twist. For the American market, we blend innovation with brand-driven storytelling, creating packaging that is both visually striking on a retail shelf and instantly iconic. This cultural fluency allows us to be true advisors, ensuring your packaging resonates powerfully with your target audience, wherever they are. Our Promise: A Partnership from Concept to Delivery Choosing Abely is choosing more than a supplier; it is choosing a partner. We integrate seamlessly into your supply chain, offering: End-to-End Service: From the initial spark of an idea to the final shipment arriving at your destination, we manage the entire process. Uncompromising Quality Control: Every single component is rigorously inspected against the highest standards to ensure flawless consistency across small or large production runs. Reliability & Transparency: We understand the critical path of product launches. You can count on our professional project management, clear communication, and on-time delivery. Innovation as Standard: We continuously invest in new technologies, materials, and finishing techniques to keep our clients at the forefront of packaging trends. Invitation to Collaborate As we prepare to meet the world at the Dubai Beauty Expo, we invite you to experience the Abely difference. Let's discuss how we can transform your next fragrance project into a timeless object of desire. Visit us at Booth P-G18 to see and feel the quality for yourself, and together, let's define the future of luxury fragrance packaging.","About us Our Heritage: A Foundation Built on Excellence Founded on the principle that exceptional fragrance deserves exceptional presentation, Abely Perfume Packaging has evolved into a cornerstone of the global luxury beauty supply chain. For years, we have dedicated ourselves exclusively to the art and science of high-end perfume packaging. Our journey began with a simple vision: to transcend the ordinary and become the premier partner for luxury brands seeking to create not just a packaging, but an integral part of the sensory experience. From our initial focus on precision craftsmanship, we have expanded our mastery to encompass every facet of perfume packaging, serving a prestigious clientele across Europe, the Middle East, and North America. Our longevity is a testament to our unwavering commitment to quality, innovation, and deep, collaborative partnerships. Our Craft: Where Vision Meets Precision We believe the bottle is the first tangible interaction a customer has with a fragrance; it is the silent ambassador of the brand's soul. Our process is a meticulous symphony of design, engineering, and artisan craftsmanship. Design & Conceptualization: Our in-house design team works shoulder-to-shoulder with your creative visionaries. We specialize in translating abstract brand stories into breathtaking, tangible forms. Whether you bring us a detailed blueprint or a nascent idea, we provide expert guidance on materials, ergonomics, trends, and market-specific aesthetics. Engineering & Prototyping: Beauty must be functional. Our engineering team ensures that every design is not only stunning but also manufacturable, leak-proof, and user-friendly. We employ state-of-the-art 3D modeling and rapid prototyping to bring concepts to life quickly, allowing for perfect refinement before production. Artisan Manufacturing: This is where magic happens. We control the entire manufacturing process, utilizing: Premium Glass: From delicate, hand-blown crystal-like clarity to bold, heavyweight molded glass with complex curves. Metallic Excellence: Precision-crafted caps, collars, and accessories in polished gold, palladium, antique brass, and more, using techniques like die-casting, spinning, and electroplating. Specialty Materials: Expertise in luxurious ceramics, advanced polymers, and exotic wood accents. Surface Finishing: The final touch of luxury. We excel in applied techniques such as silk-screen printing, hot stamping with foils, sophisticated lacquering, satin and matte textures, and intricate engraving. Our Global Reach: Intimate Understanding of Diverse Markets Our export focus on the discerning markets of Europe, the Middle East, and America has endowed us with unique cultural and commercial insights. We understand that luxury is perceived differently across the globe. For our clients in the Middle East , we appreciate the appetite for grandeur, opulence, and intricate detail. We create pieces that embody majesty through bold silhouettes, high-quality gilding, deep embossing, and designs that reflect heritage and prestige. For the European market, we emphasize timeless elegance, minimalist chic, and sustainable innovation, often focusing on classic forms with a modern twist. For the American market, we blend innovation with brand-driven storytelling, creating packaging that is both visually striking on a retail shelf and instantly iconic. This cultural fluency allows us to be true advisors, ensuring your packaging resonates powerfully with your target audience, wherever they are. Our Promise: A Partnership from Concept to Delivery Choosing Abely is choosing more than a supplier; it is choosing a partner. We integrate seamlessly into your supply chain, offering: End-to-End Service: From the initial spark of an idea to the final shipment arriving at your destination, we manage the entire process. Uncompromising Quality Control: Every single component is rigorously inspected against the highest standards to ensure flawless consistency across small or large production runs. Reliability & Transparency: We understand the critical path of product launches. You can count on our professional project management, clear communication, and on-time delivery. Innovation as Standard: We continuously invest in new technologies, materials, and finishing techniques to keep our clients at the forefront of packaging trends. Invitation to Collaborate As we prepare to meet the world at the Dubai Beauty Expo, we invite you to experience the Abely difference. Let's discuss how we can transform your next fragrance project into a timeless object of desire. Visit us at Booth P-G18 to see and feel the quality for yourself, and together, let's define the future of luxury fragrance packaging.",http://www.abelypackaging.com,Exhibitor,Beauty World Middle East and Wellness and Spa Exhibition 2025,Hall P — Booth G18,P,,1,,,6 Supply Chain & Services,6 Supply Chain & Services,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/abely-cosmetics-co-limited.html#exhibitorheadline,0,
Abhinav Perfumers,Abhinav Perfumers,India,"About us We craft the most distinct and recognizable fragrances that can be extensively used in Fine Fragrance, Personal Care & Beauty, Fabric Care, Home Care, Air Care, Incense Sticks, and many other applications. Backed by 3 decades of experience, expertise, and innovation, we’ve emerged as a leading manufacturer and supplier of passionately crafted premium quality fragrances.","About us We craft the most distinct and recognizable fragrances that can be extensively used in Fine Fragrance, Personal Care & Beauty, Fabric Care, Home Care, Air Care, Incense Sticks, and many other applications. Backed by 3 decades of experience, expertise, and innovation, we’ve emerged as a leading manufacturer and supplier of passionately crafted premium quality fragrances.",http://www.abhinavperfumers.com,Exhibitor,Beauty World Middle East and Wellness and Spa Exhibition 2025,Hall Z1 — Booth G37,Z1,,1,,,4.1 Fragrance Compounds / Ingredients; 4.7 Incense / Bakhoor,4.1 Fragrance Compounds / Ingredients; 4.7 Incense / Bakhoor,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/abhinav-perfumers.html#exhibitorheadline,0,
ABIHPEC,ABIHPEC,Brazil,"ABIHPEC is a participating exhibitor at Beautyworld Middle East 2025, providing beauty, cosmetics, wellness and spa-related products.","ABIHPEC is a participating exhibitor at Beautyworld Middle East 2025, providing beauty, cosmetics, wellness and spa-related products.",http://www.beautycarebrazil.org.br,Exhibitor,Beauty World Middle East and Wellness and Spa Exhibition 2025,Hall SR — Booth I39,SR,,1,,,Beauty,Beauty,https://beautyworld-middle-east.ae.messefrankfurt.com/dubai/en/exhibitor-search.detail.html/abihpec.html#exhibitorheadline,0,
