booth_code,x,y
Hall S3 — Booth A43,1741,396
Hall S3 — Booth A37,1738,363
Hall S3 — Booth A35,1743,345
Hall S3 — Booth A31,1742,322
Hall S3 — Booth A25,1741,257
Hall S3 — Booth A21,1739,204
Hall S3 — Booth A19,1741,166
Hall S3 — Booth A15,1742,144
Hall S3 — Booth A11,1742,119
Hall S3 — Booth A46,1719,434
Hall S3 — Booth B45,1702,434
Hall S3 — Booth B46,1670,434
Hall S3 — Booth C45,1652,435
Hall S3 — Booth A44,1702,402
Hall SA — Booth F50,1702,402
Hall S3 — Booth A42,1704,384
Hall S3 — Booth A38,1703,362
Hall S3 — Booth A36,1703,321
Hall S3 — Booth A28,1704,279
Hall S3 — Booth A26,1703,212
Hall S3 — Booth A20,1703,170
Hall S3 — Booth A16,1703,146
Hall S3 — Booth A12,1702,119
Hall S3 — Booth B43,1688,405
Hall S3 — Booth B41,1686,390
Hall S3 — Booth B37,1687,363
Hall S3 — Booth B35,1686,322
Hall S3 — Booth B31,1685,298
Hall S3 — Booth B27,1685,272
Hall S3 — Booth B25,1686,218
Hall S3 — Booth B19,1687,187
Hall S3 — Booth B17,1685,167
Hall S3 — Booth B15,1687,144
Hall S3 — Booth B11,1687,120
Hall S3 — Booth B44,1655,405
Hall S3 — Booth B42,1657,388
Hall S3 — Booth B38,1657,365
Hall S3 — Booth C27,1649,296
Hall S3 — Booth B26,1657,217
Hall S3 — Booth B20,1658,176
Hall S3 — Booth B16,1655,149
Hall S3 — Booth B12,1659,121
Hall S3 — Booth C43,1642,406
Hall S3 — Booth C41,1642,389
Hall S3 — Booth C37,1641,365
Hall S3 — Booth C25,1641,221
Hall S3 — Booth C19,1641,186
Hall S3 — Booth C17,1643,165
Hall S3 — Booth C15,1642,146
Hall S3 — Booth C11,1641,121
Hall S3 — Booth D37G,1605,409
Hall S3 — Booth C37F,1612,392
Hall S3 — Booth C37D,1609,375
Hall S3 — Booth C37B,1612,356
Hall S3 — Booth C36,1610,319
Hall S3 — Booth C32,1610,296
Hall S3 — Booth C30,1612,277
Hall S3 — Booth C28,1610,262
Hall S3 — Booth C26,1610,213
Hall S3 — Booth C20,1612,179
Hall S3 — Booth C12,1612,135
Hall S3 — Booth D37E,1593,392
Hall S3 — Booth D37C,1594,375
Hall S3 — Booth D37A,1594,356
Hall S3 — Booth D35,1593,328
Hall S3 — Booth D33,1596,312
Hall S3 — Booth D31,1594,294
Hall S3 — Booth D29,1597,279
Hall S3 — Booth D27,1596,264
Hall S3 — Booth D25,1596,229
Hall S3 — Booth D23,1594,212
Hall S3 — Booth D21,1597,189
Hall S3 — Booth D19,1594,165
Hall S3 — Booth D11,1594,131
Hall S3 — Booth E37,1559,388
Hall S3 — Booth D36,1566,307
Hall S3 — Booth E27,1560,269
Hall S3 — Booth D26,1566,221
Hall S3 — Booth D22,1566,199
Hall S3 — Booth D20,1565,178
Hall S3 — Booth D19,1566,160
Hall S3 — Booth D16,1565,144
Hall S3 — Booth D12,1566,120
Hall S3 — Booth E35,1549,319
Hall S3 — Booth E29,1549,293
Hall S3 — Booth E25,1549,228
Hall S3 — Booth E23,1551,205
Hall S3 — Booth E19,1548,185
Hall S3 — Booth E17,1547,157
Hall S3 — Booth E13,1549,134
Hall S3 — Booth E11,1549,114
Hall S2 — Booth A47,1512,427
Hall S3 — Booth E44,1521,405
Hall S3 — Booth E42,1520,384
Hall S2 — Booth A37,1512,363
Hall S3 — Booth E36,1521,315
Hall S2 — Booth A27,1513,272
Hall S3 — Booth E20,1523,186
Hall S3 — Booth E18,1521,165
Hall S3 — Booth E12,1523,131
Hall S2 — Booth A43,1504,407
Hall S2 — Booth A41,1506,388
Hall S2 — Booth A35,1503,315
Hall S2 — Booth A25,1513,216
Hall S2 — Booth A19,1506,171
Hall S2 — Booth A15,1504,151
Hall S2 — Booth A11,1504,122
Hall S2 — Booth A46,1471,431
Hall S2 — Booth A42,1475,397
Hall S2 — Booth A36,1474,325
Hall S2 — Booth A32,1474,301
Hall S2 — Booth A28,1474,269
Hall S2 — Booth A20,1474,183
Hall S2 — Booth A18,1476,161
Hall S2 — Booth B45,1458,418
Hall S2 — Booth B41,1458,397
Hall S2 — Booth B37,1465,366
Hall S2 — Booth B35,1458,327
Hall S2 — Booth B31,1459,298
Hall S2 — Booth B27,1459,271
Hall S2 — Booth B25,1467,221
Hall S2 — Booth B21,1458,184
Hall S2 — Booth B17,1458,161
Hall S2 — Booth B11,1465,123
Hall S2 — Booth B38,1429,375
Hall S2 — Booth B36,1430,316
Hall S2 — Booth B30,1428,285
Hall S2 — Booth B28,1430,266
Hall S2 — Booth B26,1429,216
Hall S2 — Booth B20B,1429,190
Hall S2 — Booth B20A,1429,179
Hall S2 — Booth B18,1430,165
Hall S2 — Booth B16,1429,144
Hall S2 — Booth B12,1429,114
Hall S2 — Booth C41,1414,388
Hall S2 — Booth C39,1413,373
Hall S2 — Booth C37,1413,357
Hall S2 — Booth C35,1413,327
Hall S2 — Booth C33,1412,306
Hall S2 — Booth C31,1412,287
Hall S2 — Booth C27,1413,265
Hall S2 — Booth C25,1414,220
Hall S2 — Booth C21,1412,185
Hall S2 — Booth C17,1414,165
Hall S2 — Booth C15,1413,146
Hall S2 — Booth C11,1411,119
Hall S2 — Booth C42C,1375,393
Hall S2 — Booth C42B,1376,385
Hall S2 — Booth C42A,1378,375
Hall S2 — Booth C40B,1378,367
Hall S2 — Booth C36,1379,319
Hall S2 — Booth C32,1378,289
Hall S2 — Booth C28,1378,268
Hall S2 — Booth C26,1376,225
Hall S2 — Booth C24,1378,204
Hall S2 — Booth C22,1378,191
Hall S2 — Booth C20,1378,178
Hall S2 — Booth C18,1379,163
Hall S2 — Booth C16,1378,145
Hall S2 — Booth C14,1376,131
Hall S2 — Booth C12,1378,116
Hall S2 — Booth D41B,1362,393
Hall S2 — Booth D41A,1363,386
Hall S2 — Booth D39B,1362,375
Hall S2 — Booth D39A,1363,367
Hall S2 — Booth C40A,1380,354
Hall S2 — Booth C38,1370,354
Hall S2 — Booth D37,1357,354
Hall S2 — Booth D35,1363,324
Hall S2 — Booth D31,1362,298
Hall S2 — Booth D29,1362,279
Hall S2 — Booth D27,1364,264
Hall S2 — Booth D25,1361,216
Hall S2 — Booth D21,1362,177
Hall S2 — Booth D17,1363,157
Hall S2 — Booth D15,1362,148
Hall S2 — Booth D13,1362,132
Hall S2 — Booth D11,1362,113
Hall S2 — Booth D42,1333,384
Hall S2 — Booth D38,1333,360
Hall S2 — Booth D36,1333,324
Hall S2 — Booth D28,1333,283
Hall S2 — Booth D26,1334,220
Hall S2 — Booth D22,1333,193
Hall S2 — Booth D20,1333,175
Hall S2 — Booth D18,1331,152
Hall S2 — Booth D12,1333,123
Hall S2 — Booth E43,1325,427
Hall S2 — Booth E41,1316,390
Hall S2 — Booth E39,1314,372
Hall S2 — Booth E37,1317,356
Hall S2 — Booth E35,1316,324
Hall S2 — Booth E31,1316,304
Hall S2 — Booth E27,1316,273
Hall S2 — Booth E25,1317,227
Hall S2 — Booth E21B,1314,212
Hall S2 — Booth E21A,1314,201
Hall S2 — Booth E19B,1316,191
Hall S2 — Booth E19A,1316,179
Hall S2 — Booth E17,1316,165
Hall S2 — Booth E15,1314,151
Hall S2 — Booth E13,1316,133
Hall S2 — Booth E11,1317,115
Hall S2 — Booth E44,1286,405
Hall S2 — Booth E42,1288,389
Hall S2 — Booth E38,1286,366
Hall S2 — Booth E36,1286,320
Hall S2 — Booth E32,1285,292
Hall S2 — Booth E26,1288,215
Hall S2 — Booth E18,1286,175
Hall S2 — Booth E16,1286,151
Hall S2 — Booth E12,1286,120
Hall S2 — Booth F43,1272,405
Hall S2 — Booth F39,1269,381
Hall S2 — Booth F37,1270,358
Hall S2 — Booth F35,1272,325
Hall S2 — Booth F33,1272,306
Hall S2 — Booth F31,1270,289
Hall S2 — Booth F27,1280,269
Hall S2 — Booth F25,1272,223
Hall S2 — Booth F21,1268,197
Hall S2 — Booth F19,1272,176
Hall S2 — Booth F15,1272,148
Hall S2 — Booth F11,1272,118
Hall S2 — Booth F45,1268,434
Hall S2 — Booth F46,1249,435
Hall S2 — Booth G45,1233,435
Hall S2 — Booth G46,1177,435
Hall S1 — Booth B45,1122,434
Hall S1 — Booth B46,1106,435
Hall S1 — Booth C45,1090,435
Hall S2 — Booth F44,1241,405
Hall S2 — Booth F42,1240,389
Hall S2 — Booth F40,1241,372
Hall S2 — Booth F38,1241,357
Hall S2 — Booth F36,1241,326
Hall S2 — Booth F34,1244,302
Hall S2 — Booth F30,1240,285
Hall S2 — Booth F28,1240,266
Hall S2 — Booth G25,1233,224
Hall S2 — Booth F20,1241,197
Hall S2 — Booth F18,1241,178
Hall S2 — Booth F16,1240,154
Hall S2 — Booth F12,1242,122
Hall S2 — Booth G43,1227,405
Hall S2 — Booth G41,1225,389
Hall S2 — Booth G37,1225,365
Hall S2 — Booth G35,1225,319
Hall S2 — Booth G27,1227,276
Hall S2 — Booth G19,1227,195
Hall S2 — Booth G17,1223,167
Hall S2 — Booth G11,1225,128
Hall S2 — Booth G44,1195,398
Hall S2 — Booth G40,1195,374
Hall S2 — Booth G38,1195,358
Hall S2 — Booth G26,1196,224
Hall S2 — Booth G20,1196,194
Hall S2 — Booth G18,1195,169
Hall S2 — Booth G12,1196,132
Hall S1 — Booth A43,1179,406
Hall S1 — Booth A41,1178,389
Hall S1 — Booth A37,1180,363
Hall S1 — Booth A27L,1196,329
Hall S1 — Booth A27J,1196,315
Hall S1 — Booth A27H,1196,302
Hall S1 — Booth A27F,1196,290
Hall S1 — Booth A27D,1197,276
Hall S1 — Booth A27B,1197,262
Hall S1 — Booth A27K,1179,328
Hall S1 — Booth A27I,1177,315
Hall S1 — Booth A27G,1177,302
Hall S1 — Booth A27E,1178,288
Hall S1 — Booth A27C,1177,275
Hall S1 — Booth A27A,1179,261
Hall S1 — Booth A25,1178,225
Hall S1 — Booth A23,1179,211
Hall S1 — Booth A21,1182,193
Hall S1 — Booth A19,1180,178
Hall S1 — Booth A17,1180,161
Hall S1 — Booth A15,1179,144
Hall S1 — Booth A13,1180,129
Hall S1 — Booth A11,1180,113
Hall S1 — Booth B43,1141,401
Hall S1 — Booth A38,1149,362
Hall S1 — Booth A36,1149,324
Hall S1 — Booth A32,1150,296
Hall S1 — Booth A28,1149,269
Hall S1 — Booth B25,1139,175
Hall S1 — Booth B37,1133,361
Hall S1 — Booth B35,1134,323
Hall S1 — Booth B31,1133,297
Hall S1 — Booth B27,1135,271
Hall S1 — Booth C43,1096,404
Hall S1 — Booth B42,1101,380
Hall S1 — Booth B38,1104,359
Hall S1 — Booth B36,1104,322
Hall S1 — Booth B32,1102,298
Hall S1 — Booth B28,1105,272
Hall S1 — Booth B26,1102,217
Hall S1 — Booth B20,1102,185
Hall S1 — Booth B18,1102,159
Hall S1 — Booth B12,1104,126
Hall S1 — Booth C41,1089,383
Hall S1 — Booth C37,1088,359
Hall S1 — Booth C35,1088,326
Hall S1 — Booth C33,1087,306
Hall S1 — Booth C27,1087,275
Hall S1 — Booth C25,1089,217
Hall S1 — Booth C19,1088,185
Hall S1 — Booth C17,1089,164
Hall S1 — Booth C11,1088,130
Hall S1 — Booth C50,1057,438
Hall S1 — Booth C44,1059,409
Hall S1 — Booth C42,1057,395
Hall S1 — Booth C38,1059,367
Hall S1 — Booth C36,1057,326
Hall S1 — Booth C32,1057,304
Hall S1 — Booth C28,1057,271
Hall S1 — Booth C26,1059,219
Hall S1 — Booth C20,1057,182
Hall S1 — Booth C18,1056,160
Hall S1 — Booth C12,1062,125
Hall S1 — Booth D49,1041,450
Hall S1 — Booth D45,1041,428
Hall S1 — Booth D37,1043,382
Hall S1 — Booth D35,1041,326
Hall S1 — Booth D33,1041,305
Hall S1 — Booth D31,1043,285
Hall S1 — Booth D27,1041,266
Hall S1 — Booth D25,1043,223
Hall S1 — Booth D21,1040,197
Hall S1 — Booth D19,1043,179
Hall S1 — Booth D17,1041,157
Hall S1 — Booth D11,1041,128
Hall S1 — Booth D52,1027,484
Hall S1 — Booth E51,998,483
Hall S1 — Booth D50,1012,439
Hall S1 — Booth E37,1006,380
Hall S1 — Booth D36,1012,315
Hall S1 — Booth D29,1013,268
Hall S1 — Booth D26,1011,222
Hall S1 — Booth D22,1012,188
Hall S1 — Booth D18,1011,171
Hall S1 — Booth D12,1013,135
Hall S1 — Booth E49,996,441
Hall S1 — Booth E35,998,313
Hall S1 — Booth E27,998,269
Hall S1 — Booth E25,996,216
Hall S1 — Booth E19,999,171
Hall S1 — Booth E11,998,128
Hall S1 — Booth F49,957,446
Hall S1 — Booth E46,966,418
Hall S1 — Booth E44,967,399
Hall S1 — Booth F37,959,370
Hall S1 — Booth E36,966,326
Hall S1 — Booth F27,959,285
Hall S1 — Booth E26,966,229
Hall S1 — Booth E24,966,212
Hall S1 — Booth E22,967,196
Hall S1 — Booth E20,967,181
Hall S1 — Booth E18,967,168
Hall S1 — Booth E16B,967,160
Hall S1 — Booth E16,966,142
Hall S1 — Booth E12,967,118
Hall S1 — Booth F45,951,420
Hall S1 — Booth F43,951,399
Hall S1 — Booth F35,953,328
Hall S1 — Booth F25,950,218
Hall S1 — Booth F19,953,184
Hall S1 — Booth F15,951,162
Hall S1 — Booth F13,949,141
Hall S1 — Booth F11,951,119
Hall S1 — Booth F50,923,448
Hall S1 — Booth F46,921,414
Hall S1 — Booth F42,921,388
Hall S1 — Booth F38,922,366
Hall S1 — Booth F36,922,325
Hall S1 — Booth F32,922,298
Hall S1 — Booth F28,921,270
Hall S1 — Booth G25,914,216
Hall S1 — Booth F20,922,180
Hall S1 — Booth F16,922,152
Hall S1 — Booth F12,921,121
Hall S1 — Booth G51,905,446
Hall S1 — Booth G47,905,424
Hall S1 — Booth G45,906,412
Hall S1 — Booth G43,905,401
Hall S1 — Booth G41,905,385
Hall S1 — Booth G39,903,368
Hall S1 — Booth G37,905,354
Hall S1 — Booth G35,906,324
Hall S1 — Booth G33,904,306
Hall S1 — Booth G31,906,289
Hall S1 — Booth G27,905,268
Hall S1 — Booth G19,905,179
Hall S1 — Booth G15,906,151
Hall S1 — Booth G11,906,121
Hall S1 — Booth H49,861,457
Hall S1 — Booth G48,870,444
Hall S1 — Booth G46,870,423
Hall S1 — Booth G42,869,401
Hall S1 — Booth G40,869,382
Hall S1 — Booth G38,870,360
Hall S1 — Booth G36,870,328
Hall S1 — Booth G34,869,310
Hall S1 — Booth G32,871,294
Hall S1 — Booth G30,870,278
Hall S1 — Booth G28,867,262
Hall S1 — Booth G26,869,220
Hall S1 — Booth G22,870,188
Hall S1 — Booth G18,870,170
Hall S1 — Booth G16,870,148
Hall S1 — Booth H11,864,119
Hall S1 — Booth H47,853,442
Hall S1 — Booth H45,854,424
Hall S1 — Booth H43,855,402
Hall S1 — Booth H39,854,380
Hall S1 — Booth H37,854,359
Hall S1 — Booth H35,853,328
Hall S1 — Booth H33,854,311
Hall S1 — Booth H31,854,296
Hall S1 — Booth H29,855,277
Hall S1 — Booth H27,856,263
Hall S1 — Booth H25,854,218
Hall S1 — Booth H19,854,174
Hall S1 — Booth H15,854,147
Hall S1 — Booth I49,816,457
Hall S1 — Booth H48,823,439
Hall S1 — Booth H46,823,418
Hall S1 — Booth H44,822,397
Hall S1 — Booth H40,825,376
Hall S1 — Booth I37,817,356
Hall S1 — Booth H36,823,319
Hall S1 — Booth H32,823,294
Hall S1 — Booth I27,815,272
Hall S1 — Booth I25,816,218
Hall S1 — Booth H22,823,190
Hall S1 — Booth H20,822,169
Hall S1 — Booth H16,821,145
Hall S1 — Booth I11,816,121
Hall S1 — Booth I47,809,441
Hall S1 — Booth I45,808,418
Hall S1 — Booth I43,808,399
Hall S1 — Booth I39,808,376
Hall S1 — Booth I35,809,319
Hall S1 — Booth I31,808,294
Hall S1 — Booth I21,809,190
Hall S1 — Booth I19,808,168
Hall S1 — Booth I15,809,147
Hall S1 — Booth H52,842,483
Hall S1 — Booth I51,820,484
Hall S1 — Booth J51,799,482
Hall S1 — Booth J52,747,482
Hall S1 — Booth J49,772,457
Hall S1 — Booth I48,778,440
Hall S1 — Booth I46,777,421
Hall S1 — Booth I44,778,402
Hall S1 — Booth I42,780,382
Hall S1 — Booth I38,778,358
Hall S1 — Booth I36,778,329
Hall S1 — Boothv I34,780,312
Hall S1 — Booth I32,780,296
Hall S1 — Booth I30,778,279
Hall S1 — Booth J27,770,263
Hall S1 — Booth J25,770,223
Hall S1 — Booth I24,778,204
Hall S1 — Booth I22,778,186
Hall S1 — Booth I20,777,172
Hall S1 — Booth I18,777,155
Hall S1 — Booth I12,781,126
Hall S1 — Booth J47,760,441
Hall S1 — Booth J45,763,421
Hall S1 — Booth J43,764,404
Hall S1 — Booth J37,764,371
Hall S1 — Booth J35,763,327
Hall S1 — Booth J33,761,311
Hall S1 — Booth J31,761,296
Hall S1 — Booth J29,760,280
Hall S1 — Booth J23,764,203
Hall S1 — Booth J21,763,186
Hall S1 — Booth J19,761,173
Hall S1 — Booth J17,763,155
Hall S1 — Booth J11,764,128
Hall SA — Booth A45,719,434
Hall S1 — Booth J42,732,394
Hall S1 — Booth J38,733,362
Hall S1 — Booth J34,733,311
Hall S1 — Booth J32,735,294
Hall S1 — Booth J30,733,279
Hall S1 — Booth J28,732,264
Hall S1 — Booth J26,733,229
Hall S1 — Booth J24,733,214
Hall S1 — Booth J22,735,198
Hall S1 — Booth J20,735,181
Hall S1 — Booth J18,733,165
Hall S1 — Booth J16,733,148
Hall S1 — Booth J12,733,123
Hall SA — Booth A43,719,399
Hall SA — Booth A37,717,367
Hall SA — Booth A35,726,328
Hall SA — Booth A33,719,311
Hall SA — Booth A31,717,295
Hall SA — Booth A29,716,280
Hall SA — Booth A27,719,263
Hall SA — Booth A25,716,229
Hall SA — Booth A23,719,215
Hall SA — Booth A21,717,199
Hall SA — Booth A19,717,181
Hall SA — Booth A17,717,165
Hall SA — Booth A15,717,149
Hall SA — Booth A11,717,124
Hall SA — Booth A44,687,407
Hall SA — Booth A42,688,390
Hall SA — Booth A40,688,374
Hall SA — Booth A36,686,323
Hall SA — Booth A34,687,304
Hall SA — Booth A30,688,285
Hall SA — Booth A28,686,263
Hall SA — Booth A26,687,229
Hall SA — Booth A24,687,210
Hall SA — Booth A22,687,191
Hall SA — Booth A18,688,171
Hall SA — Booth A16,687,152
Hall SA — Booth A14,686,131
Hall SA — Booth A12,688,115
Hall SA — Booth C45,655,434
Hall SA — Booth B43,671,405
Hall SA — Booth B41,670,389
Hall SA — Booth B39,672,375
Hall SA — Booth B37,680,358
Hall SA — Booth B35,672,324
Hall SA — Booth B33,672,304
Hall SA — Booth B29,671,285
