booth_code,x,y
Hall Z6 — Booth G20,556,270
Hall Z6 — Booth G21,572,225
Hall Z6 — Booth G40,581,183
Hall Z6 — Booth G41,581,148
Hall Z6 — Booth E41,561,145
Hall Z6 — Booth D42,545,141
Hall Z6 — Booth G10,539,295
Hall Z6 — Booth E09,523,291
Hall Z6 — Booth D09,502,285
Hall Z6 — Booth G19,534,267
Hall Z6 — Booth C26,551,236
Hall Z6 — Booth C29,536,232
Hall Z6 — Booth E26,555,188
Hall Z6 — Booth C14,496,264
Hall Z6 — Booth G18,503,247
Hall Z6 — Booth C24,505,224
Hall Z6 — Booth D24,515,192
Hall Z6 — Booth C40,524,160
Hall Z6 — Booth C13,454,253
Hall Z6 — Booth G17,453,232
Hall Z6 — Booth C23,460,211
Hall Z6 — Booth C25,446,169
Hall Z6 — Booth C39,464,144
Hall Z6 — Booth A12,439,248
Hall Z6 — Booth A11,417,244
Hall Z6 — Booth A13,398,237
Hall Z6 — Booth G16,414,223
Hall Z6 — Booth A17,398,218
Hall Z6 — Booth A23,418,199
Hall Z5 — Booth G40,421,130
Hall Z6 — Booth B09,436,268
Hall Z6 — Booth A10,409,260
Hall Z5 — Booth G09,382,252
Hall Z5 — Booth G11,378,232
Hall Z5 — Booth E12,368,230
Hall Z5 — Booth D15,355,226
Hall Z5 — Booth E16,382,214
Hall Z5 — Booth D16,364,208
Hall Z5 — Booth E24,376,189
Hall Z5 — Booth G26,399,156
Hall Z5 — Booth E26,377,154
Hall Z5 — Booth G33,404,126
Hall Z5 — Booth E34,384,122
Hall Z6 — Booth B42,485,126
Hall Z6 — Booth B41,471,120
Hall Z5 — Booth A41,439,112
Hall Z5 — Booth G41,410,102
Hall Z5 — Booth E42,394,99
Hall Z5 — Booth E41,384,98
Hall Z5 — Booth C42,325,80
Hall Z5 — Booth A42,304,76
Hall Z4 — Booth H42,273,68
Hall Z5 — Booth C15,333,220
Hall Z5 — Booth C14,313,217
Hall Z5 — Booth C16,330,201
Hall Z5 — Booth B16,310,196
Hall Z5 — Booth C24,331,176
Hall Z5 — Booth E25,347,142
Hall Z5 — Booth C26,330,139
Hall Z5 — Booth E33,359,114
Hall Z5 — Booth C34,336,106
Hall Z5 — Booth C13,288,210
Hall Z5 — Booth A12,268,204
Hall Z5 — Booth A16,281,186
Hall Z5 — Booth A24,287,163
Hall Z5 — Booth C25,303,141
Hall Z5 — Booth C31,306,126
Hall Z5 — Booth A26,284,136
Hall Z5 — Booth A32,287,122
Hall Z5 — Booth C35,314,103
Hall Z5 — Booth A34,295,98
Hall Z5 — Booth C10,284,227
Hall Z5 — Booth A10,255,219
Hall Z5 — Booth A09,237,213
Hall Z4 — Booth G09,224,209
Hall Z5 — Booth A31,262,121
Hall Z5 — Booth A33,269,90
Hall Z4 — Booth H14,241,196
Hall Z4 — Booth H13,224,192
Hall Z4 — Booth G17,252,178
Hall Z4 — Booth G16,232,174
Hall Z4 — Booth G24,246,155
Hall Z4 — Booth G26,242,117
Hall Z4 — Booth G34,252,86
Hall Z4 — Booth G13,201,185
Hall Z4 — Booth F13,183,178
Hall Z4 — Booth G15,193,163
Hall Z4 — Booth E24,201,140
Hall Z4 — Booth E26,212,91
Hall Z4 — Booth B11,130,179
Hall Z4 — Booth E13,151,160
Hall Z4 — Booth D13,137,158
Hall Z4 — Booth C18,149,130
Hall Z4 — Booth E25,166,97
Hall Z4 — Booth E35,182,64
Hall Z4 — Booth E34,165,61
Hall Z4 — Booth A11,95,170
Hall Z4 — Booth C13,111,148
Hall Z4 — Booth C17,118,124
Hall Z4 — Booth C25,128,87
Hall Z4 — Booth A34,137,59
Hall Z4 — Booth A40,138,45
Hall Z4 — Booth A21,92,136
Hall Z4 — Booth A27,100,101
Hall Z4 — Booth A29,107,72
Hall Z4 — Booth A30,112,55
Hall Z4 — Booth A41,117,37
Hall Z4 — Booth D41,165,37
Hall Z4 — Booth D42,131,27
Hall Z3 — Booth F07,533,594
Hall Z3 — Booth G12,539,585
Hall Z3 — Booth E08,510,590
Hall Z3 — Booth D08,490,591
Hall Z3 — Booth D09,471,585
Hall Z3 — Booth B10,455,581
Hall Z3 — Booth A02,428,581
Hall Z3 — Booth A03,406,590
Hall Z3 — Booth A10B,408,574
Hall Z3 — Booth A10A,404,575
Hall Z3 — Booth A01,389,584
Hall Z3 — Booth G16,539,563
Hall Z3 — Booth D16,514,565
Hall Z3 — Booth G18,538,543
Hall Z3 — Booth G22,541,532
Hall Z3 — Booth G17,528,543
Hall Z3 — Booth G21B,533,529
Hall Z3 — Booth G21A,528,527
Hall Z3 — Booth F22,523,526
Hall Z3 — Booth F21,520,525
Hall Z3 — Booth E22,514,524
Hall Z3 — Booth F18,522,540
Hall Z3 — Booth F17,517,539
Hall Z3 — Booth E18,512,537
Hall Z3 — Booth C16,494,556
Hall Z3 — Booth B16,459,548
Hall Z3 — Booth A16,425,540
Hall Z3 — Booth C22,496,523
Hall Z3 — Booth B22,480,521
Hall Z3 — Booth A22,447,513
Hall Z3 — Booth D24,508,484
Hall Z3 — Booth C24,486,480
Hall Z3 — Booth C36,492,457
