booth_code,x,y
A16,437,675
A15,437,734
A13,437,874
A12,441,1010
A11,437,1069
A10,382,1125
A09,382,1184
A08,382,1294
A07,382,1346
A06,385,1479
A05,382,1534
A04,378,1645
A03,378,1700
A01,378,1840
B37,545,642
B38,604,642
B35,549,752
B36,604,752
B33,545,804
B34,604,808
B31,549,918
B32,597,918
B29,549,973
B30,601,973
B27,545,1088
B28,601,1080
B25,545,1143
B26,597,1139
B22,490,1254
B23,573,1257
B19,496,1309
B20,573,1309
B16,490,1420
B17,573,1423
B13,490,1479
B14,573,1479
B10,490,1593
B11,573,1593
B07,490,1648
B08,573,1648
B01,493,1785
B05,569,1763
B02,573,1822
C29,733,653
C30,788,653
C27,733,767
C28,792,771
C25,733,822
C26,788,826
C23,736,937
C24,792,937
C21,736,992
C22,788,992
C17,736,1136
C20,788,1106
C18,792,1165
C13,733,1302
C14,788,1298
C11,736,1468
C07,733,1545
C08,788,1515
C05,760,1704
C01,760,1785
D29,920,660
D30,976,660
D27,920,771
D28,976,771
D25,920,822
D26,976,830
D23,948,937
D21,944,996
D19,948,1099
D17,948,1161
D15,948,1276
D13,944,1327
D11,920,1456
D12,972,1456
D09,948,1523
D07,927,1641
D08,976,1641
D05,924,1704
D06,972,1700
D03,920,1759
D04,972,1763
D01,920,1822
D02,976,1810
E35,1125,653
E36,1184,653
E33,1132,767
E34,1184,771
E31,1128,826
E32,1184,822
E28,1153,937
E30,1236,933
E25,1153,992
E27,1236,992
E22,1153,1102
E24,1236,1102
E19,1149,1161
E21,1240,1161
E16,1156,1276
E13,1153,1327
E15,1240,1298
E07,1125,1519
E08,1184,1515
E01,1153,1763
F25,1385,656
F23,1354,774
F24,1410,767
F21,1347,826
F22,1413,826
F19,1347,933
F20,1410,937
F17,1354,996
F18,1406,996
F13,1351,1298
F14,1406,1305
F11,1344,1460
F07,1344,1545
F05,1344,1700
F01,1347,1788
G29,1538,660
G30,1590,656
G27,1538,771
G28,1597,771
G25,1535,830
G26,1594,826
G23,1542,933
G24,1590,937
G21,1538,992
G22,1594,988
G20,1590,1106
G17,1538,1158
G18,1597,1161
G15,1566,1276
G13,1569,1327
G11,1500,1460
G12,1555,1460
G07,1503,1552
G08,1555,1552
G05,1531,1704
G01,1535,1788
H29,1733,656
I29,1871,653
H27,1705,771
H28,1760,767
H25,1705,826
H26,1764,826
H23,1708,937
H24,1764,937
H21,1708,988
H22,1760,988
H17,1705,1132
H20,1760,1106
H18,1764,1161
H13,1708,1302
H14,1764,1302
H07,1687,1519
H08,1746,1519
H05,1715,1704
H01,1708,1788
I05,1896,1704
I01,1903,1792
I11,1899,1456
I07,1899,1545
I13,1878,1305
I14,1930,1302
I19,1878,1106
I20,1930,1102
I17,1875,1158
I18,1930,1161
I23,1878,933
I24,1934,933
I21,1875,992
I22,1930,988
I27,1875,771
I28,1927,767
I25,1878,822
I26,1927,822
J29,2073,656
J27,2045,771
J28,2097,767
J25,2045,822
J26,2094,826
J23,2045,940
J24,2101,940
J21,2048,992
J22,2101,992
J19,2066,1106
J20,2114,1102
J17,2062,1161
J18,2118,1158
J15,2059,1268
J16,2118,1272
J13,2066,1327
J14,2118,1327
J07,2062,1515
J08,2114,1519
J05,2083,1700
J01,2087,1785
K29,2208,656
K30,2267,653
K27,2215,767
K28,2267,767
K25,2212,826
K26,2271,822
K23,2205,937
K24,2267,933
K21,2208,988
K22,2271,988
K19,2246,1106
K20,2309,1102
K17,2246,1158
K18,2305,1161
K15,2246,1272
K16,2305,1272
K13,2250,1327
K14,2309,1327
K11,2271,1460
K07,2243,1541
K08,2309,1549
K05,2278,1707
K01,2278,1788
Z05,2326,1995
L31,2378,653
L32,2434,656
L29,2378,771
L30,2441,771
L27,2378,826
L28,2434,830
L25,2378,933
L26,2434,937
L23,2382,992
L24,2437,988
L20,2437,1106
L21,2517,1102
L17,2441,1161
L18,2521,1161
L13,2437,1305
L14,2493,1305
L11,2465,1383
L07,2465,1541
L05,2437,1704
L01,2437,1788
L02,2493,1763
M25,2552,653
M26,2601,656
M23,2548,767
M24,2601,767
M21,2548,819
M22,2604,819
M19,2548,937
M20,2607,933
M17,2576,992
M13,2653,1302
M09,2625,1493
M10,2680,1490
M07,2618,1574
M08,2680,1571
M05,2649,1700
M01,2649,1785
N01,2837,1759
N07,2809,1512
N08,2871,1515
N13,2809,1298
N14,2864,1302
N17,2760,992
N19,2732,929
N20,2795,929
N23,2739,767
N24,2788,774
N21,2732,822
N22,2795,822
N25,2732,656
N26,2791,653
O33,2920,671
O34,2986,671
O31,2916,730
O32,2982,734
O28,2920,863
O29,2982,863
O30,3041,859
O25,2923,918
O26,2979,918
O27,3031,918
O22,2951,1029
O21,3038,1062
O19,2955,1091
O17,3028,1217
O13,2993,1305
O14,3052,1305
O11,3028,1460
O07,3031,1541
O01,3028,1759
P29,3090,678
P30,3153,671
P27,3094,730
P28,3153,730
P25,3146,859
P26,3208,859
P23,3146,918
P24,3201,922
P21,3149,1029
P22,3205,1025
P19,3149,1088
P20,3205,1091
P17,3215,1213
P13,3180,1298
P14,3239,1302
P11,3212,1460
P07,3212,1545
P05,3212,1700
P01,3212,1788
Q34,3257,675
Q31,3257,726
Q35,3371,675
Q36,3427,678
Q32,3375,734
Q33,3434,730
Q28,3312,859
Q29,3371,863
Q30,3430,859
Q25,3316,914
Q26,3396,922
Q22,3316,1032
Q23,3375,1032
Q24,3427,1029
Q19,3316,1091
Q20,3399,1091
Q17,3399,1220
Q13,3378,1305
Q14,3430,1302
Q11,3403,1460
Q07,3399,1545
Q01,3399,1759
S29,3812,457
T39,4014,465
T40,4073,461
U33,4201,457
U34,4264,461
Y17,4927,642
Y16,4927,693
Y15,4923,804
Y14,4927,863
Y13,4923,977
Y12,4927,1032
Y11,4927,1088
Y10,4930,1143
Y09,4927,1198
Y08,4930,1316
Y07,4930,1364
Y06,4927,1475
Y05,4927,1534
Y03,4927,1674
Y01,4920,1844
R01,3632,1763
S01,3847,1759
T05,4038,1704
T01,4038,1788
U05,4222,1707
U01,4222,1788
V05,4406,1704
V01,4409,1785
W05,4573,1704
W06,4628,1704
W01,4573,1788
W04,4628,1763
W02,4632,1818
X05,4736,1704
X06,4791,1704
X01,4739,1788
X02,4795,1785
R40,3580,605
R41,3632,605
R38,3580,653
R39,3635,656
R36,3576,767
R35,3639,796
R34,3580,822
R32,3607,940
R28,3583,1025
R29,3635,1025
R25,3635,1161
R22,3632,1217
R19,3607,1331
R18,3691,1353
R16,3604,1383
R13,3597,1519
R14,3677,1519
R10,3604,1574
R12,3687,1574
S27,3764,605
S28,3823,601
S25,3764,656
S26,3826,656
S23,3771,763
S24,3826,767
S21,3760,826
S22,3823,830
S17,3791,966
S15,3847,1213
S11,3823,1357
S12,3882,1361
S09,3847,1508
S07,3847,1571
T36,3937,597
T37,3993,601
T33,3934,660
T34,3986,653
T38,4104,601
T35,4104,656
T30,3934,771
T31,3993,767
T32,4107,774
T27,3941,822
T28,3989,822
T29,4104,822
T24,3951,937
T25,4007,933
T26,4066,937
T21,3979,992
T23,4066,988
T17,4014,1132
T18,4062,1132
T15,4007,1209
T16,4062,1209
T13,4031,1324
T11,4007,1383
T12,4066,1372
T07,4038,1545
U31,4218,597
U32,4271,597
U29,4218,660
U30,4274,660
U27,4215,771
U28,4271,767
U25,4215,826
U26,4274,826
U23,4194,933
U24,4253,933
U21,4198,992
U22,4253,992
U19,4222,1106
U15,4191,1187
U16,4253,1191
U13,4225,1320
U11,4194,1383
U12,4253,1383
U07,4194,1549
U08,4253,1549
V31,4378,660
V32,4444,656
V29,4385,712
V30,4441,708
V27,4382,844
V28,4437,844
V25,4385,896
V26,4444,900
V23,4409,1010
V19,4385,1095
V20,4444,1095
V17,4409,1243
V13,4378,1320
V14,4434,1320
V07,4382,1515
V08,4444,1519
W31,4569,653
W32,4621,653
W29,4569,712
W30,4625,715
W27,4569,841
W28,4625,837
W25,4569,900
W26,4625,903
W23,4597,1014
W19,4566,1095
W20,4625,1099
W17,4597,1235
W13,4566,1320
W14,4625,1320
W11,4600,1464
W07,4566,1541
W08,4621,1545
X29,4739,656
X30,4802,656
X27,4739,767
X28,4798,767
X25,4739,822
X26,4795,826
X23,4743,933
X24,4795,933
X21,4739,992
X22,4798,988
X19,4743,1102
X20,4791,1110
X17,4736,1165
X18,4791,1161
X13,4736,1316
X16,4791,1291
X14,4795,1353
X11,4767,1464
X07,4732,1538
X10,4795,1519
X08,4791,1571
LB01,413,2072
LB02,465,2072
LB03,524,2072
LB04,580,2072
LB08,417,2124
LB07,472,2124
LB06,528,2124
LB05,580,2124
