NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL
"Yangzhou Huacai Opto Co., Ltd.","Yangzhou Huacai Opto Co., Ltd.",Chinese Mainland,"COLORS, is a trusted supplier and a committed partner. We provide customers with innovative and reliable lighting solutions in a collaborative manner. Founded in 2008 and based in Shenzhen, we have 17 years of accumulation and are always full of passion and ideas to innovate and self-improve. To us, light is culture. We have been and will be always committed to craving lights of good quality and well-thought design, in the hope of providing the best to customers. We transform space with lights and are always on the way to becoming a leader in lighting innovation and manufacturing. We have a keen focus on LED strips, neon flex, profile, and linear luminaire. For products, we pay attention to details. Some are not only technically sound but also artistically designed, earning us German RED DOT, IF, IDEA, GOLDEN PIN, etc. For customers, good quality is our principle, their satisfaction is the guideline.","COLORS, is a trusted supplier and a committed partner. We provide customers with innovative and reliable lighting solutions in a collaborative manner. Founded in 2008 and based in Shenzhen, we have 17 years of accumulation and are always full of passion and ideas to innovate and self-improve. To us, light is culture. We have been and will be always committed to craving lights of good quality and well-thought design, in the hope of providing the best to customers. We transform space with lights and are always on the way to becoming a leader in lighting innovation and manufacturing. We have a keen focus on LED strips, neon flex, profile, and linear luminaire. For products, we pay attention to details. Some are not only technically sound but also artistically designed, earning us German RED DOT, IF, IDEA, GOLDEN PIN, etc. For customers, good quality is our principle, their satisfaction is the guideline.",,Exhibitor,Hong Kong International Lighting Fair 2025,3C-F24,Commercial Lighting,,1,,,"Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PXHO
First Bright International Ltd.,First Bright International Ltd.,Hong Kong,"As a leading company in E&E business, and with more than 25 years in EXIT Sign and Emergency Lighting markets, Je Woo becomes a professional provider for comprehensive Exit Signs, Exit Lights and Emergency Lightings & lighting controlling system worldwide.","As a leading company in E&E business, and with more than 25 years in EXIT Sign and Emergency Lighting markets, Je Woo becomes a professional provider for comprehensive Exit Signs, Exit Lights and Emergency Lightings & lighting controlling system worldwide.",,Exhibitor,Hong Kong International Lighting Fair 2025,1E-D10,Hall of Aurora,,1,,,"exit sign, emergency bulkhead, energy management, LED signs, emergency drivers, energy management, smart sensor, DALI control system.; OBM","exit sign, emergency bulkhead, energy management, LED signs, emergency drivers, energy management, smart sensor, DALI control system.; OBM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005O877
"Blueview Elec-optic Tech Co., Ltd","Blueview Elec-optic Tech Co., Ltd",Chinese Mainland,"LED Lighting, Office Lighting, Indoor Lighting, Kitchen Lighting","LED Lighting, Office Lighting, Indoor Lighting, Kitchen Lighting",,Exhibitor,Hong Kong International Lighting Fair 2025,3D-A20,Commercial Lighting,,1,,,"LED Lighting, Office Lighting, Indoor Lighting, Kitchen Lighting; LED signage Lighting: rigid bar, module, neon flex. LED commercial lighting: LED linear light, led strip, led neon flex, COB, flexible panel, led aluminum profile. ODM and OEM solution for big brands all over the world.; ODM, OEM","LED Lighting, Office Lighting, Indoor Lighting, Kitchen Lighting; LED signage Lighting: rigid bar, module, neon flex. LED commercial lighting: LED linear light, led strip, led neon flex, COB, flexible panel, led aluminum profile. ODM and OEM solution for big brands all over the world.; ODM, OEM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PXLC
"China Machinery Engineering Wuxi Co., Ltd","China Machinery Engineering Wuxi Co., Ltd",Chinese Mainland,"Ceiling Light, Downlight, Retail Lighting, Table Lamp, LED Lighting, Kitchen Lighting, Wall Lamp, Chandelier, Indoor Lighting, Office Lighting","Ceiling Light, Downlight, Retail Lighting, Table Lamp, LED Lighting, Kitchen Lighting, Wall Lamp, Chandelier, Indoor Lighting, Office Lighting",,Exhibitor,Hong Kong International Lighting Fair 2025,1B-F02,Hall of Aurora,,1,,,"Ceiling Light, Downlight, Retail Lighting, Table Lamp, LED Lighting, Kitchen Lighting, Wall Lamp, Chandelier, Indoor Lighting, Office Lighting; LED Spot light, LED Downlight, LED panel light, LED Track light, LED Wall light, LED Ground light, Flood light, Solar light, LED table light; OEM, ODM","Ceiling Light, Downlight, Retail Lighting, Table Lamp, LED Lighting, Kitchen Lighting, Wall Lamp, Chandelier, Indoor Lighting, Office Lighting; LED Spot light, LED Downlight, LED panel light, LED Track light, LED Wall light, LED Ground light, Flood light, Solar light, LED table light; OEM, ODM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PSC8
Foshan Ronse Lighting Technology Co Ltd,Foshan Ronse Lighting Technology Co Ltd,Chinese Mainland,Indoor Lighting,Indoor Lighting,,Exhibitor,Hong Kong International Lighting Fair 2025,3E-B18,Commercial Lighting,Cantonese Business Go Global,1,,,"Indoor Lighting; LED commercial lighting products including track light ,linear light ,supermarket light ,downlight ,hanging light; OEM, ODM","Indoor Lighting; LED commercial lighting products including track light ,linear light ,supermarket light ,downlight ,hanging light; OEM, ODM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PWSS
"Guang Dong GDLED Co., Ltd","Guang Dong GDLED Co., Ltd",Chinese Mainland,"CFL Bulb, LED Lighting, Chandelier, Downlight, Ceiling Light, Decorative Lamp","CFL Bulb, LED Lighting, Chandelier, Downlight, Ceiling Light, Decorative Lamp",,Exhibitor,Hong Kong International Lighting Fair 2025,1B-D40,Hall of Aurora,Cantonese Business Go Global,1,,,"CFL Bulb, LED Lighting, Chandelier, Downlight, Ceiling Light, Decorative Lamp; GDLED provide highs quality indoor and outdoor lights in natural material, like plaster and concrete. They are both environmental-friendly material. It give the light fittings very natural texture and and minimalist decorative style.; ODM, OEM","CFL Bulb, LED Lighting, Chandelier, Downlight, Ceiling Light, Decorative Lamp; GDLED provide highs quality indoor and outdoor lights in natural material, like plaster and concrete. They are both environmental-friendly material. It give the light fittings very natural texture and and minimalist decorative style.; ODM, OEM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PPOB
"Guangdong YND Technological Lighting Co., Ltd","Guangdong YND Technological Lighting Co., Ltd",Chinese Mainland,"YND Technological Lighting Co., Ltd., founded in 2009 in HengLan, as known as Yndlux or Ydlux. We specializes in LED lighting products. Over the years, we've grown into a full-service manufacturer, covering everything from research and development to sales. We specialize in a wide range of LED lighting products, including Magnetic Lighting Systems, AC Track Light Systems, Linear Trunking Systems, Downlights, Office Lighting, Linear Aluminum Profiles, and smart lighting control systems.","YND Technological Lighting Co., Ltd., founded in 2009 in HengLan, as known as Yndlux or Ydlux. We specializes in LED lighting products. Over the years, we've grown into a full-service manufacturer, covering everything from research and development to sales. We specialize in a wide range of LED lighting products, including Magnetic Lighting Systems, AC Track Light Systems, Linear Trunking Systems, Downlights, Office Lighting, Linear Aluminum Profiles, and smart lighting control systems.",,Exhibitor,Hong Kong International Lighting Fair 2025,3B-A17,Residential Lighting,Cantonese Business Go Global,1,,,"Downlight, Smart Architectural Lighting, Office Lighting, Lighting Design & Engineering, Lighting Product Design, Smart Building and Construction Services, Retail Lighting, Indoor Lighting, Smart Living, Chandelier; Magnetic Lighting Systems, AC Track Light Systems, Linear Trunking Systems, Downlights, Office Lighting, Linear Aluminum Profiles, and smart lighting control systems. Matter, DALI, Tuya Control; OEM, ODM","Downlight, Smart Architectural Lighting, Office Lighting, Lighting Design & Engineering, Lighting Product Design, Smart Building and Construction Services, Retail Lighting, Indoor Lighting, Smart Living, Chandelier; Magnetic Lighting Systems, AC Track Light Systems, Linear Trunking Systems, Downlights, Office Lighting, Linear Aluminum Profiles, and smart lighting control systems. Matter, DALI, Tuya Control; OEM, ODM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005P7HE
"Ningbo Yaado Lighting Co., Ltd.","Ningbo Yaado Lighting Co., Ltd.",Chinese Mainland,"Ningbo Yaado Lighting Co., Ltd. focuses on providing various LED lighting solutions for families. After years of experience in the lighting industry, we deeply realize that a good lighting product is not only a product that provides lighting, but also a value-added solution with a more comfortable user experience. In our understanding, it is easy to assemble and easy to use. Help to create a better family atmosphere, follow the trend and technology, the details are good, and the price is not expensive. Our factory has strong R & D and quality control capabilities. Every year, we innovate independently or cooperate with customers to develop many products. We have 20000 square meters of workshops and warehouses, which have passed the ISO9001 and BSCI certification. Most of our products have obtained TUV and ETL certificates. We have enough confidence to cooperate with different needs and different types of customers and establish trust and mutually beneficial relationships with customers. We believe that opportunities only belong to those who are prepared. Therefore, we continue to learn and improve our ideas, processes, technologies and services. I hope we can have the opportunity to cooperate with you and establish more win-win cooperation with you!","Ningbo Yaado Lighting Co., Ltd. focuses on providing various LED lighting solutions for families. After years of experience in the lighting industry, we deeply realize that a good lighting product is not only a product that provides lighting, but also a value-added solution with a more comfortable user experience. In our understanding, it is easy to assemble and easy to use. Help to create a better family atmosphere, follow the trend and technology, the details are good, and the price is not expensive. Our factory has strong R & D and quality control capabilities. Every year, we innovate independently or cooperate with customers to develop many products. We have 20000 square meters of workshops and warehouses, which have passed the ISO9001 and BSCI certification. Most of our products have obtained TUV and ETL certificates. We have enough confidence to cooperate with different needs and different types of customers and establish trust and mutually beneficial relationships with customers. We believe that opportunities only belong to those who are prepared. Therefore, we continue to learn and improve our ideas, processes, technologies and services. I hope we can have the opportunity to cooperate with you and establish more win-win cooperation with you!",,Exhibitor,Hong Kong International Lighting Fair 2025,1C-A40,Hall of Aurora,,1,,,"Table Lamp, Kitchen Lighting; table lamp, clip lamp, floor lamp, LED cabinet lamp, OEM/ODM; OEM, ODM","Table Lamp, Kitchen Lighting; table lamp, clip lamp, floor lamp, LED cabinet lamp, OEM/ODM; OEM, ODM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PSSW
Shenzhen Yanshuoda Technology Company Limited,Shenzhen Yanshuoda Technology Company Limited,Chinese Mainland,"ShenZhen,China YanshuodaTechnology Co., Ltd Founded in 2006, Shenzhen Yanshuoda Technology Co., Ltd. specializes in R&D and manufacturing LED power supply based on science and technology in its early days. After many years striving, Yanshuoda has formed a strong product strength in the field of LED power supply .LED dimmable power supply, LED waterproof power supply and become a leader with the product of the most series and models. Yanshuoda has strong technical force, standardized workshop ,advanced detection equipment, advanced laboratory and strict operating procedures, high standards of quality management. Strictly implement ISO9001:2015 quality management system ,striving to provide stable and high quality products for our customers. our products with UL,ETL, TUV-mark, CE, CB, SAA,BIS.CCC,ROHS and other certificates, are exported to many oversea markets, such as North America, Europe, Australia, South America ,Southeast Asia and so on.","ShenZhen,China YanshuodaTechnology Co., Ltd Founded in 2006, Shenzhen Yanshuoda Technology Co., Ltd. specializes in R&D and manufacturing LED power supply based on science and technology in its early days. After many years striving, Yanshuoda has formed a strong product strength in the field of LED power supply .LED dimmable power supply, LED waterproof power supply and become a leader with the product of the most series and models. Yanshuoda has strong technical force, standardized workshop ,advanced detection equipment, advanced laboratory and strict operating procedures, high standards of quality management. Strictly implement ISO9001:2015 quality management system ,striving to provide stable and high quality products for our customers. our products with UL,ETL, TUV-mark, CE, CB, SAA,BIS.CCC,ROHS and other certificates, are exported to many oversea markets, such as North America, Europe, Australia, South America ,Southeast Asia and so on.",,Exhibitor,Hong Kong International Lighting Fair 2025,3E-C20,Commercial Lighting,,1,,,"Office Lighting, LED Lighting Driver, LED Power Driver, LED Driver; Yanshuoda has formed a strong product strength in the field of LED power supply .LED dimmable power supply, LED waterproof power supply and become a leader with the product of the most series and models.; ODM, OEM","Office Lighting, LED Lighting Driver, LED Power Driver, LED Driver; Yanshuoda has formed a strong product strength in the field of LED power supply .LED dimmable power supply, LED waterproof power supply and become a leader with the product of the most series and models.; ODM, OEM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005P587
"ZhongShan Caij Lighting Technology Co., Ltd.","ZhongShan Caij Lighting Technology Co., Ltd.",Chinese Mainland,"LED Lighting, Lighting Fixture, LED Panel Light, Office Lighting, Chandelier, Indoor Lighting","LED Lighting, Lighting Fixture, LED Panel Light, Office Lighting, Chandelier, Indoor Lighting",,Exhibitor,Hong Kong International Lighting Fair 2025,1B-F20,Hall of Aurora,Cantonese Business Go Global,1,,,"LED Lighting, Lighting Fixture, LED Panel Light, Office Lighting, Chandelier, Indoor Lighting; CAlJ Lighting, was founded in 2011,is a new high-tech enterprise. devoting to design R&D and production in LED strip light / rigid light bar/ wall washer light/linear light. We have efficient production team and experienced R&D engineering the adv.; OEM, ODM","LED Lighting, Lighting Fixture, LED Panel Light, Office Lighting, Chandelier, Indoor Lighting; CAlJ Lighting, was founded in 2011,is a new high-tech enterprise. devoting to design R&D and production in LED strip light / rigid light bar/ wall washer light/linear light. We have efficient production team and experienced R&D engineering the adv.; OEM, ODM",https://www.hktdc.com/event/hklightingfairae/en/exhibitor/1S005PSUQ
