NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Downlights Spotlight Module,Downlights Spotlight Module,Downlights Spotlight Module,Downlights Spotlight Module,,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
Arch Neon · AF Series,Arch Neon · AF Series,"Designed for illuminating building facades and outdoor landscapes, tailored for use in frigid and sweltering climates(-40-+60℃ ), 7-year warranty, characterized by high reliability and exceptional weather fastness. ANSI SDCM≤5.","Designed for illuminating building facades and outdoor landscapes, tailored for use in frigid and sweltering climates(-40-+60℃ ), 7-year warranty, characterized by high reliability and exceptional weather fastness. ANSI SDCM≤5.",,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
LED Strips-CSP-dot Series,LED Strips-CSP-dot Series,"【Precautions】; · Please drive the led strip with 24VDC isolated power, and the ripple of the constant voltage source should be less than 5%.; · Please do not bend the strip into an arc with a diameter less than 60mm to ensure the longevity and reliability.; · Do not fold it in case any damage of LED beads.; · Do not pull the power wire hard to ensure the longevity. Any Crash may damage the LED light is prohibited.; · Please make sure the wire is connected to the anode and cathode correctly. The power output should be consistent with   the voltage of the    strip to avoid damage.; · LED lights should be stored in dry, sealed environment. Please only unpack it before usage. Ambient temperature: -40℃~60 ℃. Storage temperature: 0℃~60℃. Please use the strips without waterproof  within indoor environment with humidity less than 70%.; · Please be careful during operation. Do not touch the AC power supply in case of electric shock.; · Please leave at least 20% power for the power supply during using to ensure there is enough power supply to drive the product.; · Do not use any acid or alkaline adhesives to fix the product (e.g.: glass cement).; · Do not scratch the product when IP processof the product is NA. Ultraviolet rays will damage the nano-layers on the product and seriously affect the life of the product.; 7-15 daysdays","【Precautions】; · Please drive the led strip with 24VDC isolated power, and the ripple of the constant voltage source should be less than 5%.; · Please do not bend the strip into an arc with a diameter less than 60mm to ensure the longevity and reliability.; · Do not fold it in case any damage of LED beads.; · Do not pull the power wire hard to ensure the longevity. Any Crash may damage the LED light is prohibited.; · Please make sure the wire is connected to the anode and cathode correctly. The power output should be consistent with   the voltage of the    strip to avoid damage.; · LED lights should be stored in dry, sealed environment. Please only unpack it before usage. Ambient temperature: -40℃~60 ℃. Storage temperature: 0℃~60℃. Please use the strips without waterproof  within indoor environment with humidity less than 70%.; · Please be careful during operation. Do not touch the AC power supply in case of electric shock.; · Please leave at least 20% power for the power supply during using to ensure there is enough power supply to drive the product.; · Do not use any acid or alkaline adhesives to fix the product (e.g.: glass cement).; · Do not scratch the product when IP processof the product is NA. Ultraviolet rays will damage the nano-layers on the product and seriously affect the life of the product.; 7-15 daysdays",,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
Track Lights H-Track,Track Lights H-Track,Track Lights H-Track,Track Lights H-Track,,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
Linear Lights  Modular-TLS-S60,Linear Lights  Modular-TLS-S60,Linear Lights  Modular-TLS-S60,Linear Lights  Modular-TLS-S60,,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
Light Up Every Opportunity at HK Autumn Lighting Fair,Light Up Every Opportunity at HK Autumn Lighting Fair,"Time: 27-30 Oct 2023; Address: Hong Kong; The HK Autumn Lighting Fair welcomed global industry members during its 4-day exhibition ending Oct 30.; With over 2,600 exhibitors, the premier fair showcased the latest lighting innovations and connected companies with international buyers seeking technologies and designs.; COLORS, as one of the exhibitors, we had fruitful conversations with industry peers and made valuable business connections.; We immersed ourselves in the high turnout and vibrant atmosphere at the fair. We welcomed the chance to network and discuss industry trends as well.; Our freshly launched lighting collections took center stage at our booth during the event, including CSP Dot, Free Cutting, MAGIC 360, FABRIC 360, GENIE 2, TLS-H, TLS-M15, etc.; Though the fair has wrapped up, our zeal for connecting remains. We hope to keep the talks going and see you again very soon.","Time: 27-30 Oct 2023; Address: Hong Kong; The HK Autumn Lighting Fair welcomed global industry members during its 4-day exhibition ending Oct 30.; With over 2,600 exhibitors, the premier fair showcased the latest lighting innovations and connected companies with international buyers seeking technologies and designs.; COLORS, as one of the exhibitors, we had fruitful conversations with industry peers and made valuable business connections.; We immersed ourselves in the high turnout and vibrant atmosphere at the fair. We welcomed the chance to network and discuss industry trends as well.; Our freshly launched lighting collections took center stage at our booth during the event, including CSP Dot, Free Cutting, MAGIC 360, FABRIC 360, GENIE 2, TLS-H, TLS-M15, etc.; Though the fair has wrapped up, our zeal for connecting remains. We hope to keep the talks going and see you again very soon.",,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
Linear Lights  Profile,Linear Lights  Profile,Linear Lights  Profile,Linear Lights  Profile,,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
Downlights Recessed,Downlights Recessed,Downlights Recessed,Downlights Recessed,,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
Infinite Lights  Modules  Line,Infinite Lights  Modules  Line,Infinite Lights  Modules  Line,Infinite Lights  Modules  Line,,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
Infinite Lights  Ready-Made Shapes,Infinite Lights  Ready-Made Shapes,Infinite Lights  Ready-Made Shapes,Infinite Lights  Ready-Made Shapes,,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
LINE 40 & LINE 60,LINE 40 & LINE 60,LINE40 & LINE60 are an all-powerful office light fixture available in 45mm and 56mm. It has 5 optics including 145lm/ W and UGR<19. It can create healthy and smart high-end office lighting.,LINE40 & LINE60 are an all-powerful office light fixture available in 45mm and 56mm. It has 5 optics including 145lm/ W and UGR<19. It can create healthy and smart high-end office lighting.,,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
Arch Neon · AW Series,Arch Neon · AW Series,"3-Meter water depth application, special T-Type TPU material, 5-year warranty for underwater applications.","3-Meter water depth application, special T-Type TPU material, 5-year warranty for underwater applications.",,,,"Yangzhou Huacai Opto Co., Ltd.","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM","Ceiling Light, Indoor Lighting, Downlight, Decorative Lamp, LED Lighting, Office Lighting; Exhibits include LED strip, silicone neon strip, linear luminaire, track light and downlight. We provide comprehensive linear lighting solution for residential, office and commercial space.; OBM, ODM"
