booth_code,x,y
GH-K01,186,263
GH-H05,219,227
GH-H01,221,257
GH-G04,219,292
GH-P31,244,370
GH-P25,262,392
GH-P22,279,368
GH-P18,288,376
GH-P01,450,448
GH-P03,439,447
GH-P05,429,446
GH-P07,419,444
GH-P09,403,441
GH-P11,393,439
GH-P13,383,438
GH-P15,373,436
GH-P02,409,418
GH-P04,388,413
GH-A15,365,329
GH-A13,355,328
GH-A07,330,328
GH-A01,297,328
GH-B09,416,303
GH-A16,391,299
GH-A14,380,299
GH-B05,359,304
GH-B03,331,303
GH-B01,300,303
GH-C14,410,279
GH-C10,379,277
GH-D07,410,261
GH-D05,379,261
GH-D03,348,268
GH-D01,308,268
GH-D12,416,229
GH-D10,392,230
GH-D08,382,228
GH-D06,358,228
GH-D04,331,225
GH-D02,303,223
GH-E17,416,212
GH-E13,387,212
GH-E09,356,211
GH-E20,421,192
GH-E18,410,189
GH-E16,391,186
GH-E14,381,186
GH-E12,363,186
GH-E10,353,186
GH-E06,330,187
GH-E04,305,187
GH-E02,296,186
GH-F27,420,181
GH-F18,367,161
GH-F16,357,161
GH-F12,339,162
GH-F10,331,161
GH-F08,314,162
GH-F06,303,162
3CON-045,674,437
3CON-047,708,441
3CON-048,740,441
3CON-049,749,427
3CON-053,810,444
3CON-054,843,441
3CON-055,869,439
3CON-057,924,432
3CON-058,933,413
3CON-059,985,408
3CON-060,994,419
3CON-061,1021,414
3CON-062,1071,421
3CON-063,1081,426
3CON-064,1114,428
3CON-065,1221,428
3CON-066,1230,427
3CON-067,1241,428
3CON-068,1251,414
3CON-080,1403,419
3CON-081,1401,408
3CON-084,1400,397
3CON-085,1399,386
3CON-85A,1404,375
3CON-086,1403,318
3CON-087,1400,308
3CON-089,1400,296
3CON-095,1401,286
3CON-078,1396,448
3CON-077,1387,448
3CON-076,1378,448
3CON-075,1349,448
3CON-074,1342,448
3CON-073,1330,449
3CON-072,1321,450
3CON-070,1280,479
3CON-001,1153,467
3CON-002,1141,466
3CON-003,1130,466
3CON-004,1121,464
3CON-005,1110,461
3CON-006,1100,459
3CON-007,1090,457
3CON-008,1080,455
3CON-009,1069,452
3CON-010,1040,455
3CON-011,1028,447
3CON-013,997,446
3CON-014,988,448
3CON-015,977,450
3CON-016,965,454
3CON-017,948,455
3CON-018,940,457
3CON-019,930,457
3CON-020,920,459
3CON-021,906,461
3CON-022,896,464
3CON-023,887,464
3CON-024,874,465
3CON-025,861,466
3CON-026,850,466
3CON-027,841,467
3CON-028,830,468
3CON-029,815,470
3CON-030,804,470
3CON-031,789,470
3CON-033,769,469
3CON-034,757,470
3CON-035,749,470
3CON-036,737,470
3CON-037,723,469
3CON-038,714,469
3CON-039,704,468
3CON-040,694,468
3CON-041,677,465
3CON-042,667,464
3CON-043,655,463
3CON-044,646,461
3E-G43,1350,115
3E-G39,1352,131
3E-G35,1352,146
3E-G33,1352,162
3E-G23,1350,220
3E-G13,1350,245
3E-G11A,1351,261
3E-G11,1350,274
3E-G09,1351,290
3E-G07,1351,307
3E-G05,1350,322
3E-G03,1350,342
3E-G01,1351,360
3E-F42,1342,118
3E-F40,1342,133
3E-F38,1342,146
3E-F36,1343,156
3E-F34,1342,166
3E-F32,1345,177
3E-F30,1345,189
3E-F28,1345,202
3E-F24,1342,219
3E-F18,1343,253
3E-F16A,1342,275
3E-F16,1341,284
3E-F14,1342,295
3E-F12,1343,307
3E-F10,1343,317
3E-F08,1343,327
3E-F06,1343,341
3E-F02,1343,356
3E-F41,1325,119
3E-F39,1324,133
3E-F37,1326,146
3E-F35,1326,156
3E-F33,1327,167
3E-F31,1327,178
3E-F27,1325,195
3E-F17,1325,254
3E-F15A,1326,275
3E-F13,1326,288
3E-F11,1326,306
3E-F07,1326,321
3E-E42,1316,116
3E-E40,1316,135
3E-E38,1317,145
3E-E36,1316,157
3E-E34,1317,166
3E-E32,1316,177
3E-E28,1315,197
