booth_code,x,y
C3.782,655,653
C3.780,728,656
C3.778,795,656
C3.776,876,653
C3.774,943,653
C3.772,1018,656
C3.770,1120,653
C3.785,631,803
C3.783,773,808
C3.779,878,800
C3.777,943,800
C3.775,1050,800
C3.773,1149,797
C3.771,1225,805
C3.682,671,873
C3.680,806,870
C3.678,873,861
C3.676,943,867
C3.674,1015,870
C3.672,1085,870
C3.670,1147,864
C3.668,1217,867
C3.590,397,1135
C3.679,631,1002
C3.677,739,999
C3.675,814,999
C3.580,634,1073
C3.576,744,1067
C3.574,811,1064
C3.572,924,1035
C3.570,1125,1032
C3.579,704,1205
C3.480,709,1273
C3.575,919,1208
C3.476,878,1267
C3.472,956,1264
C3.470,1123,1232
C3.390,416,1558
C3.190,397,1740
C3.479,706,1411
C3.475,927,1417
C3.471,1123,1414
C3.380,688,1511
C3.374,910,1508
C3.370,1128,1511
C3.280,623,1684
C3.375,782,1646
C3.373,937,1646
C3.276,784,1714
C3.272,940,1711
C3.270,1131,1681
C3.279,615,1864
C3.277,733,1858
C3.275,889,1861
C3.180,669,1967
C3.176,889,1975
C3.170,1120,1923
C3.179,696,2131
C3.177,846,2131
C3.175,983,2131
C3.171,1120,2134
C3.762,1483,653
C3.760,1587,650
C3.758,1660,650
C3.756,1738,653
C3.754,1807,653
C3.750,1920,653
C3.560,1493,941
759,1716,805
C3.757,1794,800
C3.755,1861,797
C3.753,1934,803
C3.651,2009,800
C3.658,1719,861
C3.656,1794,870
C3.654,1864,867
C3.650,1969,870
C3.460,1488,1235
C3.655,1754,999
C3.653,1859,1005
C3.651,1971,999
C3.556,1732,1064
C3.554,1818,1064
C3.552,1899,1067
C3.550,1995,1073
C3.450,1974,1229
C3.555,1756,1196
C3.454,1762,1264
C3.360,1453,1461
C3.459,1692,1414
C3.451,1920,1423
C3.356,1638,1511
C3.354,1751,1505
C3.350,1920,1505
C3.250,1697,1676
C3.160,1429,1925
C3.257,1566,1873
C3.158,1542,1975
C3.255,1697,1875
C3.251,1893,1875
C3.156,1636,1973
C3.154,1751,1975
C3.150,1931,1978
C3.151,1695,2125
740,2307,656
C3.736,2490,656
C3.734,2600,653
C3.730,2707,653
C3.739,2173,805
C3.737,2318,805
C3.735,2463,800
C3.640,2312,870
C3.634,2613,832
C3.630,2764,835
C3.641,2175,1008
C3.639,2310,1002
C3.540,2173,1067
C3.538,2315,1067
C3.534,2554,1044
C3.530,2723,1035
C3.440,2323,1238
C3.535,2613,1202
C3.434,2619,1270
C3.430,2761,1220
C3.520,3140,650
C3.510,3451,658
C3.410,3252,882
C3.320,3070,1191
C3.310,3403,1196
C3.319,3156,1435
C3.210,3521,1502
C3.220,3172,1579
C3.219,3086,1805
C3.110,3438,1878
C3.120,3097,1952
C3.340,2248,1440
C3.435,2452,1414
C3.334,2455,1493
C3.330,2686,1449
C3.240,2221,1664
C3.335,2423,1623
C3.236,2353,1705
C3.234,2471,1720
C3.230,2688,1679
C3.140,2235,1911
C3.130,2573,1925
C3.139,2277,2134
C3.137,2417,2119
C3.135,2562,2131
C3.131,2705,2128
C3.119,3142,2140
C3.111,3416,2125
