No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
1,LG에너지솔루션 ,LG Energy Solution,South Korea ,C3.410,InterBattery Europe,리튬이온 배터리 (ESS 배터리) ,Lithium-ion Battery (ESS Battery)
2,삼성SDI,Samsung SDI ,South Korea,C3.310 ,InterBattery Europe,"ESS, 배터리 ","ESS, Battery"
3,제이스텍 ,"JASTECH,Ltd.",South Korea,C3.460 ,InterBattery Europe,"이차전지 Cell, Can, Cap Assembly 및 이차전지 자동화 제조장비 ","2nd Battery Cell, Can, Cap Assembly, and Secondary Battery Automation Manufacturing Equipment"
4,에너테크 인터내셔널,EnerTech International ,South Korea,C3.530 ,InterBattery Europe,"이차전지 - 전극, 셀, 팩","Secondary Battery - Electrodes, Cells, Packs"
5,재단법인충북테크노파크,CHUNGBUK TECHNOPARK,South Korea,C3.640 ,InterBattery Europe,배터리 소재 및 부품 ,Battery Materrials
6,에버모어테크놀러지스 ,EVERMORE TECHNOLOGIES,South Korea,C3.430 ,InterBattery Europe,이차전지 및 소재 ,Secondary Battery and Material
7,비나텍 ,"VINATech Co.,Ltd.",South Korea,C3.630 ,InterBattery Europe,"슈퍼커패시터 셀 및 모듈, 수소연료전지 소재 및 부품 ","Supercapacitor Cell & Module, materials and components of hydrogen fuel cells"
8,에이치투 ,"H2, Inc.",South Korea,C3.450 ,InterBattery Europe,바나듐흐름전지,Vanadium Flow Battery
9,씨엔피솔루션즈,"CNP Solutions Co., LTD.",South Korea,C3.534,InterBattery Europe,이차전지 바인더,Secondary battery (Binder)
10,비츠로셀,Vitzrocell ,South Korea,C3.538 ,InterBattery Europe,"리튬이차전지 소재, 리튬이차전지, 리튬일차전지, 초박형전지, 슈퍼캐퍼시터 ","Lithium-Ion Battery Materials, Lithium Secondary Battery, Lithium Primary Battery(Li-SOCl2)"
11,대전테크노파크 ,DAEJEON TECHNOPARK ,South Korea,C3.639 ,InterBattery Europe,기업제품 ,corporate products
12,투에스티 ,"SST Co., Ltd.",South Korea,C3.650,InterBattery Europe,"ESS, 전기차 화재확산방지 및 소화용구","ESS, Electric vehicle fine spread prevention and fire extinguishing equipment"
13,포항시청 ,Pohang City Hall ,South Korea,C3.634 ,InterBattery Europe,포항시 이차전지 산업 ,The Secondary Battery Industry in Pohang City
14,경북도청 ,Province of Gyeongsangbuk-do ,South Korea,C3.634 ,InterBattery Europe,이차전지 투자환경 소개 등 ,Investment PR
15,유진테크놀로지,"Yujin Technology, Inc. ",South Korea,C3.454,InterBattery Europe,"금형, 정밀 기계 부품, 2차 전지 설비, 리드탭 ","Metal Mold, Precision Machine Parts, Automated Machine, Lead Tap"
16,블루캡캔,BlueCapCan Inc.,South Korea,C3.434 ,InterBattery Europe,"각형 캡 조립품, 캔","Prismatic Can, Assembled Cap Plate"
17,제이이엔지 ,J-ENG ,South Korea,C3.535 ,InterBattery Europe,"이차전지 조립 및 화성 공정 장비, 물류 자동화, ESS 모듈/팩 조립 장비","Secondary battery assembly and formation process equipment, logistics automation, ESS modul/pack M/C"
18,태웅로직스 ,Taewoong Logistics,South Korea,C3.555 ,InterBattery Europe,"ISO탱크, 물류서비스 ","ISO TANK, LOGISTIC SERVICE, FREIGHT FORWARDING"
