No.,Exhibitor Name (KOR),Exhibitor Name (ENG),Country,Hall,Show Name,Exhibit Item (KOR),Exhibit Item (ENG),Category,DESCRIPTION,TEXT_FOR_KEYBERT,KEYWORDS
1,LG에너지솔루션,LG Energy Solution,South Korea,C3.410,InterBattery Europe,리튬이온 배터리 (ESS 배터리),Lithium-ion Battery (ESS Battery),Secondary Batteries,This company specializes in Secondary Batteries.,리튬이온 배터리 (ESS 배터리) Lithium-ion Battery (ESS Battery) Secondary Batteries,"ess, battery, lithium, batteries, secondary"
2,삼성SDI,Samsung SDI,South Korea,C3.310 ,InterBattery Europe,"ESS, 배터리","ESS, Battery",Secondary Batteries,This company specializes in Secondary Batteries.,"ESS, 배터리 ESS, Battery Secondary Batteries","ess, battery, batteries, 배터리, secondary"
3,제이스텍,"JASTECH,Ltd.",South Korea,C3.460 ,InterBattery Europe,"이차전지 Cell, Can, Cap Assembly 및 이차전지 자동화 제조장비","2nd Battery Cell, Can, Cap Assembly, and Secondary Battery Automation Manufacturing Equipment","Secondary Batteries, Manufacturing Equipment","This company specializes in Secondary Batteries, Manufacturing Equipment.","이차전지 Cell, Can, Cap Assembly 및 이차전지 자동화 제조장비 2nd Battery Cell, Can, Cap Assembly, and Secondary Battery Automation Manufacturing Equipment Secondary Batteries, Manufacturing Equipment","batteries, 이차전지, 제조장비, battery, cell"
4,에너테크 인터내셔널,EnerTech International,South Korea,C3.530 ,InterBattery Europe,"이차전지 - 전극, 셀, 팩","Secondary Battery - Electrodes, Cells, Packs",Secondary Batteries,This company specializes in Secondary Batteries.,"이차전지 - 전극, 셀, 팩 Secondary Battery - Electrodes, Cells, Packs Secondary Batteries","batteries, electrodes, battery, 이차전지, 전극"
5,재단법인충북테크노파크,CHUNGBUK TECHNOPARK,South Korea,C3.640 ,InterBattery Europe,배터리 소재 및 부품,Battery Materrials,Materials & Components,This company specializes in Materials & Components.,배터리 소재 및 부품 Battery Materrials Materials & Components,"materials, battery, materrials, components, 배터리"
6,에버모어테크놀러지스,EVERMORE TECHNOLOGIES,South Korea,C3.430 ,InterBattery Europe,이차전지 및 소재,Secondary Battery and Material,"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","이차전지 및 소재 Secondary Battery and Material Secondary Batteries, Materials & Components","batteries, battery, 이차전지, materials, 소재"
7,비나텍,"VINATech Co.,Ltd.",South Korea,C3.630 ,InterBattery Europe,"슈퍼커패시터 셀 및 모듈, 수소연료전지 소재 및 부품","Supercapacitor Cell & Module, materials and components of hydrogen fuel cells","Capacitors, Manufacturing Equipment, Materials & Components","This company specializes in Capacitors, Manufacturing Equipment, Materials & Components.","슈퍼커패시터 셀 및 모듈, 수소연료전지 소재 및 부품 Supercapacitor Cell & Module, materials and components of hydrogen fuel cells Capacitors, Manufacturing Equipment, Materials & Components","supercapacitor, capacitors, hydrogen, 수소연료전지, fuel"
8,에이치투,"H2, Inc.",South Korea,C3.450 ,InterBattery Europe,바나듐흐름전지,Vanadium Flow Battery,Secondary Batteries,This company specializes in Secondary Batteries.,바나듐흐름전지 Vanadium Flow Battery Secondary Batteries,"vanadium, batteries, battery, 바나듐흐름전지, secondary"
9,씨엔피솔루션즈,"CNP Solutions Co., LTD.",South Korea,C3.534,InterBattery Europe,이차전지 바인더,Secondary battery (Binder),"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","이차전지 바인더 Secondary battery (Binder) Secondary Batteries, Materials & Components","batteries, battery, 이차전지, 바인더, materials"
10,비츠로셀,Vitzrocell,South Korea,C3.538 ,InterBattery Europe,"리튬이차전지 소재, 리튬이차전지, 리튬일차전지, 초박형전지, 슈퍼캐퍼시터","Lithium-Ion Battery Materials, Lithium Secondary Battery, Lithium Primary Battery(Li-SOCl2)","Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","리튬이차전지 소재, 리튬이차전지, 리튬일차전지, 초박형전지, 슈퍼캐퍼시터 Lithium-Ion Battery Materials, Lithium Secondary Battery, Lithium Primary Battery(Li-SOCl2) Secondary Batteries, Materials & Components","lithium, socl2, 초박형전지, 리튬일차전지, 리튬이차전지"
11,대전테크노파크,DAEJEON TECHNOPARK,South Korea,C3.639 ,InterBattery Europe,기업제품,corporate products,Manufacturing Equipment,This company specializes in Manufacturing Equipment.,기업제품 corporate products Manufacturing Equipment,"기업제품, manufacturing, equipment, products, corporate"
