booth_code,x,y
D937,750,58
D936,823,60
D837,1003,56
D836,1078,58
D738,1197,56
D737,1275,58
D736,1340,58
D635,1442,145
D633,1442,268
D933,767,251
D932,835,251
D929,762,394
D930,835,346
D928,835,425
D835,982,210
D834,1055,205
D831,982,326
D830,1052,319
D829,980,416
D828,1052,418
D735,1197,213
D733,1197,278
D731,1193,360
D729,1198,421
D728,1272,377
D734,1272,201
D1030,420,534
D1020,373,790
D1010,375,1105
D1000,377,1344
D822,905,665
D914,798,972
D814,905,981
D908,792,1308
D808,942,1313
D714,1097,984
D906,758,1540
D900,762,1690
D807,908,1535
D806,983,1537
D800,942,1685
D722,1243,650
D626,1387,573
D623,1352,718
D622,1427,696
D514,1462,984
D523,1567,694
D522,1643,689
D427,1685,503
D426,1812,503
D422,1830,689
D326,2027,503
D227,2138,500
D226,2285,500
D322,2055,691
D223,2243,691
D224,2315,650
D222,2318,718
D113,2468,609
D111,2468,720
D418,1835,911
D415,1793,1059
D414,1868,1059
D321,2018,858
D320,2093,856
D314,2055,1013
D313,2022,1228
D312,2092,1228
D308,2053,1342
D221,2243,858
D219,2242,931
D215,2245,1056
D218,2315,909
D214,2317,1054
D213,2243,1228
D211,2243,1298
D209,2243,1373
D212,2315,1226
D208,2315,1344
D201,2243,1658
D206,2313,1540
D200,2317,1690
D110,2468,880
D108,2472,998
D106,2467,1187
D102,2467,1463
D100,2470,1736
D710,1172,1274
D708,1168,1542
D700,1173,1728
D608,1387,1320
D606,1387,1535
D601,1352,1695
D600,1427,1697
D512,1605,1228
D511,1568,1303
D509,1572,1376
D508,1643,1342
D505,1567,1581
D501,1570,1733
D506,1643,1530
D504,1642,1603
D500,1642,1728
D413,1793,1226
D409,1792,1351
D408,1870,1337
D401,1795,1656
D404,1865,1588
D400,1868,1728
D307,2018,1540
D301,2018,1687
D300,2090,1663
