booth_code,x,y
B0.362,33,760
B0.360,36,805
B0.356,138,717
B0.350,131,785
B0.340D,213,689
B0.340E,256,687
B0.340F,246,748
B0.340A,249,809
B0.340B,213,811
B0.349,321,697
B0.336,383,702
B0.345,324,745
B0.341,324,800
B0.330,377,783
B0.337,459,705
B0.331,462,778
B0.326,498,704
B0.320,498,778
B0.310,590,752
B0.301,695,757
B0.256,151,914
B0.261,131,965
B0.250,174,963
B0.257,236,900
B0.251,236,952
B0.246,275,900
B0.240,275,952
B0.236,367,907
B0.230,370,963
B0.226,475,902
B0.220,478,955
B0.216,596,899
B0.210,596,952
B0.160,36,1155
B0.150,138,1118
B0.159,223,1074
B0.155,220,1115
B0.151,226,1166
B0.146,269,1084
B0.140,262,1156
B0.149,331,1066
B0.145,334,1107
B0.141,328,1160
B0.136,364,1064
B0.134,364,1112
B0.130,361,1163
B0.135,429,1085
B0.131,429,1158
B0.126,469,1070
B0.120,472,1143
B0.127,554,1066
B0.125,554,1112
B0.121,554,1166
B0.116,603,1094
B0.110,603,1170
B0.109,695,1074
B0.107,692,1115
B0.103,688,1176
B0.101,692,1226
B1.590,783,806
B1.490,780,876
B1.580,872,687
B1.570,970,686
B1.480,885,803
B1.571,1006,767
B1.470,1003,847
B1.370,950,932
B1.280,862,1023
B1.270,970,1021
B1.170,990,1128
B1.171,950,1213
B1.560,1141,687
B1.550,1242,689
B1.450,1219,768
B1.360,1134,887
B1.350,1249,882
B1.250,1219,1008
B1.150,1216,1125
B1.151,1216,1213
B1.440,1422,687
B1.436,1485,687
B1.430,1550,687
B1.439,1399,781
B1.431,1514,785
B1.330,1485,884
B1.240,1435,1003
B1.230,1560,1003
B1.130,1481,1127
B1.131,1491,1214
B1.510,1750,687
B1.519,1694,757
B1.420,1698,806
B1.410,1822,771
B1.310,1750,899
B1.220,1681,1019
B1.210,1803,1023
B1.110,1757,1128
B1.119,1675,1216
B1.115,1747,1211
B1.111,1825,1211
B1.409,1927,839
B1.309,1921,1018
B1.109,1921,1087
B1.390,783,1023
B1.290,783,1100
B2.690,1993,791
B2.590,1999,846
B2.490,1993,887
B2.290,1996,996
B2.190,1989,1062
B2.780,2084,686
B2.776,2117,687
B2.774,2150,691
B2.772,2173,692
B2.770,2212,689
B2.680,2055,753
B2.779,2114,737
B2.777,2130,737
B2.775,2160,737
B2.773,2183,738
B2.670,2225,752
B2.676,2111,765
B2.679,2061,813
B2.677,2107,814
B2.675,2147,814
B2.671,2212,813
B2.580,2065,836
B2.578,2111,834
B2.574,2166,834
B2.570,2222,834
B2.480,2061,892
B2.579,2101,880
B2.573,2156,879
B2.571,2225,884
B2.476,2111,904
B2.474,2163,904
B2.470,2222,904
B2.386,2052,965
B2.479,2081,950
B2.477,2101,950
B2.475,2120,950
B2.473,2163,950
B2.471,2196,952
B2.370,2229,963
B2.384,2081,976
B2.382,2101,978
B2.380,2120,976
B2.378,2134,976
B2.374,2173,976
B2.372,2199,975
B2.379,2071,1018
B2.377,2124,1019
B2.375,2153,1018
B2.373,2189,1021
B2.270,2229,1036
B2.280,2055,1049
B2.278,2088,1049
B2.276,2117,1049
B2.274,2170,1047
B2.180,2055,1120
B2.277,2101,1099
B2.273,2156,1102
B2.271,2215,1100
B2.178,2094,1135
B2.174,2150,1133
B2.170,2215,1133
B2.179,2094,1193
B2.171,2176,1188
B2.663,2314,694
B2.660,2402,686
B2.661,2461,695
B2.550,2379,770
B2.450H,2392,841
B2.450I,2425,842
B2.450J,2461,841
B2.450G,2396,867
B2.450B,2425,869
B2.450A,2461,871
B2.360,2311,943
B2.458,2350,925
B2.455,2399,923
B2.350,2461,942
B2.354,2379,965
B2.260,2314,1029
B2.355,2366,1018
B2.254,2366,1042
B2.250,2445,1029
B2.259,2330,1097
B2.253,2406,1094
B2.150,2458,1115
B2.160,2333,1133
B2.154,2399,1133
B2.151,2386,1189
B2.640,2602,686
B2.630,2694,686
B2.540,2560,762
B2.532,2645,760
B2.530,2704,758
B2.539,2533,836
B2.535,2586,838
B2.440,2540,862
B2.436,2579,864
B2.430,2671,847
B2.439,2556,920
B2.435,2625,915
B2.330,2697,933
B2.340,2550,955
B2.334,2625,948
B2.240,2563,1023
B2.230,2671,1024
B2.140,2576,1115
B2.130,2684,1112
B2.131,2625,1191
B2.520,2766,762
B2.619,2809,740
B2.518,2805,773
B2.514,2894,760
B2.510,2950,760
B2.420,2769,852
B2.418,2809,854
