BOOTH_NAME,x,y
S32,198,92
S31,236,91
S30,275,91
Q33,371,92
Q31,420,91
N35,455,91
N34,484,94
N33,523,92
N36,534,62
N37,532,30
U31,125,159
U30,114,191
U28,114,225
U29,144,191
U27,139,223
V17,51,153
V16,53,188
V15,53,218
V14,54,248
V12,53,296
V11,54,323
V10,52,361
V08,53,412
V07,54,441
V06,53,470
V05,54,497
V03,51,554
V01,56,612
U26,117,280
U24,115,310
U25,143,281
U23,145,310
U20,118,353
U19,143,354
S33,204,148
S29,230,155
S28,205,197
S26,204,227
S27,231,188
S25,233,221
S24,205,281
S23,233,282
S22,205,318
S21,232,320
S19,216,361
R34,293,153
R33,323,156
R32,294,183
R31,324,182
R30,296,212
R29,327,210
R27,307,233
R26,294,287
R25,322,288
R22,295,327
R23,323,314
R21,324,342
R19,306,366
Q30,403,160
Q28,387,192
Q27,415,194
Q26,387,227
Q25,416,225
Q24,386,286
Q23,416,294
Q22,383,313
Q19,414,344
Q20,387,352
U16,117,425
T16,155,427
T15,191,423
U12,112,466
T11,190,467
W01,62,666
W02,110,664
W03,164,664
U01,125,611
T01,185,611
N32,477,160
N31,505,160
N30,475,193
N29,503,194
N28,477,227
N27,503,227
N26,475,286
N25,506,288
N24,475,315
N23,505,318
N22,477,343
N21,503,345
N19,490,365
L30,568,159
L29,594,160
L28,566,191
L27,596,193
L26,579,228
L24,564,292
L23,594,299
L22,566,324
L21,595,335
L20,566,361
L19,595,363
S15,267,427
R15,321,429
S11,269,468
R11,317,467
Q15,397,424
Q16,426,426
Q11,407,467
N15,468,422
N11,467,469
S05,250,547
S06,280,546
N05,470,534
M15,545,424
L16,587,427
L15,624,423
M11,565,468
L11,610,469
L33,617,37
L32,618,64
L31,617,94
K33,648,93
K32,674,94
K31,702,93
M05,555,536
L05,611,533
J37,731,94
J36,759,94
H33,799,92
K30,653,155
K34,682,155
K28,655,186
K29,682,184
K26,655,215
K27,684,213
K25,666,235
K24,654,284
K22,655,314
K21,684,304
K20,652,352
K19,683,358
J34,746,154
J33,773,154
J32,746,185
J31,775,184
J30,745,210
J29,771,211
J27,757,234
H32,836,147
H31,863,144
H30,833,173
H28,833,203
H27,863,203
H26,836,231
H25,862,231
J26,744,285
J25,773,290
J24,744,314
J23,773,314
J22,744,342
J21,771,344
J19,757,367
K15,693,422
J16,734,424
J15,768,426
K11,699,469
J11,759,470
K07,702,534
K05,704,565
F38,883,31
F39,911,32
F37,938,32
W04,650,667
W05,689,665
W06,727,667
W07,764,666
H24,835,285
H21,866,299
H22,834,317
H20,837,354
H19,863,362
H15,852,426
H11,849,466
G11,904,465
G15,906,424
H05,846,531
T05,176,559
R01,289,601
Q05,411,544
Q01,414,601
N01,467,595
M01,558,590
L01,620,594
K01,704,607
J01,760,600
H01,849,585
G01,909,576
E38,999,31
E37,1049,31
D39,1147,31
C41,1187,31
C40,1237,31
B39,1287,32
A19,1346,33
F36,924,82
F35,952,86
F34,925,113
F33,951,112
F32,923,139
F31,953,140
F30,926,193
F29,952,195
F28,927,221
F27,956,222
F26,925,246
F25,953,250
F24,925,299
F23,954,298
F22,924,328
F21,954,328
F20,924,361
F19,953,362
F15,997,422
E15,1055,427
E34,1015,98
E33,1043,99
E31,1029,138
E30,1014,193
E27,1042,209
E28,1015,222
E25,1027,251
E24,1014,306
E23,1042,315
E22,1016,332
E19,1027,363
D36,1105,81
D35,1134,85
D34,1107,109
D33,1133,109
D32,1104,135
D31,1134,138
D30,1104,187
D29,1136,187
D28,1106,219
D27,1133,218
D25,1117,246
D24,1106,296
D23,1130,297
D22,1105,326
D21,1131,329
D20,1104,364
D19,1130,359
C36,1190,84
C35,1219,85
C34,1191,110
C33,1217,113
C31,1204,137
B36,1270,83
B33,1293,97
B34,1269,110
B31,1280,139
C28,1189,210
C29,1217,193
C27,1220,222
C25,1201,247
B28,1271,209
B29,1301,193
B27,1301,222
B25,1287,251
A17,1355,78
A18,1357,105
A16,1354,134
A15,1356,161
A14,1356,190
A12,1355,231
A11,1354,295
A10,1353,327
C21,1204,316
B23,1282,297
B22,1269,331
B21,1297,328
C19,1200,365
B19,1285,367
A09,1349,381
A08,1351,412
A07,1353,437
A05,1356,476
B15,1287,424
C15,1201,426
D15,1141,418
D11,1141,464
C11,1201,468
F11,997,467
E11,1053,467
B11,1286,470
F01,1000,573
E07,1051,529
E05,1053,565
E01,1048,604
D05,1144,544
C05,1202,545
D01,1143,601
C01,1197,599
B05,1283,531
B01,1284,589
A04,1355,537
A03,1356,568
A01,1353,610
W08,1328,663
T08,1269,657
T07,1222,660
T06,1213,659
T05,1198,659
V19,108,69
S35,227,43
Q34,431,48
L34,727,49
