booth_code,x,y
PL10,68,132
PL08,232,156
PL07,230,204
PL04,231,327
PL03,40,310
PL01,45,400
PE01,398,84
PE09,510,86
PE10,556,90
PE16,606,87
PE12,651,83
PD01,385,164
PD02,384,207
PD08,463,155
PD07,461,201
PD09,513,179
PC01,401,323
PC08,467,292
PC07,470,331
PC09,514,315
PB02,371,429
PB04,424,428
PB01,395,469
PB05,473,447
PB07,513,451
PA03,446,559
PA06,567,560
PD16,635,156
PD15,639,197
PC15,635,310
PB15,613,449
PB17,660,473
PB18,658,430
PE13,787,81
PE14,831,84
PE17,983,29
PD23,795,181
PD29,894,183
PC45,1053,221
PC24,775,293
PC26,821,293
PC28,863,291
PC23,772,339
PC25,817,339
PA18,1037,472
PB24,774,428
PB23,775,473
PB25,813,449
PA12,839,555
