booth_code,x,y
201,1202,691
500,1189,660
700,1201,642
701,1188,642
703,1176,642
705,1160,641
804,1163,634
505,1160,664
605,1164,656
606,1156,656
508,1138,663
608,1142,656
609,1134,656
708,1139,637
904,1165,620
907,1147,620
909,1135,621
1009,1136,613
1109,1136,603
1209,1135,593
1208,1136,585
1309,1136,575
1509,1136,565
511,1114,663
611,1119,655
613,1107,656
514,1089,665
615,1090,656
518,1064,660
711,1118,637
714,1095,638
716,1083,641
816,1083,635
818,1071,635
718,1072,644
719,1064,643
720,1056,643
820,1057,636
911,1110,617
916,1087,617
918,1064,617
1111,1114,599
1114,1101,599
1115,1093,600
1117,1083,599
1119,1063,600
1211,1118,592
1214,1098,593
1215,1091,592
1216,1084,591
1217,1077,593
1218,1070,593
1311,1115,580
1314,1099,579
1315,1089,578
1317,1079,580
1318,1071,579
1319,1063,578
1411,1118,570
1414,1097,571
1416,1085,571
1417,1078,571
1418,1071,572
1511,1118,560
1513,1108,559
1514,1100,560
1611,1118,550
1614,1100,551
1516,1087,557
1517,1072,557
1520,1056,557
1617,1083,550
1618,1072,550
1620,1056,550
2100,1157,532
2200,1150,531
2102,1159,523
2202,1151,523
2103,1158,515
2203,1150,515
2104,1158,508
2105,1160,500
2106,1158,488
2205,1152,496
2300,1137,531
2400,1129,531
2302,1137,520
2402,1129,522
2403,1130,513
2304,1137,507
2305,1137,500
2404,1129,504
2306,1137,487
2405,1129,492
2500,1117,532
2600,1108,536
2502,1114,522
2601,1108,527
2602,1107,520
2603,1108,514
2503,1115,511
2505,1115,493
2605,1107,499
2606,1107,492
2700,1094,532
2800,1086,532
2702,1094,522
2802,1086,522
2703,1094,511
2803,1087,513
2804,1087,507
2705,1094,502
2805,1087,501
2706,1093,488
2806,1087,489
2900,1072,531
3000,1065,536
3001,1066,529
2902,1073,522
3002,1064,521
2903,1073,512
3003,1066,512
2904,1072,503
3005,1065,499
2906,1072,490
3006,1066,493
3100,1048,532
3103,1048,509
3106,1048,490
2009,1172,473
2011,1172,453
2109,1158,473
2110,1158,464
2209,1152,467
2111,1159,457
2211,1150,457
2112,1159,445
2212,1150,450
2309,1137,468
2409,1129,467
2311,1137,458
2411,1129,458
2312,1137,447
2412,1129,446
2509,1116,469
2609,1108,468
2511,1116,458
2611,1108,459
2512,1115,447
2612,1107,450
2709,1091,469
2712,1091,446
2909,1072,467
3009,1066,467
2911,1073,458
2912,1072,445
3011,1065,453
3109,1047,468
3112,1047,446
2015,1172,428
2017,1172,409
2020,1173,389
2115,1159,429
2116,1159,421
2117,1159,414
2215,1152,428
2216,1151,417
2315,1133,421
2515,1111,420
