NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
+PlusCBD by CV Sciences,+PlusCBD by CV Sciences,States,"Introducing +PlusCBD Pet, a trusted companion in your pet's wellness journey. As an extension of the natural industry leading +PlusCBD line by CV Sciences, we've provided premium CBD products since 2014, celebrating 10 years of leadership in the CBD category. NASC Approved formulas.","Introducing +PlusCBD Pet, a trusted companion in your pet's wellness journey. As an extension of the natural industry leading +PlusCBD line by CV Sciences, we've provided premium CBD products since 2014, celebrating 10 years of leadership in the CBD category. NASC Approved formulas.",http://www.pluscbdoil.com,Exhibitor,SuperZoo 2025,Booth #4105,,,1,,,"Made in America, CBD/Hemp Products, Natural Products, Exclusive show specials","Made in America, CBD/Hemp Products, Natural Products, Exclusive show specials",https://sz2025.smallworldlabs.com/co/pluscbd-by-cv-sciences,1,https://sz2025.smallworldlabs.com/listings/item/27/293
"21st Century Animal Healthcare, Inc.","21st Century Animal Healthcare, Inc.",States,"At 21st Century Animal HealthCare, we take pet wellness seriously—so your pets don’t have to! With top-quality ingredients, science-backed formulas, and a dash of innovation, we craft safe, tail-waggingly good products in our Tempe, AZ facility. Happy pets, healthy lives—it’s what we do best!","At 21st Century Animal HealthCare, we take pet wellness seriously—so your pets don’t have to! With top-quality ingredients, science-backed formulas, and a dash of innovation, we craft safe, tail-waggingly good products in our Tempe, AZ facility. Happy pets, healthy lives—it’s what we do best!",http://www.21stcenturyahc.com/,Exhibitor,SuperZoo 2025,Booth #3702,,,1,,,"Locally sourced, Made in America, Sustainably sourced, Cat Products, Dog Products, Natural Products, Exclusive show specials, New Product Launch","Locally sourced, Made in America, Sustainably sourced, Cat Products, Dog Products, Natural Products, Exclusive show specials, New Product Launch",https://sz2025.smallworldlabs.com/co/21st-century-animal-healthcare-inc,2,https://sz2025.smallworldlabs.com/listings/item/27/1124; https://sz2025.smallworldlabs.com/listings/item/28/943
3D Corporate Solutions,3D Corporate Solutions,States,"Mountain Plains Treats has a commitment to you and your pets to provide the highest quality, all-natural, and grain-free products. Our treats are handmade, in small batches, to ensure complete control ove","Mountain Plains Treats has a commitment to you and your pets to provide the highest quality, all-natural, and grain-free products. Our treats are handmade, in small batches, to ensure complete control ove",http://allamericanpettreat.com/,Exhibitor,SuperZoo 2025,Booth #MR111,,,1,,,"Dog Food & Treats, Natural Food & Treats, Natural Products","Dog Food & Treats, Natural Food & Treats, Natural Products",https://sz2025.smallworldlabs.com/co/3d-corporate-solutions,0,
4-Legger,4-Legger,States,"4-Legger is a mission based business committed to providing safe, healthy,  non-toxic USDA Certified Organic grooming products.  We believe ingredient purity and product integrity bring necessary transparency to the pet grooming products market and we are proud to set the pace for the industry!","4-Legger is a mission based business committed to providing safe, healthy,  non-toxic USDA Certified Organic grooming products.  We believe ingredient purity and product integrity bring necessary transparency to the pet grooming products market and we are proud to set the pace for the industry!",http://www.4-Legger.com,Exhibitor,SuperZoo 2025,Booth #4763,,,1,,,"Charitable Initiatives, Made in America, Sustainably sourced, Women owned, Cat Products, Day Care / Spa Products, Dog Products, Grooming Products, Natural Products, Exclusive show specials","Charitable Initiatives, Made in America, Sustainably sourced, Women owned, Cat Products, Day Care / Spa Products, Dog Products, Grooming Products, Natural Products, Exclusive show specials",https://sz2025.smallworldlabs.com/co/4-legger,1,https://sz2025.smallworldlabs.com/listings/item/27/1146
4FurBaby,4FurBaby,States,4FurBaby is a participating exhibitor at SuperZoo 2025 providing pet-related products.,4FurBaby is a participating exhibitor at SuperZoo 2025 providing pet-related products.,https://4furbaby.com,Exhibitor,SuperZoo 2025,Booth #6170,,,1,,,Show Specials,Show Specials,https://sz2025.smallworldlabs.com/co/4furbaby,2,https://sz2025.smallworldlabs.com/listings/item/27/1587; https://sz2025.smallworldlabs.com/listings/item/27/1586
4LEGS4PETS COTS,4LEGS4PETS COTS,States,"Build a Cot=20,000+ Color Combos. Pet’s Most Comfortable Place Cot, aka Pet Bed. For Home, Travel, Dog Day Care, Pet Resort, Training & More. No Tools Required for Assembly.  *Not Sold on Amazon or Other Mass-Markets.* Family Owned & Operated Since1988. Made in Arkansas.  Wholesale Pricing, No Min.","Build a Cot=20,000+ Color Combos. Pet’s Most Comfortable Place Cot, aka Pet Bed. For Home, Travel, Dog Day Care, Pet Resort, Training & More. No Tools Required for Assembly.  *Not Sold on Amazon or Other Mass-Markets.* Family Owned & Operated Since1988. Made in Arkansas.  Wholesale Pricing, No Min.",http://www.4Legs4Pets.com,Exhibitor,SuperZoo 2025,Booth #11868,,,1,,,"Locally sourced, Made in America, Boarding Products, Cat Products, Day Care / Spa Products, Direct to Retail, Dog Products, Gifts, Other Products for Service Providers, Training Products, Exclusive show specials","Locally sourced, Made in America, Boarding Products, Cat Products, Day Care / Spa Products, Direct to Retail, Dog Products, Gifts, Other Products for Service Providers, Training Products, Exclusive show specials",https://sz2025.smallworldlabs.com/co/4legs4pets-cots,1,https://sz2025.smallworldlabs.com/listings/item/27/216
5-D Tropical,5-D Tropical,States,5-D Tropical is a participating exhibitor at SuperZoo 2025 providing pet-related products.,5-D Tropical is a participating exhibitor at SuperZoo 2025 providing pet-related products.,http://www.5dtropical.com,Exhibitor,SuperZoo 2025,Booth #7541,,,1,,,Show Specials,Show Specials,https://sz2025.smallworldlabs.com/co/5-d-tropical,0,
A Better Treat,A Better Treat,States,"A Better Treat is the first and only organic and single ingredient dog and cat treats. We use premium sourcing (wild caught, grass fed & finished, USDA organic), all made and sourced in the US. The freeze drying process retains the most nutrients and keeps ingredients in their recognizable form,","A Better Treat is the first and only organic and single ingredient dog and cat treats. We use premium sourcing (wild caught, grass fed & finished, USDA organic), all made and sourced in the US. The freeze drying process retains the most nutrients and keeps ingredients in their recognizable form,",http://www.abettertreat.com,Exhibitor,SuperZoo 2025,Booth #4302,,,1,,,"BIPOC owned, Made in America, Sustainably sourced, Cat Food & Treats, Dog Food & Treats, Dog Products, Natural Food & Treats, Natural Products, Training Products, Exclusive show specials","BIPOC owned, Made in America, Sustainably sourced, Cat Food & Treats, Dog Food & Treats, Dog Products, Natural Food & Treats, Natural Products, Training Products, Exclusive show specials",https://sz2025.smallworldlabs.com/co/a-better-treat,0,
A Pup Above,A Pup Above,States,Fresh human grade dog food. Come check out our frozen gently cooked sous-vide recipes and air dried whole food Cubies! Distributed nationally in the USA.,Fresh human grade dog food. Come check out our frozen gently cooked sous-vide recipes and air dried whole food Cubies! Distributed nationally in the USA.,http://apupabove.com,Exhibitor,SuperZoo 2025,Booth #3138,,,1,,,Dog Food & Treats,Dog Food & Treats,https://sz2025.smallworldlabs.com/co/a-pup-above,0,
A&E Cage Company,A&E Cage Company,States,"Family owned and operated, A&E Cage Co pride ourselves on decades of extensive expertise, experience, and the love for animals which enables us to provide innovative products for birds, small animals, wild bird, reptiles, dog, and pet owners to love.","Family owned and operated, A&E Cage Co pride ourselves on decades of extensive expertise, experience, and the love for animals which enables us to provide innovative products for birds, small animals, wild bird, reptiles, dog, and pet owners to love.",http://www.aecageco.com,Exhibitor,SuperZoo 2025,Booth #9137,,,1,,,"Bird Food & Treats, Bird Products, Dog Food & Treats, Farm and Feed, Grooming Products, Natural Food & Treats, Natural Products, Reptile Products, Small Animal Food & Treats, Small Animal Products","Bird Food & Treats, Bird Products, Dog Food & Treats, Farm and Feed, Grooming Products, Natural Food & Treats, Natural Products, Reptile Products, Small Animal Food & Treats, Small Animal Products",https://sz2025.smallworldlabs.com/co/a-e-cage-company,2,https://sz2025.smallworldlabs.com/listings/item/28/1377; https://sz2025.smallworldlabs.com/listings/item/28/1376
