booth_code,x,y,FLOOR
1C-D36,424,114,1
1C-E37,441,106,1
1C-E35,441,124,1
1B-B15,51,305,1
1B-B13,52,330,1
1B-B09,50,365,1
1B-B07,51,388,1
1B-B03,52,423,1
1B-B01,51,442,1
1B-C18,123,259,1
1B-D17,139,260,1
1B-B14,85,314,1
1B-C13,100,314,1
1B-B10,82,378,1
1B-B06,83,408,1
1B-B02,91,438,1
1B-C14,123,314,1
1B-D13,138,316,1
1B-D11,141,345,1
1B-D07,140,386,1
1B-C08,124,398,1
1B-B02,132,434,1
1B-D18,177,260,1
1B-E18,223,259,1
1B-D14,179,314,1
1B-E14,224,314,1
1B-E11,183,346,1
1B-D10,177,368,1
1B-D08,177,388,1
1B-D02,179,426,1
1B-E12,212,345,1
1B-E10,214,364,1
1B-F09,230,357,1
1B-E08,214,389,1
1B-F07,230,389,1
1B-E02,221,428,1
1B-F18,266,260,1
1B-F14,266,315,1
1B-F12,266,351,1
1B-F08,266,391,1
1B-F02,267,435,1
1C-A18,311,259,1
1C-A14,310,313,1
1C-B11,317,347,1
1C-A08,304,385,1
1C-B07,319,386,1
1C-A06,304,404,1
1C-B05,319,405,1
1C-A02,313,439,1
1C-C25,358,212,1
1C-C23,360,227,1
1C-B18,351,259,1
1C-B14,344,317,1
1C-C13,359,319,1
1C-B12,344,352,1
1C-C11,361,351,1
1C-B10,344,368,1
1C-C09,360,369,1
1C-B06,344,404,1
1C-C05,359,404,1
1C-B02,351,441,1
1C-D35,399,168,1
1C-D33,400,182,1
1C-C26,393,222,1
1C-C22,390,265,1
1C-C18,384,309,1
1C-D17,399,311,1
1C-C16,383,332,1
1C-D15,399,330,1
1C-C12,383,354,1
1C-D11,399,353,1
1C-C08,384,387,1
1C-D09,401,381,1
1C-D07,399,396,1
1C-C02,384,436,1
1C-D01,399,439,1
1C-D34,423,138,1
1C-E33,440,137,1
1C-D32,434,151,1
1C-D30,425,166,1
1C-E29,439,168,1
1C-D28,426,183,1
1C-E27,440,182,1
1C-D26,431,198,1
1C-D22,423,229,1
1C-E21,439,231,1
1C-D18,433,261,1
1C-D14,424,315,1
1C-E15,440,305,1
1C-E13,441,325,1
1C-D10,424,367,1
1C-E09,440,368,1
1C-D08,424,388,1
1C-E07,441,389,1
1C-D06,423,409,1
1C-E05,440,406,1
1C-D02,431,437,1
1C-E34,465,108,1
1C-F31,479,120,1
1C-F27,479,159,1
1C-E28,465,168,1
1C-E24,465,198,1
1C-F23,480,199,1
1C-E22,465,219,1
1C-F21,480,222,1
1C-E18,470,260,1
1C-E14,474,316,1
1C-E12,465,342,1
1C-F09,479,356,1
1C-E10,465,364,1
1C-E06,465,399,1
1C-F07,478,389,1
1C-E02,464,440,1
1C-F01,480,428,1
1C-F34,505,110,1
1C-G33,520,111,1
1C-G34,545,109,1
1C-G25,518,179,1
1C-F26,504,191,1
1C-F24,512,208,1
1C-F22,512,230,1
1C-F18,511,260,1
1C-F14,513,312,1
1C-F12,512,346,1
1C-F10,512,364,1
1C-F08,512,388,1
1C-F02,512,426,1
1D-A33,562,109,1
1D-G28,554,171,1
1C-G18,556,261,1
1D-A18,594,261,1
1C-G16,554,315,1
1D-A16,595,317,1
1C-G10,545,356,1
1C-G06,545,400,1
1C-G02,554,441,1
1D-A05,562,398,1
1D-A10,565,363,1
1D-B09,595,360,1
1D-A08,589,389,1
1D-B07,604,389,1
1D-B05,604,409,1
1D-A02,597,436,1
1D-A34,587,110,1
1D-A32,588,128,1
1D-B31,602,118,1
1D-A28,588,169,1
1D-B27,603,167,1
1D-B34,628,109,1
1D-C33,644,107,1
1D-B32,628,132,1
1D-C31,643,128,1
1D-B30,628,149,1
1D-C29,644,149,1
1D-B28,628,169,1
1D-C27,644,171,1
1D-B24,626,202,1
1D-C25,644,199,1
1D-C23,646,217,1
1D-C21,643,240,1
1D-C17,644,264,1
1D-B18,628,249,1
1D-B14,631,316,1
1D-C15,645,310,1
1D-C13,643,323,1
1D-B12,627,344,1
1D-C11,643,342,1
1D-B10,629,364,1
1D-C09,643,364,1
1D-B08,628,390,1
1D-C07,642,389,1
1D-B06,628,407,1
1D-C05,644,407,1
1D-B02,628,439,1
1D-C01,644,439,1
1D-C34,668,110,1
1D-D31,682,120,1
1D-C30,668,148,1
1D-C28,670,169,1
1D-D27,684,171,1
1D-C24,669,202,1
1D-D23,684,201,1
1D-C22,668,219,1
1D-D21,684,218,1
1D-C18,677,259,1
1D-C14,676,312,1
1D-C12,667,344,1
1D-C10,667,367,1
1D-C08,667,386,1
1D-D07,685,368,1
1D-C02,676,437,1
1D-D34,708,107,1
1D-E33,723,108,1
1D-E34,750,110,1
1D-E32,749,127,1
1D-F31,765,128,1
1D-D30,708,148,1
1D-E27,724,158,1
1D-D28,708,170,1
1D-D26,709,193,1
1D-E25,726,193,1
1D-D22,716,219,1
1D-D18,717,259,1
1D-D14,717,310,1
1D-D12,709,344,1
1D-E09,723,356,1
1D-D08,709,377,1
1D-D06,708,404,1
1D-E07,724,391,1
1D-D02,714,435,1
1D-E28,749,159,1
1D-F27,764,169,1
1D-F28,789,169,1
1D-G27,803,164,1
1D-G23,804,210,1
1D-E18,747,249,1
1D-F17,766,259,1
1D-F18,795,261,1
1D-E16,758,314,1
1D-F09,755,361,1
1D-E08,755,388,1
1D-E02,759,428,1
1D-F16,798,314,1
1D-G09,805,351,1
1D-F08,791,386,1
1D-G07,806,391,1
1D-F06,788,409,1
1D-G05,805,412,1
1D-F02,796,437,1
1D-G34,830,107,1
1E-A31,846,117,1
1D-G30,831,150,1
1D-G28,830,168,1
1D-G26,837,191,1
1D-A29,846,148,1
1D-G22,830,219,1
1D-G18,830,261,1
1D-G14,838,316,1
1D-G12,830,343,1
1D-G10,831,364,1
1D-G06,830,397,1
1D-G02,842,440,1
1E-A09,845,357,1
1E-A05,846,395,1
1E-A23,845,209,1
1E-A21,845,230,1
1E-A17,848,260,1
1E-A34,870,109,1
1E-B33,885,109,1
1E-B31,886,127,1
1E-A30,871,147,1
1E-A28,871,168,1
1E-B27,885,172,1
1E-A24,870,198,1
1E-B20,883,204,1
1E-B21,887,233,1
1E-A22,871,230,1
1E-A18,878,259,1
1E-A14,877,314,1
1E-A10,871,354,1
1E-A02,880,419,1
1E-B32,912,124,1
1E-C33,927,109,1
1E-C27,927,158,1
1E-B28,913,168,1
1E-C23,928,204,1
1E-C21,928,225,1
1E-B22,911,231,1
1E-B18,918,260,1
1E-B14,917,314,1
1E-C09,926,357,1
1E-B08,911,377,1
1E-C05,928,397,1
1E-B02,919,432,1
1E-C32,955,111,1
1E-D33,970,107,1
1E-C30,955,129,1
1E-C28,955,150,1
1E-C24,955,173,1
1E-D27,969,169,1
1E-D34,997,109,1
1E-E33,1013,118,1
1E-D28,999,169,1
1E-E32,1044,121,1
1E-C22,956,212,1
1E-D23,968,194,1
1E-C18,960,262,1
1E-D24,998,197,1
1E-E23,1012,199,1
1E-D22,996,218,1
1E-D18,1004,259,1
1E-E20,1041,248,1
1E-E18,1041,269,1
1E-E16,1043,290,1
1E-E10,1044,366,1
1E-E08,1041,388,1
1E-E06,1043,407,1
1E-E04,1043,429,1
1E-E02,1042,448,1
1E-C12,954,323,1
1E-D11,969,324,1
1E-C10,952,368,1
