NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
Conant Optical Inc,Conant Optical Inc,USA,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses",,Exhibitor,Hong Kong Optical Fair 2025,1D-E02,Lenses,,1,,,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM",https://www.hktdc.com/event/hkopticalfair/en/exhibitor/1S005P693,20,https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F83ER; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F8GT5; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03EAIVX; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F87SH; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F67RK; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F29YX; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03EAI1F; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03EAIH3; https://www.hktdc.com/event/hkopticalfair/en/product/1X1PTBGN; https://www.hktdc.com/event/hkopticalfair/en/product/1X1PTBFO; https://www.hktdc.com/event/hkopticalfair/en/product/1X1PTBEP; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F4BMV; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F66NX; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03FARKL; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03EAEJ1; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03EAINL; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03FB1OZ; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F7RF0; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03FAU6O; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03FAQR1
Conant Optical Inc,Conant Optical Inc,USA,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses",,Exhibitor,Hong Kong Optical Fair 2025,1D-E02,Lenses,,1,,,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM",https://www.hktdc.com/event/hkopticalfair/en/exhibitor/1S005P693,20,https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F83ER; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F8GT5; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03EAIVX; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F87SH; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F67RK; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F29YX; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03EAI1F; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03EAIH3; https://www.hktdc.com/event/hkopticalfair/en/product/1X1PTBGN; https://www.hktdc.com/event/hkopticalfair/en/product/1X1PTBFO; https://www.hktdc.com/event/hkopticalfair/en/product/1X1PTBEP; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F4BMV; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F66NX; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03FARKL; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03EAEJ1; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03EAINL; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03FB1OZ; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03F7RF0; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03FAU6O; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03FAQR1
O'Reilly Industrial Limited,O'Reilly Industrial Limited,Hong Kong,"Since 1947, Visottica has been worldwide leader in metal components for the optical sector. The Group offers a wide range of products for different kind of frames: metal, acetate, injection, wood and other materials, supplying both standard products and personalized solutions developed side by side with customers. Customers can easily access our online catalogues for different kinds of products (flex, regular hinges, wires, temples, screws, nuts, nose pads and pad arms), in order to meet the most common needs, technical and cosmetic, that might arise during new product design developments.","Since 1947, Visottica has been worldwide leader in metal components for the optical sector. The Group offers a wide range of products for different kind of frames: metal, acetate, injection, wood and other materials, supplying both standard products and personalized solutions developed side by side with customers. Customers can easily access our online catalogues for different kinds of products (flex, regular hinges, wires, temples, screws, nuts, nose pads and pad arms), in order to meet the most common needs, technical and cosmetic, that might arise during new product design developments.",,Exhibitor,Hong Kong Optical Fair 2025,1E-B02,Frames & Parts,Hong Kong Optical Manufacturers Association Pavilion,1,,,"Eyeglasses Parts, Eyeglasses Components; Importer and producer of complete range of high precision frame components.; ODM, OBM, OEM, Others","Eyeglasses Parts, Eyeglasses Components; Importer and producer of complete range of high precision frame components.; ODM, OBM, OEM, Others",https://www.hktdc.com/event/hkopticalfair/en/exhibitor/1S005OPP8,12,https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KQX4R; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KR5ID; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KR4NZ; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KR50V; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KR3N0; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KR47B; https://www.hktdc.com/event/hkopticalfair/en/product/1X247NX6; https://www.hktdc.com/event/hkopticalfair/en/product/1X247NW7; https://www.hktdc.com/event/hkopticalfair/en/product/1X247NV8; https://www.hktdc.com/event/hkopticalfair/en/product/1X1WQVB4; https://www.hktdc.com/event/hkopticalfair/en/product/1X1PSOZ1; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KQX3U
Obe (HK) Ltd,Obe (HK) Ltd,Hong Kong,"OBE stands for high quality, innovative and precision with more than 125 years history. OBE provides optical spare parts worldwide. In addition, OBE represents Frey & Winkler in Asia.","OBE stands for high quality, innovative and precision with more than 125 years history. OBE provides optical spare parts worldwide. In addition, OBE represents Frey & Winkler in Asia.",,Exhibitor,Hong Kong Optical Fair 2025,1E-C02,Frames & Parts,Hong Kong Optical Manufacturers Association Pavilion,1,,,"3D Printed Glasses, Eyeglasses Components; OBE produces high quality optical spare parts since 1904.; Others, ODM, OBM, OEM","3D Printed Glasses, Eyeglasses Components; OBE produces high quality optical spare parts since 1904.; Others, ODM, OBM, OEM",https://www.hktdc.com/event/hkopticalfair/en/exhibitor/1S005OPWN,17,https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N0EAS; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N0DMT; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N0DT8; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03MY8YY; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03MY8K4; https://www.hktdc.com/event/hkopticalfair/en/product/1X0A3RDE; https://www.hktdc.com/event/hkopticalfair/en/product/1X0FP6TP; https://www.hktdc.com/event/hkopticalfair/en/product/1X0O5KWG; https://www.hktdc.com/event/hkopticalfair/en/product/1X10HJA5; https://www.hktdc.com/event/hkopticalfair/en/product/1X0O5KYE; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KX8QM; https://www.hktdc.com/event/hkopticalfair/en/product/1X21H5F6; https://www.hktdc.com/event/hkopticalfair/en/product/1X1PP796; https://www.hktdc.com/event/hkopticalfair/en/product/1X1PP787; https://www.hktdc.com/event/hkopticalfair/en/product/1X1PP778; https://www.hktdc.com/event/hkopticalfair/en/product/1X1PP769; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KX90R
"Chongqing Muzik Optical Technology Co., Ltd.","Chongqing Muzik Optical Technology Co., Ltd.",Chinese Mainland,"Eyewear Raw Material, Plastic Spectacle Frame, Acetate Spectacle Frame, Combination Spectacle Frame, Spectacle Frame Raw Material, Polycarbonate Spectacle Frame, Spectacles, Fashion Sunglasses, Metal Spectacle Frame, Sunglasses","Eyewear Raw Material, Plastic Spectacle Frame, Acetate Spectacle Frame, Combination Spectacle Frame, Spectacle Frame Raw Material, Polycarbonate Spectacle Frame, Spectacles, Fashion Sunglasses, Metal Spectacle Frame, Sunglasses",,Exhibitor,Hong Kong Optical Fair 2025,1E-A02,Frames & Parts,,1,,,"Eyewear Raw Material, Plastic Spectacle Frame, Acetate Spectacle Frame, Combination Spectacle Frame, Spectacle Frame Raw Material, Polycarbonate Spectacle Frame, Spectacles, Fashion Sunglasses, Metal Spectacle Frame, Sunglasses; Optical; OBM, ODM","Eyewear Raw Material, Plastic Spectacle Frame, Acetate Spectacle Frame, Combination Spectacle Frame, Spectacle Frame Raw Material, Polycarbonate Spectacle Frame, Spectacles, Fashion Sunglasses, Metal Spectacle Frame, Sunglasses; Optical; OBM, ODM",https://www.hktdc.com/event/hkopticalfair/en/exhibitor/1S005P34L,7,https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KWFZO; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KVC66; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KVCDL; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KWG8W; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KWG7Z; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KWG62; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KVCBR
"Universe Optical Mfg Co., Ltd.","Universe Optical Mfg Co., Ltd.",Chinese Mainland,"Photochromic Lenses, Spectacle Frame, Spectacle Lens, Plastic Spectacle Frame, Metal Spectacle Frame, Acetate Spectacle Frame, Combination Spectacle Frame, Eyeglass Cleaning Cloth, Glasses Strap, Eyeglass Case","Photochromic Lenses, Spectacle Frame, Spectacle Lens, Plastic Spectacle Frame, Metal Spectacle Frame, Acetate Spectacle Frame, Combination Spectacle Frame, Eyeglass Cleaning Cloth, Glasses Strap, Eyeglass Case",,Exhibitor,Hong Kong Optical Fair 2025,1B-E02,Frames & Parts,,1,,,"Photochromic Lenses, Spectacle Frame, Spectacle Lens, Plastic Spectacle Frame, Metal Spectacle Frame, Acetate Spectacle Frame, Combination Spectacle Frame, Eyeglass Cleaning Cloth, Glasses Strap, Eyeglass Case; RX LENS, STOCK LENS; OEM","Photochromic Lenses, Spectacle Frame, Spectacle Lens, Plastic Spectacle Frame, Metal Spectacle Frame, Acetate Spectacle Frame, Combination Spectacle Frame, Eyeglass Cleaning Cloth, Glasses Strap, Eyeglass Case; RX LENS, STOCK LENS; OEM",https://www.hktdc.com/event/hkopticalfair/en/exhibitor/1S005SRC9,16,https://www.hktdc.com/event/hkopticalfair/en/product/1X1UABY5; https://www.hktdc.com/event/hkopticalfair/en/product/1X1UABX6; https://www.hktdc.com/event/hkopticalfair/en/product/1X1CLOBP; https://www.hktdc.com/event/hkopticalfair/en/product/1X15BXAZ; https://www.hktdc.com/event/hkopticalfair/en/product/1X15BX90; https://www.hktdc.com/event/hkopticalfair/en/product/1X15BX81; https://www.hktdc.com/event/hkopticalfair/en/product/1X0YBG7H; https://www.hktdc.com/event/hkopticalfair/en/product/1X0YBG6I; https://www.hktdc.com/event/hkopticalfair/en/product/1X0YBG5J; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KMLZI; https://www.hktdc.com/event/hkopticalfair/en/product/1X0PCSI6; https://www.hktdc.com/event/hkopticalfair/en/product/1X0PCSH7; https://www.hktdc.com/event/hkopticalfair/en/product/1X0PCSG8; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KMMXN; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KMLML; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KMMBH
"Wenzhou Brilliant Vision Co., Ltd.","Wenzhou Brilliant Vision Co., Ltd.",Chinese Mainland,"We are one of the leading manufacturing company in China.We manufacture,distribute,design and sell high quality Sunglasses and Eyeglasses with the help of high-tech machines. We strive towards producing our customers' heart desire.Our sunglasses and eyeglasses are made up of different materials like acetate,metal,titanium and injection materials.Brilliant Vision's products are all made to meet the latest international norms and standards,such as IS012870,EN12312,EN 14139,ANSI Z80.3,AS-NZS 1067,etc.Brilliant Vision has been ISO9001 audited.Its QA system is based on three pillars: incoming quality control,in-process quality control and outgoing quality control.Brilliant Vision is equipped with testing facilities to conduct all primary eyewear testing and works in partnership with accredited third party testing lab such as ITS,SGS for more advanced testing.BRILLIANT VISION production is strictly ruled by its operation instruction guidelines and run by its production team,which is composed of qualified technicians and skilled workers.Safety,quality and efficiency are the key factors in its production management.BRILLIANT VISION's mission is to provide an efficient & reliable eyewear manufacturing service to our business partners.","We are one of the leading manufacturing company in China.We manufacture,distribute,design and sell high quality Sunglasses and Eyeglasses with the help of high-tech machines. We strive towards producing our customers' heart desire.Our sunglasses and eyeglasses are made up of different materials like acetate,metal,titanium and injection materials.Brilliant Vision's products are all made to meet the latest international norms and standards,such as IS012870,EN12312,EN 14139,ANSI Z80.3,AS-NZS 1067,etc.Brilliant Vision has been ISO9001 audited.Its QA system is based on three pillars: incoming quality control,in-process quality control and outgoing quality control.Brilliant Vision is equipped with testing facilities to conduct all primary eyewear testing and works in partnership with accredited third party testing lab such as ITS,SGS for more advanced testing.BRILLIANT VISION production is strictly ruled by its operation instruction guidelines and run by its production team,which is composed of qualified technicians and skilled workers.Safety,quality and efficiency are the key factors in its production management.BRILLIANT VISION's mission is to provide an efficient & reliable eyewear manufacturing service to our business partners.",,Exhibitor,Hong Kong Optical Fair 2025,1D-G14,Frames & Parts,,1,,,"Sunglasses, Fashion Sunglasses, Metal Spectacle Frame, Spectacle Frame, Combination Spectacle Frame, Handcrafted Eyewear, Spectacles, Fashion Glasses, Customized Eyewear, Acetate Spectacle Frame; WE OFFER OEM & ODM DESIGNING, PROTOTYPING AND BULK ORDER MANUFACTURING SERVICE WITH LOW MOQ, FAST PRODUCT DEVELOPMENTS FOR HIGH QUALITY FASHION SUNGLASSES, READING GLASSES, OPTICAL FRAMES MADE OF ACETATE, STAINLESS STEEL, TITANIUM ETC; ODM, OEM","Sunglasses, Fashion Sunglasses, Metal Spectacle Frame, Spectacle Frame, Combination Spectacle Frame, Handcrafted Eyewear, Spectacles, Fashion Glasses, Customized Eyewear, Acetate Spectacle Frame; WE OFFER OEM & ODM DESIGNING, PROTOTYPING AND BULK ORDER MANUFACTURING SERVICE WITH LOW MOQ, FAST PRODUCT DEVELOPMENTS FOR HIGH QUALITY FASHION SUNGLASSES, READING GLASSES, OPTICAL FRAMES MADE OF ACETATE, STAINLESS STEEL, TITANIUM ETC; ODM, OEM",https://www.hktdc.com/event/hkopticalfair/en/exhibitor/1S005PXUL,20,https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J766C; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J83ER; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KL14N; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J7587; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J6WKG; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J79AX; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03MRCDL; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J79FI; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KMN8P; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KNOE6; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J6VRW; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03MGCMU; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J7GBN; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J77OT; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J723P; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KNBV4; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03MIN7S; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KKXFU; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J7GMQ; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03J71X8
"Wenzhou Dongtian Import & Export Co., Ltd.","Wenzhou Dongtian Import & Export Co., Ltd.",Chinese Mainland,"Company belongs to Dongtian glasses group local in Wenzhou city,the USA and EU market is our main market.Annual sales was 25 million US dollars in last year.","Company belongs to Dongtian glasses group local in Wenzhou city,the USA and EU market is our main market.Annual sales was 25 million US dollars in last year.",,Exhibitor,Hong Kong Optical Fair 2025,1B-D02,Frames & Parts,,1,,,"Sunglasses, Reading Glasses, Plastic Spectacle Frame, Children’s Eyewear, Spectacle Frame, Smart Glasses, Eyeglass Case, Fashion Glasses, Spectacles; OPTICAL FRAME,SUNGLASSES,READING GLASSES,EYEWERE PACKAGE; ODM, OEM","Sunglasses, Reading Glasses, Plastic Spectacle Frame, Children’s Eyewear, Spectacle Frame, Smart Glasses, Eyeglass Case, Fashion Glasses, Spectacles; OPTICAL FRAME,SUNGLASSES,READING GLASSES,EYEWERE PACKAGE; ODM, OEM",https://www.hktdc.com/event/hkopticalfair/en/exhibitor/1S005R2B1,3,https://www.hktdc.com/event/hkopticalfair/en/product/1X1UA7ZG; https://www.hktdc.com/event/hkopticalfair/en/product/1X1UA7YH; https://www.hktdc.com/event/hkopticalfair/en/product/1X1UA7XI
Wenzhou Vision Int'l Ltd,Wenzhou Vision Int'l Ltd,Chinese Mainland,"Eyeglass Cleaning Cloth, Eyeglass Case","Eyeglass Cleaning Cloth, Eyeglass Case",,Exhibitor,Hong Kong Optical Fair 2025,1C-B18,Eyewear Accessories,Mainland China Pavilion - Zhejiang,1,,,"Eyeglass Cleaning Cloth, Eyeglass Case; Eyewear case, pouch, cleaning cloth, display and accessories; ODM, OBM","Eyeglass Cleaning Cloth, Eyeglass Case; Eyewear case, pouch, cleaning cloth, display and accessories; ODM, OBM",https://www.hktdc.com/event/hkopticalfair/en/exhibitor/1S005T5QP,5,https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KV4IE; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KW25J; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KVZVG; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KW1RQ; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03KW07F
Creative International Concept (Cic)Eyewear Manufacturer Ltd.,Creative International Concept (Cic)Eyewear Manufacturer Ltd.,Hong Kong,"We are specilizing in designing, producing and exporting optical frames and sunglasses in different materials with various prices.","We are specilizing in designing, producing and exporting optical frames and sunglasses in different materials with various prices.",,Exhibitor,Hong Kong Optical Fair 2025,1D-F16,Frames & Parts,,1,,,"Metal Spectacle Frame, Acetate Spectacle Frame, Fashion Glasses, Polycarbonate Spectacle Frame, Spectacle Frame, Fashion Sunglasses, Customized Eyewear, Spectacles, Combination Spectacle Frame, Sunglasses; Designing, producing and exporting optical frames and sunglasses.; OEM","Metal Spectacle Frame, Acetate Spectacle Frame, Fashion Glasses, Polycarbonate Spectacle Frame, Spectacle Frame, Fashion Sunglasses, Customized Eyewear, Spectacles, Combination Spectacle Frame, Sunglasses; Designing, producing and exporting optical frames and sunglasses.; OEM",https://www.hktdc.com/event/hkopticalfair/en/exhibitor/1S005PVZ8,20,https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N2I0I; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N2I53; https://www.hktdc.com/event/hkopticalfair/en/product/1X247RYT; https://www.hktdc.com/event/hkopticalfair/en/product/1X247RXU; https://www.hktdc.com/event/hkopticalfair/en/product/1X247RWV; https://www.hktdc.com/event/hkopticalfair/en/product/1X247RVW; https://www.hktdc.com/event/hkopticalfair/en/product/1X247RUX; https://www.hktdc.com/event/hkopticalfair/en/product/1X21HM7Z; https://www.hktdc.com/event/hkopticalfair/en/product/1X21HM60; https://www.hktdc.com/event/hkopticalfair/en/product/1X21HM51; https://www.hktdc.com/event/hkopticalfair/en/product/1X1U5BV8; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N2I7X; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N2HZM; https://www.hktdc.com/event/hkopticalfair/en/product/1X1JZMUC; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N2ILR; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N2HXS; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N1GYQ; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N2IAO; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N2I2C; https://www.hktdc.com/event/hkopticalfair/en/product/1Z03N2INL
