NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
optical Plastic Lens,optical Plastic Lens,optical Plastic Lens,optical Plastic Lens,,,,Conant Optical Inc,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM"
finished semi finished executive lens,finished semi finished executive lens,finished semi finished executive lens,finished semi finished executive lens,,,https://sourcing-media.hktdc.com/product-original/finished-20semi-20finished-20executive-20lens-20/c82bee422b8044d894f588ca9cb52a57; https://sourcing-media.hktdc.com/product-original/finished-20semi-20finished-20executive-20lens-20/7405b4af27f84d77b8a3824544cfb535,Conant Optical Inc,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM"
Polarized green,Polarized green,"Conant has the most advanced polarized lens production technology. The high quality polarized lenses own an uniform and stable color. The thickness of PVA polarized fifilm is 1/5 of the other ordinary polarized fifilms, and the light transmission effffect of our polarized lenses largely exceeds the ordinary polarized lenses' effffect. The high temperature softening process makes the fifilm combine with the base material perfectly and is not easy to crack.; Discoloration + Polarized; Double Combination,All-weather protect eyes.; Light Colour Polarized; High transmittance,Restore visual clarity, Visual fifield is more natural.","Conant has the most advanced polarized lens production technology. The high quality polarized lenses own an uniform and stable color. The thickness of PVA polarized fifilm is 1/5 of the other ordinary polarized fifilms, and the light transmission effffect of our polarized lenses largely exceeds the ordinary polarized lenses' effffect. The high temperature softening process makes the fifilm combine with the base material perfectly and is not easy to crack.; Discoloration + Polarized; Double Combination,All-weather protect eyes.; Light Colour Polarized; High transmittance,Restore visual clarity, Visual fifield is more natural.",,,https://sourcing-media.hktdc.com/product-original/Polarized-20green-20-20-20-20-20-20-20/d16e865b72214e60959c1ae2a1f96ea9; https://sourcing-media.hktdc.com/product-original/Polarized-20green-20-20-20-20-20-20-20/c6fb86f3fb8a45f797b1a73b2ff6bf43; https://sourcing-media.hktdc.com/product-original/Polarized-20green-20-20-20-20-20-20-20/4f18a7870ce148468c5d7282b1a259e8; https://sourcing-media.hktdc.com/product-original/Polarized-20green-20-20-20-20-20-20-20/65f1b4304f334ba597f095ead7efcf90; https://sourcing-media.hktdc.com/product-original/Polarized-20green-20-20-20-20-20-20-20/004b92cee25d425ebbcbf72faa7834e7,Conant Optical Inc,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM"
Conant Infrared IR Sun lens,Conant Infrared IR Sun lens,"1. Smart Infrared Cosmetic Lens; PROTECTION & TRANSPARENCY; Users that care about aesthetics and prefer lenses with a standard green antireflection.; 2. Smart Infrared + Blue Cut Lens; PREVENTS AGEING OF THE SKIN AROUND THE EYES; Users that are looking for a total protection, from harmful radiation and an excess of blue; light from electronic devices. Users that care about the skin aging around the eyes and; want to prevent ocular damage. Users concerned about visual health.; 3. Smart Infrared Sun lens; FULL PROTECTION AGAINST SUN LIGHT; Sunglasses users concerned about comfort, aesthetics and low level reflections on the back side. Users that care about the skin aging around the eyes and want to prevent ocular damage. Users concerned about visual health.","1. Smart Infrared Cosmetic Lens; PROTECTION & TRANSPARENCY; Users that care about aesthetics and prefer lenses with a standard green antireflection.; 2. Smart Infrared + Blue Cut Lens; PREVENTS AGEING OF THE SKIN AROUND THE EYES; Users that are looking for a total protection, from harmful radiation and an excess of blue; light from electronic devices. Users that care about the skin aging around the eyes and; want to prevent ocular damage. Users concerned about visual health.; 3. Smart Infrared Sun lens; FULL PROTECTION AGAINST SUN LIGHT; Sunglasses users concerned about comfort, aesthetics and low level reflections on the back side. Users that care about the skin aging around the eyes and want to prevent ocular damage. Users concerned about visual health.",,,,Conant Optical Inc,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM"
Finished semi finished Bifocal blended lens,Finished semi finished Bifocal blended lens,Finished semi finished Bifocal blended lens,Finished semi finished Bifocal blended lens,,,https://sourcing-media.hktdc.com/product-original/Finished-20semi-20finished-20Bifocal-20blended-20lens/4cdf635192ed4d70adb645fbde6308f8; https://sourcing-media.hktdc.com/product-original/Finished-20semi-20finished-20Bifocal-20blended-20lens/cd264ae64462408ab03d95dc00e1f094,Conant Optical Inc,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM"
Short corridor progressive lens,Short corridor progressive lens,Short corridor progressive lens,Short corridor progressive lens,,,https://sourcing-media.hktdc.com/product-original/Short-20corridor-20progressive-20lens/6b3bb845f0e64d1baf58398377011fa4; https://sourcing-media.hktdc.com/product-original/Short-20corridor-20progressive-20lens/1dbffe535e894177a3e8109b0c6e6a90; https://sourcing-media.hktdc.com/product-original/Short-20corridor-20progressive-20lens/f72294db8d7542549eda2c978e997d89; https://sourcing-media.hktdc.com/product-original/Short-20corridor-20progressive-20lens/97c3e204710044ef9dec4dd3a1e2c122; https://sourcing-media.hktdc.com/product-original/Short-20corridor-20progressive-20lens/5882968822c24dd7a33175eb073e28fc; https://sourcing-media.hktdc.com/product-original/Short-20corridor-20progressive-20lens/4c7f6f19522741da950e7382bc4bfd6b; https://sourcing-media.hktdc.com/product-original/Short-20corridor-20progressive-20lens/92dee4837c1b4d72b4c8a3f1ac5f27cf,Conant Optical Inc,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM"
Mirror coating sunglass lenses,Mirror coating sunglass lenses,"Application:; Golf, sking, driving, fishing, bicycling, sunbathing.","Application:; Golf, sking, driving, fishing, bicycling, sunbathing.",,,https://sourcing-media.hktdc.com/product-original/Mirror-20coating-20sunglass-20lenses/d0b63c71b0b84e709c2bbfaf6b856791; https://sourcing-media.hktdc.com/product-original/Mirror-20coating-20sunglass-20lenses/74e843740e134f599dc654333be52e94; https://sourcing-media.hktdc.com/product-original/Mirror-20coating-20sunglass-20lenses/6859d89008f741bc9be5d66c0e1da5df; https://sourcing-media.hktdc.com/product-original/Mirror-20coating-20sunglass-20lenses/e23f4344ae1840f4b22c3c0846e0aff8; https://sourcing-media.hktdc.com/product-original/Mirror-20coating-20sunglass-20lenses/0e2e2fed26c54175affc3919c34bbe7d,Conant Optical Inc,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM"
UV 420 Blue Cut Lens Blue Blocking Lenses Eyes Production UV Shield Lens Factory,UV 420 Blue Cut Lens Blue Blocking Lenses Eyes Production UV Shield Lens Factory,"Hev Blue Hight protective design:; Based on the principle of bionic absorption technology, blue light can absorb more than 90% of the high-energy blue light which is harmful to human body by reflecting part of the absorption through the lens.; High-definition raw materials:; With improved monomers as the main raw material and other resins as the supplement, the Abbe number of the whole lens has obvious advantages, and the clarity of the lens is greatly enhanced while preventing blue light.; Ultraviolet protection:; Special substrate treatment, adding anti-blue particles, absorbs the high-energy blue light which in the body in; 380nm-500nm band, so as to protect the eyes from injury.; Effective prevention of cataract and macular lesions.; Special conductive film:; The effective conductive treatment of the coating can make its resistance less than 400nm and form a strong current; conductive layer, which greatly enhances the electromagnetic radiation effect of the lens, and has a good blocking effect; on the computer radiation, alleviating the symptoms of dry eyes when using the computer.","Hev Blue Hight protective design:; Based on the principle of bionic absorption technology, blue light can absorb more than 90% of the high-energy blue light which is harmful to human body by reflecting part of the absorption through the lens.; High-definition raw materials:; With improved monomers as the main raw material and other resins as the supplement, the Abbe number of the whole lens has obvious advantages, and the clarity of the lens is greatly enhanced while preventing blue light.; Ultraviolet protection:; Special substrate treatment, adding anti-blue particles, absorbs the high-energy blue light which in the body in; 380nm-500nm band, so as to protect the eyes from injury.; Effective prevention of cataract and macular lesions.; Special conductive film:; The effective conductive treatment of the coating can make its resistance less than 400nm and form a strong current; conductive layer, which greatly enhances the electromagnetic radiation effect of the lens, and has a good blocking effect; on the computer radiation, alleviating the symptoms of dry eyes when using the computer.",,,,Conant Optical Inc,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM"
Lenticular lens,Lenticular lens,Lenticular lens,Lenticular lens,,,https://sourcing-media.hktdc.com/product-original/Lenticular-20lens/34dbf18e9a6645f1a8bac96615a8e999; https://sourcing-media.hktdc.com/product-original/Lenticular-20lens/0aa9ec39dea048d3b50be83148ab33e7,Conant Optical Inc,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM"
Plastic Lens,Plastic Lens,Plastic Lens,Plastic Lens,,,,Conant Optical Inc,"Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM","Photochromic Lenses, Spectacle Lens, Plastic Lens, Polarized Lens, Polycarbonate Lens, Sunglass Lenses; 1.50, 1.56, 1.60, 1.67, 1.74 Plastic Lenses, in single vision, Bifocal, Trifocal, Progressive.  Tinting, Polarized, Photochromic, Blue Cut, IR Lenses, all available.
RX Lab: Freeform Lenses, Remote Edging, Fitting Service; ODM, OEM"
