booth_code,x,y
GH-P01,236,525
GH-A15,353,412
GH-A13,338,411
GH-A11,324,412
GH-A09,306,412
GH-F16,352,181
GH-F14,339,181
GH-F10,306,180
GH-F08,292,181
GH-F06,277,179
GH-F02,262,180
GH-A30,476,387
GH-A28,462,387
GH-A26,446,387
GH-A24,433,387
GH-A22,418,386
GH-A20,405,386
GH-A18,386,387
GH-A16,353,387
GH-A14,339,388
GH-A12,323,387
GH-A10,307,387
GH-A08,292,387
GH-A06,276,388
GH-A04,263,387
GH-A02,247,386
GH-B29,477,371
GH-B27,461,372
GH-B25,447,372
GH-B23,430,373
GH-B21,417,371
GH-B19,401,372
GH-B17,388,373
GH-B15,352,372
GH-B13,339,371
GH-B11,323,373
GH-B09,307,372
GH-B07,291,374
GH-B05,277,372
GH-B03,263,371
GH-B01,246,373
GH-B30,477,343
GH-B26,453,342
GH-B18,402,343
GH-B14,347,343
GH-B12,322,342
GH-B10,306,343
GH-B08,293,343
GH-B06,277,343
GH-B04,263,342
GH-B02,247,343
GH-C29,476,328
GH-C27,460,329
GH-C25,447,328
GH-C21,417,327
GH-C17,395,328
GH-C15,350,327
GH-C11,326,328
GH-C09,306,328
GH-C07,291,327
GH-C05,278,328
GH-C03,262,328
GH-C01,247,328
GH-C30,476,302
GH-C28,461,304
GH-C26,447,304
GH-C24,432,302
GH-C22,417,303
GH-C20,402,304
GH-C18,386,304
GH-C16,353,303
GH-C14,339,303
GH-C12,324,303
GH-C10,308,303
GH-C08,292,302
GH-C06,276,303
GH-C04,261,303
GH-C02,247,304
GH-D29,477,288
GH-D27,462,290
GH-D25,446,289
GH-D23,433,290
GH-D21,416,289
GH-D17,395,289
GH-D15,353,289
GH-D13,338,288
GH-D11,324,289
GH-D09,307,288
GH-D07,292,288
GH-D05,276,288
GH-D03,263,289
GH-D01,248,288
GH-D28,468,263
GH-D26,446,264
GH-D24,433,265
GH-D22,417,264
GH-D18,395,263
GH-D16,353,265
GH-D14,337,264
GH-D12,322,264
GH-D10,306,264
GH-D08,291,263
GH-D06,276,265
GH-D04,263,265
GH-D02,246,264
GH-E29,475,249
GH-E25,454,249
GH-E23,432,249
GH-E21,416,249
GH-E19,402,249
GH-E17,388,249
GH-E15,353,249
GH-E13,339,249
GH-E11,323,249
GH-E09,307,249
GH-E07,290,250
GH-E03,267,249
GH-E01,249,248
GH-E20,402,224
GH-E18,386,225
GH-E16,352,224
GH-E14,338,224
GH-E12,323,224
GH-E08,299,225
GH-E04,266,225
GH-E02,250,226
GH-F21,418,210
GH-F19,401,209
GH-F17,386,210
GH-F15,353,210
GH-F13,339,210
GH-F11,322,210
GH-F09,307,208
GH-F07,291,209
GH-F05,278,210
GH-F03,262,210
GH-F01,247,210
3CON-029,1191,584
3CON-026,1072,555
3B-F01,1206,430
3B-F07,1206,398
3B-F09,1207,381
3B-F11,1207,367
3B-F19,1209,311
3B-F21,1208,296
3B-F23,1207,268
3B-F25,1206,251
3B-F27,1207,237
3B-F33,1208,189
3B-F35,1208,176
3B-E22,1182,296
3B-E20,1182,311
3B-E18,1182,328
3B-E12,1183,370
3B-E10,1181,382
3B-E08,1183,398
3B-E06,1182,416
3B-E04,1182,431
3B-E02,1184,446
3B-E21,1139,296
3B-E19,1139,311
3B-E17,1140,326
3B-E13,1139,351
3B-E11,1139,373
3B-E09,1139,388
3B-E07,1139,401
3B-E05,1139,418
3B-E03,1139,432
3B-E01,1139,448
3B-D22,1114,299
3B-D20,1113,316
3B-D16,1112,332
3B-D14,1114,359
3B-D12,1113,374
3B-D10,1114,387
3B-D08,1113,402
3B-D06,1114,417
3B-D02,1113,438
3B-D21,1071,296
3B-D19,1069,312
3B-D17,1071,325
3B-D15,1072,345
3B-D13,1072,357
3B-D11,1072,373
3B-D09,1071,390
3B-D07,1071,402
3B-C20,1045,304
3B-C18,1045,327
3B-C16,1044,344
3B-C14,1045,359
3B-C12,1045,374
3B-C10,1045,388
3B-C08,1045,404
3B-C02,1058,430
3B-C21,1001,296
3B-C19,1001,313
3B-C17,1001,328
3B-C11,1001,367
3B-C09,1001,383
3B-C07,1000,403
3B-C05,1000,416
3B-C03,1001,434
3B-C01,999,447
3B-B22,973,293
3B-B20,975,310
3B-B18,975,328
3B-B12,976,371
3B-B10,974,385
3B-B08,975,403
3B-B06,976,417
3B-B02,976,438
3B-B21,931,296
3B-B19,931,312
3B-B17,931,328
3B-B15,933,346
3B-B13,932,359
3B-B11,934,374
3B-B09,933,388
3B-B07,932,405
3B-B03,932,425
3B-B01,933,443
3B-A22,906,296
3B-A20,906,312
3B-A18,906,328
3B-A16,907,343
3B-A14,907,359
3B-A12,907,375
3B-A10,907,389
3B-A08,905,404
3B-A04,907,424
3B-A02,907,442
3B-A21,862,296
3B-A19,864,310
3B-A17,864,326
3B-A15,864,344
3B-A13,863,359
3B-A11,863,375
3B-A07,862,394
3B-E36,1182,173
3B-E34,1182,192
3B-E32,1182,205
3B-E28,1183,237
3B-E26,1183,253
3B-E24,1183,268
3B-E43,1139,118
3B-E41,1139,132
3B-E39,1141,147
3B-E35,1139,168
3B-E33,1139,191
3B-E31,1139,205
3B-E29,1139,220
3B-E27,1139,240
3B-E23,1140,257
3B-D44,1114,116
3B-D42,1115,132
3B-D40,1113,148
3B-D38,1112,161
3B-D34,1113,183
3B-D32,1113,204
3B-D28,1114,232
3B-D24,1114,260
3B-D43,1072,117
3B-D41,1072,133
3B-D39,1072,147
3B-D37,1071,163
3B-D35,1071,176
3B-D33,1072,190
3B-D31,1071,203
3B-D29,1072,218
3B-D27,1072,238
3B-D25,1071,253
3B-D23,1071,268
3B-C44,1044,118
3B-C42,1044,132
3B-C40,1046,147
3B-C38,1045,161
3B-C36,1045,175
3B-C34,1044,191
3B-C32,1045,203
3B-C30,1045,220
3B-C28,1045,238
3B-C26,1046,253
3B-C24,1043,268
3B-C43,1002,116
3B-C41,1002,132
3B-C39,1000,146
3B-C37,1003,163
3B-C35,1003,177
3B-C33,1003,190
3B-C31,1003,206
3B-C27,1003,236
3B-C25,1001,254
3B-C23,999,269
3B-B44,974,118
3B-B42,975,132
3B-B40,973,148
3B-B38,976,162
3B-B36,976,176
3B-B34,977,189
3B-B32,976,204
3B-B28,976,238
3B-B26,975,253
3B-B24,975,269
3B-B43,934,117
3B-B41,934,132
3B-B39,935,147
3B-B37,934,160
3B-B35,934,175
3B-B33,933,191
3B-B31,932,205
3B-B27,932,237
3B-B23,932,262
3B-A42,908,132
3B-A40,907,147
3B-A38,906,160
3B-A36,908,175
3B-A34,907,191
3B-A32,907,205
3B-A30,906,219
3B-A28,908,237
3B-A26,908,254
3B-A24,908,268
3B-A37,864,160
3B-A35,863,176
3B-A33,864,190
3B-A29,864,210
3B-A27,863,240
3B-A23,863,261
