NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
"Coben (Shen Zhen) Co., Ltd.","Coben (Shen Zhen) Co., Ltd.",Chinese Mainland,"COBEN was established in Taipei, Taiwan in August 1988. Its main products are fashionJewelry,such as copper, and 925 silver Jewelry. The market is mainly in Western Europethe United Kingdom, lreland, Italy, Spain, Germany, Japan and Australia. The customermarketing model is mainly brand chain stores, which belong to the mid-to-high-end pricerange.","COBEN was established in Taipei, Taiwan in August 1988. Its main products are fashionJewelry,such as copper, and 925 silver Jewelry. The market is mainly in Western Europethe United Kingdom, lreland, Italy, Spain, Germany, Japan and Australia. The customermarketing model is mainly brand chain stores, which belong to the mid-to-high-end pricerange.",,Exhibitor,Hong Kong International Jewellery Show 2025,CEC 5E-D26,Chinese Mainland Pavilion,Cantonese Business Go Global,1,,,"Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM","Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM",https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005GT8J,5,https://www.hktdc.com/event/hkjewellery/en/product/1Z03NEMOE; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NENR4; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NENOD; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NENKP; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NENHY
Yifan Silver,Yifan Silver,Chinese Mainland,"Stainless Steel Jewellery, Sterling Silver Jewellery, Titanium Jewellery","Stainless Steel Jewellery, Sterling Silver Jewellery, Titanium Jewellery",,Exhibitor,Hong Kong International Jewellery Show 2025,CEC 5C-G25,Chinese Mainland Pavilion,Chinese Mainland Pavilion,1,,,"Stainless Steel Jewellery, Sterling Silver Jewellery, Titanium Jewellery; jewelry; OBM, ODM","Stainless Steel Jewellery, Sterling Silver Jewellery, Titanium Jewellery; jewelry; OBM, ODM",https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005GFXU,3,https://www.hktdc.com/event/hkjewellery/en/product/1Z03O5BXY; https://www.hktdc.com/event/hkjewellery/en/product/1Z03O5BW1; https://www.hktdc.com/event/hkjewellery/en/product/1Z03O5BV4
Wing Wo Hing Jewelry Group Limited,Wing Wo Hing Jewelry Group Limited,Hong Kong,"Established in 1980s, Wing Wo Hing Jewelry Group Ltd. specializes in manufacturing high quality Freshwater Pearl, Akoya Pearl, Tahitian Pearl jewelry in 925 Silver and Gold (9K 14K 18K). We have our own factory located in GuangZhou, China. The vision of the group is to provide quality pearl jewelry that exceeds the expectations of their esteemed customers. By having our own design team, more than a hundred new pearl jewelry designs are being launched every month. We also participate in major international jewelry shows and fairs, such as Vicenzaoro Italy, JCK Las Vegas, Hong Kong International Jewellery Show to showcase our collections.","Established in 1980s, Wing Wo Hing Jewelry Group Ltd. specializes in manufacturing high quality Freshwater Pearl, Akoya Pearl, Tahitian Pearl jewelry in 925 Silver and Gold (9K 14K 18K). We have our own factory located in GuangZhou, China. The vision of the group is to provide quality pearl jewelry that exceeds the expectations of their esteemed customers. By having our own design team, more than a hundred new pearl jewelry designs are being launched every month. We also participate in major international jewelry shows and fairs, such as Vicenzaoro Italy, JCK Las Vegas, Hong Kong International Jewellery Show to showcase our collections.",,Exhibitor,Hong Kong International Jewellery Show 2025,CEC 5B-E18,"Silver, Titanium & Stainless Steel Jewellery",,1,,,"Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Tahiti Pearl Jewellery,Fresh Water Pearl Jewellery,Akoya Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery; Pearl Jewelry with Freshwater pearl, South Sea Pearl, Tahitian Pearl, Akoya Pearl in Gold (18K, 14K, 9K) and 925 Sterling silver, with modern and trendy designs; ODM, OBM, Others, OEM","Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Tahiti Pearl Jewellery,Fresh Water Pearl Jewellery,Akoya Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery; Pearl Jewelry with Freshwater pearl, South Sea Pearl, Tahitian Pearl, Akoya Pearl in Gold (18K, 14K, 9K) and 925 Sterling silver, with modern and trendy designs; ODM, OBM, Others, OEM",https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005HU9F,20,https://www.hktdc.com/event/hkjewellery/en/product/1X22DA7Z; https://www.hktdc.com/event/hkjewellery/en/product/1X0MSYHP; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MMMIW; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JI2A4; https://www.hktdc.com/event/hkjewellery/en/product/1Z03FVYFT; https://www.hktdc.com/event/hkjewellery/en/product/1Z03LGL9O; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MMMR5; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MMKJV; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NG8EM; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NFKF7; https://www.hktdc.com/event/hkjewellery/en/product/1Z03GNHOJ; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MN9U9; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NA6A0; https://www.hktdc.com/event/hkjewellery/en/product/1Z03GJAOQ; https://www.hktdc.com/event/hkjewellery/en/product/1Z03N9UKI; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NG8DP; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JI3K9; https://www.hktdc.com/event/hkjewellery/en/product/1Z03O3QTV; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MLMNH; https://www.hktdc.com/event/hkjewellery/en/product/1Z03KYRZC
Customs and Excise Department - the Government of the HKSAR,Customs and Excise Department - the Government of the HKSAR,Hong Kong,Trade Service,Trade Service,,Exhibitor,Hong Kong International Jewellery Show 2025,CEC 1C-C18,Trade Associations & Publications,,1,,,"Trade Service; Collecting cash transaction report for non-Hong Kong dealers in precious metals and stones, and providing facilitation to local dealers in precious metals and stones in complying with the legislative requirements in Hong Kong.; Others","Trade Service; Collecting cash transaction report for non-Hong Kong dealers in precious metals and stones, and providing facilitation to local dealers in precious metals and stones in complying with the legislative requirements in Hong Kong.; Others",https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005E5QP,0,
Nefertiti Group Limited,Nefertiti Group Limited,Hong Kong,"Nefertiti Group Ltd. was established in 2009, with head office and showroom located in Hong Kong and factory in Dongguan, China. Nefertiti initially specialized in design and produce fashion jewelry and hair accessories. With global fashion supply chain's vertical and horizontal integration over the past 10 years, our product offerings have expanded to handbags, wallets, belts, key chains, charms, scarves, cold-weather accessories, and high quality Korean made genuine leather. In order to meet rapid business growth, in July 2021 we relocated our factory to new location and set up Nefertiti Manufacturing (Dongguan) Ltd. with 2800 square meter space. We took the opportunity to upgrade equipment to semi-automated machines to enhance manufacturing efficiency. We upgrade our jewelry production line with produce 925 Sterling Silver and 14K & 18K Gold Fine jewelry","Nefertiti Group Ltd. was established in 2009, with head office and showroom located in Hong Kong and factory in Dongguan, China. Nefertiti initially specialized in design and produce fashion jewelry and hair accessories. With global fashion supply chain's vertical and horizontal integration over the past 10 years, our product offerings have expanded to handbags, wallets, belts, key chains, charms, scarves, cold-weather accessories, and high quality Korean made genuine leather. In order to meet rapid business growth, in July 2021 we relocated our factory to new location and set up Nefertiti Manufacturing (Dongguan) Ltd. with 2800 square meter space. We took the opportunity to upgrade equipment to semi-automated machines to enhance manufacturing efficiency. We upgrade our jewelry production line with produce 925 Sterling Silver and 14K & 18K Gold Fine jewelry",,Exhibitor,Hong Kong International Jewellery Show 2025,CEC 5B-F10,"Silver, Titanium & Stainless Steel Jewellery",,1,,,"Sterling Silver Jewellery; We upgrade our jewelry production line with produce 925 Sterling Silver and 14K & 18K Gold Fine jewelry.; ODM, OEM","Sterling Silver Jewellery; We upgrade our jewelry production line with produce 925 Sterling Silver and 14K & 18K Gold Fine jewelry.; ODM, OEM",https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005HUGU,20,https://www.hktdc.com/event/hkjewellery/en/product/1Z03O6WTP; https://www.hktdc.com/event/hkjewellery/en/product/1Z03OBCEI; https://www.hktdc.com/event/hkjewellery/en/product/1Z03O6WLD; https://www.hktdc.com/event/hkjewellery/en/product/1Z03O6WIM; https://www.hktdc.com/event/hkjewellery/en/product/1Z03O6VZ8; https://www.hktdc.com/event/hkjewellery/en/product/1Z03O6UFX; https://www.hktdc.com/event/hkjewellery/en/product/1Z03O6WD1; https://www.hktdc.com/event/hkjewellery/en/product/1Z03O6WO4; https://www.hktdc.com/event/hkjewellery/en/product/1Z03O6WFV; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NEI0I; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NEHXS; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NEHQD; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NEHPG; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NEHNM; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NEFCL; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NEFAR; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NEEQG; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NEEOM; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NE74H; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NE7GH
Sunking (Global) Company Limited,Sunking (Global) Company Limited,Hong Kong,"Established in 2009; Space: 3800 square meters; Workforce:150 persons (15 persons in New Product Development); Capacity: 250K pcs monthly, 2D drawings: 1 day. 3D drawings: 2 days. Prototyping Lead time 2 weeks. (After CAD approval) Production Lead Time: 35 days. SUNKING JEWELRY Ltd with BSCI authorized, ISO certified factor, has been known as a reliable vendor to the leading brands in 316L stainless steel. Sunking Jewelry heavily invested in product development and turn around 350 designs monthly. MISSION With the advanced facility, craftsmanship expertise, and effective production control system, Sunking Jewelry is committed to be a trouble-free procurement provider, offering supreme quality and trendy products to the Brands at a punctual fast turnaround schedule. ADVANTAGES - BSCI Authorized, RCS, ISO9001, ISO 14001, ISO 45001 and ISO 50001 Certified. - ODM Service: 350 designs monthly - Showroom: 30k designs for selection - Fast-Turn-Around: Prototyping (2 weeks) and delivery (5 weeks) - Punctual Delivery: Stable and efficient supply chain - RoHS Standard: SGS test report provided - Constant Quality: Strict IQC - Epoxy coating: Protect the crystal from falling - NDA Enforcement: Customer proprietary protected - Scalable Productivity: Comprehensive control system","Established in 2009; Space: 3800 square meters; Workforce:150 persons (15 persons in New Product Development); Capacity: 250K pcs monthly, 2D drawings: 1 day. 3D drawings: 2 days. Prototyping Lead time 2 weeks. (After CAD approval) Production Lead Time: 35 days. SUNKING JEWELRY Ltd with BSCI authorized, ISO certified factor, has been known as a reliable vendor to the leading brands in 316L stainless steel. Sunking Jewelry heavily invested in product development and turn around 350 designs monthly. MISSION With the advanced facility, craftsmanship expertise, and effective production control system, Sunking Jewelry is committed to be a trouble-free procurement provider, offering supreme quality and trendy products to the Brands at a punctual fast turnaround schedule. ADVANTAGES - BSCI Authorized, RCS, ISO9001, ISO 14001, ISO 45001 and ISO 50001 Certified. - ODM Service: 350 designs monthly - Showroom: 30k designs for selection - Fast-Turn-Around: Prototyping (2 weeks) and delivery (5 weeks) - Punctual Delivery: Stable and efficient supply chain - RoHS Standard: SGS test report provided - Constant Quality: Strict IQC - Epoxy coating: Protect the crystal from falling - NDA Enforcement: Customer proprietary protected - Scalable Productivity: Comprehensive control system",,Exhibitor,Hong Kong International Jewellery Show 2025,CEC 5B-B06,"Silver, Titanium & Stainless Steel Jewellery",,1,,,"Men's Jewellery,Fresh Water Pearl Jewellery,Semi-Precious Stone Jewellery,Stainless Steel Jewellery; stainless steel necklace, stainless steel earrings, stainless steel ring, stainless steel bracelet&bangle, stainless steel hair clip, stainless steel brooch pin / OEM&ODM; ODM, OEM","Men's Jewellery,Fresh Water Pearl Jewellery,Semi-Precious Stone Jewellery,Stainless Steel Jewellery; stainless steel necklace, stainless steel earrings, stainless steel ring, stainless steel bracelet&bangle, stainless steel hair clip, stainless steel brooch pin / OEM&ODM; ODM, OEM",https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005E0II,20,https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCGDH; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCGCK; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCG9T; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCG8W; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCG62; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCG55; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCG48; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCG2E; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCG1H; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCG0K; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCFZO; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCFYR; https://www.hktdc.com/event/hkjewellery/en/product/1Z03MCFU3; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JGT5S; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JGT21; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JGT9G; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JGT14; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JGCNR; https://www.hktdc.com/event/hkjewellery/en/product/1Z03J7UYC; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JGCEI
Artful Corporation Limited,Artful Corporation Limited,Chinese Mainland,Artful Corporation Limited established since 2007. Our main factory was located at Yu-nan Province with sub-branches in Panyu district Guangzhou City. We mainly engage in style design and quality production of silver brass with cubic zircon and micro setting.,Artful Corporation Limited established since 2007. Our main factory was located at Yu-nan Province with sub-branches in Panyu district Guangzhou City. We mainly engage in style design and quality production of silver brass with cubic zircon and micro setting.,,Exhibitor,Hong Kong International Jewellery Show 2025,CEC 5C-F02,Chinese Mainland Pavilion,Chinese Mainland Pavilion,1,,,"Sterling Silver Jewellery; Tennis bracelets, Rainbow collection; OEM","Sterling Silver Jewellery; Tennis bracelets, Rainbow collection; OEM",https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005G45H,20,https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORLZI; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORM1B; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORLVU; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORM28; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORLXO; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORM0E; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORLYL; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORLWR; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORLUX; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORLT0; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORLS3; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORLR6; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORLQ9; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORLPC; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORF63; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORF56; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORF49; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORF3C; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORF2F; https://www.hktdc.com/event/hkjewellery/en/product/1Z03ORF1I
Maduro Limited,Maduro Limited,Hong Kong,"Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Fresh Water Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery,Titanium Jewellery,Stainless Steel Jewellery","Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Fresh Water Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery,Titanium Jewellery,Stainless Steel Jewellery",,Exhibitor,Hong Kong International Jewellery Show 2025,CEC 5B-C11,"Silver, Titanium & Stainless Steel Jewellery",,1,,,"Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Fresh Water Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery,Titanium Jewellery,Stainless Steel Jewellery; stainless steel; OEM, ODM","Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Fresh Water Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery,Titanium Jewellery,Stainless Steel Jewellery; stainless steel; OEM, ODM",https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005HNDA,11,https://www.hktdc.com/event/hkjewellery/en/product/1Z03JSTD4; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JSPE5; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JSRD6; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JSRR0; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JSSYE; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JSSE2; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JST7M; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JSQTV; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JSSSW; https://www.hktdc.com/event/hkjewellery/en/product/1Z03JSS5T; https://www.hktdc.com/event/hkjewellery/en/product/1X26YPGH
"Dongguan Elegant Packaging Manufacturing Co., Ltd.","Dongguan Elegant Packaging Manufacturing Co., Ltd.",Chinese Mainland,"Dongguan Elegant Packaging Manufacturing CO.,LTD. Integrating Design, Development, Production and sales together. Each department works independently but also be closely linked. Our Main Products Include High quality Perfume box, Precious Jewelry box, Watch box, Watch Winder,Cigar Box and Home Decor Box, Which are Popular All Over The World!","Dongguan Elegant Packaging Manufacturing CO.,LTD. Integrating Design, Development, Production and sales together. Each department works independently but also be closely linked. Our Main Products Include High quality Perfume box, Precious Jewelry box, Watch box, Watch Winder,Cigar Box and Home Decor Box, Which are Popular All Over The World!",,Exhibitor,Hong Kong International Jewellery Show 2025,CEC 5G-C17,Chinese Mainland Pavilion,Cantonese Business Go Global,1,,,"Jewellery Packaging Material, Jewellery and Watch Box, Jewellery Display Material, Jewellery Packaging & Display; Our company has its own professional production line and provides customized services for our clients. We can help customers add the brand logo and assist in product design. The company's products all use plastic core materials.; OEM, ODM","Jewellery Packaging Material, Jewellery and Watch Box, Jewellery Display Material, Jewellery Packaging & Display; Our company has its own professional production line and provides customized services for our clients. We can help customers add the brand logo and assist in product design. The company's products all use plastic core materials.; OEM, ODM",https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005GGMQ,17,https://www.hktdc.com/event/hkjewellery/en/product/1Z03OB8UA; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NNRSX; https://www.hktdc.com/event/hkjewellery/en/product/1Z03O41N2; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NNALZ; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NNZFS; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NNUXF; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NNU06; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NNRF0; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NNRZC; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NNQUS; https://www.hktdc.com/event/hkjewellery/en/product/1X235B12; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NN9RI; https://www.hktdc.com/event/hkjewellery/en/product/1Z03NN396; https://www.hktdc.com/event/hkjewellery/en/product/1X22H6H1; https://www.hktdc.com/event/hkjewellery/en/product/1X235AZ7; https://www.hktdc.com/event/hkjewellery/en/product/1X24YYJN; https://www.hktdc.com/event/hkjewellery/en/product/1X235B03
Guangzhou Arts Jewellery Co Ltd,Guangzhou Arts Jewellery Co Ltd,Chinese Mainland,"Guuanzhou Arts Jewellery Co., Ltd is a jewellery manufacturer/factory based in Panyu, Guangzhou, China. We established in 2010. We are a young and creative company with spirited designers' team, responsible business sales team, 10 to 20 years experienced jewellery masters and completed jewellery procedure lines. We are professional with Karat gold jewellery, 925 sterling silver jewellery and brass jewellery. Our main gold jewellery market is MID-East and North American. We are doing well with great quality and fashion designs with silver and brass. Our factory has 1, 800 square meters, has 100-150 employees. And we have three production lines, with gold, silver and brass jewellery. We have experienced jewellery masters to deal with each department . Our company offers variety of products which can meet your multifarious demands. We adhere to the management principles of ""quality first, customer first and credit-based"" since the establishment of the company and always do our best to satisfy potential needs of our customers. Our company is sincerely willing to cooperate with enterprises from all over the world in order to realize a win-win situation since the trend of economic globalization has developed with anirresistible force","Guuanzhou Arts Jewellery Co., Ltd is a jewellery manufacturer/factory based in Panyu, Guangzhou, China. We established in 2010. We are a young and creative company with spirited designers' team, responsible business sales team, 10 to 20 years experienced jewellery masters and completed jewellery procedure lines. We are professional with Karat gold jewellery, 925 sterling silver jewellery and brass jewellery. Our main gold jewellery market is MID-East and North American. We are doing well with great quality and fashion designs with silver and brass. Our factory has 1, 800 square meters, has 100-150 employees. And we have three production lines, with gold, silver and brass jewellery. We have experienced jewellery masters to deal with each department . Our company offers variety of products which can meet your multifarious demands. We adhere to the management principles of ""quality first, customer first and credit-based"" since the establishment of the company and always do our best to satisfy potential needs of our customers. Our company is sincerely willing to cooperate with enterprises from all over the world in order to realize a win-win situation since the trend of economic globalization has developed with anirresistible force",,Exhibitor,Hong Kong International Jewellery Show 2025,CEC 5C-E15,Chinese Mainland Pavilion,Cantonese Business Go Global,1,,,"Sterling Silver Jewellery, Men’s Jewellery, Gold Jewellery Set; We are professional with Karat gold jewellery, 925 sterling silver jewellery. Our main gold jewellery market is MID-East and North American. We are doing well with great quality and fashion designs with silver.; OEM, ODM, OBM","Sterling Silver Jewellery, Men’s Jewellery, Gold Jewellery Set; We are professional with Karat gold jewellery, 925 sterling silver jewellery. Our main gold jewellery market is MID-East and North American. We are doing well with great quality and fashion designs with silver.; OEM, ODM, OBM",https://www.hktdc.com/event/hkjewellery/en/exhibitor/1S005G43N,20,https://www.hktdc.com/event/hkjewellery/en/product/1Z03LM3RO; https://www.hktdc.com/event/hkjewellery/en/product/1X1YZRUX; https://www.hktdc.com/event/hkjewellery/en/product/1X1YZRTY; https://www.hktdc.com/event/hkjewellery/en/product/1X1YZRR0; https://www.hktdc.com/event/hkjewellery/en/product/1X1YZRQ1; https://www.hktdc.com/event/hkjewellery/en/product/1X1YZRP2; https://www.hktdc.com/event/hkjewellery/en/product/1X1WX3FC; https://www.hktdc.com/event/hkjewellery/en/product/1X1WX3CF; https://www.hktdc.com/event/hkjewellery/en/product/1X1WX3BG; https://www.hktdc.com/event/hkjewellery/en/product/1X1WX3AH; https://www.hktdc.com/event/hkjewellery/en/product/1X1WX38J; https://www.hktdc.com/event/hkjewellery/en/product/1X1WT5RU; https://www.hktdc.com/event/hkjewellery/en/product/1X1WSW66; https://www.hktdc.com/event/hkjewellery/en/product/1X1WSURR; https://www.hktdc.com/event/hkjewellery/en/product/1X1WSUA8; https://www.hktdc.com/event/hkjewellery/en/product/1X1WPP7Q; https://www.hktdc.com/event/hkjewellery/en/product/1X1WOTTS; https://www.hktdc.com/event/hkjewellery/en/product/1X1WOTOX; https://www.hktdc.com/event/hkjewellery/en/product/1X1WOTNY; https://www.hktdc.com/event/hkjewellery/en/product/1X1WOH7E
