NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
COBEN Paperclip Bracelet - Gold,COBEN Paperclip Bracelet - Gold,"OBEN Paperclip Bracelet - Gold plating, Lobster Clasp, length: 20cm+3cm","OBEN Paperclip Bracelet - Gold plating, Lobster Clasp, length: 20cm+3cm",,,,"Coben (Shen Zhen) Co., Ltd.","Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM","Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM"
COBEN Golden Wave Earrings - Gold,COBEN Golden Wave Earrings - Gold,"COBEN Golden Wave Earrings - Gold plating, pierced pin, high polished","COBEN Golden Wave Earrings - Gold plating, pierced pin, high polished",,,,"Coben (Shen Zhen) Co., Ltd.","Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM","Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM"
COBEN CZ Doorknocker Drop Earrings - Silver,COBEN CZ Doorknocker Drop Earrings - Silver,COBEN CZ Doorknocker Drop Earrings - Silver/rhodium plating,COBEN CZ Doorknocker Drop Earrings - Silver/rhodium plating,,,,"Coben (Shen Zhen) Co., Ltd.","Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM","Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM"
COBEN CZ Sunburst Circle Earrings - Silver,COBEN CZ Sunburst Circle Earrings - Silver,COBEN CZ Sunburst Circle Earrings - Silver/ rhodium plating,COBEN CZ Sunburst Circle Earrings - Silver/ rhodium plating,,,,"Coben (Shen Zhen) Co., Ltd.","Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM","Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM"
COBEN Drop Station Necklace - Silver,COBEN Drop Station Necklace - Silver,"COBEN Drop Station Necklace - Silver/rhodium plating, length 40+5cm, lobster clasp","COBEN Drop Station Necklace - Silver/rhodium plating, length 40+5cm, lobster clasp",,,,"Coben (Shen Zhen) Co., Ltd.","Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM","Sterling Silver Jewellery; Brass&925 Silver Earring,Ring,Necklace,Bangel; OEM, OBM, ODM"
925 silver necklace,925 silver necklace,fashion sterling 925 silver necklace with Opal for women,fashion sterling 925 silver necklace with Opal for women,,,,Yifan Silver,"Stainless Steel Jewellery, Sterling Silver Jewellery, Titanium Jewellery; jewelry; OBM, ODM","Stainless Steel Jewellery, Sterling Silver Jewellery, Titanium Jewellery; jewelry; OBM, ODM"
925 silver ring,925 silver ring,fashion sterling 925 silver ring with Opal for women,fashion sterling 925 silver ring with Opal for women,,,,Yifan Silver,"Stainless Steel Jewellery, Sterling Silver Jewellery, Titanium Jewellery; jewelry; OBM, ODM","Stainless Steel Jewellery, Sterling Silver Jewellery, Titanium Jewellery; jewelry; OBM, ODM"
brooche with zicorn,brooche with zicorn,fashion sterling 925 silver brooche with zicorn for women,fashion sterling 925 silver brooche with zicorn for women,,,,Yifan Silver,"Stainless Steel Jewellery, Sterling Silver Jewellery, Titanium Jewellery; jewelry; OBM, ODM","Stainless Steel Jewellery, Sterling Silver Jewellery, Titanium Jewellery; jewelry; OBM, ODM"
18K YELLOW GOLD RING (PG240542R-1),18K YELLOW GOLD RING (PG240542R-1),18K YELLOW GOLD RING WITH 6-6.5MM BUTTON SHAPE FRESHWATER PEARL,18K YELLOW GOLD RING WITH 6-6.5MM BUTTON SHAPE FRESHWATER PEARL,,,,Wing Wo Hing Jewelry Group Limited,"Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Tahiti Pearl Jewellery,Fresh Water Pearl Jewellery,Akoya Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery; Pearl Jewelry with Freshwater pearl, South Sea Pearl, Tahitian Pearl, Akoya Pearl in Gold (18K, 14K, 9K) and 925 Sterling silver, with modern and trendy designs; ODM, OBM, Others, OEM","Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Tahiti Pearl Jewellery,Fresh Water Pearl Jewellery,Akoya Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery; Pearl Jewelry with Freshwater pearl, South Sea Pearl, Tahitian Pearl, Akoya Pearl in Gold (18K, 14K, 9K) and 925 Sterling silver, with modern and trendy designs; ODM, OBM, Others, OEM"
Freshwater Pearl Gemstone Eyeglass jewelry,Freshwater Pearl Gemstone Eyeglass jewelry,"STERLING SILVER EYEGLASS / MASK CHAIN WITH COLOR BEADS AND 3-3.5MM OVAL FRESHWATER PEARL, RHODIUM PLATED (CAN WEAR AS NECKLACE)","STERLING SILVER EYEGLASS / MASK CHAIN WITH COLOR BEADS AND 3-3.5MM OVAL FRESHWATER PEARL, RHODIUM PLATED (CAN WEAR AS NECKLACE)",,,,Wing Wo Hing Jewelry Group Limited,"Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Tahiti Pearl Jewellery,Fresh Water Pearl Jewellery,Akoya Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery; Pearl Jewelry with Freshwater pearl, South Sea Pearl, Tahitian Pearl, Akoya Pearl in Gold (18K, 14K, 9K) and 925 Sterling silver, with modern and trendy designs; ODM, OBM, Others, OEM","Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Tahiti Pearl Jewellery,Fresh Water Pearl Jewellery,Akoya Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery; Pearl Jewelry with Freshwater pearl, South Sea Pearl, Tahitian Pearl, Akoya Pearl in Gold (18K, 14K, 9K) and 925 Sterling silver, with modern and trendy designs; ODM, OBM, Others, OEM"
"Two row elegant freshwater pearl necklace, 925 silver with CZ, yellow gold plated","Two row elegant freshwater pearl necklace, 925 silver with CZ, yellow gold plated","STERLING SILVER NECKLACE WITH 7-7.5MM CENTER-DRILLED FRESHWATER PEARL AND CZ, YELLOW GOLD PLATED, 18""","STERLING SILVER NECKLACE WITH 7-7.5MM CENTER-DRILLED FRESHWATER PEARL AND CZ, YELLOW GOLD PLATED, 18""",,,,Wing Wo Hing Jewelry Group Limited,"Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Tahiti Pearl Jewellery,Fresh Water Pearl Jewellery,Akoya Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery; Pearl Jewelry with Freshwater pearl, South Sea Pearl, Tahitian Pearl, Akoya Pearl in Gold (18K, 14K, 9K) and 925 Sterling silver, with modern and trendy designs; ODM, OBM, Others, OEM","Men's Jewellery,Diamond Jewellery,Gold Jewellery Set,South Sea Pearl Jewellery,Tahiti Pearl Jewellery,Fresh Water Pearl Jewellery,Akoya Pearl Jewellery,Semi-Precious Stone Jewellery,Sterling Silver Jewellery,White Gold Jewellery; Pearl Jewelry with Freshwater pearl, South Sea Pearl, Tahitian Pearl, Akoya Pearl in Gold (18K, 14K, 9K) and 925 Sterling silver, with modern and trendy designs; ODM, OBM, Others, OEM"
