booth_code,x,y
GH-H02,88,300
GH-G02,84,334
GH-F08,80,367
GH-F07,86,399
GH-E02,173,231
GH-E04,188,232
GH-E06,217,233
GH-E08,231,232
GH-E01,169,254
GH-E03,187,255
GH-D06,202,261
GH-E05,204,252
GH-D02,179,265
GH-C02,180,292
GH-C06,210,292
GH-B02,187,341
GH-C07,217,333
GH-B08,219,346
GH-A02,175,369
GH-B05,208,364
GH-A06,209,376
GH-A01,189,397
GH-A05,219,398
GH-A07,235,398
GH-E10,256,232
GH-E12,271,232
GH-E14,294,234
GH-E09,240,253
GH-E11,256,254
GH-E13,273,253
GH-D10,250,266
GH-D14,272,264
GH-C10,250,290
GH-D13,271,285
GH-C14,275,298
GH-E18,333,234
GH-E20,349,233
GH-E15,298,253
GH-E17,316,253
GH-E19,330,255
GH-D16,310,265
GH-D20,331,267
GH-C22,332,290
GH-D17,315,286
GH-D15,298,287
GH-C16,299,297
GH-C18,316,300
GH-C32,368,291
GH-C09,249,333
GH-C13,271,332
GH-B10,250,345
GH-B14,269,345
GH-B09,250,365
GH-B13,271,367
GH-A10,239,377
GH-A12,256,377
GH-A14,272,377
GH-C15,305,331
GH-C19,338,332
GH-B16,298,346
GH-B18,311,346
GH-B20,337,345
GH-B15,305,366
GH-A16,306,377
GH-B19,329,365
GH-B21,346,365
GH-A20,334,377
GH-A09,256,398
GH-A11,273,398
GH-A13,295,398
GH-B32,371,340
GH-B31,373,365
EVENT AREA,483,291
3B-D40,570,207
3B-E39,582,207
3B-D38,571,220
3B-E37,582,219
3B-D36,570,229
3B-D34,569,243
3B-E35,582,230
3B-E33,583,241
3B-E40,603,207
3B-E38,603,218
3B-E34,603,234
3B-C30,539,264
3B-D29,550,263
3B-C28,538,277
3B-D27,551,274
3B-C24,539,294
3B-D23,551,295
3B-D28,572,268
3B-E27,583,268
3B-D24,570,294
3B-E23,581,295
3B-A11,455,340
3B-B09,484,341
3B-B10,507,343
3B-C09,518,343
3B-C10,544,344
3B-A09,453,388
3B-A08,480,366
3B-A06,479,389
3B-A02,480,430
3B-C07,519,369
3B-C08,544,370
3B-B06,513,388
3B-B02,513,424
3B-C02,545,424
3B-D02,575,425
3B-C06,545,388
3B-D06,580,378
3B-D10,570,342
3B-E09,582,343
3C-A39,616,207
3C-A37,616,223
3C-A33,617,235
3B-E30,603,276
3B-E26,604,298
3B-E20,601,318
3B-E16,604,342
3B-E10,603,388
3B-E06,605,412
3B-E02,610,431
3B-A09,613,389
3B-A05,616,412
3C-A40,638,205
3C-A38,636,219
3C-A36,638,230
3C-A34,637,242
3C-B37,650,212
3C-B33,650,235
3C-A28,638,270
3C-A26,637,290
3C-A24,637,304
3C-A22,637,314
3C-A20,638,324
3C-A16,638,339
3C-A29,615,276
3C-A25,615,298
3C-A19,615,319
3C-A15,616,341
3C-A12,637,376
3C-A10,638,389
3C-A06,638,411
3C-A02,638,433
3C-B09,648,377
3C-B05,649,410
3C-B01,650,433
3C-B27,650,270
3C-B25,648,284
3C-B23,650,300
3C-B21,649,313
3C-B19,647,324
3C-B15,650,344
3C-B38,669,206
3C-C37,681,212
3C-C33,681,233
3C-B34,669,235
3C-B28,670,266
3C-B24,669,295
3C-C29,682,265
3C-C27,683,275
3C-C23,684,293
3C-B18,670,327
3C-C17,683,326
3C-B16,671,344
3C-C15,681,345
3C-B14,669,366
3C-B12,669,380
3C-C11,683,377
3C-B02,669,421
3C-C05,681,408
3C-C03,682,422
3C-C01,682,435
3C-C38,703,213
3C-C34,701,236
3C-D35,713,217
3C-D33,714,241
3C-C28,703,277
3C-C26,702,289
3C-C24,701,302
3C-C22,701,314
3C-C20,702,323
3C-C18,702,334
3C-C16,702,349
3C-D27,713,277
3C-D25,715,289
3C-D23,715,300
3C-D21,714,312
3C-D19,713,324
3C-D17,715,332
3C-D15,712,345
3C-C12,701,379
3C-C10,703,390
3C-C08,701,403
3C-C06,702,415
3C-C04,701,428
