booth_code,x,y
FMO,359,86
CH-E16,418,83
CH-E17,453,69
CH-E15,451,92
CH-E11,456,121
CH-E09,455,156
CH-E05,456,188
CH-E14,418,117
CH-E10,418,152
CH-E06,419,192
CH-F12,359,139
CH-F08,359,168
CH-F09,395,155
CH-F05,395,192
CH-E04,400,253
CH-D18,478,71
CH-D16,477,92
CH-D12,477,121
CH-D10,480,160
CH-D06,474,193
CH-D02,465,227
CH-D17,512,70
CH-D15,513,91
CH-D13,515,111
CH-D09,516,145
CH-D05,513,184
CH-C02,526,230
CH-C06,537,197
CH-C08,536,171
CH-C12,541,136
CH-C16,538,99
CH-C18,538,70
CH-C17,573,71
CH-C15,573,94
CH-C13,573,114
CH-C09,577,146
CH-C05,576,179
CH-C01,570,226
CH-B16,598,84
CH-B12,596,127
CH-B10,597,154
CH-B06,595,183
CH-B02,598,228
CH-B17,633,73
CH-B15,632,92
CH-B13,637,119
CH-B09,634,151
CH-B05,632,195
CH-A18,650,74
CH-A16,654,99
CH-A14,652,118
CH-A12,658,137
CH-A10,654,159
CH-A06,656,192
CH-A15,691,80
CH-A13,690,117
CH-A11,695,139
CH-A07,691,166
CH-P10,982,168
CH-P09,1004,187
CH-P08,1026,209
CH-P07,1041,223
CH-P05,1055,283
CH-P03,1059,321
CH-P01,1059,365
CH-P12,944,202
CH-P14,970,228
CH-P15,1000,258
CH-B03,644,256
CH-M02,289,261
CH-M04,312,280
CH-M05,343,318
CH-M08,367,381
CH-H11,476,330
CH-H01,573,331
CH-H16,407,381
CH-H12,452,384
CH-H08,498,372
CH-H02,547,384
CH-J07,496,395
CH-L01,632,361
CH-L05,662,361
CH-L07,696,324
CH-L02,630,463
CH-L06,664,465
CH-K02,578,495
CH-M11,359,442
CH-J16,409,441
CH-J12,471,411
CH-J06,508,440
CH-J02,553,442
CH-K10,478,496
CH-M14,334,518
CH-M17,300,553
CH-N09,417,570
CH-N04,484,578
CH-N07,546,575
CH-N20,609,570
CH-N11,439,610
CH-N12,458,611
CH-N14,504,609
CH-N15,522,610
CH-N17,562,610
