booth_code,x,y
GH-H02,266,347
GH-F02,265,407
GH-F08,248,469
GH-F07,256,521
GH-E02,411,231
GH-E04,442,231
GH-E06,489,228
GH-E08,517,228
GH-E10,562,231
GH-E12,591,231
GH-E14,633,230
GH-E18,702,226
GH-E20,727,229
GH-E01,411,267
GH-E03,442,271
GH-E05,461,268
GH-D02,423,285
GH-D06,463,286
GH-E09,539,266
GH-E11,563,267
GH-E13,596,268
GH-E15,634,267
GH-E17,669,266
GH-E19,695,267
GH-D20,693,288
GH-D16,654,290
GH-D14,598,288
GH-D10,557,287
GH-C02,433,338
GH-C06,474,336
GH-C10,558,333
GH-C13,594,321
GH-C14,591,341
GH-E15,638,326
GH-E17,667,323
GH-C22,699,336
GH-C16,641,347
GH-C18,664,344
GH-C32,764,331
GH-B32,767,421
GH-B31,773,465
GH-B02,443,418
GH-C07,494,404
GH-B08,498,428
GH-C09,546,403
GH-C13,591,404
GH-B10,552,424
GH-B14,597,428
GH-C15,648,409
GH-C19,710,404
GH-B16,631,426
GH-B18,667,428
GH-B20,707,431
GH-A02,417,472
GH-B05,478,467
GH-A06,478,482
GH-B09,554,464
GH-B13,598,465
GH-A10,538,481
GH-A12,567,487
GH-A14,596,484
GH-A16,651,483
GH-A20,710,484
GH-B15,651,464
GH-B19,689,462
GH-B21,727,465
GH-A01,441,525
GH-A05,491,523
GH-A07,521,522
GH-A09,563,525
GH-A11,596,522
GH-A13,634,524
GH-F03,300,635
GH-F01,333,675
GH-F11,407,642
