booth_code,x,y
5F-H12,1592,225
SEATING AREA,1592,248
5F-H08,1590,267
5F-H03,1591,284
5F-H02,1594,322
5F-H01,1592,360
5G-B42,1554,225
5G-B39,1540,257
5G-B33,1476,257
5G-B36,1492,226
5G-B34,1470,225
5G-B30,1435,227
5G-B29,1438,259
5G-B27,1413,258
5G-E02,1145,72
5G-E04,1176,71
5G-E08,1214,71
5G-E01,1154,102
5G-E05,1184,102
5G-E11,1205,105
5G-D02,1142,123
5G-D04,1164,122
5G-D06,1184,123
5G-D08,1203,124
5G-D12,1241,125
5G-D14,1261,122
5G-D16,1283,124
5G-D18,1302,125
5G-D20,1320,123
5G-D22,1358,122
5G-D24,1377,123
5G-D26,1406,122
5G-D30,1433,124
5G-D34,1472,125
5G-D01,1155,155
5G-D05,1184,156
5G-D07,1205,154
5G-D09,1223,156
5G-D11,1241,159
5G-D13,1262,156
5G-D15,1281,156
5G-D17,1299,156
5G-D19,1320,157
5G-D21,1356,156
5G-D23,1375,156
5G-D25,1398,156
5G-D27,1417,154
5G-D29,1435,156
5G-D33,1474,157
5G-C02,1144,176
5G-C04,1163,177
5G-C06,1185,175
5G-C08,1204,174
5G-C10,1222,177
5G-C12,1242,176
5G-C14,1258,178
5G-C16,1283,173
5G-C18,1301,177
5G-C20,1322,175
5G-C22,1356,175
5G-C24,1378,175
5G-C26,1395,175
5G-C28,1416,174
5G-C30,1435,177
5G-C34,1474,175
5G-C03,1176,207
5G-C07,1217,207
5G-C11,1243,207
5G-C13,1265,208
5G-C15,1285,208
5G-C17,1303,208
5G-C19,1323,207
5G-C21,1368,209
5G-C25,1397,207
5G-C27,1416,208
5G-C29,1435,206
5G-C33,1474,207
5G-B04,1175,225
5G-B03,1166,259
5G-B05,1187,261
5G-B07,1204,259
5G-B09,1225,259
5G-B08,1212,227
5G-B11,1247,261
5G-B15,1287,261
5G-B17,1311,259
5G-B16,1282,225
5G-B18,1298,225
5G-B20,1323,225
5G-B21,1356,259
5G-B22,1355,225
5G-B23,1374,260
5G-B28,1417,229
5G-A04,1164,276
5G-A06,1184,275
5G-A08,1206,278
5G-A07,1203,310
5G-A09,1223,310
5G-A10,1222,278
5G-A12,1243,278
5G-A11,1243,311
5G-A13,1266,310
5G-A14,1272,279
5G-A15,1281,308
5G-A17,1313,310
5G-A18,1305,277
5G-A20,1322,276
5G-A21,1366,307
5G-A22,1373,277
5G-A25,1398,311
5G-A26,1393,279
5G-A27,1415,310
5G-A28,1416,277
5G-A29,1433,312
5G-A30,1435,279
5G-A33,1482,310
5G-A34,1472,276
5G-A36,1495,280
5G-A38,1516,279
5G-A37,1524,310
5G-A40,1533,276
5G-A41,1554,309
5G-A42,1552,280
5F-G04,1176,319
5F-G08,1203,327
5F-G03,1174,359
5F-G07,1212,362
5F-G11,1245,363
5F-G10,1224,329
5F-G12,1242,329
5F-G13,1260,361
5F-G14,1265,330
5F-G15,1282,362
5F-G16,1283,328
5F-G18,1315,329
5F-G21,1367,363
5F-G22,1369,330
5F-G25,1397,360
5F-G26,1398,328
5F-G27,1416,359
5F-G28,1416,327
5F-G29,1438,363
5F-G30,1434,331
5F-G33,1483,361
5F-G37,1517,361
5F-G34,1471,329
5F-G36,1496,330
5F-G38,1523,329
5F-G42,1554,330
5F-F42,1535,361
5F-F04,1175,379
5F-F03,1173,410
5F-F07,1212,411
5F-F08,1213,380
5F-F11,1246,415
5F-F15,1282,412
5F-F16,1283,380
5F-F18,1314,370
5F-F17,1313,414
5F-F22,1355,378
5F-F21,1355,412
5F-F23,1382,416
5F-F27,1416,409
5F-F28,1416,381
5F-F29,1433,413
5F-F30,1434,381
5F-F33,1474,412
5F-F34,1471,382
5F-F35,1491,412
5F-F36,1494,381
SEATING AREA,1542,413
5F-E01,1156,463
5F-E05,1187,463
5F-E04,1175,432
5F-E07,1206,464
5F-E08,1205,431
5F-E10,1222,432
5F-E11,1241,463
5F-E12,1245,433
5F-E13,1260,465
5F-E14,1259,433
5F-E15,1281,462
5F-E16,1278,432
5F-E17,1298,462
5F-E18,1305,434
5F-E19,1322,463
5F-E20,1325,430
5F-E21,1359,463
5F-E22,1358,431
5F-E23,1378,464
5F-E24,1375,432
5F-E25,1394,464
5F-E26,1403,431
5F-E27,1414,464
5F-E29,1434,463
5F-E30,1434,431
5F-E33,1469,462
5F-E34,1471,434
5F-E35,1487,469
5F-D02,1156,484
5F-D01,1145,514
5F-D03,1165,514
5F-D06,1187,482
5F-D05,1182,515
