NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
"GuangDong Topleo Technology Co., Ltd.","GuangDong Topleo Technology Co., Ltd.",Chinese Mainland,"Topleo is a professional high-tech enterprise with independent R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.","Topleo is a professional high-tech enterprise with independent R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.",,Exhibitor,Hong Kong Electronics Fair SE 2025,1D-A03,Hall of Fame - Digital Entertainment,Cantonese Business Go Global,1,,,"Video Game Accessory, Remote Control; Topleo is a professional high-tech enterprise with independent
R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.; Others, OEM, ODM","Video Game Accessory, Remote Control; Topleo is a professional high-tech enterprise with independent
R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.; Others, OEM, ODM",https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005EZ8D,40,https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OGNLM; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OGNLM; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OECOO; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OECOO; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OGJBK; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OGJBK; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OGD9W; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OGD9W; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OG5NY; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OG5NY; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OFPJQ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OFPJQ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OFPOB; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OFPOB; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OFCH9; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OFCH9; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OF976; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OF976; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OF8UA; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OF8UA; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OEYRT; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OEYRT; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OEX9C; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OEX9C; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OE17E; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OE17E; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OEEI4; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03OEEI4; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NU10Z; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NU10Z; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NQ03R; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NQ03R; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NQ1JE; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NQ1JE; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NQ04O; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NQ04O; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NOC2I; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NOC2I; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NNJPE; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NNJPE
"ZHUHAI Y&Y TECHNOLOGY CO., LTD","ZHUHAI Y&Y TECHNOLOGY CO., LTD",Chinese Mainland,"Car Parking Sensor,Automotive Lighting,Vehicle Air Purifier,Car Battery","Car Parking Sensor,Automotive Lighting,Vehicle Air Purifier,Car Battery",,Exhibitor,Hong Kong Electronics Fair SE 2025,1CON-012,Hall of Fame - Digital Entertainment,Cantonese Business Go Global,1,,,"Car Parking Sensor,Automotive Lighting,Vehicle Air Purifier,Car Battery; Car accessories; OEM, ODM","Car Parking Sensor,Automotive Lighting,Vehicle Air Purifier,Car Battery; Car accessories; OEM, ODM",https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005ENDA,10,https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03K7E8Y; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03K7E8Y; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03K7Z2V; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03K7Z2V; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03K7SBB; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03K7SBB; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03K7YTN; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03K7YTN; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03K7GU2; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03K7GU2
"DONGGUAN OSM DIGITAL CO.,LTD","DONGGUAN OSM DIGITAL CO.,LTD",Chinese Mainland,"Joystick,Video Game Accessory,Wearable Camera","Joystick,Video Game Accessory,Wearable Camera",,Exhibitor,Hong Kong Electronics Fair SE 2025,1C-B14,HKTDC Buyer Centre - hktdc.com Showcase Zone,Cantonese Business Go Global,1,,,"Joystick,Video Game Accessory,Wearable Camera; Tripod
Music Stand
LED Light
Projector Mounts; OEM, ODM","Joystick,Video Game Accessory,Wearable Camera; Tripod
Music Stand
LED Light
Projector Mounts; OEM, ODM",https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005D0II,2,https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03KEINL; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03KEINL
"Shenzhen LiangBiao Technology Co., Ltd","Shenzhen LiangBiao Technology Co., Ltd",Chinese Mainland,"Earphone,Speakers","Earphone,Speakers",,Exhibitor,Hong Kong Electronics Fair SE 2025,1D-B24,HKTDC Buyer Centre - hktdc.com Showcase Zone,,1,,,"Earphone,Speakers; earphone,speaker; OBM","Earphone,Speakers; earphone,speaker; OBM",https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005ETIP,8,https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NSVP2; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NSVP2; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03MPBEJ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03MPBEJ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X254KFX; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X254KFX; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X254KEY; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X254KEY
"Shenzhen Risun Technology Co., Ltd.","Shenzhen Risun Technology Co., Ltd.",Chinese Mainland,"RISUNTECH was founded in 2006, 16 years research and development of oral care industry manufacturing experience, has developed for production area of 120000 square meters, employees over 2600 people of national high and new technology enterprise, focus on sonic electric toothbrush, dental unit, UV sterilizer and teeth whitening device of oral care products such as scientific research, production and sales. Rui st, take out the fixed budget every year as a research and development center of science and technology in such aspects as function of new technology, new special research funding, scientific research personnel 95 people, has 150 patents, 14 software works. As China household electrical appliances association director unit, and China home appliance association to develop the electric toothbrush and electric blunt feed industry standards. Get MDSAP, ISO9001:2015 quality management system, iso13485:2003 medical product quality assurance system certification, 2016 as well as the BSCI, WCA corporate social responsibility certification.","RISUNTECH was founded in 2006, 16 years research and development of oral care industry manufacturing experience, has developed for production area of 120000 square meters, employees over 2600 people of national high and new technology enterprise, focus on sonic electric toothbrush, dental unit, UV sterilizer and teeth whitening device of oral care products such as scientific research, production and sales. Rui st, take out the fixed budget every year as a research and development center of science and technology in such aspects as function of new technology, new special research funding, scientific research personnel 95 people, has 150 patents, 14 software works. As China household electrical appliances association director unit, and China home appliance association to develop the electric toothbrush and electric blunt feed industry standards. Get MDSAP, ISO9001:2015 quality management system, iso13485:2003 medical product quality assurance system certification, 2016 as well as the BSCI, WCA corporate social responsibility certification.",,Exhibitor,Hong Kong Electronics Fair SE 2025,1A-F09,HKTDC Buyer Centre - hktdc.com Showcase Zone,,1,,,"Electric Toothbrush; Electric Toothbrushes, Dental Rinsers, Teeth Whitening Devices; Others","Electric Toothbrush; Electric Toothbrushes, Dental Rinsers, Teeth Whitening Devices; Others",https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005D7CT,12,https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03EQ8W4; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03EQ8W4; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X264C6U; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X264C6U; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X264BPE; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X264BPE; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X264ASE; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X264ASE; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X264A60; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X264A60; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X26460I; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X26460I
"Guangzhou Hualiang Xinxing Electronic Manufacturing Co., Ltd.","Guangzhou Hualiang Xinxing Electronic Manufacturing Co., Ltd.",Chinese Mainland,"Hi-Fi Equipment, Blu-ray Player, Home Theatre, Amplifier","Hi-Fi Equipment, Blu-ray Player, Home Theatre, Amplifier",,Exhibitor,Hong Kong Electronics Fair SE 2025,1D-D22,Hall of Fame - Digital Entertainment,Cantonese Business Go Global,1,,,"Hi-Fi Equipment, Blu-ray Player, Home Theatre, Amplifier; speaker; Others, OBM, ODM, OEM","Hi-Fi Equipment, Blu-ray Player, Home Theatre, Amplifier; speaker; Others, OBM, ODM, OEM",https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005FAZT,26,https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJFS9; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJFS9; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJFWX; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJFWX; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJFMR; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJFMR; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJCMU; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJCMU; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJC80; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJC80; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJFEF; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJFEF; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJE9V; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJE9V; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJAOQ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJAOQ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJEI4; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJEI4; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJEEG; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJEEG; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NIFNO; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NIFNO; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJCV3; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJCV3; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJFXU; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NJFXU
Guangdong Mcdodo Industrial Co. Ltd,Guangdong Mcdodo Industrial Co. Ltd,Chinese Mainland,"Earphone,Headset Hat","Earphone,Headset Hat",,Exhibitor,Hong Kong Electronics Fair SE 2025,1E-C26,Hall of Fame - Digital Entertainment,Cantonese Business Go Global,1,,,"Earphone,Headset Hat; Power Bank, USB Charger, Data Cables, Wireless Charger; ODM, OEM","Earphone,Headset Hat; Power Bank, USB Charger, Data Cables, Wireless Charger; ODM, OEM",https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005EHMP,30,https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP86A; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP86A; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP6V9; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP6V9; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7HE; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7HE; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP891; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP891; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7FK; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7FK; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP81P; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP81P; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7NW; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7NW; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP76B; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP76B; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7YZ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7YZ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP71Q; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP71Q; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP6TF; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP6TF; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7W5; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7W5; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7RK; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7RK; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7L2; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP7L2; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP8AY; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NP8AY
"Ningbo SKL International Co., Ltd.","Ningbo SKL International Co., Ltd.",Chinese Mainland,"Regarding our factory, we mainly do cleaning liquid(digital and whiteboard), also many plastics items(like cable organizers, and plastic covers), we have our own workshop to develop the tooling to control the costs. Besides, for many other items, like some travel items(lock, pillow, bag), we have been in this field for over 18 years, and have built long-term stable cooperation with many professional factories, cheap prices with high quality.","Regarding our factory, we mainly do cleaning liquid(digital and whiteboard), also many plastics items(like cable organizers, and plastic covers), we have our own workshop to develop the tooling to control the costs. Besides, for many other items, like some travel items(lock, pillow, bag), we have been in this field for over 18 years, and have built long-term stable cooperation with many professional factories, cheap prices with high quality.",,Exhibitor,Hong Kong Electronics Fair SE 2025,1B-E22,HKTDC Buyer Centre - hktdc.com Showcase Zone,,1,,,"Cell Phone Holder, Mobile Phone Accessory, Audio & Video Cleaning Supply, Tablet & Accessory; Regarding our factory, we mainly do cleaning liquid(digital and whiteboard), also many plastics items(like cable organizers, and plastic covers), we have our own workshop to develop the tooling to control the costs.; ODM, OEM","Cell Phone Holder, Mobile Phone Accessory, Audio & Video Cleaning Supply, Tablet & Accessory; Regarding our factory, we mainly do cleaning liquid(digital and whiteboard), also many plastics items(like cable organizers, and plastic covers), we have our own workshop to develop the tooling to control the costs.; ODM, OEM",https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005G8MY,40,https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03O2T07; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03O2T07; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03KRR23; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03KRR23; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X242XHS; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X242XHS; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X242XGT; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X242XGT; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201R7K; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201R7K; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201QVZ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201QVZ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201QL9; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201QL9; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201Q7N; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201Q7N; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201KTJ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201KTJ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201KPN; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201KPN; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201KMQ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201KMQ; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201KIU; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201KIU; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201KFX; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201KFX; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201FN4; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201FN4; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201FJ8; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201FJ8; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201F8J; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201F8J; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201A33; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X201A33; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X200ZQD; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X200ZQD; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X200ZGN; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X200ZGN; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X200YWA; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X200YWA
"Rongta Trade Co., Ltd.","Rongta Trade Co., Ltd.",Chinese Mainland,"Computer Printer, Point of Sales (POS) Equipment & Technology","Computer Printer, Point of Sales (POS) Equipment & Technology",,Exhibitor,Hong Kong Electronics Fair SE 2025,1B-D10,HKTDC Buyer Centre - hktdc.com Showcase Zone,,1,,,"Computer Printer, Point of Sales (POS) Equipment & Technology; Thermal printer, Barcode printer, POS terminal, PDA, Label scale, AI scale; OEM, OBM","Computer Printer, Point of Sales (POS) Equipment & Technology; Thermal printer, Barcode printer, POS terminal, PDA, Label scale, AI scale; OEM, OBM",https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005DLBI,4,https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NMZWD; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NMZWD; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NMZLA; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1Z03NMZLA
"Dongguan Topsky Electronics Co., Ltd.","Dongguan Topsky Electronics Co., Ltd.",Chinese Mainland,"Waffle Maker,Hi-Fi Equipment,Television,HDTV,LCD Television","Waffle Maker,Hi-Fi Equipment,Television,HDTV,LCD Television",,Exhibitor,Hong Kong Electronics Fair SE 2025,1B-B26,HKTDC Buyer Centre - hktdc.com Showcase Zone,Cantonese Business Go Global,1,,,"Waffle Maker,Hi-Fi Equipment,Television,HDTV,LCD Television; LCD; OBM, ODM, OEM, Others","Waffle Maker,Hi-Fi Equipment,Television,HDTV,LCD Television; LCD; OBM, ODM, OEM, Others",https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005FAOQ,2,https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X1Y0JJW; https://www.hktdc.com/event/hkelectronicsfairse/en/product/1X1Y0JJW
