NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
"Fujian Dehua Faith Win Ceramic Co., Ltd.","Fujian Dehua Faith Win Ceramic Co., Ltd.",Chinese Mainland,"Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts",,Exhibitor,Hong Kong Home InStyle 2025,3C-F02,Group Pavilions,Chinese Mainland (Quanzhou) Pavilion,1,,,"Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM",https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L0RR,38,https://www.hktdc.com/event/homeinstyle/en/product/1Z03NVHAP; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NVHAP; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NV1B2; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NV1B2; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NUJ52; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NUJ52; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NUI60; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NUI60; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NUHVY; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NUHVY; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NUC9X; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NUC9X; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NU778; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NU778; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NU66C; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NU66C; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NU5DS; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NU5DS; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NS3N0; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NS3N0; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NDXSR; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NDXSR; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NA792; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NA792; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NA7GH; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NA7GH; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NAC1L; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NAC1L; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NA7CT; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NA7CT; https://www.hktdc.com/event/homeinstyle/en/product/1X2345H4; https://www.hktdc.com/event/homeinstyle/en/product/1X2345H4; https://www.hktdc.com/event/homeinstyle/en/product/1X2345D8; https://www.hktdc.com/event/homeinstyle/en/product/1X2345D8; https://www.hktdc.com/event/homeinstyle/en/product/1X2345BA; https://www.hktdc.com/event/homeinstyle/en/product/1X2345BA; https://www.hktdc.com/event/homeinstyle/en/product/1X1WHMQG; https://www.hktdc.com/event/homeinstyle/en/product/1X1WHMQG
Tsai Thing Int'l Technology Ltd.,Tsai Thing Int'l Technology Ltd.,Taiwan,Tsai Thing is a leading professional plastic injection factory in Taiwan for more than 50 years. we have long-term well cooperated ironworks and hardware factory. we design produce and sell products by ourselves with competitive price.,Tsai Thing is a leading professional plastic injection factory in Taiwan for more than 50 years. we have long-term well cooperated ironworks and hardware factory. we design produce and sell products by ourselves with competitive price.,,Exhibitor,Hong Kong Home InStyle 2025,3D-C06,Group Pavilions,Taiwan Pavilion,1,,,"Storage Box,Storage Rack,Household Hook,Storage Basket,Hanger,Drying Rack,Home Storage & Organisation,Desk Organiser,Towel Rail,Computer Peripherals & Accessories; Multifunction Lazy Susan, Foldable Invisible Hook, Bed Side Table. etc., storage shelf and organizer.; OEM, Others, OBM, ODM","Storage Box,Storage Rack,Household Hook,Storage Basket,Hanger,Drying Rack,Home Storage & Organisation,Desk Organiser,Towel Rail,Computer Peripherals & Accessories; Multifunction Lazy Susan, Foldable Invisible Hook, Bed Side Table. etc., storage shelf and organizer.; OEM, Others, OBM, ODM",https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005GBU7,40,https://www.hktdc.com/event/homeinstyle/en/product/1Z03HC3HI; https://www.hktdc.com/event/homeinstyle/en/product/1Z03HC3HI; https://www.hktdc.com/event/homeinstyle/en/product/1Z03HA4UE; https://www.hktdc.com/event/homeinstyle/en/product/1Z03HA4UE; https://www.hktdc.com/event/homeinstyle/en/product/1Z03O6JCH; https://www.hktdc.com/event/homeinstyle/en/product/1Z03O6JCH; https://www.hktdc.com/event/homeinstyle/en/product/1Z03K3RBC; https://www.hktdc.com/event/homeinstyle/en/product/1Z03K3RBC; https://www.hktdc.com/event/homeinstyle/en/product/1X22T9CX; https://www.hktdc.com/event/homeinstyle/en/product/1X22T9CX; https://www.hktdc.com/event/homeinstyle/en/product/1Z03JM8FJ; https://www.hktdc.com/event/homeinstyle/en/product/1Z03JM8FJ; https://www.hktdc.com/event/homeinstyle/en/product/1Z03O6JG5; https://www.hktdc.com/event/homeinstyle/en/product/1Z03O6JG5; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NMIDF; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NMIDF; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NGQAG; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NGQAG; https://www.hktdc.com/event/homeinstyle/en/product/1Z03JMB0P; https://www.hktdc.com/event/homeinstyle/en/product/1Z03JMB0P; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NMIF9; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NMIF9; https://www.hktdc.com/event/homeinstyle/en/product/1Z03JM9HC; https://www.hktdc.com/event/homeinstyle/en/product/1Z03JM9HC; https://www.hktdc.com/event/homeinstyle/en/product/1X1ZCUKY; https://www.hktdc.com/event/homeinstyle/en/product/1X1ZCUKY; https://www.hktdc.com/event/homeinstyle/en/product/1X1ZCULX; https://www.hktdc.com/event/homeinstyle/en/product/1X1ZCULX; https://www.hktdc.com/event/homeinstyle/en/product/1Z03HA4TH; https://www.hktdc.com/event/homeinstyle/en/product/1Z03HA4TH; https://www.hktdc.com/event/homeinstyle/en/product/1X1WYO9R; https://www.hktdc.com/event/homeinstyle/en/product/1X1WYO9R; https://www.hktdc.com/event/homeinstyle/en/product/1X22T9AZ; https://www.hktdc.com/event/homeinstyle/en/product/1X22T9AZ; https://www.hktdc.com/event/homeinstyle/en/product/1X22XDJE; https://www.hktdc.com/event/homeinstyle/en/product/1X22XDJE; https://www.hktdc.com/event/homeinstyle/en/product/1X1EUC7T; https://www.hktdc.com/event/homeinstyle/en/product/1X1EUC7T; https://www.hktdc.com/event/homeinstyle/en/product/1X0A0QAK; https://www.hktdc.com/event/homeinstyle/en/product/1X0A0QAK
Carrara International Ltd.,Carrara International Ltd.,Taiwan,"Clock,Furniture & Furnishing Accessory","Clock,Furniture & Furnishing Accessory",,Exhibitor,Hong Kong Home InStyle 2025,3D-B11,Home Decor & Accessories,,1,,,"Clock,Furniture & Furnishing Accessory; CARRARA INTERNATIONAL LTD. have been specialized in clock designing and developing for more than 20 years. We aim to create various types of quartz clocks for different styles of living spaces.

Our brand is CARRARA. The diversified CARRARA clock; OEM, ODM","Clock,Furniture & Furnishing Accessory; CARRARA INTERNATIONAL LTD. have been specialized in clock designing and developing for more than 20 years. We aim to create various types of quartz clocks for different styles of living spaces.

Our brand is CARRARA. The diversified CARRARA clock; OEM, ODM",https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005J80S,12,https://www.hktdc.com/event/homeinstyle/en/product/1Z03HJ0Y6; https://www.hktdc.com/event/homeinstyle/en/product/1Z03HJ0Y6; https://www.hktdc.com/event/homeinstyle/en/product/1Z03J1R30; https://www.hktdc.com/event/homeinstyle/en/product/1Z03J1R30; https://www.hktdc.com/event/homeinstyle/en/product/1Z03J1R7O; https://www.hktdc.com/event/homeinstyle/en/product/1Z03J1R7O; https://www.hktdc.com/event/homeinstyle/en/product/1Z03HJ10Z; https://www.hktdc.com/event/homeinstyle/en/product/1Z03HJ10Z; https://www.hktdc.com/event/homeinstyle/en/product/1Z03J1R4X; https://www.hktdc.com/event/homeinstyle/en/product/1Z03J1R4X; https://www.hktdc.com/event/homeinstyle/en/product/1Z03HJ0VF; https://www.hktdc.com/event/homeinstyle/en/product/1Z03HJ0VF
"Hunan Legend Porcelain Industry Co., Ltd","Hunan Legend Porcelain Industry Co., Ltd",Chinese Mainland,"Cutlery Set,Kitchen Utensil,Cup,Mug,Cup & Plate Set,Tableware","Cutlery Set,Kitchen Utensil,Cup,Mug,Cup & Plate Set,Tableware",,Exhibitor,Hong Kong Home InStyle 2025,3D-C18,Group Pavilions,Chinese Mainland (Hunan) Pavilion,1,,,"Cutlery Set,Kitchen Utensil,Cup,Mug,Cup & Plate Set,Tableware; Ceramic; OEM, OBM, ODM, Others","Cutlery Set,Kitchen Utensil,Cup,Mug,Cup & Plate Set,Tableware; Ceramic; OEM, OBM, ODM, Others",https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L4PT,2,https://www.hktdc.com/event/homeinstyle/en/product/1Z03OELH0; https://www.hktdc.com/event/homeinstyle/en/product/1Z03OELH0
"Taizhou Feirong Glasses Co., Ltd.","Taizhou Feirong Glasses Co., Ltd.",Chinese Mainland,Camping & Picnic Equipment,Camping & Picnic Equipment,,Exhibitor,Hong Kong Home InStyle 2025,3C-A24,Group Pavilions,Chinese Mainland (Jiaojiang) Pavilion,1,,,"Camping & Picnic Equipment; Sunglasses; ODM, OEM","Camping & Picnic Equipment; Sunglasses; ODM, OEM",https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MLE9,40,https://www.hktdc.com/event/homeinstyle/en/product/1X26Q7OR; https://www.hktdc.com/event/homeinstyle/en/product/1X26Q7OR; https://www.hktdc.com/event/homeinstyle/en/product/1Z03G1UWI; https://www.hktdc.com/event/homeinstyle/en/product/1Z03G1UWI; https://www.hktdc.com/event/homeinstyle/en/product/1X27GY24; https://www.hktdc.com/event/homeinstyle/en/product/1X27GY24; https://www.hktdc.com/event/homeinstyle/en/product/1X27G0JH; https://www.hktdc.com/event/homeinstyle/en/product/1X27G0JH; https://www.hktdc.com/event/homeinstyle/en/product/1X275EL9; https://www.hktdc.com/event/homeinstyle/en/product/1X275EL9; https://www.hktdc.com/event/homeinstyle/en/product/1X273EM8; https://www.hktdc.com/event/homeinstyle/en/product/1X273EM8; https://www.hktdc.com/event/homeinstyle/en/product/1X26Q9DW; https://www.hktdc.com/event/homeinstyle/en/product/1X26Q9DW; https://www.hktdc.com/event/homeinstyle/en/product/1X26Q5H4; https://www.hktdc.com/event/homeinstyle/en/product/1X26Q5H4; https://www.hktdc.com/event/homeinstyle/en/product/1X26PNAT; https://www.hktdc.com/event/homeinstyle/en/product/1X26PNAT; https://www.hktdc.com/event/homeinstyle/en/product/1X26BCY2; https://www.hktdc.com/event/homeinstyle/en/product/1X26BCY2; https://www.hktdc.com/event/homeinstyle/en/product/1X26BCX3; https://www.hktdc.com/event/homeinstyle/en/product/1X26BCX3; https://www.hktdc.com/event/homeinstyle/en/product/1X26BCV5; https://www.hktdc.com/event/homeinstyle/en/product/1X26BCV5; https://www.hktdc.com/event/homeinstyle/en/product/1Z03G7LKR; https://www.hktdc.com/event/homeinstyle/en/product/1Z03G7LKR; https://www.hktdc.com/event/homeinstyle/en/product/1X279UG2; https://www.hktdc.com/event/homeinstyle/en/product/1X279UG2; https://www.hktdc.com/event/homeinstyle/en/product/1X279OOC; https://www.hktdc.com/event/homeinstyle/en/product/1X279OOC; https://www.hktdc.com/event/homeinstyle/en/product/1X279KQM; https://www.hktdc.com/event/homeinstyle/en/product/1X279KQM; https://www.hktdc.com/event/homeinstyle/en/product/1X279884; https://www.hktdc.com/event/homeinstyle/en/product/1X279884; https://www.hktdc.com/event/homeinstyle/en/product/1Z03G7LPC; https://www.hktdc.com/event/homeinstyle/en/product/1Z03G7LPC; https://www.hktdc.com/event/homeinstyle/en/product/1Z03G4IU0; https://www.hktdc.com/event/homeinstyle/en/product/1Z03G4IU0; https://www.hktdc.com/event/homeinstyle/en/product/1Z03G2PVQ; https://www.hktdc.com/event/homeinstyle/en/product/1Z03G2PVQ
Hong Kong Productivity Council,Hong Kong Productivity Council,Hong Kong,"The Hong Kong Productivity Council (HKPC) is a multi-disciplinary organisation established by statute in 1967, to promote productivity excellence through relentless drive of world-class advanced technologies and innovative service offerings to support Hong Kong enterprises. As a nationwide leader in innovative, market-driven research and development (R&D) internationally, specialising in leading technologies and all-rounded manufacturing services, HKPC promotes new industrialisation in Hong Kong and the Greater Bay Area and facilitates the development of new productive forces, leveraging innovation and technology (I&T), as well as bolstering Hong Kong to be an international innovation and technology centre and a smart city. The Council offers comprehensive innovative solutions for Hong Kong industries and enterprises, enabling them to achieve resources and productivity utilisation, effectiveness and cost reduction, and enhance competitiveness in both local and overseas marketplace. The Council partners and collaborates with local industries and enterprises and world-class R&D institutes to develop applied technology solutions for value creation.","The Hong Kong Productivity Council (HKPC) is a multi-disciplinary organisation established by statute in 1967, to promote productivity excellence through relentless drive of world-class advanced technologies and innovative service offerings to support Hong Kong enterprises. As a nationwide leader in innovative, market-driven research and development (R&D) internationally, specialising in leading technologies and all-rounded manufacturing services, HKPC promotes new industrialisation in Hong Kong and the Greater Bay Area and facilitates the development of new productive forces, leveraging innovation and technology (I&T), as well as bolstering Hong Kong to be an international innovation and technology centre and a smart city. The Council offers comprehensive innovative solutions for Hong Kong industries and enterprises, enabling them to achieve resources and productivity utilisation, effectiveness and cost reduction, and enhance competitiveness in both local and overseas marketplace. The Council partners and collaborates with local industries and enterprises and world-class R&D institutes to develop applied technology solutions for value creation.",,Exhibitor,Hong Kong Home InStyle 2025,5E-A08,Health & Wellness,Gerontech Living Pavilion,1,,,"Elderly Care; The Healing Horizon: A Journey into Immersive Healthcare combines hand-eye coordination with floral arrangement in a mixed reality (MR) game, utilizing cognitive stimulation therapy to restore muscle and brain functions; Others","Elderly Care; The Healing Horizon: A Journey into Immersive Healthcare combines hand-eye coordination with floral arrangement in a mixed reality (MR) game, utilizing cognitive stimulation therapy to restore muscle and brain functions; Others",https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L6TF,0,
Hongkong Liveon Kitchen Technology Limited,Hongkong Liveon Kitchen Technology Limited,Hong Kong,"Kitchen Knife,Cutlery Set,Table Knife,Cutting Board,Salt Pepper Grinder,Kitchen Utensil,Tableware,Coaster,Metal Craft,Can Opener","Kitchen Knife,Cutlery Set,Table Knife,Cutting Board,Salt Pepper Grinder,Kitchen Utensil,Tableware,Coaster,Metal Craft,Can Opener",,Exhibitor,Hong Kong Home InStyle 2025,3E-D01,World of Fine Dining,,1,,,"Kitchen Knife,Cutlery Set,Table Knife,Cutting Board,Salt Pepper Grinder,Kitchen Utensil,Tableware,Coaster,Metal Craft,Can Opener; HONGKONG LIVEON KITCHEN TECHNOLOGY LIMITED main products:
knives, tablewares, BAMBOO WOOD ARTICLES, Kitchen
miscellaneous.; ODM, OBM","Kitchen Knife,Cutlery Set,Table Knife,Cutting Board,Salt Pepper Grinder,Kitchen Utensil,Tableware,Coaster,Metal Craft,Can Opener; HONGKONG LIVEON KITCHEN TECHNOLOGY LIMITED main products:
knives, tablewares, BAMBOO WOOD ARTICLES, Kitchen
miscellaneous.; ODM, OBM",https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005G0Z3,6,https://www.hktdc.com/event/homeinstyle/en/product/1Z03N5I46; https://www.hktdc.com/event/homeinstyle/en/product/1Z03N5I46; https://www.hktdc.com/event/homeinstyle/en/product/1Z03N4J6Z; https://www.hktdc.com/event/homeinstyle/en/product/1Z03N4J6Z; https://www.hktdc.com/event/homeinstyle/en/product/1Z03N5IU0; https://www.hktdc.com/event/homeinstyle/en/product/1Z03N5IU0
Huangyan Import & Export Corporation Zhejiang,Huangyan Import & Export Corporation Zhejiang,Chinese Mainland,Towel Rail,Towel Rail,,Exhibitor,Hong Kong Home InStyle 2025,3C-B28,Group Pavilions,Chinese Mainland (Huangyan) Pavilion,1,,,"Towel Rail; GIFT; ODM, OEM","Towel Rail; GIFT; ODM, OEM",https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LUGU,40,https://www.hktdc.com/event/homeinstyle/en/product/1Z03FQFH6; https://www.hktdc.com/event/homeinstyle/en/product/1Z03FQFH6; https://www.hktdc.com/event/homeinstyle/en/product/1Z03IBTBA; https://www.hktdc.com/event/homeinstyle/en/product/1Z03IBTBA; https://www.hktdc.com/event/homeinstyle/en/product/1Z03FRNYJ; https://www.hktdc.com/event/homeinstyle/en/product/1Z03FRNYJ; https://www.hktdc.com/event/homeinstyle/en/product/1Z03LQYEW; https://www.hktdc.com/event/homeinstyle/en/product/1Z03LQYEW; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJNZG; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJNZG; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJ7K5; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJ7K5; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MK4M2; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MK4M2; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJ4BZ; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJ4BZ; https://www.hktdc.com/event/homeinstyle/en/product/1Z03IB72N; https://www.hktdc.com/event/homeinstyle/en/product/1Z03IB72N; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJTRY; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJTRY; https://www.hktdc.com/event/homeinstyle/en/product/1Z03LPRP6; https://www.hktdc.com/event/homeinstyle/en/product/1Z03LPRP6; https://www.hktdc.com/event/homeinstyle/en/product/1Z03IAEJ1; https://www.hktdc.com/event/homeinstyle/en/product/1Z03IAEJ1; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJDKZ; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJDKZ; https://www.hktdc.com/event/homeinstyle/en/product/1Z03LQXY9; https://www.hktdc.com/event/homeinstyle/en/product/1Z03LQXY9; https://www.hktdc.com/event/homeinstyle/en/product/1Z03LXSE2; https://www.hktdc.com/event/homeinstyle/en/product/1Z03LXSE2; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJ6V9; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJ6V9; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJOZF; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJOZF; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJ2JD; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJ2JD; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MK1TK; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MK1TK; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJ0HL; https://www.hktdc.com/event/homeinstyle/en/product/1Z03MJ0HL
"Ningbo Flyingking Import & Export Co., Ltd.","Ningbo Flyingking Import & Export Co., Ltd.",Chinese Mainland,Stationery,Stationery,,Exhibitor,Hong Kong Home InStyle 2025,3C-B27,Group Pavilions,Chinese Mainland (Ninghai) Pavilion,1,,,"Stationery; Stationery; OBM, OEM","Stationery; Stationery; OBM, OEM",https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005MLJU,40,https://www.hktdc.com/event/homeinstyle/en/product/1Z03H5AQK; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H5AQK; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H06IC; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H06IC; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H3KR7; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H3KR7; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GVDH8; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GVDH8; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H4BV4; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H4BV4; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H5AK2; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H5AK2; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GVDJ2; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GVDJ2; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H4BW1; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H4BW1; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GZAAW; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GZAAW; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H5B9Y; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H5B9Y; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H4ZWD; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H4ZWD; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H0T5S; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H0T5S; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H0RQ3; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H0RQ3; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GVLH0; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GVLH0; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GXOWO; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GXOWO; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H2UTR; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H2UTR; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H46W6; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H46W6; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GYSTT; https://www.hktdc.com/event/homeinstyle/en/product/1Z03GYSTT; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H3KLP; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H3KLP; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H2ULF; https://www.hktdc.com/event/homeinstyle/en/product/1Z03H2ULF
Bzyoo International Inc.,Bzyoo International Inc.,Taiwan,"Thermal Flask,Thermal Mug,Kitchen Utensil,Tabletop Accessories,Tableware,Mixing Bowl,Plate,Bowl,Food Container,Food Box","Thermal Flask,Thermal Mug,Kitchen Utensil,Tabletop Accessories,Tableware,Mixing Bowl,Plate,Bowl,Food Container,Food Box",,Exhibitor,Hong Kong Home InStyle 2025,3E-B02,World of Fine Dining,,1,,,"Thermal Flask,Thermal Mug,Kitchen Utensil,Tabletop Accessories,Tableware,Mixing Bowl,Plate,Bowl,Food Container,Food Box; Dinnerware, Serveware, Kitchen Accessories, Hydration, Bento, Food Storage; OEM, ODM","Thermal Flask,Thermal Mug,Kitchen Utensil,Tabletop Accessories,Tableware,Mixing Bowl,Plate,Bowl,Food Container,Food Box; Dinnerware, Serveware, Kitchen Accessories, Hydration, Bento, Food Storage; OEM, ODM",https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005HH2D,8,https://www.hktdc.com/event/homeinstyle/en/product/1Z03O1PAH; https://www.hktdc.com/event/homeinstyle/en/product/1Z03O1PAH; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NSZ3S; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NSZ3S; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NSY8E; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NSY8E; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NSZ5M; https://www.hktdc.com/event/homeinstyle/en/product/1Z03NSZ5M
