booth_code,x,y
5E-E02,202,158
5E-D02,198,281
5E-E37,713,191
5E-E35,738,215
5E-D36,700,228
5E-E33,787,262
5E-E31,811,291
5E-E34,759,289
5E-E32,786,315
5E-M13,656,264
5E-M09,720,326
5E-M07,744,349
5E-M03,785,390
5E-M01,823,431
5E-L08,706,363
5E-L04,748,406
5E-L02,784,443
5E-K28,639,473
5E-K26,680,511
5E-K24,708,542
5E-K22,749,583
5E-L25,693,499
5E-L23,721,529
5E-L21,760,568
5E-L15,784,606
5E-B16,529,489
5E-C16,487,404
5E-B21,609,575
5E-A26,669,612
5E-A24,628,612
5E-A20,593,614
5E-A17,597,680
5E-A09,556,681
5E-A18,517,612
5E-A16,476,610
5E-A08,354,593
5E-A02,221,595
5E-B17,517,575
5E-B15,476,576
Interactive Area,406,487
5E-B14,303,508
5E-B08,257,506
5E-B04,222,508
5E-B02,185,506
5E-C13,293,470
5E-C07,221,470
5E-C01,186,470
5E-C02,219,401
5E-C10,337,402
5E-C12,386,401
5E-D13,404,367
5E-D11,371,365
5E-D07,336,367
5E-D05,301,368
5E-D03,266,366
5E-D01,225,366
5E-D08,304,299
5E-D06,269,299
5E-D04,231,300
5E-E05,256,263
the FORUM,387,173
Cultural and Creative Avenue Curated Areas,561,281
Buyer Concierge Counter,315,689
