booth_code,x,y
DRAGON LOUNGE,864,613
6-J36,736,672
8-A35,707,674
8-A36,680,672
8-A37,649,671
6-J32,714,599
6-J28,713,537
8-A27,683,537
8-A31,683,586
8-A33,685,614
8-A28,631,538
8-A32,630,600
8-B27,603,537
8-B31,602,601
8-B28,536,537
8-B32,551,598
8-B35,589,672
8-B36,560,673
8-B37,534,672
8-C31,523,601
8-C35,504,671
8-C36,474,670
8-C28,456,537
8-C32,472,600
8-D31,442,599
8-D28,375,538
8-D32,374,601
8-D35,419,672
8-D36,390,671
8-E35,362,671
8-E28,304,537
8-E32,304,599
8-E36,306,670
8-F27,276,536
8-F31,276,597
8-F35,274,670
8-F36,248,669
8-F28,223,525
8-F30,224,584
8-G27,195,537
8-G31,194,586
8-G33,195,615
8-G28,143,549
8-G34,143,613
8-G35,182,671
8-G37,154,673
8-H27,113,539
8-H31,113,600
8-H35,124,671
8-H36,94,671
8-H28,62,525
8-H30,62,553
8-H32,62,586
8-H34,62,614
6-K01,790,21
6-K02,761,20
6-K03,731,21
6-K04,702,22
8-K01,78,17
6-G13,929,305
6-G17,930,347
6-G19,930,396
6-G23,928,451
6-G01,929,111
6-G07,931,172
6-G09,931,215
6-G14,875,304
6-G18,873,347
6-G20,875,375
6-G22,875,408
6-G24,874,454
6-H13,845,319
6-H19,845,376
6-H21,845,410
6-H23,845,440
6-H25,846,466
6-H14,779,305
6-H18,793,348
6-H20,794,376
6-H22,793,409
6-H24,792,453
6-J17,763,349
6-J19,763,375
6-J21,763,410
6-J23,764,451
6-J14,698,305
6-J18,714,362
6-J22,712,409
6-J24,699,456
8-A17,684,364
8-A21,686,409
8-A14,617,306
8-A18,633,362
8-A22,631,410
8-A24,632,451
8-B17,603,364
8-B21,605,406
8-B23,603,449
8-B14,551,307
8-B18,553,362
8-B22,552,405
8-B24,551,453
8-C13,523,306
8-C17,523,350
8-C19,522,391
8-C23,521,451
8-C14,469,307
8-C18,471,347
8-C20,471,388
8-C24,454,452
8-D13,441,305
8-D17,442,350
8-D19,441,377
8-D21,441,406
8-D14,375,305
8-D18,375,365
8-D22,388,411
8-D24,375,453
8-E21,361,410
8-E14,290,332
8-E22,304,437
8-F21,276,438
8-F14,207,305
8-F18,224,365
8-F22,224,411
8-F24,224,453
8-G17,194,362
8-G21,196,408
8-G23,193,453
8-G14,143,305
8-G18,141,349
8-G20,141,377
8-G22,143,412
8-G24,143,451
8-H13,113,306
8-H17,112,350
8-H19,112,377
8-H21,113,411
8-H23,113,452
8-H14,63,318
8-H20,62,376
8-H22,61,410
8-H24,61,437
8-H26,61,469
8-H02,62,95
8-H06,60,139
8-H08,61,174
8-H10,64,215
6-G02,858,95
6-G06,873,153
6-G10,860,214
6-H05,845,140
6-H07,845,168
6-H02,778,110
6-H08,793,199
6-J07,762,172
6-J09,764,217
6-J02,696,97
6-J06,711,159
6-J10,698,215
8-A05,682,142
8-A07,682,175
8-A02,617,98
8-A06,631,140
8-A08,632,174
8-A10,631,211
8-B05,602,140
8-B07,603,173
8-B09,602,215
8-B02,536,111
8-B08,550,171
8-B10,553,212
8-C07,521,174
8-C09,523,216
8-C02,454,108
8-C08,470,173
8-C10,456,215
8-D07,441,173
8-D02,373,95
8-D06,390,139
8-D08,390,174
8-D10,373,215
8-E05,360,140
8-E07,362,172
8-E02,290,110
8-E08,288,201
8-F02,208,96
8-F06,222,155
8-F10,207,215
8-G05,194,155
8-G02,128,95
8-G06,144,154
8-G10,144,215
8-H05,113,137
8-H07,113,166
8-H09,115,214
