booth_code,x,y
THE BAR,92,86
THE HUB,269,84
3C-E33,428,136
3C-E34,484,135
THE GALLERY,686,87
ICE STATION,880,63
3D-D26,893,142
THE CELLAR,1021,88
DRAGON LOUNGE,1199,89
3E-D24,1270,214
3E-D22,1270,266
3E-D20,1277,292
3E-D18,1279,322
3E-D16,1277,389
3E-D14,1277,421
3E-D12,1277,456
3E-D10,1277,494
3E-D08,1277,527
3E-D06,1277,560
3E-D04B,1278,586
3E-D04A,1279,611
3E-D02A,1279,637
3E-C18,1206,275
3E-D13,1212,403
3E-D09B,1223,479
3E-C06B,1224,495
3E-D07B,1223,512
3E-D07A,1223,531
3E-D05,1223,561
3E-D03,1221,595
3E-D01B,1222,621
3E-D01A,1224,638
3E-C10B,1189,479
3E-C10A,1189,495
3E-C08B,1190,515
3E-C08A,1190,532
3E-C06A,1188,569
3E-C04,1188,595
3E-C02B,1188,618
3E-C02A,1189,637
3E-B18,1116,281
3E-C13C,1124,382
3E-C13B,1121,405
3E-C13A,1123,427
3E-C09,1133,487
3E-C07,1133,527
3E-C05,1133,562
3E-C03,1135,596
3E-B14C,1089,383
3E-B14B,1090,405
3E-B14A,1089,428
3E-B10,1100,486
3E-B08,1101,525
3E-B06,1101,560
3E-B04,1102,595
3E-B02,1116,628
3E-B23,1017,215
3E-B21,1014,251
3E-B19,1016,283
3E-B17,1016,317
3E-B15,1018,389
3E-A24,983,214
3E-A22,983,248
3E-A20,983,281
3E-A18,982,318
3E-A16,981,387
3E-A02,999,525
VP COUNTER,910,233
3E-A19,910,283
3E-A17,909,317
3E-A11,910,455
3D-D28,867,209
3D-D18E,866,231
3D-D18D,865,252
3D-D18C,865,275
3D-D18A,866,310
3D-D12,877,453
3D-D02,894,558
3D-D23,792,215
3D-D21,792,241
3D-D19A,793,264
3D-D19,792,287
3D-D17,793,315
3D-D15,804,388
3D-D13,804,423
3D-D11,804,456
3D-D09,804,488
3D-D07,803,521
3D-D05,804,561
3D-D01,804,612
3D-C24,759,215
3D-C22,757,242
3D-C18,757,298
3D-C16,771,387
3D-C14,772,423
3D-C12,772,453
3D-C10,772,488
3D-C08,772,522
3D-C06,772,562
3D-C02,770,611
3D-C23,686,215
3D-C17,687,281
3D-C11,699,421
3D-C05,699,520
3D-B24,652,213
3D-B22,652,249
3D-B20,652,282
3D-B18,652,317
3D-B12,665,420
3D-B06,665,519
3D-B02,680,611
3D-B21,579,228
3D-B05L,592,394
3D-B05K,593,414
3D-B05J,593,431
3D-B05H,591,448
3D-B05G,593,464
3D-B05F,592,479
3D-B05E,590,497
3D-B05D,591,516
3D-B05C,592,531
3D-B05B,594,548
3D-B05A,591,565
3D-A24,546,211
3D-A22,546,248
3D-A18,564,299
3D-A02,569,607
3D-A06G,548,464
3D-A06F,546,481
3D-A06E,547,496
3D-A06D,547,512
3D-A06C,546,530
3D-A06B,547,547
3D-A06A,548,564
3C-E10,456,447
3D-A05,473,551
3D-A03,473,593
3D-A01,475,627
3C-E06,439,548
3C-E02,441,608
3C-D14,350,414
3C-D10,351,488
3C-D06,351,549
3C-D02,351,610
3C-D15,261,388
3C-D13,261,421
3C-C14,227,405
3C-C02,245,543
3C-C15,157,374
3C-C13,158,442
3C-C11,157,475
3C-C09,157,502
3C-C07B,156,519
3C-C07A,157,537
3C-C05B,156,554
3C-C05A,158,570
3C-C03B,157,585
3C-C03A,157,602
3C-C01B,157,620
3C-C01A,157,638
3C-B16,123,373
3C-B12,123,459
3C-B10,122,502
3C-B08B,123,519
3C-B08A,122,535
3C-B06B,123,553
3C-B06A,124,569
3C-B04B,123,586
3C-B04A,122,603
3C-B02B,124,619
3C-B02A,123,638
3C-B11,50,421
3C-B07,51,502
3C-B01,51,593
3D-A23,484,209
3D-A21,483,243
3D-A19,483,278
3D-A17,482,311
3C-E32,464,207
3C-E30,465,243
3C-E28,465,278
3C-E26,465,312
3C-E31,411,209
3C-E29,411,244
3C-E25,411,291
3C-E24,392,209
3C-E22,392,245
3C-E20,393,278
3C-E18,393,310
3C-E23,337,207
3C-E21,338,242
3C-E19,339,277
3C-E17,337,310
3C-D22,320,225
3C-D20,321,277
3C-D18,321,314
3C-D23,264,209
3C-D21,265,241
3C-D19,266,278
3C-D17,265,310
3C-C26,247,258
3C-C29,193,222
3C-C27,194,276
3C-C25,193,310
3C-C24,174,210
3C-C22,175,242
3C-C18,174,292
3C-C23,121,209
3C-C21,120,243
3C-C19,120,276
3C-C17,120,306
3C-B24,104,208
3C-B18,102,269
3C-B23,44,208
3C-B21,44,242
3C-B19,45,273
3C-B17,47,308
