NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Disposable Waterproof Bed Cover,Disposable Waterproof Bed Cover,"Disposable Waterproof Bed Cover; - Made from 100% polypropylene non-woven fabric - tran slucent; - lightweight; - multiple colors for buyers to order; - eco-friendly; - Highest quality nonwoven fabric; - Design and made in China; Non-woven disposable fitted bed sheets made for use with hospital beds or nursing homes. A great alternative to traditional bed sheets /covers. Characteristics such as Antibacterial, anti-slip, breathable, comfortable, and convenient.","Disposable Waterproof Bed Cover; - Made from 100% polypropylene non-woven fabric - tran slucent; - lightweight; - multiple colors for buyers to order; - eco-friendly; - Highest quality nonwoven fabric; - Design and made in China; Non-woven disposable fitted bed sheets made for use with hospital beds or nursing homes. A great alternative to traditional bed sheets /covers. Characteristics such as Antibacterial, anti-slip, breathable, comfortable, and convenient.",,,,Action Medical Sundries Limited,"Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM","Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM"
Disposable Curtain,Disposable Curtain,"- Made from 100% polypropylene non-woven fabric; - Anti-microbial additives; - translucent; - lightweight; - multiple colors for buyers to order; Disposable curtains are made from 100% polypropylene non-woven fabric treated with built-in anti-microbial additives which are built into the polymer structure of the non-woven fabric at the point of manufacture. The antibacterial activity is evenly distributed throughout the whole curtain. Its effectiveness will last the life of the curtains.; In order to provide a safer and better environment for patients and employees, disposable curtains are now utilized in millions of medical facilities worldwide to stop the spread of HAIs (Hospital Acquired Infections), including methicillin-resistant Staphylococcus aureus (MRSA).","- Made from 100% polypropylene non-woven fabric; - Anti-microbial additives; - translucent; - lightweight; - multiple colors for buyers to order; Disposable curtains are made from 100% polypropylene non-woven fabric treated with built-in anti-microbial additives which are built into the polymer structure of the non-woven fabric at the point of manufacture. The antibacterial activity is evenly distributed throughout the whole curtain. Its effectiveness will last the life of the curtains.; In order to provide a safer and better environment for patients and employees, disposable curtains are now utilized in millions of medical facilities worldwide to stop the spread of HAIs (Hospital Acquired Infections), including methicillin-resistant Staphylococcus aureus (MRSA).",,,,Action Medical Sundries Limited,"Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM","Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM"
Disposable Shoe Cover,Disposable Shoe Cover,"Features and Benefits; - Over-shoe covers; - ESD safe when used on static; - One size; - Blue in color; - Non-woven fabric; - Anti-slip sole; - Easy to fit; - Groundable tabs fit inside shoes or socks; Applications; - Manufacturing of electronics;  Food and beverage production; Beauty and cosmetics sector; Facility management; Additionally, by wearing them, you can stop liquids and dirt from ruining your shoes. The covers are uniformly sized to fit all feet and are simple to slide on.; Delivery Options; Door to Door Delivery by Zeek ( 5 - 7 Working Days ); S.F. Express - EF Locker Pickup ( 5 - 7 Working Days, Please do not choose SF Locker for 7 boxes or above ); S.F. Express - Store Pickup ( 5 - 7 Working Days; Please do not choose SF Store for 7 boxes or above ); Self Pick up at Kwai Chung Office (No delivery charge); Overseas Delivery ( 10 - 31 Working days )","Features and Benefits; - Over-shoe covers; - ESD safe when used on static; - One size; - Blue in color; - Non-woven fabric; - Anti-slip sole; - Easy to fit; - Groundable tabs fit inside shoes or socks; Applications; - Manufacturing of electronics;  Food and beverage production; Beauty and cosmetics sector; Facility management; Additionally, by wearing them, you can stop liquids and dirt from ruining your shoes. The covers are uniformly sized to fit all feet and are simple to slide on.; Delivery Options; Door to Door Delivery by Zeek ( 5 - 7 Working Days ); S.F. Express - EF Locker Pickup ( 5 - 7 Working Days, Please do not choose SF Locker for 7 boxes or above ); S.F. Express - Store Pickup ( 5 - 7 Working Days; Please do not choose SF Store for 7 boxes or above ); Self Pick up at Kwai Chung Office (No delivery charge); Overseas Delivery ( 10 - 31 Working days )",,,,Action Medical Sundries Limited,"Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM","Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM"
Disposable Protective Clothings,Disposable Protective Clothings,"We can supply a wide range of protective clothing, like Isolation gowns, and coverall suits.; - Disposable Coveralls are designed to protect workers from hazardous substances or sensitive products or processes from contamination by people. They are typically used depending on chemical toxicity and hazardous exposure conditions for protection against inorganic as well as small solid particles.; - Made from 100% polypropylene non-woven fabric; - lightweight","We can supply a wide range of protective clothing, like Isolation gowns, and coverall suits.; - Disposable Coveralls are designed to protect workers from hazardous substances or sensitive products or processes from contamination by people. They are typically used depending on chemical toxicity and hazardous exposure conditions for protection against inorganic as well as small solid particles.; - Made from 100% polypropylene non-woven fabric; - lightweight",,,,Action Medical Sundries Limited,"Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM","Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM"
Disposable Waterproof Chair Sheet,Disposable Waterproof Chair Sheet,"- Made from 100% polypropylene non-woven fabric; - Design and made in China; - lightweight; Delivery Options; Door to Door Delivery by Zeek ( 5 - 7 Working Days ); S.F. Express - EF Locker Pickup ( 5 - 7 Working Days, Please do not choose SF Locker for 7 boxes or above ); S.F. Express - Store Pickup ( 5 - 7 Working Days; Please do not choose SF Store for 7 boxes or above ); Self Pick up at Kwai Chung Office (No delivery charge); Overseas Delivery ( 10 - 31 Working days)","- Made from 100% polypropylene non-woven fabric; - Design and made in China; - lightweight; Delivery Options; Door to Door Delivery by Zeek ( 5 - 7 Working Days ); S.F. Express - EF Locker Pickup ( 5 - 7 Working Days, Please do not choose SF Locker for 7 boxes or above ); S.F. Express - Store Pickup ( 5 - 7 Working Days; Please do not choose SF Store for 7 boxes or above ); Self Pick up at Kwai Chung Office (No delivery charge); Overseas Delivery ( 10 - 31 Working days)",,,,Action Medical Sundries Limited,"Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM","Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM"
hospital equipment,hospital equipment,#hospital equipment,#hospital equipment,,,https://sourcing-media.hktdc.com/product-original/hospital-20equipment/8d8cd7fa6a2c4b7c80a95b472f9d062f,Action Medical Sundries Limited,"Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM","Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM"
Disposable Waterproof Pillow Case,Disposable Waterproof Pillow Case,"Disposable Waterproof Pillow Case or Towels are available.; - Made from 100% polypropylene non-woven fabric - tran slucent; - lightweight; - Extra soft, Strong, tear-resistant, Poly provides added strength and fluid-hold; - Able to give out simple free of charge; - Colors: upon request; Application:; - Clinic, Dental care center, Hospital, Beauty Salon, Hotel","Disposable Waterproof Pillow Case or Towels are available.; - Made from 100% polypropylene non-woven fabric - tran slucent; - lightweight; - Extra soft, Strong, tear-resistant, Poly provides added strength and fluid-hold; - Able to give out simple free of charge; - Colors: upon request; Application:; - Clinic, Dental care center, Hospital, Beauty Salon, Hotel",,,,Action Medical Sundries Limited,"Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM","Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM"
Disposable bedding set (4 in 1),Disposable bedding set (4 in 1),"We supply Disposable bedding set (4 in 1); - Made from 100% polypropylene non-woven fabric - tran slucent; - lightweight; - multiple colors for buyers to order; - convenient to use great product to bring with when travel; - eco-friendly; - Highest quality nonwoven fabric; - Design and made in China; Non-woven disposable fitted bed sheets made for use with hospital beds or nursing homes. A great alternative to traditional bed sheets /covers. Characteristics such as Antibacterial, anti-slip, breathable, comfortable, and convenient.","We supply Disposable bedding set (4 in 1); - Made from 100% polypropylene non-woven fabric - tran slucent; - lightweight; - multiple colors for buyers to order; - convenient to use great product to bring with when travel; - eco-friendly; - Highest quality nonwoven fabric; - Design and made in China; Non-woven disposable fitted bed sheets made for use with hospital beds or nursing homes. A great alternative to traditional bed sheets /covers. Characteristics such as Antibacterial, anti-slip, breathable, comfortable, and convenient.",,,,Action Medical Sundries Limited,"Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM","Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM"
Disposable Face Mask Blanket,Disposable Face Mask Blanket,Face Mask Blanket (Nonwoven Blanket); - Made from polypropylene non-woven fabric; - lightweight; - multiple colors; - eco-friendly; - Innovative (One of a kind product made by Action Medical); - Essential for traveling; - Alternative for flight blanket; - Easy to fold and store in suitcases and vehicles.; Design and made in China,Face Mask Blanket (Nonwoven Blanket); - Made from polypropylene non-woven fabric; - lightweight; - multiple colors; - eco-friendly; - Innovative (One of a kind product made by Action Medical); - Essential for traveling; - Alternative for flight blanket; - Easy to fold and store in suitcases and vehicles.; Design and made in China,,,,Action Medical Sundries Limited,"Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM","Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM"
Isolation Gown,Isolation Gown,"- AAMI PB70:2012 Level 1 Disposable Isolation Gown; - Water-resistance; - Elastic cuff; - Blue; - Size: W140 X L112 cm; Pack of 10 pcs (Nonindividual Packed); made in China; Delivery Options; Door to Door Delivery by Zeek ( 5 - 7 Working Days ); S.F. Express - EF Locker Pickup ( 5 - 7 Working Days, Please do not choose SF Locker for 7 boxes or above); S.F. Express - Store Pickup ( 5 - 7 Working Days; Please do not choose SF Store for 7 boxes or above ); Self Pick up at Kwai Chung Office (No delivery charge); Overseas Delivery ( 10 - 31 Working days )","- AAMI PB70:2012 Level 1 Disposable Isolation Gown; - Water-resistance; - Elastic cuff; - Blue; - Size: W140 X L112 cm; Pack of 10 pcs (Nonindividual Packed); made in China; Delivery Options; Door to Door Delivery by Zeek ( 5 - 7 Working Days ); S.F. Express - EF Locker Pickup ( 5 - 7 Working Days, Please do not choose SF Locker for 7 boxes or above); S.F. Express - Store Pickup ( 5 - 7 Working Days; Please do not choose SF Store for 7 boxes or above ); Self Pick up at Kwai Chung Office (No delivery charge); Overseas Delivery ( 10 - 31 Working days )",,,,Action Medical Sundries Limited,"Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM","Personal Protective Equipment,Antiseptic Products & Alcohol,Medical Mask,Medical Consumable,Medical Gloves,Medical Protective Clothing,Personal Hygiene Supplies; Surgical Mask, Disposable Bed Cover, Disposable Pillow Case, Protective Clothing; OBM, OEM, ODM"
