booth_code,x,y
THE STAGE,456,669
3F-E37,506,492
3F-E38,505,468
3F-F37,505,424
3F-F38,505,399
3F-G37,505,360
3F-G38,505,332
3F-H37,505,290
3F-H38,505,264
3G-A37,506,223
3F-D30,448,563
3F-D28,406,561
3F-D24,369,562
3F-E33,461,536
3F-E29,436,537
3F-E27,406,536
3F-E23,367,538
3F-E32,461,494
3F-E30,432,493
3F-E28,406,493
3F-E24,368,493
3F-F31,461,467
3F-F29,431,468
3F-F27,406,469
3F-F25,381,468
3F-F34,461,425
3F-F30,431,426
3F-F28,406,424
3F-G33,461,400
3F-G29,431,401
3F-G27,406,401
3F-G23,369,401
3F-G32,460,345
3F-G30,432,358
3F-G28,408,356
3F-G26,382,358
3F-G24,355,358
3F-H29,432,332
3F-H27,406,332
3F-H23,368,331
3F-H32,460,290
3F-H28,420,290
3F-H26,380,290
3F-H24,356,290
3G-A33,462,267
3G-A29,431,266
3G-A27,407,267
3G-A23,368,265
3G-A32,463,220
3G-A30,433,224
3G-A28,407,223
3G-B33,460,199
3G-B29,431,196
3G-B27,405,198
3G-B23,368,198
3G-E32,487,155
VIP LOUNGE,487,73
3G-E30,431,153
3G-E28,405,154
3G-E24,368,155
3G-C29,431,129
3G-C25,394,129
3G-C23,355,129
FORUM,382,74
3G-D30,431,19
3G-D28,405,21
3G-D26,381,19
3G-D24,355,20
3F-B25,329,741
3F-B21,304,741
3F-B15,241,738
3F-B13,202,741
3F-B11,178,739
3F-B09,149,740
3F-B07,126,739
3F-B05,101,740
3F-B03,75,739
3F-B01,50,740
3F-B22,317,685
3F-B20,278,685
3F-B18,255,697
3F-B16,227,698
3F-C17,253,670
3F-C15,229,672
3F-C22,304,630
3F-C20,280,630
3F-C16,240,618
3F-D21,304,604
3F-D19,279,603
3F-D22,305,563
3F-D20,280,561
3F-D16,241,561
3F-E21,305,535
3F-E19,279,534
3F-E17,254,534
3F-E15,228,535
3F-E20,291,480
3F-E18,254,493
3F-E16,228,492
3F-E14,204,495
3F-E12,176,495
3F-E10,152,495
3F-E08,127,492
3F-E04,89,483
3F-F07,140,466
3F-F13,216,468
3F-F17,253,468
3F-F20,291,427
3F-F16,242,413
3F-G19,292,401
3F-G16,268,359
3F-H21,306,331
3F-H19,279,332
3F-H15,242,334
3F-H20,291,290
3F-H18,254,291
3F-H16,228,291
3G-A20,291,224
3G-A16,241,222
3G-B21,306,197
3G-B15,256,197
3G-B20,292,154
3G-B16,240,154
3G-B14,201,154
3G-B12,175,155
3G-B10,153,152
3G-B08,127,154
3G-B06,102,156
3G-B02,62,143
3G-C05,101,129
3G-C09,164,130
3G-C13,215,130
3G-C17,253,130
3G-C19,280,129
3G-C21,303,129
3G-C20,293,87
3G-C18,255,88
3G-C16,228,88
3G-C14,203,88
3G-C12,176,89
3G-C08,127,86
3G-C06,101,87
3G-C04,75,87
3G-C02,50,90
3G-D01,50,60
3G-D03,77,61
3G-D05,102,61
3G-D07,125,62
3G-D11,176,63
3G-D13,203,62
3G-D15,241,62
3G-D19,280,62
3G-D21,304,62
3G-D20,293,18
3G-D16,242,18
3G-D14,203,21
3G-D12,178,18
3G-D10,154,17
3G-D08,126,21
3G-D06,102,20
3G-D02,63,20
3F-B12,178,698
3F-B08,140,698
3F-B06,101,697
3F-B02,62,685
3F-C09,152,672
3F-C07,128,671
3F-C05,100,670
3F-C10,153,630
3F-C08,129,628
3F-C06,101,630
3F-C02,61,616
3F-D09,166,602
3F-D07,127,602
3F-D05,101,605
3F-D12,178,560
3F-D10,153,562
3F-D08,127,562
3F-D04,86,562
3F-E11,177,534
3F-E09,153,538
3F-E07,127,533
3F-E03,88,536
3F-F10,152,427
3F-F08,125,427
3F-F04,87,412
3F-G07,153,399
3F-G04,126,313
3G-A04,114,211
3G-B11,175,197
