NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
Keppel Seghers - Zhen Hua Joint Venture,Keppel Seghers - Zhen Hua Joint Venture,Hong Kong,"Keppel Seghers - Zhen Hua Joint Venture is designing, building and operating Hong Kong's first integrated waste management facilities, which is scheduled for commercial operations in 2025. Situated off the coast of Shek Kwu Chau, the Hong Kong Integrated Waste Management Facilities Phase 1 (HKIWMF Phase 1) comprises 3,000 tonnes per day of advanced incineration thermal technology which reduces the volume of waste by more than 90% for significant extension of landfill lifespan, while generating more than 100MW of stable, green electrical power, thereby reducing Hong Kong's reliance on conventional fossil fuel power generation. The HKIWMF Phase 1 also includes 200 tonnes per day of mechanical treatment facility which will segregate waste into useful fractions such as ferrous / non-ferrous metals, plastics, and glass to be further reprocessed into useful products.","Keppel Seghers - Zhen Hua Joint Venture is designing, building and operating Hong Kong's first integrated waste management facilities, which is scheduled for commercial operations in 2025. Situated off the coast of Shek Kwu Chau, the Hong Kong Integrated Waste Management Facilities Phase 1 (HKIWMF Phase 1) comprises 3,000 tonnes per day of advanced incineration thermal technology which reduces the volume of waste by more than 90% for significant extension of landfill lifespan, while generating more than 100MW of stable, green electrical power, thereby reducing Hong Kong's reliance on conventional fossil fuel power generation. The HKIWMF Phase 1 also includes 200 tonnes per day of mechanical treatment facility which will segregate waste into useful fractions such as ferrous / non-ferrous metals, plastics, and glass to be further reprocessed into useful products.",,Exhibitor,Eco Expo Asia 2025,3-C30,Circular Economy and Waste Management,,1,,,"Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others","Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others",https://www.hktdc.com/event/ecoexpoasia/en/exhibitor/1S005RLG3,14,https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EPRF0; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EPRF0; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EGZEV; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EGZEV; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EH17E; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EH17E; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EGXVI; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EGXVI; https://www.hktdc.com/event/ecoexpoasia/en/product/1X24JY9X; https://www.hktdc.com/event/ecoexpoasia/en/product/1X24JY9X; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EGYTN; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EGYTN; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EH1N2; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EH1N2
"CIMC Enric Investment Holding (Shenzhen) Co., Ltd.","CIMC Enric Investment Holding (Shenzhen) Co., Ltd.",Chinese Mainland,"Maritime Logistics, Water Transportation, Energy and Charging Infrastructure, Eco-friendly Vehicle, Decarbonisation Management, Energy Transportation Technology, Energy Storage Technology, Hydrogen technology","Maritime Logistics, Water Transportation, Energy and Charging Infrastructure, Eco-friendly Vehicle, Decarbonisation Management, Energy Transportation Technology, Energy Storage Technology, Hydrogen technology",,Exhibitor,Eco Expo Asia 2025,3-F14,New Energy and Energy Efficiency,,1,,,"Maritime Logistics, Water Transportation, Energy and Charging Infrastructure, Eco-friendly Vehicle, Decarbonisation Management, Energy Transportation Technology, Energy Storage Technology, Hydrogen technology; CIMC Enric is an advanced clean energy equipment manufacturing enterprise, based on onshore and offshore, providing key equipment, engineering services and system solutions for transportation, storage, and processing on natural gas and hydrogen.","Maritime Logistics, Water Transportation, Energy and Charging Infrastructure, Eco-friendly Vehicle, Decarbonisation Management, Energy Transportation Technology, Energy Storage Technology, Hydrogen technology; CIMC Enric is an advanced clean energy equipment manufacturing enterprise, based on onshore and offshore, providing key equipment, engineering services and system solutions for transportation, storage, and processing on natural gas and hydrogen.",https://www.hktdc.com/event/ecoexpoasia/en/exhibitor/1S005TTD4,0,
"Dynagreen Environmental Protection Group Co., Ltd.","Dynagreen Environmental Protection Group Co., Ltd.",Chinese Mainland,"Dynagreen Environmental Protection Group Co., Ltd. (referred to as ""Dynagreen "") is a state-owned listed enterprise group specializing in the circular economy and renewable energy industries. Established in 2000 and under the control of Beijing State-owned Assets Management Ltd, Dynagreen is recognized as the first A+H share listed company in China's waste incineration and power generation sector (601330.SH, 1330.HK). With total assets of nearly 30 billion yuan, the group engages in investment, construction, operation, management, technical research and development, supply of core equipment, and specialized consulting services for urban waste treatment projects, providing comprehensive solutions for urban waste management. Dynagreen is a pioneer in integrated management of urban environmental industries. Holding over 70 BOT and PPP franchise contracts for solid waste treatment across more than 20 provinces, municipalities, and autonomous regions, including Beijing, Tianjin, Jiangsu, Zhejiang, Hubei, and Guangdong, the group is a leading company in the domestic industry. It has a daily waste treatment capacity of 78,000 tons and an annual capacity of 26 million tons.","Dynagreen Environmental Protection Group Co., Ltd. (referred to as ""Dynagreen "") is a state-owned listed enterprise group specializing in the circular economy and renewable energy industries. Established in 2000 and under the control of Beijing State-owned Assets Management Ltd, Dynagreen is recognized as the first A+H share listed company in China's waste incineration and power generation sector (601330.SH, 1330.HK). With total assets of nearly 30 billion yuan, the group engages in investment, construction, operation, management, technical research and development, supply of core equipment, and specialized consulting services for urban waste treatment projects, providing comprehensive solutions for urban waste management. Dynagreen is a pioneer in integrated management of urban environmental industries. Holding over 70 BOT and PPP franchise contracts for solid waste treatment across more than 20 provinces, municipalities, and autonomous regions, including Beijing, Tianjin, Jiangsu, Zhejiang, Hubei, and Guangdong, the group is a leading company in the domestic industry. It has a daily waste treatment capacity of 78,000 tons and an annual capacity of 26 million tons.",,Exhibitor,Eco Expo Asia 2025,3-E30,Circular Economy and Waste Management,,1,,,"Desulphurisation & Dust Control Technology and Equipment, Transport, Solid Waste Treatment & Incineration System, Solid Waste Recycling Technology & Equipment, Landfill Containment, Air Purification, Organic Waste Treatment, Food Waste Process, Sludge Treatment, Air Pollution & Gas Emission Control; Dynagreen is a leading integrated service provider dedicated to municipal solid waste (MSW) treatment. Our exhibition features Corporate Promotion Video, WtE Plant Sandbox Model, and detailed model of our multi-drive reverse-push waste incinerator.; Others","Desulphurisation & Dust Control Technology and Equipment, Transport, Solid Waste Treatment & Incineration System, Solid Waste Recycling Technology & Equipment, Landfill Containment, Air Purification, Organic Waste Treatment, Food Waste Process, Sludge Treatment, Air Pollution & Gas Emission Control; Dynagreen is a leading integrated service provider dedicated to municipal solid waste (MSW) treatment. Our exhibition features Corporate Promotion Video, WtE Plant Sandbox Model, and detailed model of our multi-drive reverse-push waste incinerator.; Others",https://www.hktdc.com/event/ecoexpoasia/en/exhibitor/1S005SNS1,8,https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OIHKV; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OIHKV; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OIHT4; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OIHT4; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OIHBM; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OIHBM; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OIHWV; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OIHWV
China Everbright Environment Group Limited,China Everbright Environment Group Limited,Hong Kong,"Decarbonisation Management, Sewage Treatment & System Maintenance, Water Business & Solution, Wind Power, Sludge Treatment, Food Waste Process, Wastewater Recycling Technology & Equipment, Water Purification Equipment, Water Resources Utilization, Solid Waste Recycling Technology & Equipment","Decarbonisation Management, Sewage Treatment & System Maintenance, Water Business & Solution, Wind Power, Sludge Treatment, Food Waste Process, Wastewater Recycling Technology & Equipment, Water Purification Equipment, Water Resources Utilization, Solid Waste Recycling Technology & Equipment",,Exhibitor,Eco Expo Asia 2025,3-D14,Circular Economy and Waste Management,,1,,,"Decarbonisation Management, Sewage Treatment & System Maintenance, Water Business & Solution, Wind Power, Sludge Treatment, Food Waste Process, Wastewater Recycling Technology & Equipment, Water Purification Equipment, Water Resources Utilization, Solid Waste Recycling Technology & Equipment; Since 2003, Everbright Environment has grown to become the largest environmental enterprise in China, a leading player in Asia,s environmental protection industry, the world,s largest waste-to-energy investor and operator.; ODM","Decarbonisation Management, Sewage Treatment & System Maintenance, Water Business & Solution, Wind Power, Sludge Treatment, Food Waste Process, Wastewater Recycling Technology & Equipment, Water Purification Equipment, Water Resources Utilization, Solid Waste Recycling Technology & Equipment; Since 2003, Everbright Environment has grown to become the largest environmental enterprise in China, a leading player in Asia,s environmental protection industry, the world,s largest waste-to-energy investor and operator.; ODM",https://www.hktdc.com/event/ecoexpoasia/en/exhibitor/1S005SK51,0,
Cleaner Production Partnership Programme,Cleaner Production Partnership Programme,Hong Kong,Cleaner Production Partnership Programme,Cleaner Production Partnership Programme,,Exhibitor,Eco Expo Asia 2025,3-E19,Hong Kong Pavilion,Hong Kong Pavilion,1,,,"Air Filtration System, Energy Efficient Device & Products; Cleaner Production Partnership Programme; Others","Air Filtration System, Energy Efficient Device & Products; Cleaner Production Partnership Programme; Others",https://www.hktdc.com/event/ecoexpoasia/en/exhibitor/1S005SQ17,8,https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03J32KA; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03J32KA; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EQGCK; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EQGCK; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EQFWX; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EQFWX; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EQH3A; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EQH3A
Demeter Green Ltd.,Demeter Green Ltd.,Hong Kong,,,,Exhibitor,Eco Expo Asia 2025,3-D30,Circular Economy and Waste Management,,1,,,filter; OBM,filter; OBM,https://www.hktdc.com/event/ecoexpoasia/en/exhibitor/1S005RLBI,0,
Federation of Hong Kong Industries,Federation of Hong Kong Industries,Hong Kong,Association Service,Association Service,,Exhibitor,Eco Expo Asia 2025,3-C19,Hong Kong Pavilion,Hong Kong Pavilion,1,,,Association Service; The Federation of Hong Kong Industries is the only statutory chamber established since 1960. We empower Hong Kong industries to reach new heights of success.; Others,Association Service; The Federation of Hong Kong Industries is the only statutory chamber established since 1960. We empower Hong Kong industries to reach new heights of success.; Others,https://www.hktdc.com/event/ecoexpoasia/en/exhibitor/1S005T2OY,8,https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EO0GO; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EO0GO; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EO0QU; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EO0QU; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EO08C; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EO08C; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EMDQH; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EMDQH
Heng Chang Hang Vehicle Company Limited,Heng Chang Hang Vehicle Company Limited,Hong Kong,"Heng Chang Hang Vehicle Company Limited [JOYLONG] Electric Van redefines efficiency with driving range of 450km , reduce costs, and elevate your operations. Starting from 2018, our e-vans have been in Hong Kong market and we thank for supports of our clients from Hong Kong Airports , private companies from various industries ,NGO and individual drivers.","Heng Chang Hang Vehicle Company Limited [JOYLONG] Electric Van redefines efficiency with driving range of 450km , reduce costs, and elevate your operations. Starting from 2018, our e-vans have been in Hong Kong market and we thank for supports of our clients from Hong Kong Airports , private companies from various industries ,NGO and individual drivers.",,Exhibitor,Eco Expo Asia 2025,6-A30,Green and Smart Mobility,,1,,,"Energy and Charging Infrastructure, Eco-friendly Vehicle; Our electric van EW4 with battery capacity 86.1kWh is long driving range of 450km. Its spacious room is 4,840 L x 1,880 W x 1,998 H. 3, 5 and 6-seats is available offer for sales.; ODM","Energy and Charging Infrastructure, Eco-friendly Vehicle; Our electric van EW4 with battery capacity 86.1kWh is long driving range of 450km. Its spacious room is 4,840 L x 1,880 W x 1,998 H. 3, 5 and 6-seats is available offer for sales.; ODM",https://www.hktdc.com/event/ecoexpoasia/en/exhibitor/1S005RL9O,4,https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OMQ24; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OMQ24; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OMQXJ; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OMQXJ
"Paryocean (Asia Pacific) Int'l Co., Ltd.","Paryocean (Asia Pacific) Int'l Co., Ltd.",Hong Kong,"Paryocean (Asia Pacific) International Company Limited was established in Hong Kong in 1995 as a wholly-owned subsidiary of China National Machinery Import and Export Corporation, Genertec Group. The company primarily engages in international energy (photovoltaic power station) engineering projects, and the import-export business of electromechanical products and equipment. As a professional foreign trade enterprise, Paryocean (Asia Pacific) International Company Limited has consistently served as an efficient and flexible trading platform and channel for electromechanical products throughout various historical phases of China's economic development. With a long-term development vision, the company will continue to leverage Hong Kong's advantages to deliver superior commercial services and project solutions for clients. Recently, Paryocean (Asia Pacific) International Company Limited has expanded into the I-REC (International Renewable Energy Certificate) business, providing high-quality enterprises with efficient I-REC green certificates to meet Environmental, Social, and Governance (ESG) compliance requirements.","Paryocean (Asia Pacific) International Company Limited was established in Hong Kong in 1995 as a wholly-owned subsidiary of China National Machinery Import and Export Corporation, Genertec Group. The company primarily engages in international energy (photovoltaic power station) engineering projects, and the import-export business of electromechanical products and equipment. As a professional foreign trade enterprise, Paryocean (Asia Pacific) International Company Limited has consistently served as an efficient and flexible trading platform and channel for electromechanical products throughout various historical phases of China's economic development. With a long-term development vision, the company will continue to leverage Hong Kong's advantages to deliver superior commercial services and project solutions for clients. Recently, Paryocean (Asia Pacific) International Company Limited has expanded into the I-REC (International Renewable Energy Certificate) business, providing high-quality enterprises with efficient I-REC green certificates to meet Environmental, Social, and Governance (ESG) compliance requirements.",,Exhibitor,Eco Expo Asia 2025,6-D26,Water Treatment and Quality Management,,1,,,"Sewage Treatment & System Maintenance; Sewage treatment system, I-REC &  Photovoltaic power station, Waste disposal machine; OBM, Others","Sewage Treatment & System Maintenance; Sewage treatment system, I-REC &  Photovoltaic power station, Waste disposal machine; OBM, Others",https://www.hktdc.com/event/ecoexpoasia/en/exhibitor/1S005RLIX,2,https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OM57A; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03OM57A
Recycling Fund,Recycling Fund,Hong Kong,"The Recycling Fund was established by the HKSAR Government, with the objectives of enhancing the overall capability, capacity, efficiency and skills of the recycling industry, as well as to help develop a market for recycled products by providing more market information, thereby reducing the amount of waste disposed of at landfills.","The Recycling Fund was established by the HKSAR Government, with the objectives of enhancing the overall capability, capacity, efficiency and skills of the recycling industry, as well as to help develop a market for recycled products by providing more market information, thereby reducing the amount of waste disposed of at landfills.",,Exhibitor,Eco Expo Asia 2025,3-D20,Hong Kong Pavilion,Hong Kong Pavilion,1,,,Solid Waste Recycling Technology & Equipment; Funding for Recycling Industry; Others,Solid Waste Recycling Technology & Equipment; Funding for Recycling Industry; Others,https://www.hktdc.com/event/ecoexpoasia/en/exhibitor/1S005SQ24,10,https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EHKVV; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EHKVV; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EH30X; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EH30X; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EHK44; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EHK44; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EHIPF; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EHIPF; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EH6NX; https://www.hktdc.com/event/ecoexpoasia/en/product/1Z03EH6NX
