NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Mediapolis District Cooling System (DCS) by the Park @One-North (Singapore),Mediapolis District Cooling System (DCS) by the Park @One-North (Singapore),"Keppel District Heating and Cooling Systems (Keppel DHCS) is the first and largest District Cooling Systems (DCS) developer and service provider in Singapore with presence in China and Thailand, delivering more than 70,000 Refrigeration Tonnes (RT) of cooling capacity across major business and industrial parks. The first DCS plant in Changi Business Park, Singapore commenced operations in June 2000. It has a design capacity of 37,500 RT to provide DCS services to the 66-ha business park, which is home to a mix of high-technology business, data and software enterprises, research and development divisions, and data-intensive facilities.; In an urbanising world, the densification of population in cities has given rise to the need for sustainable cooling solutions. District Cooling Systems (DCS) are able to meet such needs with a multitude of benefits.; Keppel DHCS aims to create lasting benefits for our stakeholders by partnering them to deliver sustainable district heating and cooling solutions that conserve energy and protect the environment.","Keppel District Heating and Cooling Systems (Keppel DHCS) is the first and largest District Cooling Systems (DCS) developer and service provider in Singapore with presence in China and Thailand, delivering more than 70,000 Refrigeration Tonnes (RT) of cooling capacity across major business and industrial parks. The first DCS plant in Changi Business Park, Singapore commenced operations in June 2000. It has a design capacity of 37,500 RT to provide DCS services to the 66-ha business park, which is home to a mix of high-technology business, data and software enterprises, research and development divisions, and data-intensive facilities.; In an urbanising world, the densification of population in cities has given rise to the need for sustainable cooling solutions. District Cooling Systems (DCS) are able to meet such needs with a multitude of benefits.; Keppel DHCS aims to create lasting benefits for our stakeholders by partnering them to deliver sustainable district heating and cooling solutions that conserve energy and protect the environment.",,,,Keppel Seghers - Zhen Hua Joint Venture,"Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others","Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others"
"San Wai Sewage Treatment Works, Phase 1","San Wai Sewage Treatment Works, Phase 1","Upgrading of the sewage treatment level from preliminary treatment to chemically enhanced primary treatment with disinfection; expansion of the treatment capacity to 200,000 cubic metre per day; construction of ancillary works including an administration building, a maintenance workshop, access roads and landscaping works.  Upgrading the treatment level of San Wai sewage treatment works will help to reduce pollution loads to the North-western Waters; and expansion of the treatment capacity will be able to cater for additional flows due to population growth in Northwestern New Territories.; Zhen Hua, being the local representative of China Harbour, via Group’s global network, has been contributing to the local infrastructure development for over 36 years.; 改善污水處理水平，由基本處理提高至化學強化一級處理加消毒；把處理量擴充至200,000 立方米；建造附屬工程包括行政大樓、工場、通道及環境美化工程。工程項目將改善新圍污水處理廠的處理水平以減少西北水域所承受的污染量並增加該廠的處理量，以處理新界西北區人口增長帶來的額外污水量。; 香港振華在過去36年來一直致力於當地的基礎設施建設。作為中國港灣的香港代表及中國交通建設集團的一員, 振華透過集團的全球性網絡及國家一帶一路政策所帶來的機遇, 在環保相關領域積極發展。","Upgrading of the sewage treatment level from preliminary treatment to chemically enhanced primary treatment with disinfection; expansion of the treatment capacity to 200,000 cubic metre per day; construction of ancillary works including an administration building, a maintenance workshop, access roads and landscaping works.  Upgrading the treatment level of San Wai sewage treatment works will help to reduce pollution loads to the North-western Waters; and expansion of the treatment capacity will be able to cater for additional flows due to population growth in Northwestern New Territories.; Zhen Hua, being the local representative of China Harbour, via Group’s global network, has been contributing to the local infrastructure development for over 36 years.; 改善污水處理水平，由基本處理提高至化學強化一級處理加消毒；把處理量擴充至200,000 立方米；建造附屬工程包括行政大樓、工場、通道及環境美化工程。工程項目將改善新圍污水處理廠的處理水平以減少西北水域所承受的污染量並增加該廠的處理量，以處理新界西北區人口增長帶來的額外污水量。; 香港振華在過去36年來一直致力於當地的基礎設施建設。作為中國港灣的香港代表及中國交通建設集團的一員, 振華透過集團的全球性網絡及國家一帶一路政策所帶來的機遇, 在環保相關領域積極發展。",,,,Keppel Seghers - Zhen Hua Joint Venture,"Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others","Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others"
"Hong Kong Integrated Waste Management Facilities, Phase 1  【Video】","Hong Kong Integrated Waste Management Facilities, Phase 1  【Video】","Integrated Waste Management Facilities Phase 1 - Located at the Shek Kwu Chau site (to be reclaimed) to the south of Lantau Island, occupying and area of about 10 hectares; - an Municipal Solid Waste (MSW) incineration plant with a maximum treatment capacity of 3,000 tonnes per day; - a Mechanical Sorting and Recycling Facility with a maximum treatment capacity of 200 tonnes per day for recovery of useful resources from the mixed MSW.; The lighthouse design of the chimney has now been revised to a sailboat after considering comments from local communities and having consulted the HK Institute of Urban Design, the HK Institute of Architects, the HK Institute of Landscape Architects, and the HK Green Building Council.","Integrated Waste Management Facilities Phase 1 - Located at the Shek Kwu Chau site (to be reclaimed) to the south of Lantau Island, occupying and area of about 10 hectares; - an Municipal Solid Waste (MSW) incineration plant with a maximum treatment capacity of 3,000 tonnes per day; - a Mechanical Sorting and Recycling Facility with a maximum treatment capacity of 200 tonnes per day for recovery of useful resources from the mixed MSW.; The lighthouse design of the chimney has now been revised to a sailboat after considering comments from local communities and having consulted the HK Institute of Urban Design, the HK Institute of Architects, the HK Institute of Landscape Architects, and the HK Green Building Council.",,,,Keppel Seghers - Zhen Hua Joint Venture,"Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others","Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others"
Tseung Kwan O Biodiesel Plant,Tseung Kwan O Biodiesel Plant,"The biodiesel plant reduces carbon emissions and saves resources. It converts waste cooking oil and other recycled fats into biodiesel as a substitute for mineral diesel. It has been widely adopted in European and American countries. The production annual output reaches 100,000 tons of biodiesel.; 生物柴油廠減少碳排放並節省資源。它將廢棄煮食油等回收油脂製成生物柴油，以替代礦物柴油。它已被歐美國家廣泛採用。年生產量達到10萬噸生物柴油。; Zhen Hua, being the local representative of China Harbour, via Group’s global network, has been contributing to the local infrastructure development for over 36 years.; 香港振華在過去36年來一直致力於當地的基礎設施建設。作為中國港灣的香港代表及中國交通建設集團的一員, 振華透過集團的全球性網絡及國家一帶一路政策所帶來的機遇, 在環保相關領域積極發展。","The biodiesel plant reduces carbon emissions and saves resources. It converts waste cooking oil and other recycled fats into biodiesel as a substitute for mineral diesel. It has been widely adopted in European and American countries. The production annual output reaches 100,000 tons of biodiesel.; 生物柴油廠減少碳排放並節省資源。它將廢棄煮食油等回收油脂製成生物柴油，以替代礦物柴油。它已被歐美國家廣泛採用。年生產量達到10萬噸生物柴油。; Zhen Hua, being the local representative of China Harbour, via Group’s global network, has been contributing to the local infrastructure development for over 36 years.; 香港振華在過去36年來一直致力於當地的基礎設施建設。作為中國港灣的香港代表及中國交通建設集團的一員, 振華透過集團的全球性網絡及國家一帶一路政策所帶來的機遇, 在環保相關領域積極發展。",,,,Keppel Seghers - Zhen Hua Joint Venture,"Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others","Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others"
"Hong Kong Integrated Waste Management Facilities, Phase 1","Hong Kong Integrated Waste Management Facilities, Phase 1","Integrated Waste Management Facilities Phase 1 - Located at the Shek Kwu Chau site (to be reclaimed) to the south of Lantau Island, occupying and area of about 10 hectares; - A n Municipal Solid Waste (MSW) incineration plant with a maximum treatment capacity of 3,000 tonnes per day; - A Mechanical Sorting and Recycling Facility with a maximum treatment capacity of 200 tonnes per day for recovery of useful resources from the mixed MSW.","Integrated Waste Management Facilities Phase 1 - Located at the Shek Kwu Chau site (to be reclaimed) to the south of Lantau Island, occupying and area of about 10 hectares; - A n Municipal Solid Waste (MSW) incineration plant with a maximum treatment capacity of 3,000 tonnes per day; - A Mechanical Sorting and Recycling Facility with a maximum treatment capacity of 200 tonnes per day for recovery of useful resources from the mixed MSW.",,,,Keppel Seghers - Zhen Hua Joint Venture,"Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others","Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others"
Singapore's Tuas Integrated Waste Management Facility (IWMF),Singapore's Tuas Integrated Waste Management Facility (IWMF),"National Environment Agency (NEA) awards main Tuas Nexus Integrated Waste Management Facility (IWMF) the Engineering, Procurement & Construction (EPC) Contract to Keppel Seghers, China Harbour and ST Engineering Marine Consortium, to design and build a 2,900 tonnes per day (tpd) Waste-To-Energy (WTE) facility and a 250 tpd Materials Recovery Facility (MRF).","National Environment Agency (NEA) awards main Tuas Nexus Integrated Waste Management Facility (IWMF) the Engineering, Procurement & Construction (EPC) Contract to Keppel Seghers, China Harbour and ST Engineering Marine Consortium, to design and build a 2,900 tonnes per day (tpd) Waste-To-Energy (WTE) facility and a 250 tpd Materials Recovery Facility (MRF).",,,,Keppel Seghers - Zhen Hua Joint Venture,"Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others","Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others"
Environmental Solutions,Environmental Solutions,Environmental Solutions,Environmental Solutions,,,https://sourcing-media.hktdc.com/product/a01bd10de39d11ea883f06c82c63b760/b6ec864ae39d11ea883f06c82c63b760,Keppel Seghers - Zhen Hua Joint Venture,"Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others","Solid Waste Treatment & Incineration System, Environment-related Education & Training, Solid Waste Recycling Technology & Equipment, Transport, Recycled Product, Eco-friendly Material for Construction & Fitting, Air Pollution & Gas Emission Control, Seawater Desalination, Renewable Energy Resource, Sludge Treatment; Keppel Seghers-Zhen Hua Joint Venture is the Design-Build-Operation Contractor of Hong Kong’s first Integrated Waste Management Facility(IWMF) which is a Waste to Energy Plant that combusts wastes to produce electricity.; Others"
惠阳垃圾综合处理项目,惠阳垃圾综合处理项目,绿色动力惠阳环境园（简称：惠阳环境园）是绿色动力环保集团股份有限公司与惠州市惠阳区政府合作，采用BOT、BT以及PPP投融资模式投资、建设和运营的循环经济产业园。; 项目总占地约1700亩，包括两座总处理规模为3600吨/天的垃圾电厂（一、二期）和餐厨垃圾、污泥、粪渣“三合一”项目（污泥600吨/天、餐厨垃圾400吨/天、粪便200吨/天）、园林绿化垃圾及大件垃圾处理中心。配套设施包括生活垃圾应急填埋场、飞灰填埋场、炉渣处理中心、污水处理中心等；生活区包括办公综合楼、环保低碳馆、培训中心及技术研发中心、监管中心等。; 垃圾电厂一期项目配置为三炉两机(即3台400t/d多驱动逆推式机械炉排炉和2台纯凝式汽轮发电机组1*15MW+1*9MW）、二期项目配置为四炉两机（即4台850t/d焚烧炉和1台40MW+1台45MW汽轮发电机组），配套建设燃料接收、贮存及输送系统、烟气净化系统、灰渣收集处理系统、锅炉给水系统、引风排放系统、渗滤液处理系统及其他辅助工程。配套辅助功能区包括生活垃圾卫生填埋场、渗滤液处理厂、沼气发电厂、炉渣处理中心、配套生活办公区、环保科普教育区等。; 项目先后荣获中国电力优质工程奖、国家优质工程奖、国家3A级旅游景区；被评为AAA级生活垃圾焚烧厂、广东省生活垃圾焚烧处理优秀项目。,绿色动力惠阳环境园（简称：惠阳环境园）是绿色动力环保集团股份有限公司与惠州市惠阳区政府合作，采用BOT、BT以及PPP投融资模式投资、建设和运营的循环经济产业园。; 项目总占地约1700亩，包括两座总处理规模为3600吨/天的垃圾电厂（一、二期）和餐厨垃圾、污泥、粪渣“三合一”项目（污泥600吨/天、餐厨垃圾400吨/天、粪便200吨/天）、园林绿化垃圾及大件垃圾处理中心。配套设施包括生活垃圾应急填埋场、飞灰填埋场、炉渣处理中心、污水处理中心等；生活区包括办公综合楼、环保低碳馆、培训中心及技术研发中心、监管中心等。; 垃圾电厂一期项目配置为三炉两机(即3台400t/d多驱动逆推式机械炉排炉和2台纯凝式汽轮发电机组1*15MW+1*9MW）、二期项目配置为四炉两机（即4台850t/d焚烧炉和1台40MW+1台45MW汽轮发电机组），配套建设燃料接收、贮存及输送系统、烟气净化系统、灰渣收集处理系统、锅炉给水系统、引风排放系统、渗滤液处理系统及其他辅助工程。配套辅助功能区包括生活垃圾卫生填埋场、渗滤液处理厂、沼气发电厂、炉渣处理中心、配套生活办公区、环保科普教育区等。; 项目先后荣获中国电力优质工程奖、国家优质工程奖、国家3A级旅游景区；被评为AAA级生活垃圾焚烧厂、广东省生活垃圾焚烧处理优秀项目。,,,,"Dynagreen Environmental Protection Group Co., Ltd.","Desulphurisation & Dust Control Technology and Equipment, Transport, Solid Waste Treatment & Incineration System, Solid Waste Recycling Technology & Equipment, Landfill Containment, Air Purification, Organic Waste Treatment, Food Waste Process, Sludge Treatment, Air Pollution & Gas Emission Control; Dynagreen is a leading integrated service provider dedicated to municipal solid waste (MSW) treatment. Our exhibition features Corporate Promotion Video, WtE Plant Sandbox Model, and detailed model of our multi-drive reverse-push waste incinerator.; Others","Desulphurisation & Dust Control Technology and Equipment, Transport, Solid Waste Treatment & Incineration System, Solid Waste Recycling Technology & Equipment, Landfill Containment, Air Purification, Organic Waste Treatment, Food Waste Process, Sludge Treatment, Air Pollution & Gas Emission Control; Dynagreen is a leading integrated service provider dedicated to municipal solid waste (MSW) treatment. Our exhibition features Corporate Promotion Video, WtE Plant Sandbox Model, and detailed model of our multi-drive reverse-push waste incinerator.; Others"
海宁市绿能环保项目,海宁市绿能环保项目,绿色动力海宁项目位于浙江省海宁市黄湾镇尖山新区，占地面积181亩，特许经营期限为30年。垃圾处理规模为2250吨/天（一期1500吨/天），配套建设600吨/天的污泥干化系统，年处理入厂垃圾量约50万吨，年发电量约2.8亿度。; 项目工艺采用炉排炉焚烧工艺，锅炉采用2x750t/d炉排式垃圾焚烧炉，余热锅炉为中温次高压型；汽轮发电机组采用凝汽式汽轮机组；接入系统采用110KV线路并入电网；烟气净化系统采用目前国内最为先进的“SNCR+半干法脱酸反应塔+活性炭吸附+干粉喷射+布袋式除尘器+湿法脱酸+SCR+脱白烟”相结合的烟气净化工艺；焚烧炉各排放的指标严格控制，烟气在线数据在线实时监测上传环保平台公示。渗滤液污水处理采用生化技术处理到回用水标准后回用；炉渣综合利用制砖，飞灰固化后送政府指定填埋场进行填埋。; 项目先后荣获国家优质工程奖、浙江省建设项目优质奖“钱江杯”、勘察设计类二等奖、E20固废平台“推荐项目”、嘉兴市生态环境局向社会公众开放“四星级”单位，嘉兴市总工会“最美厂区”等荣誉。被评为海宁市科普示范教育基地、生态文明思想教育基地，环保教育基地,绿色动力海宁项目位于浙江省海宁市黄湾镇尖山新区，占地面积181亩，特许经营期限为30年。垃圾处理规模为2250吨/天（一期1500吨/天），配套建设600吨/天的污泥干化系统，年处理入厂垃圾量约50万吨，年发电量约2.8亿度。; 项目工艺采用炉排炉焚烧工艺，锅炉采用2x750t/d炉排式垃圾焚烧炉，余热锅炉为中温次高压型；汽轮发电机组采用凝汽式汽轮机组；接入系统采用110KV线路并入电网；烟气净化系统采用目前国内最为先进的“SNCR+半干法脱酸反应塔+活性炭吸附+干粉喷射+布袋式除尘器+湿法脱酸+SCR+脱白烟”相结合的烟气净化工艺；焚烧炉各排放的指标严格控制，烟气在线数据在线实时监测上传环保平台公示。渗滤液污水处理采用生化技术处理到回用水标准后回用；炉渣综合利用制砖，飞灰固化后送政府指定填埋场进行填埋。; 项目先后荣获国家优质工程奖、浙江省建设项目优质奖“钱江杯”、勘察设计类二等奖、E20固废平台“推荐项目”、嘉兴市生态环境局向社会公众开放“四星级”单位，嘉兴市总工会“最美厂区”等荣誉。被评为海宁市科普示范教育基地、生态文明思想教育基地，环保教育基地,,,,"Dynagreen Environmental Protection Group Co., Ltd.","Desulphurisation & Dust Control Technology and Equipment, Transport, Solid Waste Treatment & Incineration System, Solid Waste Recycling Technology & Equipment, Landfill Containment, Air Purification, Organic Waste Treatment, Food Waste Process, Sludge Treatment, Air Pollution & Gas Emission Control; Dynagreen is a leading integrated service provider dedicated to municipal solid waste (MSW) treatment. Our exhibition features Corporate Promotion Video, WtE Plant Sandbox Model, and detailed model of our multi-drive reverse-push waste incinerator.; Others","Desulphurisation & Dust Control Technology and Equipment, Transport, Solid Waste Treatment & Incineration System, Solid Waste Recycling Technology & Equipment, Landfill Containment, Air Purification, Organic Waste Treatment, Food Waste Process, Sludge Treatment, Air Pollution & Gas Emission Control; Dynagreen is a leading integrated service provider dedicated to municipal solid waste (MSW) treatment. Our exhibition features Corporate Promotion Video, WtE Plant Sandbox Model, and detailed model of our multi-drive reverse-push waste incinerator.; Others"
武汉青山垃圾发电项目,武汉青山垃圾发电项目,"武汉青山垃圾发电项目是绿色动力集团与武汉市政府合作投资建设的市重点城市基础设施项目。一期工程垃圾处理规模1,000吨/日，已于2013年投产运行，二期工程垃圾处理规模1,200吨/日，是湖北省重点项目，已于2023年下半年投产运行。二期项目严格按照“最高标准、最优工艺、最严监管”的要求和目标来建设，是中部地区乃至全国垃圾发电行业的新标杆。; 项目先后荣获“AAA级垃圾焚烧厂、绿色发展标杆企业、湖北省第六届环境保护政府奖、首批国家环保设施公众示范单位”等荣誉，为武汉市创建卫生模范城市和文明模范城市做出了重要贡献。; 2020年初新冠疫情期间，青山项目被武汉市政府指定为涉疫医疗垃圾应急处置单位，出色完成了武汉市各方舱医院、临时医院、隔离点涉疫垃圾的应急处置任务，累计处置涉疫医疗垃圾4,300吨，为武汉市打赢疫情防控攻坚战提供了有力保障。","武汉青山垃圾发电项目是绿色动力集团与武汉市政府合作投资建设的市重点城市基础设施项目。一期工程垃圾处理规模1,000吨/日，已于2013年投产运行，二期工程垃圾处理规模1,200吨/日，是湖北省重点项目，已于2023年下半年投产运行。二期项目严格按照“最高标准、最优工艺、最严监管”的要求和目标来建设，是中部地区乃至全国垃圾发电行业的新标杆。; 项目先后荣获“AAA级垃圾焚烧厂、绿色发展标杆企业、湖北省第六届环境保护政府奖、首批国家环保设施公众示范单位”等荣誉，为武汉市创建卫生模范城市和文明模范城市做出了重要贡献。; 2020年初新冠疫情期间，青山项目被武汉市政府指定为涉疫医疗垃圾应急处置单位，出色完成了武汉市各方舱医院、临时医院、隔离点涉疫垃圾的应急处置任务，累计处置涉疫医疗垃圾4,300吨，为武汉市打赢疫情防控攻坚战提供了有力保障。",,,,"Dynagreen Environmental Protection Group Co., Ltd.","Desulphurisation & Dust Control Technology and Equipment, Transport, Solid Waste Treatment & Incineration System, Solid Waste Recycling Technology & Equipment, Landfill Containment, Air Purification, Organic Waste Treatment, Food Waste Process, Sludge Treatment, Air Pollution & Gas Emission Control; Dynagreen is a leading integrated service provider dedicated to municipal solid waste (MSW) treatment. Our exhibition features Corporate Promotion Video, WtE Plant Sandbox Model, and detailed model of our multi-drive reverse-push waste incinerator.; Others","Desulphurisation & Dust Control Technology and Equipment, Transport, Solid Waste Treatment & Incineration System, Solid Waste Recycling Technology & Equipment, Landfill Containment, Air Purification, Organic Waste Treatment, Food Waste Process, Sludge Treatment, Air Pollution & Gas Emission Control; Dynagreen is a leading integrated service provider dedicated to municipal solid waste (MSW) treatment. Our exhibition features Corporate Promotion Video, WtE Plant Sandbox Model, and detailed model of our multi-drive reverse-push waste incinerator.; Others"
