booth_code,x,y
BUSINESS EXCHANGE,1051,512
3-B38,971,560
3-B30,971,487
3-C36,947,560
3-C37,924,559
3-C38,901,560
3-C33,947,512
3-C29,946,476
3-C30,888,487
3-D38,819,559
3-D37,878,560
3-D34,833,512
3-D32,831,489
3-D30,809,468
3-E38,762,559
3-E30,750,488
3-F37,739,559
3-F30,680,485
3-F38,669,559
3-G38,634,560
3-G30,609,485
6-A37,610,559
6-B37,586,559
6-B38,552,560
6-A30,540,484
6-B30,469,504
the STAGE,331,508
DRAGON LOUNGE,115,506
3-A14,1022,316
3-A02,967,135
3-D02,819,139
3-E02,749,133
3-F02,679,133
3-G02,611,130
6-A02,538,132
6-B02,471,137
ES COUNTER,504,20
6-C10,414,193
6-C08,415,168
6-C04,412,122
6-C02,400,97
6-D09,388,193
6-D07,389,168
6-D03,388,122
6-D10,345,187
6-D08,344,162
6-D06,344,140
6-D04,343,118
6-D02,344,93
6-E09,319,187
6-E07,320,164
6-E05,319,141
6-E03,320,117
6-E01,320,94
6-E12,274,195
6-E10,274,172
6-E08,273,145
6-E06,274,122
6-E04,272,101
6-E02,272,76
6-F11,249,192
6-F09,248,163
6-F05,250,121
6-F03,249,97
6-F01,248,76
6-F12,204,192
6-F08,204,165
6-F06,204,120
6-F04,203,97
6-F02,203,74
3-C27,912,410
3-C25,911,386
3-C19,925,330
3-C22,890,343
3-C20,890,318
3-C15,911,268
3-C13,926,246
3-C14,901,246
3-D27,877,410
3-D25,877,387
3-D13,879,256
3-D26,832,399
3-D20,819,330
3-D14,785,255
3-E27,798,411
3-E24,793,388
3-E19,773,331
3-E29,762,411
3-E26,761,387
3-F25,738,402
3-F19,739,329
3-F20,681,372
3-F14,679,260
3-G28,621,415
3-G24,623,379
GREEN TECH HUB,574,281
6-A25,598,404
6-A23,600,369
6-A24C,552,417
6-A24B,552,393
6-A24A,552,371
6-B25,528,404
6-B23,528,369
6-C23,470,392
6-C19,459,322
6-C17,458,290
6-C13,459,256
6-B20,483,322
6-B18,483,290
6-B16,485,268
6-B14,485,245
6-C24,401,394
6-C20,399,322
6-C18,413,299
6-C16,412,276
6-C14,414,249
6-D15,389,285
6-D13,390,247
6-D26,331,404
6-D24,342,368
6-D20,343,323
6-D18,343,291
6-D14,344,255
6-E23,319,368
6-E19,319,323
6-E17,319,298
6-E15,319,276
6-E13,318,249
6-E28,273,414
6-E26,273,391
6-E24,274,369
6-E20,274,317
6-E18,274,291
6-E14,262,254
6-F27,250,415
6-F25,250,391
6-F23,250,368
6-F19,250,321
6-F17,251,290
6-F24,203,376
6-F22,209,339
6-F20,209,314
6-F18,209,291
6-F16,209,268
6-F14,208,244
