booth_code,x,y
1B-G02,960,523
1B-G06,962,479
1B-G08,960,453
1B-G10,961,419
1B-G18,961,306
1B-G20,962,277
1B-G22,963,249
1B-G24,961,191
1B-G26,961,164
1B-G34,962,51
1B-G40,962,17
1B-G05,901,481
1B-G07,901,453
1B-G09,901,420
1B-G17,901,305
1B-G19,902,277
1B-G21,902,247
1B-G23,900,176
1B-G37,902,50
1B-G39,903,17
1B-F02,886,522
1B-F06,872,480
1B-F08,873,453
1B-F10,873,418
1B-F12,873,391
1B-F14,873,362
1B-F16,872,335
1B-F18,872,306
1B-F20,872,261
1B-F24,872,179
1B-F28,871,136
1B-F30,872,106
1B-F32,872,78
1B-F38,871,51
1B-F40,873,17
1B-F07,826,453
1B-F09,824,405
1B-F13,825,362
1B-F15,824,333
1B-F17,825,306
1B-F19,826,262
1B-F35,826,79
1B-F37,827,52
1B-F39,824,18
1B-E02,812,508
1B-E08,796,452
1B-E10,796,418
1B-E12,797,390
1B-E14,797,361
1B-E16,799,333
1B-E18,797,306
1B-E20,794,264
1B-E24,810,149
1B-E34,798,79
1B-E36,798,50
1B-E38,799,17
1B-E11,749,395
1B-E13,751,367
1B-E15,748,338
1B-E17,748,311
1B-E19,749,262
1B-E23,749,178
1B-E27,748,135
1B-E29,748,108
1B-E31,748,79
1B-E35,748,51
1B-E39,747,17
1B-D02,735,480
1B-D18,719,310
1B-D20,719,260
1B-D24,719,178
1B-D36,720,50
1B-D40,720,17
1B-D05,669,480
1B-D07,669,453
1B-D09,667,423
1B-D11,669,390
1B-D17,667,306
1B-D19,669,277
1B-D21,668,248
1B-D23,669,179
1B-D27,669,135
1B-D37,669,32
1B-C02,653,525
1B-C06,639,481
1B-C08,639,453
1B-C10,639,425
1B-C12,639,390
1B-C18,639,306
1B-C20,638,276
1B-C22,637,247
1B-C24,638,177
1B-C28,639,136
1B-C34,639,47
1B-C36,637,16
1B-C05,588,479
1B-C07,588,453
1B-C09,589,423
1B-C11,588,391
1B-C13,586,363
1B-C15,587,333
1B-C17,587,308
1B-C19,587,263
1B-C23,588,178
1B-C27,587,135
1B-C29,587,106
1B-C31,587,78
1B-C35,587,45
1B-C39,587,17
1B-B02,573,524
1B-B06,559,482
1B-B08,559,453
1B-B10,559,424
1B-B12,559,389
1B-B14,559,362
1B-B16,560,335
1B-B18,559,305
1B-B20,557,277
1B-B22,558,247
1B-B24,559,178
1B-B38,559,137
1B-B30,559,108
1B-B36,558,79
1B-B38,559,46
1B-B40,559,18
1B-B05,507,479
1B-B07,508,452
1B-B15,508,333
1B-B17,509,306
1B-B23,507,151
1B-B31,508,79
1B-B35,507,50
1B-B39,506,17
1B-A02,494,523
1B-A06,479,481
1B-A08,479,453
1B-A10,493,396
1B-A16,478,334
1B-A18,479,306
1B-A20,492,261
1B-A24,478,177
1B-A30,478,136
1B-A32,478,107
1B-A34,479,80
1B-A38,478,53
1B-A40,478,18
1B-A01,428,525
1B-A05,428,481
1B-A07,427,450
1B-A09,428,418
1B-A11,428,391
1B-A15,429,306
1B-A17,430,277
1B-A19,428,247
1B-A21,429,177
1B-A33,426,74
1B-A35,426,45
1B-A37,425,17
1A-F02,390,523
1A-F06,390,481
1A-F08,391,453
1A-F10,389,405
1A-F18,391,306
1A-F20,391,277
1A-F22,389,249
1A-F24,389,178
1A-F28,383,107
1A-F27,355,108
1A-F07,343,451
1A-F09,343,426
1A-F11,344,396
1A-F13,343,349
1A-F17,342,306
1A-F19,343,264
1A-F23,343,178
1A-E02,329,508
1A-E08,314,452
1A-E10,315,424
1A-E12,316,396
1A-E14,315,363
1A-E16,315,322
1A-E20,315,278
1A-E22,315,248
1A-E24,315,177
1A-E28,325,108
1A-E07,265,452
1A-E09,265,425
1A-E11,265,396
1A-E13,267,366
1A-E15,265,341
1A-E17,265,305
1A-E19,266,279
1A-E21,266,250
1A-E23,266,193
1A-E25,265,164
1A-E27,270,107
1A-D02,251,509
1A-D08,236,453
1A-D10,237,424
1A-D12,238,396
1A-D14,238,366
1A-D16,237,339
1A-D18,238,306
1A-D20,237,278
1A-D22,238,247
1A-D24,238,193
1A-D26,237,162
1A-D28,242,106
1A-D27,214,106
1A-D07,185,453
1A-D09,185,424
1A-D11,185,397
1A-D13,186,312
1A-D15,187,279
1A-D17,186,249
1A-D19,185,193
1A-D21,186,164
1A-C02,171,509
1A-C08,155,453
1A-C10,156,424
1A-C12,157,396
1A-C18,157,311
1A-C20,157,263
1A-C24,157,193
1A-C26,155,165
1A-C05,104,480
1A-C07,104,439
1A-C11,105,397
1A-C13,106,367
1A-C15,105,340
1A-C17,106,306
1A-C19,106,264
1A-C23,104,178
1A-C27,104,107
1A-B02,91,523
1A-B06,78,481
1A-B08,75,438
1A-B12,77,396
1A-B14,77,367
1A-B16,77,339
1A-B18,76,306
1A-B20,76,277
1A-B22,77,248
1A-B24,77,194
1A-B26,76,165
1A-B28,77,107
1A-B27,46,108
1A-B01,23,557
1A-B03,24,527
1A-B05,23,466
1A-B09,26,437
1A-B11,24,410
1A-B15,24,350
1A-B17,24,322
1A-B19,24,290
1A-B23,24,230
1A-B25,22,202
