NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
INFRARED MOTION SENSOR WALL MOUNTED,INFRARED MOTION SENSOR WALL MOUNTED,INFRARED MOTION SENSOR WALL MOUNTED,INFRARED MOTION SENSOR WALL MOUNTED,,,https://sourcing-media.hktdc.com/product-original/INFRARED-20MOTION-20SENSOR-20WALL-20MOUNTED-20/74b095ae13d2476ba208385d19de14c0; https://sourcing-media.hktdc.com/product-original/INFRARED-20MOTION-20SENSOR-20WALL-20MOUNTED-20/f00023ca029e4cc08e43e561bcf32c02,Ningbo Energylux Optoelectronics Technology Co Ltd,"Sensor Light,Indoor Lighting; infrared motion sensor mircowave sensor photocell,sensor light; ODM, OBM, OEM","Sensor Light,Indoor Lighting; infrared motion sensor mircowave sensor photocell,sensor light; ODM, OBM, OEM"
LED UGR<19 Backlit Troffer,LED UGR<19 Backlit Troffer,"LED UGR<19 Backlit Troffer (GL-AA); GL-AA backlit troffer is a new anti-glare design, the compact and seamless splicing make it great looking. It adopts an anti-glare prism plate to reach UGR<19, which could be interchangeable CCT (3000K+4000K+5700K) with a slide switch.","LED UGR<19 Backlit Troffer (GL-AA); GL-AA backlit troffer is a new anti-glare design, the compact and seamless splicing make it great looking. It adopts an anti-glare prism plate to reach UGR<19, which could be interchangeable CCT (3000K+4000K+5700K) with a slide switch.",,,,"UP-Shine Lighting Co.,Limited","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM"
LED IP42 cabinet Tube Light,LED IP42 cabinet Tube Light,"LED IP42 cabinet Tube Light (T5-S); Integrated complete PC LED tube T5-S is a successful economic design. Adopt high lumen SMD LED as light source, full PC cover; (pass 750C°glow-wire test）ensures high light transmittance and safe installation. Changeable CCT and IP42 protection level also; make it easier maintenance. Special installation: Surface mounted and wall mounted with different accessories. Linkable design with; connect wires or connect accessories, which is suitable for a wider application.; - Linkable design, the Max power is 750W for linkable.; - 110lm/W.; - IP42 protection level.; - Changeable CCT with switch (3000K+4000K+5700K).; - Two installations: Surface mounted, wall mounted.; Application Areas:; All commercial, industrial and domestic applications .","LED IP42 cabinet Tube Light (T5-S); Integrated complete PC LED tube T5-S is a successful economic design. Adopt high lumen SMD LED as light source, full PC cover; (pass 750C°glow-wire test）ensures high light transmittance and safe installation. Changeable CCT and IP42 protection level also; make it easier maintenance. Special installation: Surface mounted and wall mounted with different accessories. Linkable design with; connect wires or connect accessories, which is suitable for a wider application.; - Linkable design, the Max power is 750W for linkable.; - 110lm/W.; - IP42 protection level.; - Changeable CCT with switch (3000K+4000K+5700K).; - Two installations: Surface mounted, wall mounted.; Application Areas:; All commercial, industrial and domestic applications .",,,,"UP-Shine Lighting Co.,Limited","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM"
LED Backlit panel light,LED Backlit panel light,"LED Backlit panel light (PL-DS); The panel light adopts upper and lower frame structure design to reach an IP65 waterproof effect, it has a strong structure with 10mm thickness. Upper and lower 6063 Aluminium frames provide a great thermal management to ensure a long lifespan. Besides, it has high lumen SMD light source and PMMA LGP which offer a uniform light output and avoid yellow risky. Multiple installation ways: recessed, suspended and surface mounted.; - IP65 waterproof.; - PMMA LGP ensures a uniform light output.; - 100lm/w lumen efficiency.; - External IP65 flicker-free driver with waterproof DC connector.; - Installation: Surface mount, Pendant, Recessed.; It is widely used in the metro station, factory, warehouse, workshop, bathroom and another lighting area with high humidity and dusty places.","LED Backlit panel light (PL-DS); The panel light adopts upper and lower frame structure design to reach an IP65 waterproof effect, it has a strong structure with 10mm thickness. Upper and lower 6063 Aluminium frames provide a great thermal management to ensure a long lifespan. Besides, it has high lumen SMD light source and PMMA LGP which offer a uniform light output and avoid yellow risky. Multiple installation ways: recessed, suspended and surface mounted.; - IP65 waterproof.; - PMMA LGP ensures a uniform light output.; - 100lm/w lumen efficiency.; - External IP65 flicker-free driver with waterproof DC connector.; - Installation: Surface mount, Pendant, Recessed.; It is widely used in the metro station, factory, warehouse, workshop, bathroom and another lighting area with high humidity and dusty places.",,,,"UP-Shine Lighting Co.,Limited","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM"
LED beam Angle adjustable track light,LED beam Angle adjustable track light,"LED beam Angle adjustable track light (TL69); The LED track light with adjustable focus design, the special lens can have a fast beam angle change (Just press the lens). Adopt high lumen Citizen light source, two bracket design options, changeable lighting orientation with 350° in the horizontal direction, and 300° in the vertical direction. Aluminum heat sink provides excellent heat dissipation. Easy installation, recreational for various application.; - Brand LED light source Citizen COB.; - High lumen efficiency 115lm/W.; - Finish color: White/Black.; - Internal flicker-free driver.; Application Areas:","LED beam Angle adjustable track light (TL69); The LED track light with adjustable focus design, the special lens can have a fast beam angle change (Just press the lens). Adopt high lumen Citizen light source, two bracket design options, changeable lighting orientation with 350° in the horizontal direction, and 300° in the vertical direction. Aluminum heat sink provides excellent heat dissipation. Easy installation, recreational for various application.; - Brand LED light source Citizen COB.; - High lumen efficiency 115lm/W.; - Finish color: White/Black.; - Internal flicker-free driver.; Application Areas:",,,,"UP-Shine Lighting Co.,Limited","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM"
LED indoor High lumen deep reflector downlight,LED indoor High lumen deep reflector downlight,"LED High lumen deep reflector downlight (DL268); This downlight with traditional deep reflector which provides a perfect combination of high lighting efficiency, comfortable lighting and humanization design, without compromising on lighting performance ( color rendering and color uniformity). CCT changeable function is available. It offers a wide choice of options for creating the desired ambience. Two frame options: Standard frame and invisiable frame, complete size from 2.5inch to 10inch.; - Two frame options: Standard frame & invisible frame (Can be hidden with a paintcoat); - Deep reflector design with a comfortable visual effect.; - High lumen efficiency, 100-110lm/W.; - Interchangeable CCT(3000K/4000K/5700K) with slide switch.; - IP54 for indoor use only.; - Complete sizes:2.5/3/4/6/8/10inch.; - Wide power range: 10/13/18/25/35/45/50W.; - Flicker free external driver, triac dimmable, DALI, 0-10V available.; It is designed for general lighting applications in office, supermarket, shop, school, hotel, etc. It is also; widely used for public areas, such as stairway, lobby, reception, corridors etc.","LED High lumen deep reflector downlight (DL268); This downlight with traditional deep reflector which provides a perfect combination of high lighting efficiency, comfortable lighting and humanization design, without compromising on lighting performance ( color rendering and color uniformity). CCT changeable function is available. It offers a wide choice of options for creating the desired ambience. Two frame options: Standard frame and invisiable frame, complete size from 2.5inch to 10inch.; - Two frame options: Standard frame & invisible frame (Can be hidden with a paintcoat); - Deep reflector design with a comfortable visual effect.; - High lumen efficiency, 100-110lm/W.; - Interchangeable CCT(3000K/4000K/5700K) with slide switch.; - IP54 for indoor use only.; - Complete sizes:2.5/3/4/6/8/10inch.; - Wide power range: 10/13/18/25/35/45/50W.; - Flicker free external driver, triac dimmable, DALI, 0-10V available.; It is designed for general lighting applications in office, supermarket, shop, school, hotel, etc. It is also; widely used for public areas, such as stairway, lobby, reception, corridors etc.",,,,"UP-Shine Lighting Co.,Limited","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM"
LED Troffer Light (GL-N),LED Troffer Light (GL-N),"GL-N is troffer light with external driver, adopts secondary optical designed and special treatment diffuser to achieve more uniform and softer light, providing a more comfortable visual experience. Luminous efficiency 105lm/W. Powder spraying surface treatment is employed in the lamp fixture which makes the lamp corrosion resistant. Designed for grid ceiling commercial applications.","GL-N is troffer light with external driver, adopts secondary optical designed and special treatment diffuser to achieve more uniform and softer light, providing a more comfortable visual experience. Luminous efficiency 105lm/W. Powder spraying surface treatment is employed in the lamp fixture which makes the lamp corrosion resistant. Designed for grid ceiling commercial applications.",,,,"UP-Shine Lighting Co.,Limited","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM"
LED Mirror Light,LED Mirror Light,"LED Mirror Light (ML18); 120° Beam angle IP40,  3000K 4000K 5000K 5700K Slide Switch 3 in 1 Size: L580xW111xH50mm L860xW111xH50mm L1140xW111xH50mm; ML18 Mirror light adopts high transmittance PC lampshade; With concise and elegant design, perfect details to create a sense of stylish.; - High lumen SMD LED with 110lm/W light effect; - Multiple finish color for option(Brush Nickel, Chrome plated, Matt Black); - Convenient installation and disassembling.; - Interchangeable CCT by slide switch.; Application Areas:; Hotel, Shopping mall, home, restanrant, etc...","LED Mirror Light (ML18); 120° Beam angle IP40,  3000K 4000K 5000K 5700K Slide Switch 3 in 1 Size: L580xW111xH50mm L860xW111xH50mm L1140xW111xH50mm; ML18 Mirror light adopts high transmittance PC lampshade; With concise and elegant design, perfect details to create a sense of stylish.; - High lumen SMD LED with 110lm/W light effect; - Multiple finish color for option(Brush Nickel, Chrome plated, Matt Black); - Convenient installation and disassembling.; - Interchangeable CCT by slide switch.; Application Areas:; Hotel, Shopping mall, home, restanrant, etc...",,,,"UP-Shine Lighting Co.,Limited","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM"
IP65 adjustable power LED bulkhead Light,IP65 adjustable power LED bulkhead Light,"IP65 adjustable power LED bulkhead Light (AL104); AL104 is a high cost performance ceiling light, it has three frames for option,can meet a wider application demand. Adopt high lumen 2835 SMD light source and PC diffuser, it has a high tranmittance and uniform light output, the whole design has a large lighting area and light weight. Easy to install: laboursaving with fast connector. High waterproof level with multiple functions.; - Vandal-proof design; - Four types of frame design: round, cross, eyelid, eaves.; - High protection level, IK10, IP65.; - High lumen efficiency, 120lm/W.; - Interchangeable CCT(3000K+4000K+5700K)with slide switch.; - Interchangeable power 20W/25W with slide switch for 12inch only.; - Function: Adjustable sensor, interchangeable CCT+adjustable power, emergency.; - Dimming way: Triac dimming, DALI dimming, 0-10V dimming.; Corridor, Backyard, Front yard, hotel, house Etc...","IP65 adjustable power LED bulkhead Light (AL104); AL104 is a high cost performance ceiling light, it has three frames for option,can meet a wider application demand. Adopt high lumen 2835 SMD light source and PC diffuser, it has a high tranmittance and uniform light output, the whole design has a large lighting area and light weight. Easy to install: laboursaving with fast connector. High waterproof level with multiple functions.; - Vandal-proof design; - Four types of frame design: round, cross, eyelid, eaves.; - High protection level, IK10, IP65.; - High lumen efficiency, 120lm/W.; - Interchangeable CCT(3000K+4000K+5700K)with slide switch.; - Interchangeable power 20W/25W with slide switch for 12inch only.; - Function: Adjustable sensor, interchangeable CCT+adjustable power, emergency.; - Dimming way: Triac dimming, DALI dimming, 0-10V dimming.; Corridor, Backyard, Front yard, hotel, house Etc...",,,,"UP-Shine Lighting Co.,Limited","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM"
LED CRI97 track light,LED CRI97 track light,"LED CRI97 track light (TL57A); TL57A is a new design track light, adopts Citizen chip which can create a diversified and dramatic atmosphere. Elegant and concise design with internal driver, adjustable lighting orientation with 350° in the horizontal direction, and 90° in the vertical direction will bring a flexible exposure. Integrated die-cast aluminum and thermal convection design provide excellent heat dissipation, ensure a long lifespan.; 1. High quality LED source, CRI80/90/97 optional.; 2. Supreme Aluminum heat sink with great heat dissipation.; 3. Secondary optics with lens and reflector make more uniform light.; 4. Adjustable lighting orientation with 350° in the horizontal direction and 90° in the vertical direction.; 5. 1-circuit and 3-circuit are all available.; Application Areas:","LED CRI97 track light (TL57A); TL57A is a new design track light, adopts Citizen chip which can create a diversified and dramatic atmosphere. Elegant and concise design with internal driver, adjustable lighting orientation with 350° in the horizontal direction, and 90° in the vertical direction will bring a flexible exposure. Integrated die-cast aluminum and thermal convection design provide excellent heat dissipation, ensure a long lifespan.; 1. High quality LED source, CRI80/90/97 optional.; 2. Supreme Aluminum heat sink with great heat dissipation.; 3. Secondary optics with lens and reflector make more uniform light.; 4. Adjustable lighting orientation with 350° in the horizontal direction and 90° in the vertical direction.; 5. 1-circuit and 3-circuit are all available.; Application Areas:",,,,"UP-Shine Lighting Co.,Limited","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM","Indoor Lighting,Home Automation System,Building Exterior Lighting System; 1, ODM & OEM service
2, Best Possible Price
3, Technical Support
4, Marketing Documentary Support
5, Great financial support
6, Fast delivery
7, Free-tooling & Design support
8, Cheerful after-sale service; ODM, OEM"
