booth_code,x,y
A3.139,497,922
A3.332,545,922
A3.534,577,881
A3.432,562,879
A3.339,544,904
A3.337,542,887
A3.335,545,872
A3.333,544,862
A3.330,521,883
A3.235,497,899
A3.233,498,884
A3.231,500,871
A3.229,500,862
A3.137,480,904
A3.135,479,889
A3.133,483,873
A3.131,482,862
A3.138,469,899
A3.132,470,878
A3.524,576,824
A3.426,559,821
A3.523,564,804
A3.424,555,809
A3.422,555,801
A3.429,541,830
A3.329,534,830
A3.327,533,822
A3.425,541,809
A3.423,541,802
A3.323,534,799
A3.E3,525,821
A3.328,515,841
A3.326,512,826
A3.324,510,805
A3.227,495,845
A3.225,495,835
A3.221,494,813
A3.125,481,835
A3.123,481,813
A3.121,482,802
A3.126,469,839
A3.122-2-2,468,823
A3.122,469,804
A3.520,576,777
A3.516,576,753
A3.519,560,765
A3.515,562,741
A3.416,552,740
A3.421,541,778
A3.321,534,778
A3.419,541,761
A3.319,533,763
A3.417,541,747
A3.317,534,748
A3.415,541,739
A3.315,533,738
A3.E2,526,761
A3.322,518,782
A3.318,518,758
A3.224,510,775
A3.220,510,767
A3.218,510,759
A3.314,518,738
A3.214,510,739
A3.219,492,779
A3.215,496,763
A3.213,496,753
A3.211,494,740
A3.113,482,739
A3.118-2,468,777
A3.118,468,761
A3.514,577,712
A3.406,565,719
A3.404,562,691
A3.402,563,678
A3.414,551,725
A3.413,541,723
A3.313,533,722
A3.411,541,715
A3.311,534,714
A3.409,541,708
A3.309,533,707
A3.407,548,694
A3.307,541,694
A3.305,534,694
A3.403,548,679
A3.401,541,676
A3.303,534,683
A3.E1,526,701
A3.312,518,722
A3.310,518,714
A3.212,510,725
A3.210,510,715
A3.208,510,708
A3.209,495,723
A3.111,482,722
A3.304,518,687
A3.204,511,684
A3.202,510,676
A3.207,500,708
A3.205,500,696
A3.201,499,677
A3.105,484,702
A3.101,483,683
A3.112,468,719
A3.110,469,710
A3.108,469,701
A3.106,469,694
A3.104,469,688
A3.300,510,660
A3.200,501,660
A3.100,489,660
B3.501,575,521
B3.500,565,536
B3.512,564,510
B3.400,548,542
B3.404,548,530
B3.406,548,511
B3.411,552,500
B3.410,545,499
B3.306,531,510
B3.308,531,500
B3.201,513,539
B3.205,513,526
B3.207,513,508
B3.200,499,543
B3.202,499,531
B3.204,499,525
B3.206,499,517
B3.208,499,512
B3.210,499,501
B3.101,485,537
B3.109,485,510
B3.100A,473,533
B3.106,473,519
B3.108,473,512
B3.515,575,463
B3.514,564,476
B3.520,564,448
B3.412,548,486
B3.414,549,478
B3.416,551,459
B3.418,545,456
B3.420,548,441
B3.316,532,473
B3.318,531,453
B3.322,531,445
B3.211,513,481
B3.213,513,466
B3.219,513,445
B3.212,498,468
B3.218,497,440
B3.111,485,485
B3.113,486,476
B3.115,486,462
B3.117,486,450
B3.119,485,441
B3.112,474,464
B3.523,575,404
B3.522,565,418
B3.528,564,388
B3.422,548,422
B3.429,549,393
B3.325,534,428
B3.324,529,426
B3.327,533,419
B3.330,531,397
B3.332,528,381
B3.221,513,419
B3.229,512,391
B3.220,498,419
B3.228,499,391
B3.121,486,419
B3.125,485,392
B3.122,474,407
B3.531,575,347
B3.530,564,359
B3.538,564,329
B3.431,548,359
B3.439,548,334
B3.334,532,361
B3.340,531,333
B3.231,512,360
B3.239,512,333
B3.230,499,362
B3.238,499,333
B3.131,485,361
B3.139,486,334
B3.132,474,347
B3.342,542,311
C3.500,577,234
C3.401,566,245
C3.409,566,220
C3.400,550,245
C3.410,551,220
C3.301,534,246
C3.305,534,217
C3.300,516,248
C3.310,515,214
C3.201,501,253
C3.203,501,247
C3.205,501,234
C3.207,500,228
C3.209,500,214
C3.101,482,253
C3.103,483,245
C3.113,483,213
C3.100,469,232
C3.512,578,173
C3.411,566,191
C3.419,566,163
C3.412,551,190
C3.420,550,163
C3.311,534,192
C3.315,535,163
C3.312,516,189
C3.320,516,165
C3.219,501,160
C3.221,501,153
C3.115,479,192
C3.214,486,188
C3.121,484,156
C3.116,469,177
C3.522,578,119
C3.421,566,134
C3.429,566,103
C3.422,550,133
C3.428,551,106
C3.321,535,131
C3.329,534,103
C3.322,516,132
C3.330,516,106
C3.223,501,129
C3.229,501,102
C3.125,480,137
C3.222,486,131
C3.127,483,109
C3.124,469,118
