NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
JOOR Inc.,JOOR Inc.,USA,JOOR: ISPO Trusted Partner for Digital Wholesale,JOOR: ISPO Trusted Partner for Digital Wholesale,https://www.joor.com,Exhibitor,ISPO Munich 2025,B1.405-1,B1,,1,,,"Digital Solutions; Retail Solutions; Logistic services; Internet trading platform; Online retail training; App, software","Digital Solutions; Retail Solutions; Logistic services; Internet trading platform; Online retail training; App, software",https://munichexhibitors.ispo.com/onlinecatalog/2025/list-of-exhibitors/exhibitordetails/joor-inc/?elb=158.1100.16321.1.111&uls=2,2,https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/; https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/product-service-future-trends-and-innovation-industry-services/?clgk=2_19
365 SPORTEVERYDAY,365 SPORTEVERYDAY,Spain,365 Sporteveryday is a Natural Sports Sunscreen SPF50+,365 Sporteveryday is a Natural Sports Sunscreen SPF50+,https://www.365sporteveryday.com,Exhibitor,ISPO Munich 2025,B1.225-2,B1,,1,,,"Bike accessories; Outdoor- and Mountain climbing sports, accessories; Running accessories; Nordic walking accessories; Swimming accessories","Bike accessories; Outdoor- and Mountain climbing sports, accessories; Running accessories; Nordic walking accessories; Swimming accessories",https://munichexhibitors.ispo.com/onlinecatalog/2025/list-of-exhibitors/exhibitordetails/365-sporteveryday/?elb=158.1100.17196.1.111&uls=2,2,https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/; https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/product-service-bike-sports/?clgk=2_7
"3Color Industry & Trading Co., Ltd.","3Color Industry & Trading Co., Ltd.",China,"Lightweight, durable, precise—Suncolor Scooters power your every move.","Lightweight, durable, precise—Suncolor Scooters power your every move.",http://www.suncolorsport.com,Exhibitor,ISPO Munich 2025,C1.528-3,C1,,1,,,Scooter,Scooter,https://munichexhibitors.ispo.com/onlinecatalog/2025/list-of-exhibitors/exhibitordetails/3color-industry-and-trading-co-ltd/?elb=158.1100.16208.1.111&uls=2,2,https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/; https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/product-service-inline-sports/?clgk=2_6
3D AG,3D AG,Switzerland,"3D AG: 33 years of innovation in security, engagement, and digitalization.","3D AG: 33 years of innovation in security, engagement, and digitalization.",http://www.3dag.ch,Exhibitor,ISPO Munich 2025,B1.212,B1,,1,,,"Digital Solutions; Digital Solutions, AI, Software & Tools","Digital Solutions; Digital Solutions, AI, Software & Tools",https://munichexhibitors.ispo.com/onlinecatalog/2025/list-of-exhibitors/exhibitordetails/3d-ag/?elb=158.1100.14525.1.111&uls=2,2,https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/; https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/product-service-future-trends-and-innovation-industry-services/?clgk=2_19
3G VISION Sp. z o.o.,3G VISION Sp. z o.o.,Poland,Fendal Sport Eyewear. Manufacturer of sports eyewear with photochromic lenses.,Fendal Sport Eyewear. Manufacturer of sports eyewear with photochromic lenses.,https://www.fendalsport.com,Exhibitor,ISPO Munich 2025,B1.119-1,B1,,1,,,Protective eyewear for cyclists; Outdoor Fashion; Running accessories,Protective eyewear for cyclists; Outdoor Fashion; Running accessories,https://munichexhibitors.ispo.com/onlinecatalog/2025/list-of-exhibitors/exhibitordetails/3g-vision-sp-z-oo/?elb=158.1100.17937.1.111&uls=2,2,https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/; https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/product-service-bike-sports/?clgk=2_7
Rudholm & Haak AB,Rudholm & Haak AB,Sweden,"Rudholm Group – WHO WE ARE Since 1951, Rudholm Group (RH) have grown from a family business, to a global leader, producing garment accessories, offering state-of-the-art digital solutions and providing logistical services for the textile industry. RH is not just a manufacturer of garment accessories, we work with our clients across the production process, from design to distribution. Whether creating fresh new ideas or working with a client’s own concept, we produce all accessories from hangtags to packaging, that is high quality, fit for purpose, functional and adds value to any product. Our goal is to produce products with the least impact on the environment , and that our products will made from recyclable material , able tobe recycled , upcycled and biodegradable .","Rudholm Group – WHO WE ARE Since 1951, Rudholm Group (RH) have grown from a family business, to a global leader, producing garment accessories, offering state-of-the-art digital solutions and providing logistical services for the textile industry. RH is not just a manufacturer of garment accessories, we work with our clients across the production process, from design to distribution. Whether creating fresh new ideas or working with a client’s own concept, we produce all accessories from hangtags to packaging, that is high quality, fit for purpose, functional and adds value to any product. Our goal is to produce products with the least impact on the environment , and that our products will made from recyclable material , able tobe recycled , upcycled and biodegradable .",http://www.rudholmgroup.com,Exhibitor,ISPO Munich 2025,A2.106,A2,,1,,,"Ribbons of all kinds; Fibers; Threads; Reflecting safety strips; Fleece fabrics; Embroidery; Transfers; Emblems; Fasteners for clothing; Labels, Handtags, Hangtags; Reflectors; Textile badges; Holograms; Printing and flocking; Logistic services; Internet trading platform","Ribbons of all kinds; Fibers; Threads; Reflecting safety strips; Fleece fabrics; Embroidery; Transfers; Emblems; Fasteners for clothing; Labels, Handtags, Hangtags; Reflectors; Textile badges; Holograms; Printing and flocking; Logistic services; Internet trading platform",https://munichexhibitors.ispo.com/onlinecatalog/2025/list-of-exhibitors/exhibitordetails/3m-thinsulate-rudholm-and-haak-ab/?elb=158.1100.5876.1.111&uls=2,2,https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/; https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/product-service-fabrics-and-materials/?clgk=2_14
4B Athletics,4B Athletics,Pakistan,4B Athletics – Performance sportswear for athletes worldwide.,4B Athletics – Performance sportswear for athletes worldwide.,https://www.4bathletics.us,Exhibitor,ISPO Munich 2025,C2.510-2,C2,,1,,,American sports clothing; Baseball/Softball clothing; Basketball clothing; Football clothing; Lacrosse clothing,American sports clothing; Baseball/Softball clothing; Basketball clothing; Football clothing; Lacrosse clothing,https://munichexhibitors.ispo.com/onlinecatalog/2025/list-of-exhibitors/exhibitordetails/4b-athletics/?elb=158.1100.16731.1.111&uls=2,2,https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/; https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/product-service-ball-and-team-sports/?clgk=2_2
4F - OTCF S.A.,4F - OTCF S.A.,Poland,"ul. Saska 25c, 30-720 Kraków, Poland +48 727 750745 export@otcf.pl www.4f.com.pl","ul. Saska 25c, 30-720 Kraków, Poland +48 727 750745 export@otcf.pl www.4f.com.pl",https://www.4f.com.pl,Exhibitor,ISPO Munich 2025,A1.430,A1,,1,,,Sports,Sports,https://munichexhibitors.ispo.com/onlinecatalog/2025/list-of-exhibitors/exhibitordetails/4f-otcf-sa/?elb=158.1100.5556.1.111&uls=2,1,https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/
Aamir Industries,Aamir Industries,Pakistan,"Muradia Road, Lal Street, Model Town, Sialkot 51310, Pakistan +92 52 3258796 +92 300 9613169 aamirind@brain.net.pk www.aamirind.com","Muradia Road, Lal Street, Model Town, Sialkot 51310, Pakistan +92 52 3258796 +92 300 9613169 aamirind@brain.net.pk www.aamirind.com",http://www.aamirind.com,Exhibitor,ISPO Munich 2025,C1.500,C1,,1,,,"Cricket equipment; Cricket clothing; Cricket Shoes; American football clothing; American footballs; Softballs; Cricket bats; Cricket balls; Football shirts; Footballs; Futsal balls; Goalkeeper's gloves; Handballs; Rugby balls; Volleyballs; Fitness and training equipment; Fitness clothing; Fitness accessories; Fitness and training equipment; Medical fitness equipment; Cardio Fitness; Home fitness equipment; Fitness Machines; Fitness shoes; Boxing equipment; Boxing clothes; Boxing shoes; Kick boxing clothing; Boxing gloves; Kick boxing equipment; Martial arts equipment; Martial arts clothing; Sparring gear; Kit bags; Soft shell clothing; Sportswear; Leather sports gloves; T-shirts, polo shirts; Sweatshirts, hooded sweatshirts; Jackets, anoraks; Martial Arts; Running wear; Singlets; Jogging suits; Track suits; Ski gloves","Cricket equipment; Cricket clothing; Cricket Shoes; American football clothing; American footballs; Softballs; Cricket bats; Cricket balls; Football shirts; Footballs; Futsal balls; Goalkeeper's gloves; Handballs; Rugby balls; Volleyballs; Fitness and training equipment; Fitness clothing; Fitness accessories; Fitness and training equipment; Medical fitness equipment; Cardio Fitness; Home fitness equipment; Fitness Machines; Fitness shoes; Boxing equipment; Boxing clothes; Boxing shoes; Kick boxing clothing; Boxing gloves; Kick boxing equipment; Martial arts equipment; Martial arts clothing; Sparring gear; Kit bags; Soft shell clothing; Sportswear; Leather sports gloves; T-shirts, polo shirts; Sweatshirts, hooded sweatshirts; Jackets, anoraks; Martial Arts; Running wear; Singlets; Jogging suits; Track suits; Ski gloves",https://munichexhibitors.ispo.com/onlinecatalog/2025/list-of-exhibitors/exhibitordetails/aamir-industries/?elb=158.1100.1677.1.111&uls=2,2,https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/; https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/product-service-ball-and-team-sports/?clgk=2_2
Abler,Abler,Iceland,"Abler streamlines sports club management with payments, scheduling & engagement.","Abler streamlines sports club management with payments, scheduling & engagement.",https://www.abler.io/en,Exhibitor,ISPO Munich 2025,B1.113-2,B1,,1,,,"Digital Solutions; Retail Solutions; App, software; Media & Publishing; Universities & Education","Digital Solutions; Retail Solutions; App, software; Media & Publishing; Universities & Education",https://munichexhibitors.ispo.com/onlinecatalog/2025/list-of-exhibitors/exhibitordetails/abler/?elb=158.1100.17607.1.111&uls=2,2,https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/; https://munichexhibitors.ispo.comhttps://munichexhibitors.ispo.com/onlinecatalog/2025/products-services/product-service-future-trends-and-innovation-industry-services/?clgk=2_19
