NAME_EN,NAME_KR,DESCRIPTION_EN,DESCRIPTION_KR,KEYWORDS_EN,KEYWORDS_KR,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_EN,INDUSTRY_NAME_KR
JOOR,JOOR,JOOR provides high-value sports technology for global buyers.,JOOR 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/media/158/1/F_1124_6/F_1124_6_1_N_ELM_16321_1_1.jpg,JOOR Inc.,Sports / Outdoor,스포츠 / 아웃도어
365 Sporteveryday,365 Sporteveryday,365 Sporteveryday introduces next-generation functionality for active lifestyles.,365 Sporteveryday 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,365 SPORTEVERYDAY,Sports / Outdoor,스포츠 / 아웃도어
Suncolor,Suncolor,Suncolor introduces next-generation functionality for active lifestyles.,Suncolor 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,"3Color Industry & Trading Co., Ltd.",Sports / Outdoor,스포츠 / 아웃도어
3D AG,3D AG,3D AG provides high-value sports technology for global buyers.,3D AG 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,3D AG,Sports / Outdoor,스포츠 / 아웃도어
Fendal Sport Eyewear,Fendal Sport Eyewear,Fendal Sport Eyewear presents advanced outdoor sports solutions.,Fendal Sport Eyewear 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,3G VISION Sp. z o.o.,Sports / Outdoor,스포츠 / 아웃도어
3M Thinsulate,3M Thinsulate,3M Thinsulate offers innovation aligned with ISPO Munich 2025.,3M Thinsulate 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/media/158/1/F_1124_6/F_1124_6_16_N_ELM_5876_16_1.jpg,3M Thinsulate - Rudholm & Haak AB,Sports / Outdoor,스포츠 / 아웃도어
4B Athletics,4B Athletics,4B Athletics presents advanced outdoor sports solutions.,4B Athletics 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,4B Athletics,Sports / Outdoor,스포츠 / 아웃도어
4F - OTCF S.A.,4F - OTCF S.A.,4F - OTCF S.A. provides high-value sports technology for global buyers.,4F - OTCF S.A. 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,4F - OTCF S.A.,Sports / Outdoor,스포츠 / 아웃도어
Aamir Industries,Aamir Industries,Aamir Industries is designed to highlight performance and modern sports trends.,Aamir Industries 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,,Aamir Industries,Sports / Outdoor,스포츠 / 아웃도어
Abler,Abler,Abler is designed to highlight performance and modern sports trends.,Abler 제품은 최신 스포츠 및 아웃도어 트렌드를 반영한 혁신적인 솔루션을 제공합니다.,,,https://munichexhibitors.ispo.com/prj_158/_inc002/_images/view/ok/elements/placeholder_br.png,Abler,Sports / Outdoor,스포츠 / 아웃도어
