booth_code,x,y
STAGE,431,116
3G-F22,300,31
3G-F20,279,31
3G-F18,257,31
3G-F16,237,32
3G-F14,215,30
3G-F12,191,32
3G-F10,170,32
3G-F08,149,36
3G-F06,127,35
3G-F04,106,32
3G-F02,84,31
3G-F21,301,66
3G-F19,279,66
3G-F17,257,62
3G-F15,237,65
3G-F13,215,65
3G-F11,191,65
3G-F09,169,67
3G-F07,148,67
3G-F05,127,65
3G-F03,105,66
3G-F01,85,65
3G-E22,300,87
3G-E20,279,88
3G-E18,257,86
3G-E16,236,86
3G-E14,215,87
3G-E12,190,87
3G-E10,170,88
3G-E08,149,85
3G-E06,128,86
3G-E04,106,86
3G-E02,85,86
3G-E19,288,121
3G-E17,257,122
3G-E15,236,124
3G-E13,215,123
3G-E11,191,123
3G-E09,169,123
3G-E07,149,124
3G-E05,128,123
3G-E03,107,125
3G-E01,85,123
3G-D22,299,144
3G-D20,278,144
3G-D18,257,144
3G-D16,236,144
3G-D14,215,144
3G-D12,191,144
3G-D10,170,144
3G-D08,149,144
3G-D06,127,143
3G-D04,106,143
3G-D02,85,143
3G-D19,289,178
3G-D17,258,179
3G-D15,236,178
3G-D13,215,179
3G-D11,191,178
BUYING MISSION SERVICE COUNTER,159,181
3G-D05,127,179
3G-D01,96,178
3G-C20,289,200
3G-C16,245,200
3G-C14,215,200
3G-C10,180,200
3G-C06,138,198
3G-C02,97,200
3G-C19,288,235
3G-C17,257,234
3G-C15,236,235
3G-C13,214,235
3G-C11,190,236
3G-C09,169,232
3G-C07,147,234
3G-C05,128,236
3G-C03,106,236
3G-C01,85,236
3G-B22,298,256
3G-B20,277,256
3G-B18,256,255
3G-B16,236,255
3G-B14,215,254
3G-B12,191,256
3G-B10,169,255
3G-B08,147,255
3G-B06,127,255
3G-B02,95,256
3F-B35,467,765
3F-B33,446,763
3F-B31,425,764
3F-B29,401,763
3F-B27,380,765
3F-B25,358,763
3F-B23,337,763
3F-B36,467,728
3F-B34,447,728
3F-B32,425,728
3F-B30,400,730
3F-B28,379,728
3F-B24,348,730
3F-C35,467,708
3F-C33,446,709
3F-C31,426,707
3F-C29,401,708
3F-C25,369,708
3F-C36,467,671
3F-C34,447,672
3F-C32,426,673
3F-C30,401,671
3F-C28,380,671
3F-D35,467,652
3F-D33,446,651
3F-D31,426,652
3F-D29,401,651
3F-D27,380,652
3F-D23,347,649
3F-D42,530,617
3F-D40,506,617
3F-D37,485,617
3F-D36,465,617
3F-D34,443,617
3F-D32,422,618
3F-D28,390,618
3F-D24,347,618
3F-E41,530,596
VISITOR PRIVILEGE COUNTER,506,598
3F-E37,484,594
3F-E35,464,595
3F-E33,442,595
3F-E31,422,597
3F-E29,399,595
3F-E27,379,596
3F-E25,357,594
3F-E23,338,596
3F-E42,529,562
3F-E40,507,561
3F-E38,485,562
3F-E36,464,559
3F-E34,442,559
3F-E32,422,560
3F-F41,531,539
3F-F39,506,538
3F-F35,464,539
3F-F33,443,540
3F-F31,422,540
3F-F13,363,558
3F-F42,530,501
3F-G41,530,482
3F-G39,509,482
3F-G37,489,483
3F-G35,467,482
3F-G11,415,490
3G-DS15,531,438
3G-DS16,528,416
3G-DS17,528,394
3G-DS18,528,374
3G-DS19,527,352
3G-DS20,527,331
3G-DS21,528,291
3G-DS22,528,273
3G-DS23,527,251
3G-DS14,496,436
3G-DS13,496,416
3G-DS12,496,396
3G-DS11,495,376
3G-DS10,492,293
3G-DS09,492,272
