booth_code,x,y
6-G02,93,140
6-G04,92,168
6-G06,91,195
6-G08,94,215
6-G10,100,236
6-G12,94,264
6-G14,93,289
6-G16,93,313
6-F02,144,147
6-G05,134,182
6-G07,136,217
6-G09,134,239
6-G11,133,265
6-G13,134,288
6-G15,135,314
6-F06,158,187
6-F10,161,234
6-F12,159,257
6-F14,159,280
6-F16,157,311
6-F01,198,140
6-F03,198,167
6-F05,195,193
6-F07,197,217
6-F09,197,243
6-F11,197,264
6-E02,223,135
6-E04,225,160
6-E06,219,184
6-E08,220,219
6-E10,222,238
6-E12,224,264
6-E14,206,302
6-E01,263,140
6-E03,264,174
6-E05,265,203
6-E07,263,234
6-E11,264,257
6-E13,260,281
6-E15,261,307
6-D02,287,147
6-D06,287,184
6-D08,288,217
6-D10,286,239
6-D12,286,264
6-D14,288,297
6-D01,334,140
6-D03,334,171
6-D05,338,200
6-D09,334,221
6-D11,334,260
6-D13,334,299
6-C02,359,138
6-C04,361,167
6-C06,357,192
6-C08,357,216
6-C10,357,242
6-C12,358,264
6-C14,359,304
6-C01,404,148
6-C05,401,183
6-C07,403,217
6-C09,401,253
6-C13,402,302
6-B02,428,135
6-B04,428,160
6-B06,429,184
6-B08,429,216
6-B10,428,239
6-B12,427,266
6-B14,427,301
6-B01,467,135
6-B03,468,160
6-B05,471,183
6-B07,471,217
6-B09,471,242
6-B11,469,264
6-B13,470,287
6-B15,467,313
6-A02,496,138
6-A04,494,160
6-A06,500,184
6-A08,494,214
6-A10,494,241
6-A12,493,264
6-A14,494,302
6-A01,539,147
6-A05,541,184
6-A07,541,215
6-A09,541,242
6-A11,540,266
6-A13,540,297
3-J02,564,150
3-J06,564,185
3-J08,563,218
3-J10,561,242
3-J12,564,268
3-J14,564,301
3-J01,609,138
3-J03,607,181
3-J05,607,214
3-J09,610,239
3-J11,606,263
3-J13,607,299
3-H02,630,138
3-H04,634,167
3-H06,634,191
3-H08,631,217
3-H10,632,242
3-H12,631,264
3-H14,636,297
3-H01,675,141
3-H03,673,167
3-H05,676,190
3-H07,678,227
3-H11,676,267
3-H13,675,301
3-G02,697,140
3-G01,741,135
3-G03,743,161
3-G04,700,174
3-G05,745,182
3-G06,695,199
3-G07,743,210
3-G10,700,231
3-G09,744,233
3-G11,744,257
3-G12,701,257
3-G13,745,282
3-G14,700,282
3-G15,739,306
3-G16,700,307
3-F01,812,145
3-F02,767,148
3-F05,813,184
3-F06,767,185
3-F07,814,214
3-F08,770,215
3-F09,815,239
3-F10,767,241
3-F12,767,264
3-F13,814,299
3-F14,770,300
3-E02,838,139
3-E06,838,172
3-E05,881,187
3-E08,837,215
3-E09,879,232
3-E10,835,239
3-E11,882,259
3-E12,837,264
3-E13,882,302
3-E14,841,300
3-D01,951,147
3-D02,892,146
3-D05,951,185
3-D06,910,186
3-D07,952,226
3-D08,904,217
3-D09,952,262
3-D10,905,240
3-D12,904,266
3-D13,955,298
3-D14,906,297
3-C01,1022,138
3-C02,980,142
3-C03,1022,167
3-C04,977,164
3-C05,1022,193
3-C06,977,196
3-C07,1023,214
3-C08,977,215
3-C09,1022,240
3-C10,976,239
3-C11,1023,264
