booth_code,x,y
5B-A40,29,43
5B-A41,56,46
5B-A42,82,44
5B-A43,98,46
5B-A44,125,43
5B-A45,148,43
5B-A46,175,45
5B-A47,193,44
5B-A48,220,43
5B-A49,240,45
5B-A50,266,48
5B-E39,315,46
5B-E40,337,44
5B-E41,357,45
5B-A38,33,101
5B-A34,33,137
5B-A32,31,158
5B-A30,33,188
5B-A28,31,210
5B-A24,31,241
5B-B37,56,102
5B-B33,62,138
5B-B38,108,88
5B-B36,106,112
5B-B34,110,135
5B-B32,105,161
5B-B29,56,187
5B-B31,57,156
5B-B30,110,188
5B-B27,59,210
5B-B24,111,232
5B-B23,56,238
5B-C38,179,97
5B-C37,136,85
5B-C35,127,113
5B-C34,177,134
5B-C33,130,134
5B-C32,181,159
5B-C31,130,159
5B-C30,182,188
5B-C29,129,188
5B-C28,181,208
5B-C27,126,206
5B-C24,177,243
5B-C23,129,241
5B-D38,252,102
5B-D37,200,97
5B-D34,254,135
5B-D33,199,133
5B-D32,252,160
5B-D31,205,156
5B-D30,251,184
5B-D29,202,186
5B-D28,253,208
5B-D27,202,206
5B-D24,254,244
5B-D23,205,243
5B-E38,325,101
5B-E37,278,87
5B-E35,278,110
5B-E34,325,134
5B-E33,281,135
5B-E32,329,160
5B-E31,275,158
5B-E30,326,187
5B-E29,277,185
5B-E28,325,208
5B-E27,276,206
5B-E24,323,237
5B-E23,274,242
5C-A37,350,90
5C-A35,354,109
5C-A33,351,125
5C-A31,351,158
5C-A29,350,180
5C-A27,347,209
5C-A23,353,242
5C-B31,411,170
5C-B32,473,180
5C-A28,401,207
5C-A27,417,208
5C-A24,414,242
5C-C31,495,157
5C-C29,500,182
5C-C27,499,202
5C-B24,474,241
5C-C23,498,243
5C-C32,545,157
5C-C30,545,185
5C-C28,548,208
5C-C26,547,231
5C-C24,548,256
5C-D31,571,166
5C-D27,567,210
5C-D23,569,241
5C-D32,618,157
5C-D30,620,181
5C-E31,641,160
5C-E29,641,182
5C-D24,627,234
5C-F33,600,109
5C-F34,619,110
5C-F35,651,106
5C-F37,693,113
5C-F38,717,105
5C-E32,694,159
5C-E31,713,158
5C-E30,692,186
5C-F25,715,204
5C-E24,692,230
5C-F23,715,256
STORAGE,1111,93
5B-A22,31,314
5B-B21,55,303
5B-A14,31,378
5B-A12,34,449
5B-A10,36,476
5B-A08,30,499
5B-A06,34,525
5B-A02,33,556
5B-B19,55,324
5B-B17,53,357
5B-B13,55,388
5B-B11,56,462
5B-B07,59,497
5B-B05,56,523
5B-B01,57,559
5B-B22,107,331
5B-B14,104,389
5B-B12,109,453
5B-B10,105,476
5B-B08,108,500
5B-B06,111,526
5B-B02,123,555
5B-C21,131,314
5B-C22,179,314
5B-C17,127,349
5B-C14,179,379
5B-C15,130,378
5B-C13,127,400
5B-C12,182,461
5B-C11,126,462
5B-C06,176,516
5B-C07,131,497
5B-C05,128,522
5B-C02,190,559
5B-D21,201,318
5B-D22,249,311
5B-D18,250,353
5B-D13,208,375
5B-D14,251,385
5B-D12,256,462
5B-D11,204,460
5B-D06,251,514
5B-D07,201,500
5B-D05,204,520
5B-D02,251,558
5B-E21,275,316
5B-E17,272,352
5B-E14,332,357
5B-E13,272,384
5B-E11,277,461
5B-E05,282,511
5B-E01,272,558
5B-E02,338,558
5C-A11,340,465
5B-E08,324,498
5B-E06,325,526
5C-A05,353,512
5C-A21,350,309
5C-A19,346,331
5C-A22,399,339
5C-A14,421,363
5B-E08,398,453
5B-E06,398,472
5C-B11,425,461
5C-A02,411,530
5C-B02,487,512
5C-B14,487,389
5C-B22,467,313
5C-B18,470,349
5C-C21,496,302
5C-C19,493,329
5C-C17,496,350
5C-C22,543,317
5C-C18,545,351
5C-C14,556,388
5C-D21,569,323
5C-C02,562,519
5C-D22,620,316
5C-D14,629,375
5C-E21,644,316
5C-D12,620,464
5C-E11,642,461
5C-D08,622,498
5C-E07,641,498
5C-D02,682,542
5C-E14,705,388
5C-E22,692,325
5C-F21,715,314
5C-F17,716,351
5D-F09,946,227
5D-C09,946,395
FIBA 3X3 WORLD TOUR HONG KONG 2025,1209,367
5D-A02,840,169
5D-A18,839,192
5D-A16,839,216
5D-A14,840,265
5D-A12,840,291
5D-A10,842,311
5D-A08,840,363
5D-A06,838,385
5D-A04,836,411
5D-A02,843,434
5D-B19,853,170
5D-B17,855,192
5D-B15,857,213
5D-B13,855,267
5D-B11,855,290
5D-B09,855,314
5D-B07,857,363
5D-B05,855,385
5D-B03,854,407
5D-B01,855,432
5D-B20,894,171
5D-B18,892,193
5D-B16,894,216
5D-B14,896,267
5D-B12,892,291
5D-B10,894,313
5D-B08,887,368
5D-B06,895,391
5D-B04,892,418
5D-B02,896,434
5D-C19,913,172
5D-C17,907,197
5D-C15,909,218
5D-C13,907,264
5D-C11,913,292
5D-C09,907,313
5D-C07,913,367
5D-C05,910,395
5D-C03,909,417
5D-C01,909,433
