NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
Aloha Medical Limited,Aloha Medical Limited,Hong Kong,"Alohalife offers quality healthcare and sports equipment, and are the official distributors/sole agents of renowned brands all around the world.","Alohalife offers quality healthcare and sports equipment, and are the official distributors/sole agents of renowned brands all around the world.",,Exhibitor,Hong Kong Sports and Leisure Expo 2025,5C-D21,Sports,,1,,,"Game Chair, Sports Equipment, Massager, Healthcare Product, Sports Socks; Alohalife Homegym and Healthcare Equipment","Game Chair, Sports Equipment, Massager, Healthcare Product, Sports Socks; Alohalife Homegym and Healthcare Equipment",https://www.hktdc.com/event/hksportsleisureexpo/en/exhibitor/1S005NE71,6,https://www.hktdc.com/event/hksportsleisureexpo/en/product/1X25MEHD; https://www.hktdc.com/event/hksportsleisureexpo/en/product/1X25MEHD; https://www.hktdc.com/event/hksportsleisureexpo/en/product/1X25MEDH; https://www.hktdc.com/event/hksportsleisureexpo/en/product/1X25MEDH; https://www.hktdc.com/event/hksportsleisureexpo/en/product/1X25MEBJ; https://www.hktdc.com/event/hksportsleisureexpo/en/product/1X25MEBJ
Autumn Grain Creation Company Limited,Autumn Grain Creation Company Limited,Hong Kong,"Sport Hat, Sports Bag, Camping Equipment, sport wear, Outdoor Sports Equipment","Sport Hat, Sports Bag, Camping Equipment, sport wear, Outdoor Sports Equipment",,Exhibitor,Hong Kong Sports and Leisure Expo 2025,5C-F21,Sports,,1,,,"Sport Hat, Sports Bag, Camping Equipment, sport wear, Outdoor Sports Equipment; Choosing lightweight and waterproof materials, we create a range of Outdoor Fashion products, aiming to integrate outdoor gear into everyday life. To ensure every customer can express a strong personal style","Sport Hat, Sports Bag, Camping Equipment, sport wear, Outdoor Sports Equipment; Choosing lightweight and waterproof materials, we create a range of Outdoor Fashion products, aiming to integrate outdoor gear into everyday life. To ensure every customer can express a strong personal style",https://www.hktdc.com/event/hksportsleisureexpo/en/exhibitor/1S005NDAT,0,
Germain Electronic Limited,Germain Electronic Limited,Hong Kong,"sport wear, Diving","sport wear, Diving",,Exhibitor,Hong Kong Sports and Leisure Expo 2025,5C-D30,Sports,,1,,,"sport wear, Diving; Diving Torches, Lantern, Heat Jacket, Fan Jacket","sport wear, Diving; Diving Torches, Lantern, Heat Jacket, Fan Jacket",https://www.hktdc.com/event/hksportsleisureexpo/en/exhibitor/1S005NE57,0,
Opticon Ltd,Opticon Ltd,Hong Kong,"Energy Sports Drink, Sports Sunglasses, Healthcare Product, Sports Accessories","Energy Sports Drink, Sports Sunglasses, Healthcare Product, Sports Accessories",,Exhibitor,Hong Kong Sports and Leisure Expo 2025,5C-D32,Sports,,1,,,"Energy Sports Drink, Sports Sunglasses, Healthcare Product, Sports Accessories; Nose padless sunglasses, never slide down from your nose, no fogging increase, and no red mark on your nose. 
Worldwide patented.","Energy Sports Drink, Sports Sunglasses, Healthcare Product, Sports Accessories; Nose padless sunglasses, never slide down from your nose, no fogging increase, and no red mark on your nose. 
Worldwide patented.",https://www.hktdc.com/event/hksportsleisureexpo/en/exhibitor/1S005NE2G,0,
Zerrin Mackay Limited,Zerrin Mackay Limited,Hong Kong,"Sports Equipment, e-Sports, Electronic Game, Gymnasium Equipment, e-Sports Gear and Peripherals","Sports Equipment, e-Sports, Electronic Game, Gymnasium Equipment, e-Sports Gear and Peripherals",,Exhibitor,Hong Kong Sports and Leisure Expo 2025,5C-F25,Sports,,1,,,"Sports Equipment, e-Sports, Electronic Game, Gymnasium Equipment, e-Sports Gear and Peripherals; E-sport / Virtual sport company, sport consultancy, event organizer","Sports Equipment, e-Sports, Electronic Game, Gymnasium Equipment, e-Sports Gear and Peripherals; E-sport / Virtual sport company, sport consultancy, event organizer",https://www.hktdc.com/event/hksportsleisureexpo/en/exhibitor/1S005NOZF,0,
Now TV Limited,Now TV Limited,Hong Kong,,,,Exhibitor,Hong Kong Sports and Leisure Expo 2025,5C-B11,Sports,,1,,,Now TV 為香港觀眾帶來多項頂級的體育賽事直播及世界級的娛樂節目，更搜羅緊貼觀眾喜好的電影及劇集，並提供優質的新聞及紀錄片。從亞洲至歐美、本地至國際、到為小朋友而設的STEM及資訊娛樂節目，Now TV都能滿足觀眾的不同需要。,Now TV 為香港觀眾帶來多項頂級的體育賽事直播及世界級的娛樂節目，更搜羅緊貼觀眾喜好的電影及劇集，並提供優質的新聞及紀錄片。從亞洲至歐美、本地至國際、到為小朋友而設的STEM及資訊娛樂節目，Now TV都能滿足觀眾的不同需要。,https://www.hktdc.com/event/hksportsleisureexpo/en/exhibitor/1S005NDJ2,0,
Fu Li Hong Kong International Limited,Fu Li Hong Kong International Limited,Hong Kong,"The company was founded in 1988. There are 16 employees. Main brand products: Zeng Laojiao Jinmen one root series, pure handmade soap series, horse oil series, crystal mine hot spring bath bag and so on. The founder is Mr. Zeng Fuli (Fu Qing), a well-known Chinese medicine scientist, international inventor and former president of the Taiwan Invention Association. Has a patent certificate for 15 products. A complete sales system. Zeng Laozhen is committed to serving the public with good products developed. Companies often participate in major international trade fairs. Products are exported to various countries. Southeast Asian countries such as the mainland, Malaysia and Singapore are the mainstays. A number of media reported on Zeng Laojiao's products. The Zeng Laojiao brand is widely recognized by the public. Company philosophy: Always create effective and healthy products for customers. Company culture: learning, inheritance, persistence, innovation.","The company was founded in 1988. There are 16 employees. Main brand products: Zeng Laojiao Jinmen one root series, pure handmade soap series, horse oil series, crystal mine hot spring bath bag and so on. The founder is Mr. Zeng Fuli (Fu Qing), a well-known Chinese medicine scientist, international inventor and former president of the Taiwan Invention Association. Has a patent certificate for 15 products. A complete sales system. Zeng Laozhen is committed to serving the public with good products developed. Companies often participate in major international trade fairs. Products are exported to various countries. Southeast Asian countries such as the mainland, Malaysia and Singapore are the mainstays. A number of media reported on Zeng Laojiao's products. The Zeng Laojiao brand is widely recognized by the public. Company philosophy: Always create effective and healthy products for customers. Company culture: learning, inheritance, persistence, innovation.",,Exhibitor,Hong Kong Sports and Leisure Expo 2025,5C-C29,Sports,,1,,,Healthcare Product; 1. Moghania Philippinensis 2. Hot spring soap series  3. Horse oil nourishing series 4. Dharameng shampoo series  5. EZO maintain article series 6.Daddy Zeng's Magical Therapy Device,Healthcare Product; 1. Moghania Philippinensis 2. Hot spring soap series  3. Horse oil nourishing series 4. Dharameng shampoo series  5. EZO maintain article series 6.Daddy Zeng's Magical Therapy Device,https://www.hktdc.com/event/hksportsleisureexpo/en/exhibitor/1S005P7BW,0,
Heung Yau Hong Kong limited,Heung Yau Hong Kong limited,Hong Kong,"Hong Kong, a place named after ""Incense""( Incense pronouns as ""Heung/Hong"" in Cantonese). We make incense with love and warmth. We believe our products could bring a harmonious and healthy accommodation with natural fragrance for families and pets. Heung Yau could always be your silent friend. Let us take part in your ups and downs, and heal every family and flurry soul with the incense by Heung Yau.","Hong Kong, a place named after ""Incense""( Incense pronouns as ""Heung/Hong"" in Cantonese). We make incense with love and warmth. We believe our products could bring a harmonious and healthy accommodation with natural fragrance for families and pets. Heung Yau could always be your silent friend. Let us take part in your ups and downs, and heal every family and flurry soul with the incense by Heung Yau.",,Exhibitor,Hong Kong Sports and Leisure Expo 2025,5D-B13,Handicraft Market,,1,,,"Handicraft Kit, Hobby & Collector's Item; We craft incense, essential oils, and candles to bring relaxation and nature' s peace into Hong Kong s busy life. Through sustainable recycling, we transform discarded wood and plants into incense, giving them a new life and meaningful purpose.","Handicraft Kit, Hobby & Collector's Item; We craft incense, essential oils, and candles to bring relaxation and nature' s peace into Hong Kong s busy life. Through sustainable recycling, we transform discarded wood and plants into incense, giving them a new life and meaningful purpose.",https://www.hktdc.com/event/hksportsleisureexpo/en/exhibitor/1S005OH8V,0,
Life Sources Limited,Life Sources Limited,Hong Kong,"Life Sources Ltd. has been the wholesaler and retailer for the medical & health equipments and health supplements for over 20 years. Its affliated company is the joint-venture company with the GSP & IS9001 manufacturer in Taiwan. The quality of the products is very well known in the markets. One of the key product range of ""Aculife""Magnetic Wave Therapist"" is selling over one million units in the world. In addition to the deep penetration in the retail market in Hong Kong, Life Sources is targeting to explore the worldwide markets in the coming years. On the other hand, Life Sources Ltd is one of the market leaders of AI Quantumn healthcare device in the world. The product range under the brand name of ""Allone"" got the worldwide patent right. The newly launched product ""QQT"" AI Quantumn system could balance the spine in 6 minutes and increase deep sleep.","Life Sources Ltd. has been the wholesaler and retailer for the medical & health equipments and health supplements for over 20 years. Its affliated company is the joint-venture company with the GSP & IS9001 manufacturer in Taiwan. The quality of the products is very well known in the markets. One of the key product range of ""Aculife""Magnetic Wave Therapist"" is selling over one million units in the world. In addition to the deep penetration in the retail market in Hong Kong, Life Sources is targeting to explore the worldwide markets in the coming years. On the other hand, Life Sources Ltd is one of the market leaders of AI Quantumn healthcare device in the world. The product range under the brand name of ""Allone"" got the worldwide patent right. The newly launched product ""QQT"" AI Quantumn system could balance the spine in 6 minutes and increase deep sleep.",,Exhibitor,Hong Kong Sports and Leisure Expo 2025,5C-C30,Sports,,1,,,"Electric Hand Held Massager, Healthcare Product, Massager, Health Drink, Electric Foot Massager; Aculife Magnetic Wave Therapist got the USA's FDA 510K medical device approval.  It relieve pain in 10 minutes
""QQT"" AI Quantumn system balance the sprine in 6 minutes.
""Jade"" lemon enzyme improve metalbolism and immum system","Electric Hand Held Massager, Healthcare Product, Massager, Health Drink, Electric Foot Massager; Aculife Magnetic Wave Therapist got the USA's FDA 510K medical device approval.  It relieve pain in 10 minutes
""QQT"" AI Quantumn system balance the sprine in 6 minutes.
""Jade"" lemon enzyme improve metalbolism and immum system",https://www.hktdc.com/event/hksportsleisureexpo/en/exhibitor/1S005NP8N,0,
OUD Design Store,OUD Design Store,Hong Kong,"Handicraft Kit, Artist Supply","Handicraft Kit, Artist Supply",,Exhibitor,Hong Kong Sports and Leisure Expo 2025,5D-C05,Handicraft Market,,1,,,"Handicraft Kit, Artist Supply; Handmade quality fashion accessories","Handicraft Kit, Artist Supply; Handmade quality fashion accessories",https://www.hktdc.com/event/hksportsleisureexpo/en/exhibitor/1S005OI39,0,
