booth_code,x,y
3G-F02,42,31
3G-F04,71,29
3G-F06,96,29
3G-F08,135,32
3G-F01,53,67
3G-F03,75,69
3G-F05,105,69
3G-F07,135,69
3G-F09,154,69
3G-F12,196,31
3G-F14,220,29
3G-F16,242,29
3G-F18,271,29
3G-F17,282,68
3G-E12,227,76
3G-E18,281,88
3G-E02,53,86
3G-E04,78,87
3G-E06,102,87
3G-E08,129,88
3G-E10,158,92
3G-D02,102,135
3G-C02,114,194
3G-E11,202,129
3G-E13,223,128
3G-E15,246,129
3G-E17,274,128
3G-D12,201,148
3G-D14,227,146
3G-D16,256,147
3G-D18,278,147
STAGE,358,89
BS COUNTER,345,178
3G-C12,238,195
3G-C22,348,207
3G-C24,373,204
3G-C25,394,204
3G-C28,422,205
3G-C01,50,244
3G-C03,80,245
3G-C05,100,244
3G-C07,130,244
3G-C09,154,243
3G-B02,50,265
3G-B04,77,263
3G-B06,105,264
3G-B08,130,263
3G-B10,157,266
3G-C11,204,246
3G-C13,229,245
3G-C15,246,244
3G-C17,276,242
3G-C19,301,242
3G-B12,199,263
3G-B14,226,262
3G-B16,249,263
3G-B18,279,266
3G-B20,307,264
3G-C21,364,245
3G-C25,406,245
3G-B22,359,264
3G-B26,395,263
3G-B28,422,264
3G-A02,82,312
3G-A08,147,322
3F-F02,107,374
3G-A12,224,315
3G-A20,303,315
3G-A22,351,313
3G-A28,413,322
3G-A27,422,305
3F-G10,466,266
3F-G09,466,289
3F-G08,460,311
3F-G07,464,333
3F-G04,467,410
3F-G03,466,430
3F-F22,361,376
3G-A25,409,366
3F-F26,408,385
3F-F25,409,427
3F-E22,354,435
3F-E28,425,446
3F-E27,420,489
3F-E25,394,486
3F-D22,359,498
3F-D26,397,506
3F-D28,425,507
3F-D27,419,543
3F-D25,398,545
3F-D21,364,546
3F-C24,342,567
3F-C22,348,592
3F-B22,343,642
3F-B21,345,664
3F-A22,342,691
3F-A21,317,732
3F-A19,298,732
3F-A17,271,729
3F-A13,207,731
3F-A09,160,730
3F-A01,75,730
3F-A02,72,671
3F-A08,136,669
3F-A12,216,675
3F-A16,267,674
3F-B20,303,616
3F-B18,274,622
3F-B12,218,554
3F-B12,218,610
3F-C12,218,557
3F-C18,290,562
3F-D17,293,545
3F-D20,304,496
3F-D12,234,495
3F-E12,224,426
3F-E20,309,437
3F-F20,300,376
3F-F12,242,379
3F-E02,102,437
3F-D02,82,494
3F-E07,133,487
3F-D10,155,495
3F-D08,133,507
3F-C02,88,553
3F-C08,143,563
3F-B02,72,614
3F-B08,146,620
