NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
Now TV Limited,Now TV Limited,Hong Kong,,,,Exhibitor,Home Delights Expo 2025,3G-A22,Household Products,,1,,,"Now TV, Netvigator and csl mobile","Now TV, Netvigator and csl mobile",https://www.hktdc.com/event/homedelights/en/exhibitor/1S005NYFT,0,
Kinox Trading Limited,Kinox Trading Limited,Hong Kong,"Founded in Hong Kong 1949, Kinox has evolved from a small mould making workshop to a world renowed manufacturer of quality stainless steel and insulated products. In addition to our extensive range of cookware for the modern homes, we are also one of the largest manufacturers of food and beverage servers for the commercial foodservice and hospitality sectors worldwide, which include hotels, restaurants, cafes and institutions.","Founded in Hong Kong 1949, Kinox has evolved from a small mould making workshop to a world renowed manufacturer of quality stainless steel and insulated products. In addition to our extensive range of cookware for the modern homes, we are also one of the largest manufacturers of food and beverage servers for the commercial foodservice and hospitality sectors worldwide, which include hotels, restaurants, cafes and institutions.",,Exhibitor,Home Delights Expo 2025,3F-D08,Avenue of Delights,,1,,,"Kitchen Utensil Set, Kitchenware; Household cookwares; thermal servers; electric kettles","Kitchen Utensil Set, Kitchenware; Household cookwares; thermal servers; electric kettles",https://www.hktdc.com/event/homedelights/en/exhibitor/1S005OB9Y,10,https://www.hktdc.com/event/homedelights/en/product/1X1I6UH1; https://www.hktdc.com/event/homedelights/en/product/1X1I6UKY; https://www.hktdc.com/event/homedelights/en/product/1X1I6UMW; https://www.hktdc.com/event/homedelights/en/product/1X1I6UPT; https://www.hktdc.com/event/homedelights/en/product/1X1K1HPW; https://www.hktdc.com/event/homedelights/en/product/1X1K1HTS; https://www.hktdc.com/event/homedelights/en/product/1X1K1HZM; https://www.hktdc.com/event/homedelights/en/product/1X1K1I1H; https://www.hktdc.com/event/homedelights/en/product/1X1K1I4E; https://www.hktdc.com/event/homedelights/en/product/1X1K1I6C
Pottvip (Hong Kong) Limited,Pottvip (Hong Kong) Limited,Hong Kong,"Electrical Personal Care Appliances, Interior Design, General Home Items, Personal Care Product, Furniture","Electrical Personal Care Appliances, Interior Design, General Home Items, Personal Care Product, Furniture",,Exhibitor,Home Delights Expo 2025,3F-C08,Avenue of Delights,,1,,,"Electrical Personal Care Appliances, Interior Design, General Home Items, Personal Care Product, Furniture; Upchair 38 and Upchair 9","Electrical Personal Care Appliances, Interior Design, General Home Items, Personal Care Product, Furniture; Upchair 38 and Upchair 9",https://www.hktdc.com/event/homedelights/en/exhibitor/1S005O0VF,2,https://www.hktdc.com/event/homedelights/en/product/1Z03O1CRF; https://www.hktdc.com/event/homedelights/en/product/1Z03O1CFF
Iplus Home Limited,Iplus Home Limited,Hong Kong,"Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware","Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware",,Exhibitor,Home Delights Expo 2025,3F-E25,Electrical Appliances,,1,,,"Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics.","Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics.",https://www.hktdc.com/event/homedelights/en/exhibitor/1S005O0II,8,https://www.hktdc.com/event/homedelights/en/product/1X1VKXOL; https://www.hktdc.com/event/homedelights/en/product/1X1VKXNM; https://www.hktdc.com/event/homedelights/en/product/1X1VKXMN; https://www.hktdc.com/event/homedelights/en/product/1X1W73P2; https://www.hktdc.com/event/homedelights/en/product/1X1W6W1B; https://www.hktdc.com/event/homedelights/en/product/1X1W6V87; https://www.hktdc.com/event/homedelights/en/product/1X1W6UNV; https://www.hktdc.com/event/homedelights/en/product/1X1W74I6
1001HK Limited,1001HK Limited,Hong Kong,"Not only novel designs but also different types of workshops and activities. The aim of what we are selling or holding is to integrate new elements and new concepts into your life, making art and design a part of your life and giving you a unique life experience.","Not only novel designs but also different types of workshops and activities. The aim of what we are selling or holding is to integrate new elements and new concepts into your life, making art and design a part of your life and giving you a unique life experience.",,Exhibitor,Home Delights Expo 2025,3F-G03,Household Products,,1,,,"Cup / Mug, Furniture, Cutlery Set, Tableware; 1001HK","Cup / Mug, Furniture, Cutlery Set, Tableware; 1001HK",https://www.hktdc.com/event/homedelights/en/exhibitor/1S005OC9X,3,https://www.hktdc.com/event/homedelights/en/product/1Z03O2BCP; https://www.hktdc.com/event/homedelights/en/product/1Z03O1LQ9; https://www.hktdc.com/event/homedelights/en/product/1Z03O1LUX
OUD Design Store,OUD Design Store,Hong Kong,"OUD Own ur design:每位顧客在其中必得到各自的設計空間, 在OUD內,自創造設計與承接設計玩美自然地揉合其中,創造即是承設,而承設亦是創造,兩者相 互影響,環環相扣,生生不息,使其千變萬化","OUD Own ur design:每位顧客在其中必得到各自的設計空間, 在OUD內,自創造設計與承接設計玩美自然地揉合其中,創造即是承設,而承設亦是創造,兩者相 互影響,環環相扣,生生不息,使其千變萬化",,Exhibitor,Home Delights Expo 2025,3CON-013,Creative Corner,,1,,,Handmade quality fashion accessory,Handmade quality fashion accessory,https://www.hktdc.com/event/homedelights/en/exhibitor/1S005OBFG,0,
Plateau Consultant Services Company,Plateau Consultant Services Company,Hong Kong,BOC LIFE,BOC LIFE,,Exhibitor,Home Delights Expo 2025,3G-C28,Household Products,,1,,,Home Insurance; BOC LIFE,Home Insurance; BOC LIFE,https://www.hktdc.com/event/homedelights/en/exhibitor/1S005OC73,0,
Change Design Factory Limited,Change Design Factory Limited,Hong Kong,"Change Design Factory The furniture factory is a company with more than ten years of experience, providing one-stop decoration and design. The price is comparable to that of the masters, the furniture is sold directly from the factory, and all the furniture is made of 11-layer solid wood core boards imported from the UK. Furniture design, custom-made wardrobes, kitchen cabinet islands, redone kitchens, cloakrooms, hydraulic platform beds, turning beds Wallbed, deformation Furniture, Loft, Cleaf Board and more. Professional designers, in-house construction team, and discounts on decoration design! Free ruler design","Change Design Factory The furniture factory is a company with more than ten years of experience, providing one-stop decoration and design. The price is comparable to that of the masters, the furniture is sold directly from the factory, and all the furniture is made of 11-layer solid wood core boards imported from the UK. Furniture design, custom-made wardrobes, kitchen cabinet islands, redone kitchens, cloakrooms, hydraulic platform beds, turning beds Wallbed, deformation Furniture, Loft, Cleaf Board and more. Professional designers, in-house construction team, and discounts on decoration design! Free ruler design",,Exhibitor,Home Delights Expo 2025,3F-A16,Avenue of Delights,,1,,,Interior Design; Change Design Factory 傢俬廠為十多年經驗的公司，一站式裝修及設計。價錢媲美師傅，工廠直銷傢俬，全用英國進口11層實木細芯板，傢俬設計，訂造衣櫃、廚櫃中島、重做廚房、衣帽間、油壓地台床、翻床Wallbed、變形傢俬、閣樓、Cleaf 板等。專業設計師，自家施工團隊，裝修設計可享折扣優惠！,Interior Design; Change Design Factory 傢俬廠為十多年經驗的公司，一站式裝修及設計。價錢媲美師傅，工廠直銷傢俬，全用英國進口11層實木細芯板，傢俬設計，訂造衣櫃、廚櫃中島、重做廚房、衣帽間、油壓地台床、翻床Wallbed、變形傢俬、閣樓、Cleaf 板等。專業設計師，自家施工團隊，裝修設計可享折扣優惠！,https://www.hktdc.com/event/homedelights/en/exhibitor/1S005NYJH,0,
Cheong Hing Store Ltd,Cheong Hing Store Ltd,Hong Kong,"Food Container, Food Processor, Kitchenware, Tableware, Induction Cooker, Cutlery Set, Air Purifier, Electric Water Dispenser, Bowl, Dining Table Accessories, Cutting Board, Bakeware, Kitchen Utensil Set, Personal Care Product, Toaster, Plate/ Dish, Kitchen Knife, Electric Kettle, Electric Rice Cooker","Food Container, Food Processor, Kitchenware, Tableware, Induction Cooker, Cutlery Set, Air Purifier, Electric Water Dispenser, Bowl, Dining Table Accessories, Cutting Board, Bakeware, Kitchen Utensil Set, Personal Care Product, Toaster, Plate/ Dish, Kitchen Knife, Electric Kettle, Electric Rice Cooker",,Exhibitor,Home Delights Expo 2025,3F-F02,Avenue of Delights,,1,,,"Food Container, Food Processor, Kitchenware, Tableware, Induction Cooker, Cutlery Set, Air Purifier, Electric Water Dispenser, Bowl, Dining Table Accessories, Cutting Board, Bakeware, Kitchen Utensil Set, Personal Care Product, Toaster, Plate/ Dish, Kitchen Knife, Electric Kettle, Electric Rice Cooker; A wide variety of well-known and trusted kitchenware brands that includes ZWILLING, STAUB and BALLARINI. Our products keep up with the latest technology with evolving consumer trends which
make each brand timeless.","Food Container, Food Processor, Kitchenware, Tableware, Induction Cooker, Cutlery Set, Air Purifier, Electric Water Dispenser, Bowl, Dining Table Accessories, Cutting Board, Bakeware, Kitchen Utensil Set, Personal Care Product, Toaster, Plate/ Dish, Kitchen Knife, Electric Kettle, Electric Rice Cooker; A wide variety of well-known and trusted kitchenware brands that includes ZWILLING, STAUB and BALLARINI. Our products keep up with the latest technology with evolving consumer trends which
make each brand timeless.",https://www.hktdc.com/event/homedelights/en/exhibitor/1S005O04O,0,
Decor Suite Interiors Limited,Decor Suite Interiors Limited,Hong Kong,"Decor House was set up in 1984. businesses divide into three main areas: apartments, shops and offices.","Decor House was set up in 1984. businesses divide into three main areas: apartments, shops and offices.",,Exhibitor,Home Delights Expo 2025,3F-D12,Avenue of Delights,,1,,,"Interior Design; We offers diversifying and one-stop interior design and furniture-making services, includes planning on interior design and renovation of new and old apartments and offices and shops, as well as furniture design and manufacturing, as well as directs","Interior Design; We offers diversifying and one-stop interior design and furniture-making services, includes planning on interior design and renovation of new and old apartments and offices and shops, as well as furniture design and manufacturing, as well as directs",https://www.hktdc.com/event/homedelights/en/exhibitor/1S005NYHN,0,
