booth_code,x,y
5G-D02,317,32
5G-D04,344,34
5G-D06,370,34
TEA BAR,435,34
SINK,471,33
5G-D01,320,86
5G-D03,344,87
5G-D05,369,85
5G-D07,397,86
5G-D09,421,87
5G-C02,316,110
5G-C04,356,112
5G-C08,399,111
5G-C10,422,112
5G-C12,445,113
5G-C14,470,108
5G-C01,421,175
DRAGON LOUNGE,587,76
STORAGE,717,63
VP COUNTER,693,111
ES COUNTER,744,112
5G-C25,596,164
5G-C23,632,163
5G-C27,677,162
5G-C29,702,163
5G-C31,721,164
5G-B22,619,189
5G-B28,675,190
5G-B30,698,192
5G-B32,725,189
BACKSTAGE,889,211
TEA GALLERY,853,318
5G-B01,323,246
5G-B03,350,244
5G-B05,368,246
5G-B07,392,241
5G-B13,471,243
5G-B15,499,246
5G-B17,535,245
5G-A02,347,267
5G-A06,372,269
5G-A08,395,267
5G-A10,427,269
5G-A12,464,268
5G-A16,498,267
5G-A18,535,270
5G-A22,597,269
5G-A24,627,268
5G-A26,686,257
5G-A01,325,321
5G-A03,352,321
5G-A05,379,321
5G-A07,404,323
5G-A09,425,323
5G-A11,453,320
5G-A13,478,320
5G-A15,505,322
5G-A17,520,323
5G-A19,544,319
5F-F02,327,345
5F-F04,351,345
5F-F06,376,345
5F-F08,407,348
5F-F10,424,346
5F-F12,453,343
5F-F14,481,345
5F-F16,506,347
5F-F18,527,344
5F-F20,548,344
TEA SALON,806,577
TEA SPACE,811,475
5G-A21,600,319
5G-A23,632,321
5G-A25,648,322
5G-A27,676,322
5G-A29,704,322
5G-A31,744,321
5F-F22,606,344
5F-F24,627,345
5F-F26,658,345
5F-F28,691,345
5F-F32,730,349
5F-F29,709,398
5F-F27,670,398
5F-F25,651,399
5F-F21,610,395
5F-E26,649,420
5F-E28,674,421
5F-E30,714,424
5F-F01,339,407
5F-F05,368,398
5F-F07,390,398
5F-E06,385,418
5F-F11A,414,393
5F-F11B,432,393
5F-F13B,474,391
5F-F13A,455,391
5F-F17,536,396
5F-F15,497,398
5F-E14,474,424
5F-E16,502,423
5F-E18,533,420
BMS COUNTER,508,640
5F-E01,332,482
5F-E05,382,485
5F-E09,428,484
5F-E13,470,483
5F-E15,490,485
5F-E17,534,489
5F-E21,609,484
5F-E25,648,485
5F-E27,672,485
5F-E29,701,483
5F-E31,725,484
5F-D30,715,507
5F-D28,670,509
5F-D26,651,508
5F-D24,620,508
5F-D22,590,508
5F-D02,330,509
5F-D06,383,510
5F-D10,420,510
5F-D12,445,508
5F-D14,469,508
5F-D16,492,509
5F-D18,519,509
5F-D20,546,509
5F-C01,319,642
5F-C03,347,640
5F-C05,372,638
5F-C02,320,587
5F-C04,340,588
5F-C06,372,585
5F-C08,397,585
5F-C14,473,585
5F-C16,495,588
5F-C18,526,583
5F-C20,546,590
5F-C26,645,587
5F-C28,672,584
5F-C30,711,587
5F-C31,649,630
5F-C33,662,631
5F-C35,676,632
5F-C37,694,632
5F-C39,705,630
5F-C41,718,633
5F-D01,318,562
5F-D03,341,561
5F-D05,368,560
5F-D07,396,564
5F-D09,424,564
5F-D11,448,561
5F-D13,470,561
5F-D15,499,563
5F-D17,523,560
5F-D19,553,561
5F-D21,610,559
5F-D25,649,561
5F-D27,672,560
5F-D29,712,560
