NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
"Shengtang Business Co., Limited","Shengtang Business Co., Limited",Hong Kong,"Tea Set,Tea Accessories,Decoration & Craft,Tea - Bottled,Ready-to-Drink Tea,Oolong Tea,Pu'erh Tea,Dark Tea,Black Tea,Green Tea,White Tea,Fruit Tea,Milk Tea,Tea Education and Training Course,Tea Organisation","Tea Set,Tea Accessories,Decoration & Craft,Tea - Bottled,Ready-to-Drink Tea,Oolong Tea,Pu'erh Tea,Dark Tea,Black Tea,Green Tea,White Tea,Fruit Tea,Milk Tea,Tea Education and Training Course,Tea Organisation",,Exhibitor,Hong Kong International Tea Fair 2025,5F-F01,Tea,,1,,,"Tea Set,Tea Accessories,Decoration & Craft,Tea - Bottled,Ready-to-Drink Tea,Oolong Tea,Pu'erh Tea,Dark Tea,Black Tea,Green Tea,White Tea,Fruit Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Tea culture brand integrating corporate tea ceremonies, classical aesthetics training, neo-Chinese fashion, and artistic spaces. 
We commit to delivering premium teas to broader audiences while sharing our exploration of tea traditions, neo-Chines; OBM","Tea Set,Tea Accessories,Decoration & Craft,Tea - Bottled,Ready-to-Drink Tea,Oolong Tea,Pu'erh Tea,Dark Tea,Black Tea,Green Tea,White Tea,Fruit Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Tea culture brand integrating corporate tea ceremonies, classical aesthetics training, neo-Chinese fashion, and artistic spaces. 
We commit to delivering premium teas to broader audiences while sharing our exploration of tea traditions, neo-Chines; OBM",https://www.hktdc.com/event/hkteafair/en/exhibitor/1S005NWD1,6,https://www.hktdc.com/event/hkteafair/en/product/1Z03OCURX; https://www.hktdc.com/event/hkteafair/en/product/1Z03OCURX; https://www.hktdc.com/event/hkteafair/en/product/1Z03O6XA9; https://www.hktdc.com/event/hkteafair/en/product/1Z03O6XA9; https://www.hktdc.com/event/hkteafair/en/product/1Z03O6XB6; https://www.hktdc.com/event/hkteafair/en/product/1Z03O6XB6
The Best Tea House Company Limited,The Best Tea House Company Limited,Hong Kong,"The Best Tea House has been established in 1988 by Mr. Chan, Kowk Yee, who is the famous tea specialist in Hong Kong, China. Our company objective is to promote the art of Chinese tea tasting and is unique in this regard. We are the pioneer to store [1988' PUERH Tea Cake] in a clean and airy dry warehouse which is well-known by all the aged tea puerh lovers around the world.","The Best Tea House has been established in 1988 by Mr. Chan, Kowk Yee, who is the famous tea specialist in Hong Kong, China. Our company objective is to promote the art of Chinese tea tasting and is unique in this regard. We are the pioneer to store [1988' PUERH Tea Cake] in a clean and airy dry warehouse which is well-known by all the aged tea puerh lovers around the world.",,Exhibitor,Hong Kong International Tea Fair 2025,5F-E06,Tea,,1,,,"Tea Set,Pu'erh Tea; The Best Tea House is specialized in selling the high quality Chinese Tea and tea sets. Our high grade Aged Puer, and Oolong Tea are most welcomed by customers.; OBM","Tea Set,Pu'erh Tea; The Best Tea House is specialized in selling the high quality Chinese Tea and tea sets. Our high grade Aged Puer, and Oolong Tea are most welcomed by customers.; OBM",https://www.hktdc.com/event/hkteafair/en/exhibitor/1S005NW3V,6,https://www.hktdc.com/event/hkteafair/en/product/1Z03MME3D; https://www.hktdc.com/event/hkteafair/en/product/1Z03MME3D; https://www.hktdc.com/event/hkteafair/en/product/1Z03MME57; https://www.hktdc.com/event/hkteafair/en/product/1Z03MME57; https://www.hktdc.com/event/hkteafair/en/product/1Z03MME4A; https://www.hktdc.com/event/hkteafair/en/product/1Z03MME4A
"Suizhou Shennong Tea Import & Export Co., Ltd.","Suizhou Shennong Tea Import & Export Co., Ltd.",Chinese Mainland,"Suizhou Shennong Tea Co., Ltd. is an industrial company integrating tea planting, processing, domestic and foreign trade, tea sets, tea houses, tea art and tea culture communication. It now cooperates with 5000 tea farmers and has 5500 hectares of tea garden bases(among which 900 hectares of its own tea gardens have obtained organic certifications from China, the European Union, the United States, Japan, and Rainforest Alliance certification).It is one of the world's larger producers of organic broken green tea and green tea slices, a national high-tech enterprise, a school-enterprise co-operation enterprise in Hubei, an expert and academician workstation, and a key leading enterprise in agricultural industrialization in Hubei. Yunwu Maojian Tea has been rated as a Famous Tea in China, and Shennong Organic Tea as a Famous Brand in Hubei. The trademarks ""Suifeng"" and ""Shennong Yimu"" have been rated as Famous Trademarks of Hubei Province. The garden in Yunfeng Mountain is a national AAA-level tourist attraction.","Suizhou Shennong Tea Co., Ltd. is an industrial company integrating tea planting, processing, domestic and foreign trade, tea sets, tea houses, tea art and tea culture communication. It now cooperates with 5000 tea farmers and has 5500 hectares of tea garden bases(among which 900 hectares of its own tea gardens have obtained organic certifications from China, the European Union, the United States, Japan, and Rainforest Alliance certification).It is one of the world's larger producers of organic broken green tea and green tea slices, a national high-tech enterprise, a school-enterprise co-operation enterprise in Hubei, an expert and academician workstation, and a key leading enterprise in agricultural industrialization in Hubei. Yunwu Maojian Tea has been rated as a Famous Tea in China, and Shennong Organic Tea as a Famous Brand in Hubei. The trademarks ""Suifeng"" and ""Shennong Yimu"" have been rated as Famous Trademarks of Hubei Province. The garden in Yunfeng Mountain is a national AAA-level tourist attraction.",,Exhibitor,Hong Kong International Tea Fair 2025,5G-C01,Tea,"Hubei, Chnese mainland",1,,,"Black Tea,Green Tea,Herbal Tea,Matcha; Green tea/black Tea/broken tea/herbal tea/matcha tea/bagged tea/white tea/longjing/maojian/bud tea

Our company is tea raw material supply and, reduce clients' costs and good quality control. Also, we offer OEM services and customized packaging.; ODM","Black Tea,Green Tea,Herbal Tea,Matcha; Green tea/black Tea/broken tea/herbal tea/matcha tea/bagged tea/white tea/longjing/maojian/bud tea

Our company is tea raw material supply and, reduce clients' costs and good quality control. Also, we offer OEM services and customized packaging.; ODM",https://www.hktdc.com/event/hkteafair/en/exhibitor/1S005P53M,2,https://www.hktdc.com/event/hkteafair/en/product/1Z03OBNCD; https://www.hktdc.com/event/hkteafair/en/product/1Z03OBNCD
"Zhejiang Longding Tea Group Co., Ltd.","Zhejiang Longding Tea Group Co., Ltd.",Chinese Mainland,"Black Tea,Green Tea","Black Tea,Green Tea",,Exhibitor,Hong Kong International Tea Fair 2025,5G-A26,Tea,"Zhejiang, Chinese mainland",1,,,"Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM",https://www.hktdc.com/event/hkteafair/en/exhibitor/1S005PGXT,34,https://www.hktdc.com/event/hkteafair/en/product/1Z03OB31U; https://www.hktdc.com/event/hkteafair/en/product/1Z03OB31U; https://www.hktdc.com/event/hkteafair/en/product/1Z03OAYLB; https://www.hktdc.com/event/hkteafair/en/product/1Z03OAYLB; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LQ9; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LQ9; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LLO; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LLO; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LG3; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LG3; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9HPG; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9HPG; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LF6; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LF6; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LML; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LML; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LJU; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LJU; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LOF; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LOF; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9HQD; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9HQD; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LH0; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LH0; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LPC; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LPC; https://www.hktdc.com/event/hkteafair/en/product/1Z03O980S; https://www.hktdc.com/event/hkteafair/en/product/1Z03O980S; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LIX; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LIX; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LNI; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LNI; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LKR; https://www.hktdc.com/event/hkteafair/en/product/1Z03O9LKR
Association of Coffee and Tea of Hong Kong,Association of Coffee and Tea of Hong Kong,Hong Kong,"Founded in 2008 by Mr. Wong Ka Wo, JP, Chairman of Kampery Development Limited. Association of Coffee and Tea of Hong Kong is a non-political and non-profit organization. Its purpose is to provide a broad platform to connect coffee and tea practitioners, industry professionals, businesses and enthusiasts. It provides the latest industry information and updates, as well as various activities such as training to help improve the level of members and the industry and help increase and maintain their competitiveness in the market.","Founded in 2008 by Mr. Wong Ka Wo, JP, Chairman of Kampery Development Limited. Association of Coffee and Tea of Hong Kong is a non-political and non-profit organization. Its purpose is to provide a broad platform to connect coffee and tea practitioners, industry professionals, businesses and enthusiasts. It provides the latest industry information and updates, as well as various activities such as training to help improve the level of members and the industry and help increase and maintain their competitiveness in the market.",,Exhibitor,Hong Kong International Tea Fair 2025,5F-F21,Tea Bar / Organisation,,1,,,"Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM","Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM",https://www.hktdc.com/event/hkteafair/en/exhibitor/1S005NWEY,10,https://www.hktdc.com/event/hkteafair/en/product/1X255MFR; https://www.hktdc.com/event/hkteafair/en/product/1X255MFR; https://www.hktdc.com/event/hkteafair/en/product/1X255IH1; https://www.hktdc.com/event/hkteafair/en/product/1X255IH1; https://www.hktdc.com/event/hkteafair/en/product/1X255IF3; https://www.hktdc.com/event/hkteafair/en/product/1X255IF3; https://www.hktdc.com/event/hkteafair/en/product/1X1BMF3O; https://www.hktdc.com/event/hkteafair/en/product/1X1BMF3O; https://www.hktdc.com/event/hkteafair/en/product/1X140NSB; https://www.hktdc.com/event/hkteafair/en/product/1X140NSB
Eastsign Foods (Quzhou) Co Ltd,Eastsign Foods (Quzhou) Co Ltd,Chinese Mainland,,,,Exhibitor,Hong Kong International Tea Fair 2025,5G-A26,Tea,"Zhejiang, Chinese mainland",1,,,"FD Tea, Tea Concentrate, Instant Tea Powder; OBM","FD Tea, Tea Concentrate, Instant Tea Powder; OBM",https://www.hktdc.com/event/hkteafair/en/exhibitor/1S005PFS9,6,https://www.hktdc.com/event/hkteafair/en/product/1Z03MLS5T; https://www.hktdc.com/event/hkteafair/en/product/1Z03MLS5T; https://www.hktdc.com/event/hkteafair/en/product/1Z03MLS7N; https://www.hktdc.com/event/hkteafair/en/product/1Z03MLS7N; https://www.hktdc.com/event/hkteafair/en/product/1Z03MLS6Q; https://www.hktdc.com/event/hkteafair/en/product/1Z03MLS6Q
"Enshi Lanbei Tea Industry Co., Ltd.","Enshi Lanbei Tea Industry Co., Ltd.",Chinese Mainland,"Enshi Lanbei Tea Industry Co., Ltd.is located in Dabaoping Group, Dongxiachu Village, Baiyangping Town, Enshi City. It was established in August 2012 with a registered capital of 10 million yuan. It is mainly engaged in tea planting, processing, sales and tea tourism integration and development. The company has now become a national high-tech enterprise, a key leading enterprise in agricultural industrialization in Hubei Province and a leading enterprise in poverty alleviation in Hubei Province. In 2021, it was rated as an ""invisible champion"" nurturing enterprise and a ""specialized and new"" small giant enterprise in the subdivision of pillar industries in Hubei Province. In 2003, it was rated as the ""Top Ten Gold Medal Enterprises"" in Enshi City. "".","Enshi Lanbei Tea Industry Co., Ltd.is located in Dabaoping Group, Dongxiachu Village, Baiyangping Town, Enshi City. It was established in August 2012 with a registered capital of 10 million yuan. It is mainly engaged in tea planting, processing, sales and tea tourism integration and development. The company has now become a national high-tech enterprise, a key leading enterprise in agricultural industrialization in Hubei Province and a leading enterprise in poverty alleviation in Hubei Province. In 2021, it was rated as an ""invisible champion"" nurturing enterprise and a ""specialized and new"" small giant enterprise in the subdivision of pillar industries in Hubei Province. In 2003, it was rated as the ""Top Ten Gold Medal Enterprises"" in Enshi City. "".",,Exhibitor,Hong Kong International Tea Fair 2025,5G-C01,Tea,"Hubei, Chnese mainland",1,,,"Processed Tea,Black Tea,Green Tea,Flower Tea,Herbal Tea; Mainly green tea, black tea, herbal tea, substitute tea, tea cultural and creative products.; OBM","Processed Tea,Black Tea,Green Tea,Flower Tea,Herbal Tea; Mainly green tea, black tea, herbal tea, substitute tea, tea cultural and creative products.; OBM",https://www.hktdc.com/event/hkteafair/en/exhibitor/1S005OGPH,0,
"Hangzhou LuYuShui Tea Industry Co., Ltd","Hangzhou LuYuShui Tea Industry Co., Ltd",Chinese Mainland,"Black Tea,Green Tea","Black Tea,Green Tea",,Exhibitor,Hong Kong International Tea Fair 2025,5G-A26,Tea,"Zhejiang, Chinese mainland",1,,,"Black Tea,Green Tea; 抹茶, 飲用泉水; Others","Black Tea,Green Tea; 抹茶, 飲用泉水; Others",https://www.hktdc.com/event/hkteafair/en/exhibitor/1S005PFWX,0,
"Hubei Banbingwei Tea Co., Ltd.","Hubei Banbingwei Tea Co., Ltd.",Chinese Mainland,"Processed Tea,Matcha","Processed Tea,Matcha",,Exhibitor,Hong Kong International Tea Fair 2025,5G-C01,Tea,"Hubei, Chnese mainland",1,,,"Processed Tea,Matcha; Our company is an integrated enterprise that integrates tea planting,matcha processing and production.We mainly produce matcha,including matcha,beverage specific matcha powder,baking specific matcha powder,etc.; ODM, OBM","Processed Tea,Matcha; Our company is an integrated enterprise that integrates tea planting,matcha processing and production.We mainly produce matcha,including matcha,beverage specific matcha powder,baking specific matcha powder,etc.; ODM, OBM",https://www.hktdc.com/event/hkteafair/en/exhibitor/1S005OGZN,0,
"Hubei Fuliangshan Agricultural Technology Co., Ltd","Hubei Fuliangshan Agricultural Technology Co., Ltd",Chinese Mainland,"Green Tea,Matcha","Green Tea,Matcha",,Exhibitor,Hong Kong International Tea Fair 2025,5G-C01,Tea,"Hubei, Chnese mainland",1,,,"Green Tea,Matcha; Stone-ground green tea powder with vibrant color. Rich in antioxidants, naturally energizing. Zero added sugar. Perfect for lattes, baking, and wellness recipes. Pure flavor, endless possibilities.; Others","Green Tea,Matcha; Stone-ground green tea powder with vibrant color. Rich in antioxidants, naturally energizing. Zero added sugar. Perfect for lattes, baking, and wellness recipes. Pure flavor, endless possibilities.; Others",https://www.hktdc.com/event/hkteafair/en/exhibitor/1S005PA9Z,0,
"Hubei Qing Zhuan Tea Industry Development Group Co., Ltd","Hubei Qing Zhuan Tea Industry Development Group Co., Ltd",Chinese Mainland,"Hubei Green Brick Tea Industry Development Group Co., Ltd. was established in 2020. As a state-owned sole proprietorship leading enterprise promoting the high-quality development of Chibi green brick tea industry.","Hubei Green Brick Tea Industry Development Group Co., Ltd. was established in 2020. As a state-owned sole proprietorship leading enterprise promoting the high-quality development of Chibi green brick tea industry.",,Exhibitor,Hong Kong International Tea Fair 2025,5G-C01,Tea,"Hubei, Chnese mainland",1,,,Dark Tea; Others,Dark Tea; Others,https://www.hktdc.com/event/hkteafair/en/exhibitor/1S005OGXT,2,https://www.hktdc.com/event/hkteafair/en/product/1Z03OBLH0; https://www.hktdc.com/event/hkteafair/en/product/1Z03OBLH0
