NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Oolong Tea,Oolong Tea,"“ Cong Gu Zhi Jin ” , also known as “ Shui Xian ” , is a variety of Wuyi rock tea from the category of oolong tea. This exceptional tea is crafted from century-old tea bushes—referred to as “Cong”—that grow deep within the rugged cliffs of the Wuyi Mountains in Fujian, China.; Such a unique growing environment imparts the brew with a full-bodied texture, a mature, layered taste with earthy notes of wood, and an exceptionally strong and lingering finish on the palate.; Wuyi Oolong Tea; Taste; Key Features","“ Cong Gu Zhi Jin ” , also known as “ Shui Xian ” , is a variety of Wuyi rock tea from the category of oolong tea. This exceptional tea is crafted from century-old tea bushes—referred to as “Cong”—that grow deep within the rugged cliffs of the Wuyi Mountains in Fujian, China.; Such a unique growing environment imparts the brew with a full-bodied texture, a mature, layered taste with earthy notes of wood, and an exceptionally strong and lingering finish on the palate.; Wuyi Oolong Tea; Taste; Key Features",,,,"Shengtang Business Co., Limited","Tea Set,Tea Accessories,Decoration & Craft,Tea - Bottled,Ready-to-Drink Tea,Oolong Tea,Pu'erh Tea,Dark Tea,Black Tea,Green Tea,White Tea,Fruit Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Tea culture brand integrating corporate tea ceremonies, classical aesthetics training, neo-Chinese fashion, and artistic spaces. 
We commit to delivering premium teas to broader audiences while sharing our exploration of tea traditions, neo-Chines; OBM","Tea Set,Tea Accessories,Decoration & Craft,Tea - Bottled,Ready-to-Drink Tea,Oolong Tea,Pu'erh Tea,Dark Tea,Black Tea,Green Tea,White Tea,Fruit Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Tea culture brand integrating corporate tea ceremonies, classical aesthetics training, neo-Chinese fashion, and artistic spaces. 
We commit to delivering premium teas to broader audiences while sharing our exploration of tea traditions, neo-Chines; OBM"
Chinese Oolong Tea,Chinese Oolong Tea,"“ Cong Gu Zhi Jin ” , also known as “ Shui Xian ” , is a variety of Wuyi rock tea from the category of oolong tea. This exceptional tea is crafted from century-old tea bushes—referred to as “Cong”—that grow deep within the rugged cliffs of the Wuyi Mountains in Fujian, China.; Such a unique growing environment imparts the brew with a full-bodied texture, a mature, layered taste with earthy notes of wood, and an exceptionally strong and lingering finish on the palate.; Wuyi Oolong Tea; Taste; Key Features","“ Cong Gu Zhi Jin ” , also known as “ Shui Xian ” , is a variety of Wuyi rock tea from the category of oolong tea. This exceptional tea is crafted from century-old tea bushes—referred to as “Cong”—that grow deep within the rugged cliffs of the Wuyi Mountains in Fujian, China.; Such a unique growing environment imparts the brew with a full-bodied texture, a mature, layered taste with earthy notes of wood, and an exceptionally strong and lingering finish on the palate.; Wuyi Oolong Tea; Taste; Key Features",,,,"Shengtang Business Co., Limited","Tea Set,Tea Accessories,Decoration & Craft,Tea - Bottled,Ready-to-Drink Tea,Oolong Tea,Pu'erh Tea,Dark Tea,Black Tea,Green Tea,White Tea,Fruit Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Tea culture brand integrating corporate tea ceremonies, classical aesthetics training, neo-Chinese fashion, and artistic spaces. 
We commit to delivering premium teas to broader audiences while sharing our exploration of tea traditions, neo-Chines; OBM","Tea Set,Tea Accessories,Decoration & Craft,Tea - Bottled,Ready-to-Drink Tea,Oolong Tea,Pu'erh Tea,Dark Tea,Black Tea,Green Tea,White Tea,Fruit Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Tea culture brand integrating corporate tea ceremonies, classical aesthetics training, neo-Chinese fashion, and artistic spaces. 
We commit to delivering premium teas to broader audiences while sharing our exploration of tea traditions, neo-Chines; OBM"
Silver Needle White Tea,Silver Needle White Tea,"“ Ying Xue Ru Chun ” is a premium-grade Silver Needle white tea, one of the most prestigious varieties in Chinese tea culture. Sourced from Fuding, Fujian Province, widely known as the hometown of white tea and a key tea export hub, this exquisite tea is crafted exclusively from the young, unopened buds of the tea plant.; Each bud is meticulously handpicked, selected for its plumpness and covered in dense, silvery-white hairs, giving the tea its signature needle-like appearance and beauty. “ Ying Xue Ru Chun ” delivers a light, mellow taste with a refreshing natural sweetness. This Silver Needle tea’s delicate aroma is complemented by a smooth, silky mouthfeel and a lingering finish.; Silver Needle tea; Taste; Key Features","“ Ying Xue Ru Chun ” is a premium-grade Silver Needle white tea, one of the most prestigious varieties in Chinese tea culture. Sourced from Fuding, Fujian Province, widely known as the hometown of white tea and a key tea export hub, this exquisite tea is crafted exclusively from the young, unopened buds of the tea plant.; Each bud is meticulously handpicked, selected for its plumpness and covered in dense, silvery-white hairs, giving the tea its signature needle-like appearance and beauty. “ Ying Xue Ru Chun ” delivers a light, mellow taste with a refreshing natural sweetness. This Silver Needle tea’s delicate aroma is complemented by a smooth, silky mouthfeel and a lingering finish.; Silver Needle tea; Taste; Key Features",,,,"Shengtang Business Co., Limited","Tea Set,Tea Accessories,Decoration & Craft,Tea - Bottled,Ready-to-Drink Tea,Oolong Tea,Pu'erh Tea,Dark Tea,Black Tea,Green Tea,White Tea,Fruit Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Tea culture brand integrating corporate tea ceremonies, classical aesthetics training, neo-Chinese fashion, and artistic spaces. 
We commit to delivering premium teas to broader audiences while sharing our exploration of tea traditions, neo-Chines; OBM","Tea Set,Tea Accessories,Decoration & Craft,Tea - Bottled,Ready-to-Drink Tea,Oolong Tea,Pu'erh Tea,Dark Tea,Black Tea,Green Tea,White Tea,Fruit Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Tea culture brand integrating corporate tea ceremonies, classical aesthetics training, neo-Chinese fashion, and artistic spaces. 
We commit to delivering premium teas to broader audiences while sharing our exploration of tea traditions, neo-Chines; OBM"
2023年冰島之戀,2023年冰島之戀,2023年冰島之戀,2023年冰島之戀,,,,The Best Tea House Company Limited,"Tea Set,Pu'erh Tea; The Best Tea House is specialized in selling the high quality Chinese Tea and tea sets. Our high grade Aged Puer, and Oolong Tea are most welcomed by customers.; OBM","Tea Set,Pu'erh Tea; The Best Tea House is specialized in selling the high quality Chinese Tea and tea sets. Our high grade Aged Puer, and Oolong Tea are most welcomed by customers.; OBM"
特級玫瑰花茶,特級玫瑰花茶,玫瑰有解鬱安神，清肝明目，適合久對電腦屏幕的上班一族，舒緩都市人日常的壓力，在中醫角度，更有保健功效。,玫瑰有解鬱安神，清肝明目，適合久對電腦屏幕的上班一族，舒緩都市人日常的壓力，在中醫角度，更有保健功效。,,,,The Best Tea House Company Limited,"Tea Set,Pu'erh Tea; The Best Tea House is specialized in selling the high quality Chinese Tea and tea sets. Our high grade Aged Puer, and Oolong Tea are most welcomed by customers.; OBM","Tea Set,Pu'erh Tea; The Best Tea House is specialized in selling the high quality Chinese Tea and tea sets. Our high grade Aged Puer, and Oolong Tea are most welcomed by customers.; OBM"
不知春,不知春,不知春茶的生長期是茶樹的休眠期，應該讓它好好的休息，因日照少、茶丹寧含量就少、苦澀味就低，氣温低、日夜温差大，香氣就高，果膠質、氨基酸含量就高，茶湯有飽滿的感覺，質感特別好。; 它風味獨特，是稀有品種之一。不知春條索緊結，色澤黑褐油潤起霜，均勻完整，幹香有一種淡淡的栗子香。,不知春茶的生長期是茶樹的休眠期，應該讓它好好的休息，因日照少、茶丹寧含量就少、苦澀味就低，氣温低、日夜温差大，香氣就高，果膠質、氨基酸含量就高，茶湯有飽滿的感覺，質感特別好。; 它風味獨特，是稀有品種之一。不知春條索緊結，色澤黑褐油潤起霜，均勻完整，幹香有一種淡淡的栗子香。,,,,The Best Tea House Company Limited,"Tea Set,Pu'erh Tea; The Best Tea House is specialized in selling the high quality Chinese Tea and tea sets. Our high grade Aged Puer, and Oolong Tea are most welcomed by customers.; OBM","Tea Set,Pu'erh Tea; The Best Tea House is specialized in selling the high quality Chinese Tea and tea sets. Our high grade Aged Puer, and Oolong Tea are most welcomed by customers.; OBM"
Tea,Tea,Tea,Tea,,,,"Suizhou Shennong Tea Import & Export Co., Ltd.","Black Tea,Green Tea,Herbal Tea,Matcha; Green tea/black Tea/broken tea/herbal tea/matcha tea/bagged tea/white tea/longjing/maojian/bud tea

Our company is tea raw material supply and, reduce clients' costs and good quality control. Also, we offer OEM services and customized packaging.; ODM","Black Tea,Green Tea,Herbal Tea,Matcha; Green tea/black Tea/broken tea/herbal tea/matcha tea/bagged tea/white tea/longjing/maojian/bud tea

Our company is tea raw material supply and, reduce clients' costs and good quality control. Also, we offer OEM services and customized packaging.; ODM"
Qian Jiang Yuan Kai Men Hong Black Tea Yuan800,Qian Jiang Yuan Kai Men Hong Black Tea Yuan800,"This tea features tightly compressed leaves that are fairly dark and lustrous, with a relatively even and clean appearance. The liquor displays a bright orange-red hue. Its aroma is sweet with floral notes, and the taste is mellow and sweet. The brewed leaves are fairly tender and soft, appearing relatively intact.","This tea features tightly compressed leaves that are fairly dark and lustrous, with a relatively even and clean appearance. The liquor displays a bright orange-red hue. Its aroma is sweet with floral notes, and the taste is mellow and sweet. The brewed leaves are fairly tender and soft, appearing relatively intact.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Qian Jiang Yuan Kai Men Hong Black Tea Song1500,Qian Jiang Yuan Kai Men Hong Black Tea Song1500,"This tea features tightly rolled, dark and glossy leaves that are relatively uniform and clean in appearance. The liquor displays a bright orange-red hue, with a sweet floral aroma carrying notes of blossoms. The taste is sweet and mellow, while the brewed tea leaves reveal tender, soft texture and relatively even reddish color.","This tea features tightly rolled, dark and glossy leaves that are relatively uniform and clean in appearance. The liquor displays a bright orange-red hue, with a sweet floral aroma carrying notes of blossoms. The taste is sweet and mellow, while the brewed tea leaves reveal tender, soft texture and relatively even reddish color.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
"Qiantang Yu Tea - Three Teas of a Day Gift Set(with Peach Oolong, Jasmine Green Tea & Osmanthus Black Tea)","Qiantang Yu Tea - Three Teas of a Day Gift Set(with Peach Oolong, Jasmine Green Tea & Osmanthus Black Tea)","This exquisitely crafted gift box features three flavored teas: Peach Oolong, Jasmine Green Tea, and Osmanthus Black Tea.","This exquisitely crafted gift box features three flavored teas: Peach Oolong, Jasmine Green Tea, and Osmanthus Black Tea.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
