booth_code,x,y
1E-D30,1530,68
1E-D28,1533,93
1E-D26,1531,109
1E-D24,1534,126
1E-D22,1531,145
1E-D32,1491,44
1E-D31,1459,44
1E-C30,1427,46
1E-C29,1395,44
1E-D25,1478,82
1E-D21,1484,122
1E-D23,1483,100
1E-D17,1483,149
1E-D13,1484,207
1E-D11,1480,239
1E-D09,1483,257
1E-D05,1483,286
1E-D01,1483,326
1E-D12,1531,250
1E-D10,1531,271
1E-D06,1531,294
1E-D02,1528,326
1E-C24,1453,91
1E-C22,1456,124
1E-C18,1449,151
1E-C17,1405,151
1E-C21,1401,120
1E-C23,1401,102
1E-C25,1405,84
1E-B26,1373,83
1E-B24,1374,102
1E-B22,1369,126
1E-B25,1323,82
1E-B23,1321,102
1E-B21,1323,125
1E-B17,1321,152
1E-B18,1373,149
1E-B29,1326,44
1E-A26,1295,81
1E-A24,1287,100
1E-A22,1291,120
1E-A25,1246,82
1E-A23,1241,101
1E-A21,1242,122
1E-A19,1243,140
1E-A17,1243,159
1E-A18,1295,150
1E-A30,1298,44
1E-A29,1264,44
1D-C26,1212,85
1D-C24,1212,104
1D-C22,1210,122
1D-C18,1218,151
1D-C17,1164,147
1D-C21,1159,124
1D-C23,1153,99
1D-C25,1159,80
1D-C29,1163,46
1D-B30,1127,47
1D-B29,1090,46
1D-B26,1133,82
1D-B25,1075,82
1D-B24,1128,101
1D-B23,1077,102
1D-B22,1134,124
1D-B21,1081,122
1D-B18,1128,151
1D-B17,1077,149
1D-A30,1060,47
1D-A29,1021,47
1D-A26,1047,86
1D-A25,996,83
1D-A24,1046,99
1D-A23,991,101
1D-A21,995,122
1D-A18,1046,144
1E-C14,1453,206
1E-C10,1449,245
1E-C06,1449,282
1E-C02,1454,319
1E-B02,1390,312
1E-B10,1371,249
1E-B09,1326,248
1E-C13,1401,206
1E-C09,1408,246
1E-B15,1324,197
1E-B13,1320,216
1E-A02,1306,316
1E-A01,1241,315
1E-A09,1240,248
1E-A13,1249,208
1E-A16,1292,208
1E-A10,1295,248
1D-C10,1205,247
1D-C02,1211,313
1D-C05,1157,296
1D-C15,1161,196
1D-C13,1157,215
1D-B02,1145,324
1D-B06,1130,295
1D-B10,1143,248
1D-B14,1127,216
1D-B16,1128,196
1D-B13,1081,205
1D-B05,1077,296
1D-B01,1077,323
1D-A10,1057,248
1D-A16,1052,197
1D-A14,1046,214
1D-A06,1045,293
1D-A02,1047,322
1D-A01,999,314
1D-A09,995,244
1C-D10,964,247
1C-D06,963,295
1C-D02,962,322
1C-D15,904,207
1C-C14,878,209
1C-C10,898,248
1C-C02,898,323
1C-C05,910,296
1C-C06,881,296
1C-B02,814,310
1C-B12,799,240
1C-C13,832,204
1C-C11,832,239
1C-D18,975,153
1C-D22,964,125
1C-D24,960,100
1C-D26,961,81
1C-D30,921,42
1C-D31,897,49
1C-D25,910,82
1C-D23,910,99
1C-D21,910,123
1C-C18,892,148
1C-C22,878,124
1C-C24,881,99
1C-C26,882,84
1C-C30,857,47
1C-C29,825,44
1C-C25,832,81
1C-C23,829,103
1C-C21,835,125
1C-C17,831,154
1C-B24,799,93
1C-B22,801,124
1C-B20,801,142
1C-B18,798,159
1C-A14,739,207
1C-A10,724,257
1C-B09,756,258
1C-B07,757,276
1C-A02,741,307
1C-A08,727,276
1C-A15,683,208
1C-A11,684,235
1C-A09,682,258
1C-A07,682,277
1C-A01,683,314
1B-D02,650,322
1B-D06,654,294
1B-D08,651,274
1B-D10,654,255
1B-D12,653,239
1B-D11,613,238
1B-D09,608,258
1B-D07,608,277
1B-D05,611,295
1B-D01,608,320
1B-C12,579,238
1B-C11,534,239
1B-C13,537,215
1B-C15,536,197
1B-C10,578,258
1B-C09,536,257
1B-C08,580,278
1B-C07,535,277
1B-C06,579,296
1B-C05,540,296
1B-C03,537,311
1B-C02,577,324
1B-C01,539,329
1B-B14,505,204
1B-B12,507,238
1B-B11,459,249
1B-B10,506,258
1B-B08,506,274
1B-B07,463,276
1B-B02,506,312
1B-A02,443,321
1B-A05,386,284
1B-A08,433,284
1B-A09,386,258
1B-A10,428,264
1B-A11,385,239
1B-A12,430,248
1B-A14,429,209
1B-A13,386,206
1A-D14,354,207
1A-D12,357,241
1A-D10,355,257
1A-D09,311,247
1A-D08,362,273
1A-D07,311,275
1A-D06,352,294
1A-D05,313,293
1A-D02,368,315
1A-C02,297,321
1A-C06,287,294
1A-C08,283,274
1A-C10,282,249
1A-C13,236,202
1A-C11,238,234
1A-C09,240,254
1A-C07,241,277
1A-C05,241,293
1A-C03,238,312
1A-C01,241,330
1A-B01,165,330
1A-B02,208,321
1A-B03,166,310
1A-B05,164,295
1A-B06,209,293
1A-B07,165,277
1A-B08,209,275
1A-B09,166,249
1A-B10,209,252
1A-B11,163,235
1A-B12,208,232
1A-B14,208,206
1C-A32,760,47
1C-A31,720,46
ES COUNTER,678,46
1C-B25,753,84
1C-B23,760,99
1C-B21,763,126
1C-B17,757,150
1C-A26,725,82
1C-A25,685,83
1C-A24,728,102
1C-A23,685,102
1C-A22,724,125
1C-A21,683,124
1C-A18,726,153
1C-A17,678,150
1B-D26,655,80
1B-D25,608,84
1B-D24,655,102
1B-D23,611,100
1B-D22,650,121
1B-D21,613,123
1B-D18,654,150
1B-D17,611,151
1B-C32,599,42
1B-C31,580,46
1B-C30,558,45
1B-C26,580,84
1B-C25,539,84
1B-C24,580,99
1B-C23,534,99
1B-C22,579,120
1B-C21,534,123
1B-C19,536,141
1B-C20,580,139
1B-C18,580,161
1B-C17,537,158
1B-C29,543,45
1B-B32,523,46
1B-B31,505,45
1B-B30,487,48
1B-B26,506,82
1B-B24,509,99
1B-B23,459,92
1B-B22,504,122
1B-B21,461,123
1B-B20,505,140
1B-B18,506,159
1B-B17,462,150
1B-A18,429,153
1B-A22,428,120
1B-A21,389,121
1B-A24,428,101
1B-A23,384,100
1B-A26,430,82
1B-A25,386,84
1A-D18,370,153
1A-D22,354,121
1A-D24,355,99
1A-D26,355,80
1A-D25,311,85
1A-D23,313,99
1A-D21,313,122
1A-D17,312,150
1A-C18,279,161
1A-C17,240,149
1A-C20,284,140
1A-C21,236,119
1A-C22,280,123
1A-C23,240,99
1A-C24,279,99
1A-C25,235,80
1A-C26,280,84
1A-B26,207,83
1A-B24,206,101
1A-B22,206,124
1A-B20,207,142
1A-B18,211,161
1A-B17,169,157
1A-B15,168,177
VISITORS PRIVILEGE COUNTER,163,127
1CON-01,513,441
