NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
"Zapjeed Co., Ltd.","Zapjeed Co., Ltd.",Thailand,Sauce,Sauce,,Exhibitor,Food Expo PRO 2025,5E-C02A,Sauces & Seasonings,Thailand(OSMEP),1,,,"Sauce; Freeze Dried Seafood Dipping Sauce
Freeze Dried Jaew Dipping Sauce
Freeze Dried Mookrata Dipping Sauce; OBM, OEM","Sauce; Freeze Dried Seafood Dipping Sauce
Freeze Dried Jaew Dipping Sauce
Freeze Dried Mookrata Dipping Sauce; OBM, OEM",https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S005OUXF,3,https://www.hktdc.com/event/foodexpopro/en/product/1Z03O6RTU; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O6RVO; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O6RUR
EXHIBITION+,EXHIBITION+,Hong Kong,"The Hong Kong Trade Development Council (HKTDC) introduces ‘EXHIBITION+’, a brand-new exhibition model integrating online-and-offline trade show formats, extending face-to-face interactions from its world-class exhibitions in Hong Kong to an online smart business matching platform to help you connect business partners proactively.","The Hong Kong Trade Development Council (HKTDC) introduces ‘EXHIBITION+’, a brand-new exhibition model integrating online-and-offline trade show formats, extending face-to-face interactions from its world-class exhibitions in Hong Kong to an online smart business matching platform to help you connect business partners proactively.",,Exhibitor,Food Expo PRO 2025,,Product Display,,1,,,"30+ Physical Exhibitions, Click2Match, Scan2Match, hktdc.com Sourcing​","30+ Physical Exhibitions, Click2Match, Scan2Match, hktdc.com Sourcing​",https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S005HSC8,1,https://www.hktdc.com/event/foodexpopro/en/product/1Z03KFPCB
Ace Star International Trading Co Ltd,Ace Star International Trading Co Ltd,Thailand,"Ace Star International is a global supplier of Thai food from fresh to processed ones. Our products vary from fresh local fruits, canned food, and dried fruits. Our clients are welcome to use our brand, Starry on all fresh produce, canned food and freeze-dried fruits from ASI. While OEM, ODM and OBM supports are ones of our strengths, we can provide you with professional, integrated and one-stop service in this field. More importantly, we guarantee that all of our products are well certified and complied to standard and regulation in each country. The commitment of Ace Star International is to provide our clients with premium food products, highest service quality, and certainly competitive prices in a long-term relationship. This makes us an ideal choice for customers around the world in food industry. Story With selected raw materials from our own GAP-certified fruit farm in Tha Mai, Chanthaburi where fertility is there in every square inch of the land, Starry uses only 100% real Thai fruits with high quality for our products. Our products are available in leading modern trades and online platforms in Thailand and many countries around the world","Ace Star International is a global supplier of Thai food from fresh to processed ones. Our products vary from fresh local fruits, canned food, and dried fruits. Our clients are welcome to use our brand, Starry on all fresh produce, canned food and freeze-dried fruits from ASI. While OEM, ODM and OBM supports are ones of our strengths, we can provide you with professional, integrated and one-stop service in this field. More importantly, we guarantee that all of our products are well certified and complied to standard and regulation in each country. The commitment of Ace Star International is to provide our clients with premium food products, highest service quality, and certainly competitive prices in a long-term relationship. This makes us an ideal choice for customers around the world in food industry. Story With selected raw materials from our own GAP-certified fruit farm in Tha Mai, Chanthaburi where fertility is there in every square inch of the land, Starry uses only 100% real Thai fruits with high quality for our products. Our products are available in leading modern trades and online platforms in Thailand and many countries around the world",,Exhibitor,Food Expo PRO 2025,5E-D05B,Fruits & Vegetables,Thailand (NIA),1,,,"Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM","Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM",https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S005OUD3,20,https://www.hktdc.com/event/foodexpopro/en/product/1Z03O9TWJ; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O9W5P; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O9U13; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O9W7J; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O9TP4; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O9TUP; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O9QUS; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O9TSV; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O8WGS; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O8ZM7; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O8JG5; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O771Q; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O8JBK; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O86A0; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O8A0Q; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O75TG; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O7S5T; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O7S4W; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O7QWM; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O7SBB
Cavinkare Private Limited,Cavinkare Private Limited,India,"CavinKare is a leading Indian FMCG conglomerate with a diversified portfolio across Personal Care, Food & Beverages, Dairy, and Snacking categories. Headquartered in Chennai, India, CavinKare began its journey in 1983 with a vision to offer world-class products to every Indian consumer, irrespective of geography or income. Today, the company has grown into a global enterprise with a strong presence across more than 30 countries, catering to millions of customers across South Asia, the Middle East, Africa, and beyond.","CavinKare is a leading Indian FMCG conglomerate with a diversified portfolio across Personal Care, Food & Beverages, Dairy, and Snacking categories. Headquartered in Chennai, India, CavinKare began its journey in 1983 with a vision to offer world-class products to every Indian consumer, irrespective of geography or income. Today, the company has grown into a global enterprise with a strong presence across more than 30 countries, catering to millions of customers across South Asia, the Middle East, Africa, and beyond.",,Exhibitor,Food Expo PRO 2025,5E-A12B,Halal Food & Beverage,,1,,,"Fruit Juice,Snack,Butter,Milk; Leveraging its deep consumer understanding, CavinKare offers:
Dairy & Beverages – UHT Milk, Milkshakes, Lassi, Buttermilk, Fruit Juices, pickles, snacks and Ghee – Retail and HoReCa packs.; OBM, OEM","Fruit Juice,Snack,Butter,Milk; Leveraging its deep consumer understanding, CavinKare offers:
Dairy & Beverages – UHT Milk, Milkshakes, Lassi, Buttermilk, Fruit Juices, pickles, snacks and Ghee – Retail and HoReCa packs.; OBM, OEM",https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S005Q15K,9,https://www.hktdc.com/event/foodexpopro/en/product/1Z03OBATB; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OAGYQ; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OAYXB; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OAHQD; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OAHOJ; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OAHI1; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OAH1G; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OAHH4; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OAHG7
IMG Corporation Company Limited,IMG Corporation Company Limited,Thailand,"IMG CORPORATION is a dynamic leader in the development, manufacturing, and global distribution of premium processed fruit, plant-based meat, and snack products, as well as innovative packaging solutions. With decades of experience, our team specializes in creating high-quality, value-added goods that meet international standards and evolving consumer demands. We export to numerous countries worldwide and offer comprehensive OEM and ODM services to meet the unique needs of our partners. We pride ourselves on sustainable practices, cutting-edge technology, and a strong commitment to food safety and quality. Our network spans multiple continents, enabling us to deliver exceptional products and reliable services to clients globally. IMG CORPORATION continues to innovate, expand, and set new benchmarks in the food industry.","IMG CORPORATION is a dynamic leader in the development, manufacturing, and global distribution of premium processed fruit, plant-based meat, and snack products, as well as innovative packaging solutions. With decades of experience, our team specializes in creating high-quality, value-added goods that meet international standards and evolving consumer demands. We export to numerous countries worldwide and offer comprehensive OEM and ODM services to meet the unique needs of our partners. We pride ourselves on sustainable practices, cutting-edge technology, and a strong commitment to food safety and quality. Our network spans multiple continents, enabling us to deliver exceptional products and reliable services to clients globally. IMG CORPORATION continues to innovate, expand, and set new benchmarks in the food industry.",,Exhibitor,Food Expo PRO 2025,5E-D05A,"Biscuits, Snacks & Confectionery",Thailand(OSMEP),1,,,"Dried Fruit & Vegetable,Snack,Plant Based Meat; Premium freeze-dried fruit snacks with coconut dip (CHIMMA), plant-based prawn crackers (MANTRA), and frozen plant-based seafood, all crafted for international markets with innovative flavors and sustainable quality.; OEM, Others, ODM, OBM","Dried Fruit & Vegetable,Snack,Plant Based Meat; Premium freeze-dried fruit snacks with coconut dip (CHIMMA), plant-based prawn crackers (MANTRA), and frozen plant-based seafood, all crafted for international markets with innovative flavors and sustainable quality.; OEM, Others, ODM, OBM",https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S005OUTR,0,
JINA F&C,JINA F&C,"Korea, Republic Of","Fresh Seafood,Sauce,Seasoning","Fresh Seafood,Sauce,Seasoning",,Exhibitor,Food Expo PRO 2025,5E-B02,Seafood,Korea (MIRE),1,,,"Fresh Seafood,Sauce,Seasoning; Producers of Hot sauce, Fish Sauce, Soy Sauce and Doenjang.; ODM, OBM, OEM","Fresh Seafood,Sauce,Seasoning; Producers of Hot sauce, Fish Sauce, Soy Sauce and Doenjang.; ODM, OBM, OEM",https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S005OTNA,1,https://www.hktdc.com/event/foodexpopro/en/product/1Z03O6OLL
Korean Noodles,Korean Noodles,"Korea, Republic Of",Noodle,Noodle,,Exhibitor,Food Expo PRO 2025,5C-A11,Noodles & Pasta,Korea (aT-Head),1,,,"Noodle; We make fresh noodle over 30years old, we using highest ingredients.; ODM, OEM, OBM","Noodle; We make fresh noodle over 30years old, we using highest ingredients.; ODM, OEM, OBM",https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S005OZ8D,6,https://www.hktdc.com/event/foodexpopro/en/product/1Z03OARHU; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OARAF; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OAR8L; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OARUR; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OAR30; https://www.hktdc.com/event/foodexpopro/en/product/1Z03OAR6R
"Oweva Corp Co., Ltd.","Oweva Corp Co., Ltd.",Thailand,"Oweva Corp Co., Ltd. was established in the year 2010. The company is firmly committed to developing safe food formulas that are of high standard and focused on the health of consumers. The company is well - prepared with its unique development and research in formulas and flavors, characterized by the selection of high -quality ingredients from both domestic and international sources. Moreover, it has its own globally recognized standard production facilities."" The company ha developed and ready to drink tea formula that is delicious but eliminates health concerns for consumers. Brand and development The company recognizes the importance of consumer health. with is at the heart of every brand it develops. such as MUZ TEA. the meaning of the name is : M : Made from Mind : selected and made with heart. U : Unique: Having a distinctive and unparalleled tase. Z : Zero Worries: Drinkers should have no health concerns. ""MUZ TEA : THE SIGNATURE OF THAILAND TEA""","Oweva Corp Co., Ltd. was established in the year 2010. The company is firmly committed to developing safe food formulas that are of high standard and focused on the health of consumers. The company is well - prepared with its unique development and research in formulas and flavors, characterized by the selection of high -quality ingredients from both domestic and international sources. Moreover, it has its own globally recognized standard production facilities."" The company ha developed and ready to drink tea formula that is delicious but eliminates health concerns for consumers. Brand and development The company recognizes the importance of consumer health. with is at the heart of every brand it develops. such as MUZ TEA. the meaning of the name is : M : Made from Mind : selected and made with heart. U : Unique: Having a distinctive and unparalleled tase. Z : Zero Worries: Drinkers should have no health concerns. ""MUZ TEA : THE SIGNATURE OF THAILAND TEA""",,Exhibitor,Food Expo PRO 2025,5E-D07B,Beverages (Non-Alcoholic),Thailand (NIA),1,,,"Coffee,Soft Drink,Tea,Halal Food Processing, Machinery and Related Service; MUZ Tea has 4 flavors as follows:
1. Thai Tea
2. Ginger Milk Tea
3. Taiwan Milk Tea
4. Young spring green tea
There are 2 flavors of ginger drink as follows:
1. Gerginn ginger with Turmeric
2. Gerginn ginger with honey lemon
3. white coffee; Others","Coffee,Soft Drink,Tea,Halal Food Processing, Machinery and Related Service; MUZ Tea has 4 flavors as follows:
1. Thai Tea
2. Ginger Milk Tea
3. Taiwan Milk Tea
4. Young spring green tea
There are 2 flavors of ginger drink as follows:
1. Gerginn ginger with Turmeric
2. Gerginn ginger with honey lemon
3. white coffee; Others",https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S005OUAC,9,https://www.hktdc.com/event/foodexpopro/en/product/1Z03MKD72; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O97L2; https://www.hktdc.com/event/foodexpopro/en/product/1Z03MK495; https://www.hktdc.com/event/foodexpopro/en/product/1Z03O97MZ; https://www.hktdc.com/event/foodexpopro/en/product/1Z03MK4BZ; https://www.hktdc.com/event/foodexpopro/en/product/1Z03MHUYC; https://www.hktdc.com/event/foodexpopro/en/product/1Z03MHUSU; https://www.hktdc.com/event/foodexpopro/en/product/1Z03MHUZ9; https://www.hktdc.com/event/foodexpopro/en/product/1Z03MHV05
Pure Bright and Warm Cooperative,Pure Bright and Warm Cooperative,"Korea, Republic Of",Soft Drink,Soft Drink,,Exhibitor,Food Expo PRO 2025,5B-E02,Beverages (Non-Alcoholic),Korea (aT-Head),1,,,"Soft Drink; Beverage (Yuzu, Ginger, Pear, Green tea, Pomegranate, Red ginseng); OBM","Soft Drink; Beverage (Yuzu, Ginger, Pear, Green tea, Pomegranate, Red ginseng); OBM",https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S005PRUR,0,
Shinyei Kaisha,Shinyei Kaisha,Japan,Candy,Candy,,Exhibitor,Food Expo PRO 2025,5C-G25,"Biscuits, Snacks & Confectionery",,1,,,"Candy; edible candy, Milk pudding, Frozen donuts; Others","Candy; edible candy, Milk pudding, Frozen donuts; Others",https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S005OTUP,0,
