booth_code,x,y
OPEN FORUM PRO,1493,82
5E-G31,1553,171
5E-G29,1553,197
5E-G27,1550,223
5E-G25,1549,248
5E-G23,1556,274
5E-G15,1550,403
5E-G13,1553,427
5E-G11,1554,456
5E-G09,1555,484
5E-G07,1550,504
5E-G05,1551,528
5E-F02,1537,565
5E-F06,1529,529
5E-F05,1473,529
5E-F01,1478,563
5E-F07,1473,501
5E-F08,1526,500
5E-F09,1473,478
5E-F10,1526,479
5E-F11,1477,457
5E-F12,1524,456
5E-F13,1478,425
5E-F14,1527,430
5E-F15,1472,399
5E-F16,1529,400
5E-F18,1538,324
5E-F28,1529,223
5E-F26,1530,249
5E-F24,1524,272
5E-F30,1527,183
5E-F31,1476,173
5E-E32,1449,173
5E-E30,1449,199
5E-E28,1447,228
5E-E26,1448,252
5E-E24,1449,274
5E-E22,1450,300
5E-E20,1450,321
5E-E18,1449,349
5E-F27,1477,228
5E-F25,1478,252
5E-F23,1473,273
5E-F21,1477,298
5E-F19,1475,325
5E-F17,1475,351
5E-D16,1364,400
5E-E14,1452,426
5E-E12,1452,453
5E-E10,1452,478
5E-E08,1449,502
5E-E06,1447,529
5E-E02,1452,566
5E-E11,1390,451
5E-E09,1389,477
5E-E07,1392,501
5E-E05,1389,528
5E-E03,1390,552
5E-E01,1392,572
5E-E25,1389,243
5E-E23,1390,271
5E-E19,1388,304
5E-E17,1387,345
5E-D30,1376,167
5E-D26,1363,247
5E-D24,1364,276
5E-D22,1366,295
5E-D20,1364,318
5E-D18,1358,346
5E-D14,1364,425
5E-D12,1363,450
5E-D10,1365,476
5E-D08,1368,498
5E-D06,1370,530
5E-D04,1366,553
5E-D02,1368,576
5E-D31,1315,167
5E-D30,1285,180
5E-D29,1314,194
5E-D23,1314,258
5E-D21,1314,298
5E-D19,1311,321
5E-D17,1306,343
5E-D13B,1311,420
5E-D13A,1314,434
5E-D11B,1311,446
5E-D11A,1312,460
5E-D09B,1312,472
5E-D09A,1314,483
5E-D07B,1311,493
5E-D07A,1311,505
5E-D05B,1312,523
5E-D05A,1314,536
5E-D03B,1312,550
5E-D03A,1312,562
5E-D01B,1312,573
5E-D01A,1312,582
5E-C28,1288,216
5E-C26,1290,247
5E-C24,1288,275
5E-C22,1291,299
5E-C18,1291,333
5E-C14B,1285,421
5E-C14A,1287,435
5E-C12B,1287,447
5E-C12A,1287,460
5E-C10B,1285,470
5E-C10A,1290,483
5E-C08B,1290,498
5E-C08A,1287,507
5E-C06B,1290,525
5E-C06A,1287,537
5E-C04B,1292,548
5E-C04A,1290,559
5E-C02B,1290,573
5E-C02A,1287,588
5E-C17,1234,306
5E-C15,1237,400
5E-C13,1233,428
5E-C11,1233,452
5E-C09,1236,472
5E-C07,1234,498
5E-C05,1236,527
5E-C03,1237,552
5E-C01,1236,575
5E-B24,1212,273
5E-B22,1208,294
5E-B20,1209,321
5E-B18,1212,345
5E-B12,1209,450
5E-B10,1213,477
5E-B08,1214,497
5E-B06,1209,527
5E-B04,1208,556
5E-B02,1212,579
5E-B25,1139,251
5E-B23,1144,274
5E-B21,1138,296
5E-B19,1136,321
5E-B17,1143,349
5E-B09,1142,475
5E-B07,1139,502
5E-B05,1136,530
5E-B03,1142,552
5E-B01,1139,578
5E-A02,1118,578
5E-A04,1117,552
5E-A06,1114,526
5E-A08,1118,497
5E-A10,1113,471
5E-A12A,1118,456
5E-A12B,1119,443
5E-A14,1117,430
5E-A16,1117,401
5E-A18,1115,349
5E-A20,1117,320
5E-A22,1112,301
5E-A24,1117,275
5E-A26,1117,242
5E-A30,1118,183
5E-A32,1117,159
5E-A34,1135,136
5E-A36,1153,127
5E-B30,1183,120
5E-B32,1206,118
5E-C29,1254,118
5E-C31,1279,121
5E-C27,1230,122
35CON-015,1113,699
OPEN FORUM,623,66
5C-E37,794,98
5C-F33,804,151
5C-F31,801,173
5C-F27,806,223
5C-F25,806,248
5C-F23,802,271
5C-F21,806,323
5C-F19,802,353
5C-F17,804,376
5C-F15,800,404
5C-F13,806,423
5C-F11,802,448
5C-F09,806,473
5C-F07,806,496
5C-F05,806,526
5C-F03,806,551
5C-F01,800,573
5C-E02,782,576
5C-E04,782,549
5C-E06,784,522
5C-E08,782,501
5C-E10,780,475
5C-E12,779,449
5C-E14,779,422
5C-E16,782,392
5C-E18,777,369
5C-E20,785,349
5C-E22,779,327
5C-E34,779,148
5C-E32,780,174
5C-E30,778,201
5C-E28,782,226
5C-E26,784,245
5C-E24,780,272
5C-G12,484,94
5C-G15,449,96
5C-G14,382,94
5C-G16,363,98
5C-G18,324,101
5C-G19,287,99
5C-G20,250,92
5C-G23,173,98
5C-E31,726,162
5C-E27,726,221
5C-E25,726,248
5C-E23,730,273
5C-E19,728,337
5C-E17,726,373
5C-E15,723,400
5C-E13,728,421
5C-E11,730,447
5C-E09,724,476
5C-E07,726,498
5C-E05,729,525
5C-E03,728,553
5C-E01,723,570
5C-D02,701,560
5C-D06,702,523
5C-D08,702,499
5C-D10,698,476
5C-D12,704,444
5C-D14,700,423
5C-D16,695,396
5C-D18,706,375
5C-D20,701,349
5C-D22,700,326
5C-D24,704,270
5C-D26,705,243
5C-D28,704,226
5C-D30,702,197
5C-D32,702,160
5C-D33,651,151
5C-D31,647,177
5C-D29,651,198
5C-D27,654,224
5C-D25,650,248
5C-D23,650,276
5C-D21,648,327
5C-D19,653,351
5C-D17,652,376
5C-D15,651,398
5C-D13,648,422
5C-D11,651,447
5C-D09,653,475
5C-D07,652,502
5C-D05,651,525
5C-D03,650,546
5C-D01,652,574
5C-C02,623,572
5C-C04,623,549
5C-C06,627,521
5C-C10,624,475
5C-C08,624,503
5C-C12,622,445
5C-C14,624,422
5C-C16,626,398
5C-C18,624,374
5C-C20,626,343
5C-C22,627,325
5C-C24,626,274
5C-C26,624,249
5C-C28,629,223
5C-C30,624,196
5C-C32,626,175
5C-C34,627,152
5C-C33,570,147
5C-C31,570,175
