booth_code,x,y
3E-D02,449,759
3E-E07,465,691
3E-E09,465,617
3E-E11,465,594
3E-E13,464,523
3E-D08,433,696
3E-D10,432,617
3E-D12,431,591
3E-D14,431,519
3E-D16,447,493
3E-D18,452,398
EXPERIENCE PAVILION,447,281
3E-D09,358,615
3E-D11,357,585
3E-D13,357,527
3E-D19,359,349
3E-D21,358,309
3E-D23,357,247
STAGE,385,86
3E-C02,341,727
3E-C10,324,620
3E-C12,325,583
3E-C14,324,526
3E-C16,342,405
3E-C20,324,354
3E-C22,324,319
3E-C24,324,283
3E-C26,324,233
3E-C05,250,692
3E-C07,249,648
3E-C09,249,601
3E-C17,252,351
3E-C21,251,291
3E-B02,233,756
3E-B06,215,690
3E-B08,216,649
3E-B10,215,601
3E-B14,233,519
3E-B16,232,406
3E-B18,215,352
3E-B20,215,321
3E-B22,216,288
3E-B01,142,789
3E-B03,142,753
3E-B05,142,719
3E-B07,142,687
3E-B09,142,644
3E-B11,141,613
3E-B14,141,586
3E-B17,142,354
3E-B19,141,323
3E-B21,141,275
3E-B23,142,235
3E-A02,108,758
3E-A06,107,697
3E-A08,107,655
3E-A10,108,623
3E-A12,108,587
3E-A14,126,527
3E-A16,125,407
3E-A18,108,357
3E-A20,107,323
3E-A22,108,260
3E-A19,33,276
3E-C28,263,157
3E-C30,263,126
3E-C32,264,88
3E-C34,263,56
3E-C25,203,157
3E-C27,204,123
3E-C29,204,89
3E-C33,236,25
3E-C31,204,25
3E-B26,174,159
3E-B28,175,123
3E-B30,176,89
3E-B25,116,159
3E-B27,115,124
3E-B29,116,89
3E-A26,87,159
3E-A28,87,124
3E-A30,87,91
3E-A25,24,174
3E-A27,25,140
3E-A29,24,106
3E-A31,25,72
3E-A33,24,37
3E-B32,170,23
3E-B31,135,25
3E-A32,101,25
