NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
Ng Fung Hong Limited,Ng Fung Hong Limited,Hong Kong,"Fruit Juice,Frozen Meat,Canned Food,Candy,Seasoning,Chinese Liquor,Macaroni,Noodle,Rice Noodle,Fruit,Rice","Fruit Juice,Frozen Meat,Canned Food,Candy,Seasoning,Chinese Liquor,Macaroni,Noodle,Rice Noodle,Fruit,Rice",,Exhibitor,Food Expo 2025,1D-B02,Premium Food Zone,,1,,,"Fruit Juice,Frozen Meat,Canned Food,Candy,Seasoning,Chinese Liquor,Macaroni,Noodle,Rice Noodle,Fruit,Rice; Ng Fung Hong Limited's business in Hong Kong includes Ng Fung Fresh Meat, Frozen Aquatic Products, Chilled Pork, Chilled Poultry and Fresh Beef and Lamb, etc., while its agency business includes alcoholic beverages, poultry and eggs, rice and noodles","Fruit Juice,Frozen Meat,Canned Food,Candy,Seasoning,Chinese Liquor,Macaroni,Noodle,Rice Noodle,Fruit,Rice; Ng Fung Hong Limited's business in Hong Kong includes Ng Fung Fresh Meat, Frozen Aquatic Products, Chilled Pork, Chilled Poultry and Fresh Beef and Lamb, etc., while its agency business includes alcoholic beverages, poultry and eggs, rice and noodles",https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S005NAPN,1,https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03MNLE9
Chuan Chiong Co. Ltd.,Chuan Chiong Co. Ltd.,Hong Kong,Health Supplement,Health Supplement,,Exhibitor,Food Expo 2025,1D-B27,"Public Hall - Health, Green & Organic Food",,1,,,"Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products","Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products",https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S005NMWQ,10,https://www.hktdc.com/event/hkfoodexpo/en/product/1X1EJBFO; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1D87HY; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1D87GZ; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1F52VZ; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1D880C; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1D87ZG; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1D87YH; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1FA1YZ; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1FA5ZM; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1FA857
"HongKong Deya International Trade Co., Limited","HongKong Deya International Trade Co., Limited",Hong Kong,"Hong Kong Deya International Snacks Trading Co., Ltd. was established in 2012. It started in Sheung Shui, Hong Kong, near the Shenzhen-Hong Kong border. It has been developing its business for 12 years. In the past, the company has not only expanded its markets in Hong Kong, Macau and Guangdong, but also expanded its business at home and abroad. The company's snack product catalog includes a total of different domestic and foreign snack products - self-operated brands and foreign trade snacks. It can be divided into the following five categories: nuts, candies & chocolates, pastries & biscuits, dried fruits and dried meats.","Hong Kong Deya International Snacks Trading Co., Ltd. was established in 2012. It started in Sheung Shui, Hong Kong, near the Shenzhen-Hong Kong border. It has been developing its business for 12 years. In the past, the company has not only expanded its markets in Hong Kong, Macau and Guangdong, but also expanded its business at home and abroad. The company's snack product catalog includes a total of different domestic and foreign snack products - self-operated brands and foreign trade snacks. It can be divided into the following five categories: nuts, candies & chocolates, pastries & biscuits, dried fruits and dried meats.",,Exhibitor,Food Expo 2025,1C-D21,"Public Hall - Biscuits, Snacks & Confectionery",,1,,,"Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers",https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S005NSME,6,https://www.hktdc.com/event/hkfoodexpo/en/product/1X1T41KD; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1T41JE; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1P2U99; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1T41MB; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1P2VC3; https://www.hktdc.com/event/hkfoodexpo/en/product/1X1P2UH1
"Guangzhou Pharmaceutical Group (Macau) International Development Co., Ltd","Guangzhou Pharmaceutical Group (Macau) International Development Co., Ltd",Macao,"Guangzhou Pharmaceutical Group Co.,Ltd.is a leading pharmaceutical and health entreprise,It is the first enterprise with a focus on traditional Chinese medicine to be included in the Fortune Global 500 list. Group(Macau)International Development Industrial Co.,Ltd.serves as the international business headquarters for the group,contributing to the moderate diversification of Macau's economy.The company is dedicated to enhancing collaboration in the pharmaceutical sector within the Guangzhou-Hong Kong-Macao Greater Bay Area and aims to create a new growth center with global competitiveness in the pharmaceutical industry across the Greater Bay Area,Southeast Asia,and Portuguese-speaking countries.Its subsidiary,Guangzhou Pharmaceutical international (Macau) Qingzhou Pharmaceutical Factory,is the largest and first traditional Chinese medicine manufacturing factory in Macau built to align with international standards.The factory holds Macau's first Traditional Chinese medicine GMP certificate and has achieved ISO 22000 international certification.Also,its products have received the ""M Mark""quality certification from Macauand the ""Q Mark""quality certification from the Hong Kong Q-Mark Council.","Guangzhou Pharmaceutical Group Co.,Ltd.is a leading pharmaceutical and health entreprise,It is the first enterprise with a focus on traditional Chinese medicine to be included in the Fortune Global 500 list. Group(Macau)International Development Industrial Co.,Ltd.serves as the international business headquarters for the group,contributing to the moderate diversification of Macau's economy.The company is dedicated to enhancing collaboration in the pharmaceutical sector within the Guangzhou-Hong Kong-Macao Greater Bay Area and aims to create a new growth center with global competitiveness in the pharmaceutical industry across the Greater Bay Area,Southeast Asia,and Portuguese-speaking countries.Its subsidiary,Guangzhou Pharmaceutical international (Macau) Qingzhou Pharmaceutical Factory,is the largest and first traditional Chinese medicine manufacturing factory in Macau built to align with international standards.The factory holds Macau's first Traditional Chinese medicine GMP certificate and has achieved ISO 22000 international certification.Also,its products have received the ""M Mark""quality certification from Macauand the ""Q Mark""quality certification from the Hong Kong Q-Mark Council.",,Exhibitor,Food Expo 2025,3D-B05,"Public Hall - Health, Green & Organic Food",,1,,,"Organic Food & Beverage,Health Supplement,Functional Food; NMN/GPI(Macau)Ganoderma Lucidum Spore oil soft-capsule/ Guangzhou Farmaceutico internacional Esporo de Ganoderma lucidum em po(Ganoderma alcool)","Organic Food & Beverage,Health Supplement,Functional Food; NMN/GPI(Macau)Ganoderma Lucidum Spore oil soft-capsule/ Guangzhou Farmaceutico internacional Esporo de Ganoderma lucidum em po(Ganoderma alcool)",https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S005OL7U,0,
"Qiaqia Food Co., Ltd.","Qiaqia Food Co., Ltd.",Chinese Mainland,Snack,Snack,,Exhibitor,Food Expo 2025,3C-B02,"Public Hall - Biscuits, Snacks & Confectionery","Chinese Mainland (Agricultural Trade Promotion Center, MARA)",1,,,"Snack; 洽洽主要產品系列:洽洽香瓜子、每日堅果、益生菌每日堅果、小黃袋、小藍袋、早餐每日堅果燕麥片、碧根果等休閒食品,瓜子系列包括焦糖、藤椒、海鹽、山核桃、椒鹽、櫻花白桃味、芝士、蜂蜜黃油等多種口味。","Snack; 洽洽主要產品系列:洽洽香瓜子、每日堅果、益生菌每日堅果、小黃袋、小藍袋、早餐每日堅果燕麥片、碧根果等休閒食品,瓜子系列包括焦糖、藤椒、海鹽、山核桃、椒鹽、櫻花白桃味、芝士、蜂蜜黃油等多種口味。",https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S005PEV1,1,https://www.hktdc.com/event/hkfoodexpo/en/product/1X18CTL0
Georgian Vino Company,Georgian Vino Company,Hong Kong,"Georgian Vino Company is a retail and wholesale company. We specialize in sourcing Georgia's fine wine, honey, cheese and juice. We are committed to promoting its 8,000 years tradition winemaking and natural honey. In addition, we have imported Italian wines and Mexico Padre Azul tequila.","Georgian Vino Company is a retail and wholesale company. We specialize in sourcing Georgia's fine wine, honey, cheese and juice. We are committed to promoting its 8,000 years tradition winemaking and natural honey. In addition, we have imported Italian wines and Mexico Padre Azul tequila.",,Exhibitor,Food Expo 2025,1B-E28,Public Hall - Beverages (Alcoholic),,1,,,"Cheese,Liquor / Fortified Wine,Sparkling Wine,Table Wine,Organic Food & Beverage; Retail and wholesale of Georgian red & white wine, brand & whisky, chacha, icewine, dessert wine, honey, cheese, juice, Italian wines and Chinese Tea","Cheese,Liquor / Fortified Wine,Sparkling Wine,Table Wine,Organic Food & Beverage; Retail and wholesale of Georgian red & white wine, brand & whisky, chacha, icewine, dessert wine, honey, cheese, juice, Italian wines and Chinese Tea",https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S005NV8H,7,https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03OQFS9; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03OQG55; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03OQG62; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03OQFT6; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03OQG3B; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03OQG48; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03OQG1H
Diverxu Limited,Diverxu Limited,Hong Kong,"Diverxu is a company that specializes in promoting Spanish gastronomy, and is a specialist in Iberian ham. The company operates a wholesale and retail business of Spanish delicacies in Hong Kong, offering a wide range of Spanish Iberian ham, cheese and other products. Diverxu also stives for providing fusion recipes to make Spanish food more accessible and enjoyable to Hong Kong people.","Diverxu is a company that specializes in promoting Spanish gastronomy, and is a specialist in Iberian ham. The company operates a wholesale and retail business of Spanish delicacies in Hong Kong, offering a wide range of Spanish Iberian ham, cheese and other products. Diverxu also stives for providing fusion recipes to make Spanish food more accessible and enjoyable to Hong Kong people.",,Exhibitor,Food Expo 2025,3B-D09,Gourmet Zone,,1,,,"Frozen Seafood,Canned Food,Dried & Preserved Food,Snack,Chocolate,Instant Food,Organic Food & Beverage; A wide range of iberico ham, cheese and canned food from different region of Spain","Frozen Seafood,Canned Food,Dried & Preserved Food,Snack,Chocolate,Instant Food,Organic Food & Beverage; A wide range of iberico ham, cheese and canned food from different region of Spain",https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S005O12T,4,https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03N1ZGP; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03N1ZQV; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03N1ZO1; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03N1ZFS
Eagle Wine Store Company,Eagle Wine Store Company,Hong Kong,"Eagle Wine Store is an Italian boutique wine importer established in 2014, We focuses on sourcing Italian wines and offers retail, wholesale. Our goal is to promote well-known small and medium-sized boutique wineries in Italy, but they are not well known in the Asian market. Since 2017, we have also imported various liquors from Japan, including sake, shochu, liqueur and plum wine.... In 2022, unique liqueurs introduced from Ireland and Greece. And German white wine.","Eagle Wine Store is an Italian boutique wine importer established in 2014, We focuses on sourcing Italian wines and offers retail, wholesale. Our goal is to promote well-known small and medium-sized boutique wineries in Italy, but they are not well known in the Asian market. Since 2017, we have also imported various liquors from Japan, including sake, shochu, liqueur and plum wine.... In 2022, unique liqueurs introduced from Ireland and Greece. And German white wine.",,Exhibitor,Food Expo 2025,3B-E09,Gourmet Zone,,1,,,"Sparkling Wine,Liqueur; Italian Wine, Japanese sake, spirits and LIQUEUR","Sparkling Wine,Liqueur; Italian Wine, Japanese sake, spirits and LIQUEUR",https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S005O17E,4,https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03ORNBG; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03N47RK; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03N47QN; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03N29W3
Kairun Food H.K. Limited,Kairun Food H.K. Limited,Hong Kong,Truffle and Wildmushroom/Truffle Gelato and Caviar cake Gourmet Food/cocktails and wine,Truffle and Wildmushroom/Truffle Gelato and Caviar cake Gourmet Food/cocktails and wine,,Exhibitor,Food Expo 2025,3B-D02,Gourmet Zone,,1,,,"Dried & Preserved Food,Ice Cream,Seasoning,Sparkling Wine; Truffle importer and retailer, Truffle Gelato and caviar Cake","Dried & Preserved Food,Ice Cream,Seasoning,Sparkling Wine; Truffle importer and retailer, Truffle Gelato and caviar Cake",https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S005O14N,2,https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03N3UO6; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03N3UUO
Life Is For Excellence Limited,Life Is For Excellence Limited,Hong Kong,"Coffee,Frozen Seafood,Instant Food,Organic Food & Beverage","Coffee,Frozen Seafood,Instant Food,Organic Food & Beverage",,Exhibitor,Food Expo 2025,3B-E03,Gourmet Zone,,1,,,"Coffee,Frozen Seafood,Instant Food,Organic Food & Beverage; AKAROA King Salmon,
LIFE organic salba chia,
Superfood Latte Coffee,
Organic Coconut Cream Powder,
Korean MSG-free soup powder
Organic Coconut Oil","Coffee,Frozen Seafood,Instant Food,Organic Food & Beverage; AKAROA King Salmon,
LIFE organic salba chia,
Superfood Latte Coffee,
Organic Coconut Cream Powder,
Korean MSG-free soup powder
Organic Coconut Oil",https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S005O16H,20,https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M3Y5N; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03MABAV; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M302U; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M3000; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03MABMV; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M3KPD; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M3YB5; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03MALWR; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03MALS3; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03MAKKS; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M3L29; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03MCN8P; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M3KH1; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M3XLC; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03N0FYR; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M3KNJ; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M3XGR; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M3YA8; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03M3XD0; https://www.hktdc.com/event/hkfoodexpo/en/product/1Z03MALUX
