booth_code,x,y
1E-E05,1681,412
1E-E07,1683,343
1E-E21,1679,170
1E-E25,1679,143
1E-E27,1680,103
1E-D02,1672,452
1E-D06,1661,411
1E-D08,1662,371
1E-D12,1664,314
1E-D18,1670,225
1E-D24,1658,157
1E-D28,1661,103
1E-D32,1667,48
1E-D21,1613,183
1E-D25,1611,128
1E-D29,1612,61
1E-C02,1608,439
1E-C10,1609,346
1E-C12,1608,306
1E-C18,1601,239
1E-C22,1590,184
1E-C26,1591,129
1E-C30,1591,61
1E-C11,1553,316
1E-C21,1544,193
1E-C25,1543,145
1E-C27,1543,106
1E-B02,1546,438
1E-B12,1530,316
1E-B18,1534,238
1E-B22,1521,196
1E-B26,1525,131
1E-B30,1523,92
1E-B32,1534,47
1E-B23,1470,170
1E-A02,1468,440
1E-A10,1476,346
1E-A12,1477,306
1E-A18,1461,228
1E-A24,1448,171
1E-A28,1459,74
1E-A09,1411,342
1E-A11,1412,302
1E-A21,1401,183
1E-A25,1401,130
1E-A29,1400,87
1E-A31,1401,48
1D-D02,1394,438
1D-D18,1393,238
1D-D22,1380,198
1D-D26,1378,129
1D-D30,1380,87
1D-D32,1381,49
1D-D21,1315,184
1D-D25,1315,143
1D-D27,1317,102
1D-D31,1315,48
1D-C02,1322,438
1D-C10,1304,333
1D-C18,1306,230
1D-C24,1295,142
1D-C30,1295,87
1D-C32,1294,48
1D-B02,1239,438
1D-B10,1237,333
1D-B18,1240,211
1D-B28,1241,105
1D-B32,1244,48
1D-B17,1149,251
1D-B19,1150,231
1D-B21,1170,187
1D-B23,1170,167
1D-B27,1183,106
1D-B31,1183,48
1D-A02,1152,438
1D-A08,1164,342
1D-A12,1164,303
1D-A28,1160,118
1D-A30,1163,90
1D-A32,1163,61
1D-A34,1163,33
1D-A09,1082,327
1D-A11,1080,298
1D-A18,1093,231
1D-A27,1086,119
1D-A29,1086,93
1D-A31,1086,61
1D-A33,1085,35
1C-E02,1066,437
1C-E10,1063,352
1C-E12,1061,313
1C-E18,1080,252
1C-E20,1064,231
1C-E26,1063,170
1C-E28,1065,104
1C-E32,1064,48
1C-D02,989,438
1C-D10,1009,332
1C-D18,1009,211
1C-E27,1018,105
1C-D28,997,105
1C-D32,1007,49
1C-C02,910,438
1C-C10,943,320
1C-C18,942,241
1C-C22,930,197
1C-C24,931,169
1C-C28,933,106
1C-C32,932,66
1C-C34,931,34
1C-D21,953,184
1C-D27,955,91
1C-D33,952,34
1C-C27,880,105
1C-C31,881,47
1C-B02,819,438
1C-B10,859,334
1C-B18,870,241
1C-B22,858,182
1C-B28,860,105
1C-B32,860,48
1C-B31,816,48
1C-A02,742,438
1C-A10,788,334
1C-A18,804,214
1C-A28,807,105
1C-A32,795,48
1C-A17,752,227
1C-A23,750,168
1C-A27,751,119
1C-A29,752,62
1B-E18,730,227
1B-E28,730,105
1B-E32,729,47
1B-E21,686,182
1B-E27,686,105
1B-E31,685,61
1B-E33,685,34
1B-D02,673,439
1B-D12,676,334
1B-D18,676,242
1B-D22,664,184
1B-D28,664,106
1B-D32,664,47
1B-D27,614,91
1B-D33,613,34
1B-C02,603,412
1B-C14,604,306
1B-C18,606,215
1B-C28,593,107
1B-C32,593,48
1B-C25,533,142
1B-C27,532,102
1B-C31,533,48
1B-B02,519,449
1B-B08,518,401
1B-B12,519,315
1B-B18,523,226
1B-B26,512,117
1B-B32,510,62
1B-B34,512,34
1B-B01,458,468
1B-B03,459,442
1B-B05,461,401
1B-B09,460,357
1B-B11,458,315
1B-B17,461,224
1B-B23,459,170
1B-B25,459,144
1B-B27,459,115
1B-B29,459,90
1B-B31,458,48
1B-A02,438,468
1B-A04,437,440
1B-A06,440,414
1B-A08,440,387
1B-A10,438,329
1B-A18,440,238
1B-A22,437,197
1B-A24,437,170
1B-A28,438,128
1B-A30,437,88
1B-A32,437,47
1B-A01,383,442
1B-A07,386,372
1B-A11,385,316
1B-A21,388,183
1B-A25,386,130
1B-A29,386,61
1A-E02,363,453
1A-E06,362,415
1A-E08,364,385
1A-E12,364,316
1A-E18,374,238
1A-E22,362,197
1A-E26,363,144
1A-E28,364,116
1A-E30,363,87
1A-E32,363,47
1A-E07,310,384
1A-E09,310,329
1A-E21,310,183
1A-E25,310,128
1A-E29,311,88
1A-E31,310,47
1A-D02,300,441
1A-D08,287,384
1A-D10,288,329
1A-D18,301,239
1A-D22,289,184
1A-D26,289,142
1A-D28,288,117
1A-D30,289,88
1A-D32,288,48
1A-D07,243,369
1A-D21,244,183
1A-D25,244,129
1A-D29,244,61
1A-C02,235,440
1A-C08,221,369
1A-C12,234,316
1A-C18,234,239
1A-C22,221,197
1A-C24,223,170
1A-C26,223,143
1A-C28,223,115
1A-C30,220,89
1A-C32,224,47
1A-C07,175,385
1A-C11,177,316
1A-C21,177,199
1A-C27,178,104
1A-C31,177,47
1A-B02,168,441
1A-B08,156,385
1A-B10,155,330
1A-B18,168,237
1A-B22,154,183
1A-B28,154,104
1A-B32,156,47
1A-B05,114,414
1A-B07,111,371
1A-B11,112,316
1A-B17,111,236
1A-B21,114,184
1A-B27,115,105
1A-B31,111,48
1A-A02,100,456
1A-A06,90,415
1A-A08,91,383
1A-A10,90,355
1A-A12,90,316
1A-A18,92,239
1A-A22,92,184
1A-A28,92,118
1A-A30,91,91
1A-A32,93,47
1A-A01,47,468
1A-A07,47,412
1A-A09,48,384
1A-A11,46,357
1A-A13,46,331
1A-A15,45,301
1A-A17,46,237
1A-A21,47,197
1A-A23,46,170
1A-A27,46,105
1A-A31,48,60
1A-A33,46,33
