booth_code,x,y
INNO HALL,178,127
INNO LOUNGE,376,87
3B-B03,146,260
3B-B02,124,352
3B-B01,105,499
3B-C01,189,495
3B-D01,267,505
3B-D02,253,341
3C-A01,384,501
3C-A02,355,332
3C-B01,493,496
3C-B02,465,344
3C-B03,440,219
3C-C03,535,240
3C-D03,611,237
3C-E03,685,231
3C-C01A,642,503
3C-C01B,643,349
3C-B21,498,65
3C-C25,566,39
3C-C26,589,43
3C-C23,566,85
3C-C24,589,83
3C-C21,566,109
3C-C22,589,111
3C-D07,598,163
3C-D05,595,181
3C-D06,625,175
3C-D21,636,108
3C-D22,657,106
3C-D23,634,87
3C-D24,658,83
3C-D25,634,41
3C-D26,660,43
3C-D27,683,39
3C-E25,707,38
3C-E26,730,39
3C-E27,754,40
3C-E23,707,85
3C-E24,732,84
3C-E21,706,107
3C-E22,726,106
3C-E05,673,173
3C-E08,698,156
3C-E06,700,186
3D-A25,777,38
3D-A26,801,41
3D-A23,776,85
3D-A22,794,94
3D-A21,775,113
3D-A17,743,168
3D-A18,767,171
3D-A19,790,172
3D-A20,812,171
3D-A12,744,219
3D-A13,773,225
3D-A14,796,225
3D-A15,818,225
3D-A09,770,271
3D-A06,769,302
3D-A07,795,298
3D-A08,823,299
3D-A10,796,276
3D-A11,822,274
3D-A03,771,348
3D-A04,793,349
3D-A05,819,351
3D-A01,785,501
3D-B01,893,503
3D-B02,895,378
3D-B03,885,279
3D-C01,995,503
3D-C02,982,390
3D-C03,979,313
3E-A01,1100,503
3E-B01,1193,503
3E-C01,1325,500
3E-D01,1414,498
3E-D03,1362,368
3E-D05,1369,271
THE STAGE,1323,93
3E-D14,1318,194
3E-D15,1342,197
3E-D06,1323,219
3E-D07,1344,217
3E-D12,1366,219
3E-D11,1393,216
3E-C12,1269,240
3E-C10,1269,258
3E-C08,1271,288
3E-C06,1270,333
3E-C04,1271,363
3E-C03,1246,361
3E-C05,1248,333
3E-C07,1247,281
3E-C09,1249,263
3E-C11,1248,235
3E-B13,1140,258
3E-B16,1175,241
3E-B17,1201,248
3E-B14,1194,273
3E-B11,1187,313
3E-B09,1142,315
3E-B07,1189,337
3E-B06,1141,339
3E-B03,1191,395
3E-B02,1146,392
3D-D02,1073,377
3D-D04,1072,354
3D-D06,1073,323
3D-D03,1048,374
3D-D05,1048,327
3D-D10,1079,250
3D-D09,1046,250
3D-D12,1073,219
3D-D11,1048,219
3D-C06,993,255
3D-C05,969,253
3D-C07,966,226
3D-C08,990,230
3D-C09,967,196
3D-C10,993,199
3D-C11,972,178
3D-C12,989,176
3D-D13,1046,127
3D-D15,1043,102
3D-D17,1044,62
3D-D19,1047,39
3D-C24,1011,30
3D-C23,989,30
3D-C22,961,34
3D-C21,934,34
3D-C20,904,41
3D-C18,899,63
3D-C16,902,99
3D-C14,901,123
3D-C13,889,128
3D-C15,889,99
3D-C17,885,65
3D-C19,888,43
3D-B20,853,35
3D-B18,852,62
3D-B16,854,102
3D-B14,855,127
3D-B13,836,122
3D-B15,835,102
3D-B17,836,60
3D-B19,836,40
3E-B23,1153,82
