NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
"Guangzhou Chengzhi Intelligent Machine Technology Co., Ltd.","Guangzhou Chengzhi Intelligent Machine Technology Co., Ltd.",Chinese Mainland,"Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System",,Exhibitor,InnoEX 2026,3E-B01,Smart City,,1,,,"Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM",https://www.hktdc.com/event/innoex/en/exhibitor/1S005LDDK,16,https://www.hktdc.com/event/innoex/en/product/1Z03NPDGB; https://www.hktdc.com/event/innoex/en/product/1Z03NPDGB; https://www.hktdc.com/event/innoex/en/product/1Z03MUCXX; https://www.hktdc.com/event/innoex/en/product/1Z03MUCXX; https://www.hktdc.com/event/innoex/en/product/1Z03MUCW0; https://www.hktdc.com/event/innoex/en/product/1Z03MUCW0; https://www.hktdc.com/event/innoex/en/product/1Z03MUCV3; https://www.hktdc.com/event/innoex/en/product/1Z03MUCV3; https://www.hktdc.com/event/innoex/en/product/1Z03MUCU6; https://www.hktdc.com/event/innoex/en/product/1Z03MUCU6; https://www.hktdc.com/event/innoex/en/product/1Z03HBHED; https://www.hktdc.com/event/innoex/en/product/1Z03HBHED; https://www.hktdc.com/event/innoex/en/product/1Z03EQ594; https://www.hktdc.com/event/innoex/en/product/1Z03EQ594; https://www.hktdc.com/event/innoex/en/product/1Z03IJ8ZV; https://www.hktdc.com/event/innoex/en/product/1Z03IJ8ZV
Hong Kong Science And Technology Parks Corporation,Hong Kong Science And Technology Parks Corporation,Hong Kong,"Big Data & Analytics,Artificial Intelligence System","Big Data & Analytics,Artificial Intelligence System",,Exhibitor,InnoEX 2026,3C-B01,Smart City,,1,,,"Big Data & Analytics,Artificial Intelligence System; Advanced startup solutions and products; Others","Big Data & Analytics,Artificial Intelligence System; Advanced startup solutions and products; Others",https://www.hktdc.com/event/innoex/en/exhibitor/1S005LZXA,0,
Hong Kong Applied Science and Technology Research Institute Company Limited,Hong Kong Applied Science and Technology Research Institute Company Limited,Hong Kong,"Application Service Provider,Internet of Things,Intelligent Transportation System,Artificial Intelligence System,Re-industrialisation","Application Service Provider,Internet of Things,Intelligent Transportation System,Artificial Intelligence System,Re-industrialisation",,Exhibitor,InnoEX 2026,3C-E03,Smart City,,1,,,"Application Service Provider,Internet of Things,Intelligent Transportation System,Artificial Intelligence System,Re-industrialisation; Smart City, Financial Technologies, New Industrialisation and Intelligent Manufacturing, Digital Health, Application Specific Integrated Circuits and Metaverse; Others","Application Service Provider,Internet of Things,Intelligent Transportation System,Artificial Intelligence System,Re-industrialisation; Smart City, Financial Technologies, New Industrialisation and Intelligent Manufacturing, Digital Health, Application Specific Integrated Circuits and Metaverse; Others",https://www.hktdc.com/event/innoex/en/exhibitor/1S005JQWM,0,
Macau Productivity and Technology Transfer Center,Macau Productivity and Technology Transfer Center,Macao,"The Macau Productivity and Technology Transfer Centre is a non-profit organization jointly established by the Macau Government and the private sector. The mission of CPTTM is to support enterprises to utilize effectively new conceptual thinking, information and resources in order to increase the value-added of its products or services. The aim is to promote higher productivity and stronger competitiveness of the firm. The aims of CPTTM are: To improve the competitive position and long term growth and profitability of existing companies. To encourage and support the formation and growth of new business on a selective basis. To provide support and help local reinvestments, foreign investments, and joint venture projects in Macau. To quicken the pace of industrial diversification.","The Macau Productivity and Technology Transfer Centre is a non-profit organization jointly established by the Macau Government and the private sector. The mission of CPTTM is to support enterprises to utilize effectively new conceptual thinking, information and resources in order to increase the value-added of its products or services. The aim is to promote higher productivity and stronger competitiveness of the firm. The aims of CPTTM are: To improve the competitive position and long term growth and profitability of existing companies. To encourage and support the formation and growth of new business on a selective basis. To provide support and help local reinvestments, foreign investments, and joint venture projects in Macau. To quicken the pace of industrial diversification.",,Exhibitor,InnoEX 2026,3E-A01,Smart City,,1,,,"Healthcare & Medical Application,Server Integration Services (SSIS),Data Processing,Internet Service Provider; The Macau Productivity and Technology Transfer Center (CPTTM) has been working toward the mission of assisting local enterprises to enhance their productivity and competitiveness and optimizing the quality of local human resources.; Others","Healthcare & Medical Application,Server Integration Services (SSIS),Data Processing,Internet Service Provider; The Macau Productivity and Technology Transfer Center (CPTTM) has been working toward the mission of assisting local enterprises to enhance their productivity and competitiveness and optimizing the quality of local human resources.; Others",https://www.hktdc.com/event/innoex/en/exhibitor/1S005K2L7,0,
Nano and Advanced Materials Institute Limited,Nano and Advanced Materials Institute Limited,Hong Kong,"As a Materials Expert, Nano and Advanced Materials Institute (NAMI) has a strong portfolio of innovative technologies to support and collaborate with the industry, offering frontier-applied research on advanced materials as well as technology transfer for commercialization success. NAMI is designated by the Innovation and Technology Commission of the Hong Kong Government as a Research and Development Center for nanotechnology and advanced materials. NAMI undertakes and provides support for market-driven research in nanotechnology and advanced materials, and strives for commercialization of the technologies to benefit the industry and the society at large, as well as new industrialization for promoting the economic growth and sustainability.","As a Materials Expert, Nano and Advanced Materials Institute (NAMI) has a strong portfolio of innovative technologies to support and collaborate with the industry, offering frontier-applied research on advanced materials as well as technology transfer for commercialization success. NAMI is designated by the Innovation and Technology Commission of the Hong Kong Government as a Research and Development Center for nanotechnology and advanced materials. NAMI undertakes and provides support for market-driven research in nanotechnology and advanced materials, and strives for commercialization of the technologies to benefit the industry and the society at large, as well as new industrialization for promoting the economic growth and sustainability.",,Exhibitor,InnoEX 2026,3C-C03,Smart City,,1,,,"E-Health,Data Centre Facilities,Smart Airport,Intelligent Transportation System; High-performance Dual Phases Immersion Coolant for 5G Servers; Pressure Sensing System for Foot Health Monitoring; Lightweight & Durable Li-ion Batteries for Electric Bike; Self-Powered Trolley Trackers for Smart Airport; Others","E-Health,Data Centre Facilities,Smart Airport,Intelligent Transportation System; High-performance Dual Phases Immersion Coolant for 5G Servers; Pressure Sensing System for Foot Health Monitoring; Lightweight & Durable Li-ion Batteries for Electric Bike; Self-Powered Trolley Trackers for Smart Airport; Others",https://www.hktdc.com/event/innoex/en/exhibitor/1S005JQVP,8,https://www.hktdc.com/event/innoex/en/product/1Z03IT4BZ; https://www.hktdc.com/event/innoex/en/product/1Z03IT4BZ; https://www.hktdc.com/event/innoex/en/product/1Z03IT495; https://www.hktdc.com/event/innoex/en/product/1Z03IT495; https://www.hktdc.com/event/innoex/en/product/1Z03IS4EQ; https://www.hktdc.com/event/innoex/en/product/1Z03IS4EQ; https://www.hktdc.com/event/innoex/en/product/1Z03IT4L5; https://www.hktdc.com/event/innoex/en/product/1Z03IT4L5
Hi-Think Technology International Limited,Hi-Think Technology International Limited,Hong Kong,"A group corporation, headquartered in Hong Kong, China, dedicates to provide leading application software products/solutions and digital & intelligence technology services for Asian customers.","A group corporation, headquartered in Hong Kong, China, dedicates to provide leading application software products/solutions and digital & intelligence technology services for Asian customers.",,Exhibitor,InnoEX 2026,3E-B03,Smart City,,1,,,"Virtual Reality (VR) / Augmented Reality (AR) Technology,e-government Solutions,Software Outsourcing Service,Artificial Intelligence System,Green Building Solutions and Service; The exhibition's core theme is ""All in AI"", covering AI Empowering Software Engineering, AI Empowering Enterprise Operations, and AI Empowering Customer Growth.; Others","Virtual Reality (VR) / Augmented Reality (AR) Technology,e-government Solutions,Software Outsourcing Service,Artificial Intelligence System,Green Building Solutions and Service; The exhibition's core theme is ""All in AI"", covering AI Empowering Software Engineering, AI Empowering Enterprise Operations, and AI Empowering Customer Growth.; Others",https://www.hktdc.com/event/innoex/en/exhibitor/1S005LII0,26,https://www.hktdc.com/event/innoex/en/product/1Z03NVP25; https://www.hktdc.com/event/innoex/en/product/1Z03NVP25; https://www.hktdc.com/event/innoex/en/product/1Z03NVOS0; https://www.hktdc.com/event/innoex/en/product/1Z03NVOS0; https://www.hktdc.com/event/innoex/en/product/1Z03NVNZG; https://www.hktdc.com/event/innoex/en/product/1Z03NVNZG; https://www.hktdc.com/event/innoex/en/product/1Z03NVP18; https://www.hktdc.com/event/innoex/en/product/1Z03NVP18; https://www.hktdc.com/event/innoex/en/product/1Z03NVOF3; https://www.hktdc.com/event/innoex/en/product/1Z03NVOF3; https://www.hktdc.com/event/innoex/en/product/1Z03NVOG0; https://www.hktdc.com/event/innoex/en/product/1Z03NVOG0; https://www.hktdc.com/event/innoex/en/product/1Z03NVOMI; https://www.hktdc.com/event/innoex/en/product/1Z03NVOMI; https://www.hktdc.com/event/innoex/en/product/1Z03NVOE6; https://www.hktdc.com/event/innoex/en/product/1Z03NVOE6; https://www.hktdc.com/event/innoex/en/product/1Z03NVOLL; https://www.hktdc.com/event/innoex/en/product/1Z03NVOLL; https://www.hktdc.com/event/innoex/en/product/1Z03NVOUU; https://www.hktdc.com/event/innoex/en/product/1Z03NVOUU; https://www.hktdc.com/event/innoex/en/product/1Z03NVOJR; https://www.hktdc.com/event/innoex/en/product/1Z03NVOJR; https://www.hktdc.com/event/innoex/en/product/1Z03NVOZF; https://www.hktdc.com/event/innoex/en/product/1Z03NVOZF; https://www.hktdc.com/event/innoex/en/product/1Z03NVOXL; https://www.hktdc.com/event/innoex/en/product/1Z03NVOXL
Business France,Business France,Hong Kong,Professional Services,Professional Services,,Exhibitor,InnoEX 2026,3D-B02,Smart City,,1,,,"Professional Services; Business France is the public consulting business serving theinterntional development of the French economy. It is responsible for fostering the export-led growth by French businesses, as well as promoting and faciliating foreign investment in France; Others","Professional Services; Business France is the public consulting business serving theinterntional development of the French economy. It is responsible for fostering the export-led growth by French businesses, as well as promoting and faciliating foreign investment in France; Others",https://www.hktdc.com/event/innoex/en/exhibitor/1S005LZLA,0,
Digital Policy Office,Digital Policy Office,Hong Kong,"e-government Solutions,Artificial Intelligence System","e-government Solutions,Artificial Intelligence System",,Exhibitor,InnoEX 2026,,Smart City,,1,,,"e-government Solutions,Artificial Intelligence System; Innovative achievements delivered by various Government departments as well as the award-winning innovative ICT solutions under local and regional competitions; Others","e-government Solutions,Artificial Intelligence System; Innovative achievements delivered by various Government departments as well as the award-winning innovative ICT solutions under local and regional competitions; Others",https://www.hktdc.com/event/innoex/en/exhibitor/1S005LCPL,0,
Hong Kong Alumni Association of Beijing Universities Co Limited,Hong Kong Alumni Association of Beijing Universities Co Limited,Hong Kong,"Healthcare & Medical Application,Big Data & Analytics,Satellite Service Provider,Artificial Intelligence System,Robotics","Healthcare & Medical Application,Big Data & Analytics,Satellite Service Provider,Artificial Intelligence System,Robotics",,Exhibitor,InnoEX 2026,3E-C01,Smart City,,1,,,"Healthcare & Medical Application,Big Data & Analytics,Satellite Service Provider,Artificial Intelligence System,Robotics; ODM, OBM, OEM","Healthcare & Medical Application,Big Data & Analytics,Satellite Service Provider,Artificial Intelligence System,Robotics; ODM, OBM, OEM",https://www.hktdc.com/event/innoex/en/exhibitor/1S005MQYG,0,
Huawei International Co Limited,Huawei International Co Limited,Hong Kong,"Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have approximately 195,000 employees and we operate in over 170 countries and regions, serving more than three billion people around the world. Huawei's mission is to bring digital to every person, home and organization for a fully connected, intelligent world. To this end, we will drive ubiquitous connectivity and promote equal access to networks to lay the foundation for the intelligent world; provide diversified computing power to deliver ubiquitous cloud and intelligence; build powerful digital platforms to help all industries and organizations become more agile, efficient, and dynamic; redefine user experience with AI, offering consumers a more personalized and intelligent experience across all scenarios, including home, travel, office, entertainment, and fitness & health.","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have approximately 195,000 employees and we operate in over 170 countries and regions, serving more than three billion people around the world. Huawei's mission is to bring digital to every person, home and organization for a fully connected, intelligent world. To this end, we will drive ubiquitous connectivity and promote equal access to networks to lay the foundation for the intelligent world; provide diversified computing power to deliver ubiquitous cloud and intelligence; build powerful digital platforms to help all industries and organizations become more agile, efficient, and dynamic; redefine user experience with AI, offering consumers a more personalized and intelligent experience across all scenarios, including home, travel, office, entertainment, and fitness & health.",,Exhibitor,InnoEX 2026,3C-B03,Smart City,,1,,,"Artificial Intelligence System; Huawei's mission is to bring digital to every person, home and organization for a fully connected, intelligent world. To this end, we will drive ubiquitous connectivity and promote equal access to networks to lay the foundation for the intelligent w; Others","Artificial Intelligence System; Huawei's mission is to bring digital to every person, home and organization for a fully connected, intelligent world. To this end, we will drive ubiquitous connectivity and promote equal access to networks to lay the foundation for the intelligent w; Others",https://www.hktdc.com/event/innoex/en/exhibitor/1S005LV4T,0,
