NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
CZI  LP12 Searchlight and Broadcasting System,CZI  LP12 Searchlight and Broadcasting System,Dimensions L153*W109*H84 mm; Sesrchllghtpower; Regular mode:30w; ulta brightmodeLFlashingmode:40W; Speakerpower 5W; Power supply woltape 24V; Luminousflux 2122±3%; Searchlight FOV 13°; llumiation distance 150m 130m 100m 50m; Spotdiameter 34m 29.6m 22.8m 11.4m; lluminatedares 917m 688m' 407m² 102m  1.7Lux 2.5Lux 6.3Lux 25Lu; Centralilluminance (airhumidity959); Gimbal morcmentrango Pitch -120-+45; Maximum sound pressun 122dB; Effoctlve broadcasting 200m@76db;350m@69db distance/m; Uwebroadcasting Uploadthe recordingfiles; Play audio lile Broadcastingmethod Teot To5peeh fregional dialec and multi-language) Bockground sound Audio formats mpa/wsw/im4aflae/aac Appsupport DJIPilot/OJI Pilot2; Operating temperature -20℃-+50℃; Price: 2199 USD,Dimensions L153*W109*H84 mm; Sesrchllghtpower; Regular mode:30w; ulta brightmodeLFlashingmode:40W; Speakerpower 5W; Power supply woltape 24V; Luminousflux 2122±3%; Searchlight FOV 13°; llumiation distance 150m 130m 100m 50m; Spotdiameter 34m 29.6m 22.8m 11.4m; lluminatedares 917m 688m' 407m² 102m  1.7Lux 2.5Lux 6.3Lux 25Lu; Centralilluminance (airhumidity959); Gimbal morcmentrango Pitch -120-+45; Maximum sound pressun 122dB; Effoctlve broadcasting 200m@76db;350m@69db distance/m; Uwebroadcasting Uploadthe recordingfiles; Play audio lile Broadcastingmethod Teot To5peeh fregional dialec and multi-language) Bockground sound Audio formats mpa/wsw/im4aflae/aac Appsupport DJIPilot/OJI Pilot2; Operating temperature -20℃-+50℃; Price: 2199 USD,,,,"Guangzhou Chengzhi Intelligent Machine Technology Co., Ltd.","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM"
UAV Digital Voice Broadcasting System,UAV Digital Voice Broadcasting System,This digital voice broadcasting system is a long range acoustic device designed for unmanned aerial vehicles (UAV). It has a mounting bracket with an adjustable angle and can be easily connected to UAVs. The digital voice broadcasting system comes in a subtle design and offers precise and penetrating sounds.,This digital voice broadcasting system is a long range acoustic device designed for unmanned aerial vehicles (UAV). It has a mounting bracket with an adjustable angle and can be easily connected to UAVs. The digital voice broadcasting system comes in a subtle design and offers precise and penetrating sounds.,,,,"Guangzhou Chengzhi Intelligent Machine Technology Co., Ltd.","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM"
CZI GL10 Gimbal Searchlight,CZI GL10 Gimbal Searchlight,Electrical interface: DJI PSDK; Weight: 130±4% g; Dimension: L107*W128*H51.5; Luminous flux / lm: 1830±3%; FOV /°: 12.5; Illumination distance / m: 100 75 50; Beam diameter / m: 22.8 17.1 11.4; Illumination area / m2: 407 229 102; Center illuminance / Lux: 5.8 13.3 22.8; Price: 1399 USD,Electrical interface: DJI PSDK; Weight: 130±4% g; Dimension: L107*W128*H51.5; Luminous flux / lm: 1830±3%; FOV /°: 12.5; Illumination distance / m: 100 75 50; Beam diameter / m: 22.8 17.1 11.4; Illumination area / m2: 407 229 102; Center illuminance / Lux: 5.8 13.3 22.8; Price: 1399 USD,,,,"Guangzhou Chengzhi Intelligent Machine Technology Co., Ltd.","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM"
IR3 Infrared Zoom Spotlight,IR3 Infrared Zoom Spotlight,"The IR3 Infrared Zoom Spotlight is equipped with a high-performance laser, with a maximum light output power of up to 4W. The lightangle can be smoothly adjusted between 2.0° to 70°, enabling easy switching between spotlight and floodlight. The maximum infrared fill light distance exceeds 300 meters, offering improved observation in dark environments.; The IR3 is controlled via the DJI Pilot 2 to turn the light on/off, adjust brightness, and modify the light angle. It can also automaticallyfollow the rotation of the gimbal camera. Equipped with an E-port quick-release connector, it is compatible with DJI’s Matrice 30 seriesdrones. This provides users in fields such as reconnaissance, search and rescue, and inspection with superior night vision beyond human sight","The IR3 Infrared Zoom Spotlight is equipped with a high-performance laser, with a maximum light output power of up to 4W. The lightangle can be smoothly adjusted between 2.0° to 70°, enabling easy switching between spotlight and floodlight. The maximum infrared fill light distance exceeds 300 meters, offering improved observation in dark environments.; The IR3 is controlled via the DJI Pilot 2 to turn the light on/off, adjust brightness, and modify the light angle. It can also automaticallyfollow the rotation of the gimbal camera. Equipped with an E-port quick-release connector, it is compatible with DJI’s Matrice 30 seriesdrones. This provides users in fields such as reconnaissance, search and rescue, and inspection with superior night vision beyond human sight",,,,"Guangzhou Chengzhi Intelligent Machine Technology Co., Ltd.","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM"
CZI LP12 Searchlight & Broadcasting System,CZI LP12 Searchlight & Broadcasting System,"The LP12 is a searchlight and broadcasting integrated payload designed specifically for the DJI M30 enterprise drone model. With its streamlined design, it pushes the limits of product performance while taking characterized appearance into account, effectively reduces wind resistance, and improves the duration of the flight. The LP12 is the most efficient lighting and broadcasting payload product of czi so far, combining the imaging optics of the Gimbal Light Series, with the LRAD long-distance broadcasting technology of the MegaPhone Series, extremely lightweight and small size. Weighing only 270g, it has an effective illumination distance of up to 100m and an effective broadcasting distance of 200m, which can meet the operational needs of security patrols and outdoor search and rescue scenarios. The LP12 is deeply integrated with the DJI Pilot, allowing quick access to all broadcast and light functions, making it more convenient to operate.","The LP12 is a searchlight and broadcasting integrated payload designed specifically for the DJI M30 enterprise drone model. With its streamlined design, it pushes the limits of product performance while taking characterized appearance into account, effectively reduces wind resistance, and improves the duration of the flight. The LP12 is the most efficient lighting and broadcasting payload product of czi so far, combining the imaging optics of the Gimbal Light Series, with the LRAD long-distance broadcasting technology of the MegaPhone Series, extremely lightweight and small size. Weighing only 270g, it has an effective illumination distance of up to 100m and an effective broadcasting distance of 200m, which can meet the operational needs of security patrols and outdoor search and rescue scenarios. The LP12 is deeply integrated with the DJI Pilot, allowing quick access to all broadcast and light functions, making it more convenient to operate.",,,,"Guangzhou Chengzhi Intelligent Machine Technology Co., Ltd.","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM"
Drone Speaker,Drone Speaker,This speaker is designed for drones and has a mounting bracket for easy installation. It offers an adjustable mounting angle and is equipped with a powerful speaker. The drone speaker offers a long broadcasting range and the sound can be heard from over 500 meters.,This speaker is designed for drones and has a mounting bracket for easy installation. It offers an adjustable mounting angle and is equipped with a powerful speaker. The drone speaker offers a long broadcasting range and the sound can be heard from over 500 meters.,,,,"Guangzhou Chengzhi Intelligent Machine Technology Co., Ltd.","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM"
CZI TH4 V2  Throwing Hookl,CZI TH4 V2  Throwing Hookl,"Size: Maximum height 97mm (including
adapter ring cover), maximum diameter 78mm; Weight: 310g±5g; Price: 999 USD; Function; 1. 4 throws can be mounted at the same
time or throwing in sequence; 2. The digital picture tube displays the
feeding position; 3. maximum load for a single throw
hook is 3KG.
(The actual load weight is subject
to the UAV's load capacity)","Size: Maximum height 97mm (including
adapter ring cover), maximum diameter 78mm; Weight: 310g±5g; Price: 999 USD; Function; 1. 4 throws can be mounted at the same
time or throwing in sequence; 2. The digital picture tube displays the
feeding position; 3. maximum load for a single throw
hook is 3KG.
(The actual load weight is subject
to the UAV's load capacity)",,,,"Guangzhou Chengzhi Intelligent Machine Technology Co., Ltd.","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM"
Gimbal Searchlight,Gimbal Searchlight,"This gimbal searchlight is engineered for a more flexible and convenient lighting experience for drones operating at night. Featuring high brightness and an effective illumination distance of up to 150 meters, this drone searchlight provides optimal visibility in extreme environments. Its gimbal stabilization allows for smooth and targeted lighting, ensuring reliable performance during search and rescue operations.; Model No.: CZI GL60 Mini.; Electrical interface: DJI PSDK.; Weight: 240 g ± 3%.; Dimensions : 135 mm (L) x 87 mm (W) x 84 mm (H).; Total Power: 68 W.; Supply Voltage: 24 V.; Luminous Flux: 6,000 lm ± 3%.; FOV: 13°.; Illumination Distance: 150 m / 100 m / 50 m.; Beam Diameter: 34 m / 22.8 m / 11.4 m.; Illumination Area: 917m 2 / 407 m 2 / 102 m 2 .; Center Illuminance: 6.3 lux / 14.4 lux / 57 lux.; Controllable Gimbal:; Operating Temperature: -20 °C  to  +50 °C.; Test Report: RoHS, REACH, WEEE.; Unit Price: USD 1,999.","This gimbal searchlight is engineered for a more flexible and convenient lighting experience for drones operating at night. Featuring high brightness and an effective illumination distance of up to 150 meters, this drone searchlight provides optimal visibility in extreme environments. Its gimbal stabilization allows for smooth and targeted lighting, ensuring reliable performance during search and rescue operations.; Model No.: CZI GL60 Mini.; Electrical interface: DJI PSDK.; Weight: 240 g ± 3%.; Dimensions : 135 mm (L) x 87 mm (W) x 84 mm (H).; Total Power: 68 W.; Supply Voltage: 24 V.; Luminous Flux: 6,000 lm ± 3%.; FOV: 13°.; Illumination Distance: 150 m / 100 m / 50 m.; Beam Diameter: 34 m / 22.8 m / 11.4 m.; Illumination Area: 917m 2 / 407 m 2 / 102 m 2 .; Center Illuminance: 6.3 lux / 14.4 lux / 57 lux.; Controllable Gimbal:; Operating Temperature: -20 °C  to  +50 °C.; Test Report: RoHS, REACH, WEEE.; Unit Price: USD 1,999.",,,,"Guangzhou Chengzhi Intelligent Machine Technology Co., Ltd.","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM","Voice Data Communication Equipment,System Integration and Development,Application Service Provider,Big Data & Analytics,Artificial Intelligence System; Czi is commited to building the world's most valuable drone mission payload brand with the boldness of""see the future and change the world"".It integrates research,development,production and sales of drone mission load products.; OBM"
Lightweight & Durable High-Power Batteries for E-Bike,Lightweight & Durable High-Power Batteries for E-Bike,"Realized by a novel material system including a highly stable Li-alloy anodes with capacity over 650 mAh/g as well as a super ion-conductive while safe electrolyte system, NAMI’s high-power battery cell for e-bike enables a 25% weight reduction of battery pack without range loss and a durable life of over 600 cycles even under fast charge and 45℃ high temperatures. This battery complies with standards UL 1642 and UL 2271 standards of safety for electrical systems for e-bikes.; Major Benefits; Application Areas","Realized by a novel material system including a highly stable Li-alloy anodes with capacity over 650 mAh/g as well as a super ion-conductive while safe electrolyte system, NAMI’s high-power battery cell for e-bike enables a 25% weight reduction of battery pack without range loss and a durable life of over 600 cycles even under fast charge and 45℃ high temperatures. This battery complies with standards UL 1642 and UL 2271 standards of safety for electrical systems for e-bikes.; Major Benefits; Application Areas",,,,Nano and Advanced Materials Institute Limited,"E-Health,Data Centre Facilities,Smart Airport,Intelligent Transportation System; High-performance Dual Phases Immersion Coolant for 5G Servers; Pressure Sensing System for Foot Health Monitoring; Lightweight & Durable Li-ion Batteries for Electric Bike; Self-Powered Trolley Trackers for Smart Airport; Others","E-Health,Data Centre Facilities,Smart Airport,Intelligent Transportation System; High-performance Dual Phases Immersion Coolant for 5G Servers; Pressure Sensing System for Foot Health Monitoring; Lightweight & Durable Li-ion Batteries for Electric Bike; Self-Powered Trolley Trackers for Smart Airport; Others"
Self-Powered Long-Life Asset Tracker for Smart Airport,Self-Powered Long-Life Asset Tracker for Smart Airport,"NAMI has developed a self-powered asset tracker that provides full coverage and real-time monitoring of the location of luggage trolleys. With the support of Hong Kong Airport Authority, NAMI’s tracker, has completed a proof-of-concept trial in the Hong Kong International Airport.; NAMI’s asset tracker is integrated with long-lasting batteries and a weak light efficient energy-harvesting solar panel to charge the batteries indoors and outdoors to extend the tracker’s estimated service life to 2 - 5 years.; Major Benefits; Application Areas","NAMI has developed a self-powered asset tracker that provides full coverage and real-time monitoring of the location of luggage trolleys. With the support of Hong Kong Airport Authority, NAMI’s tracker, has completed a proof-of-concept trial in the Hong Kong International Airport.; NAMI’s asset tracker is integrated with long-lasting batteries and a weak light efficient energy-harvesting solar panel to charge the batteries indoors and outdoors to extend the tracker’s estimated service life to 2 - 5 years.; Major Benefits; Application Areas",,,,Nano and Advanced Materials Institute Limited,"E-Health,Data Centre Facilities,Smart Airport,Intelligent Transportation System; High-performance Dual Phases Immersion Coolant for 5G Servers; Pressure Sensing System for Foot Health Monitoring; Lightweight & Durable Li-ion Batteries for Electric Bike; Self-Powered Trolley Trackers for Smart Airport; Others","E-Health,Data Centre Facilities,Smart Airport,Intelligent Transportation System; High-performance Dual Phases Immersion Coolant for 5G Servers; Pressure Sensing System for Foot Health Monitoring; Lightweight & Durable Li-ion Batteries for Electric Bike; Self-Powered Trolley Trackers for Smart Airport; Others"
