booth_code,x,y
A-140,65,72
A-115,51,183
A-114,50,272
A-112,50,357
A-111,51,409
A-108,49,457
A-106,49,506
A-105,50,545
A-104,49,576
A-103,50,609
A-102,50,639
A-101,51,670
B-140,169,80
B-129,128,190
B-121,127,285
B-113,130,426
B-107,129,530
B-101,129,623
C-129,210,221
C-130,243,201
C-127,209,253
C-128,242,252
C-125,211,281
C-126,242,284
C-123,210,314
C-124,243,316
C-117,211,410
C-120,245,390
C-118,242,423
C-113,226,473
C-110,243,545
C-107,208,577
C-108,241,577
C-101,220,635
D-140,283,76
D-129,306,201
D-130,338,202
D-127,306,253
D-128,335,254
D-125,305,281
D-126,339,282
D-123,305,316
D-124,339,316
D-119,306,391
D-120,339,392
D-117,306,425
D-118,339,426
D-113,307,473
D-114,338,471
D-109,307,540
D-110,339,544
D-107,307,575
D-108,338,576
D-105,305,607
D-106,340,609
D-103,306,638
D-104,339,636
D-101,320,674
E-140,436,77
E-131,428,187
E-132,460,188
E-129,428,220
E-123,429,281
E-124,461,259
E-119,428,394
E-120,460,395
E-117,428,425
E-118,460,426
E-113,447,471
E-101,442,614
F-140,568,76
F-129,539,205
F-127,524,253
F-128,557,253
F-125,524,285
F-124,558,298
F-123,524,315
F-119,525,393
F-120,555,394
F-113,540,456
F-101,542,613
G-140,657,73
G-129,647,206
G-130,680,204
G-123,648,282
G-124,678,280
G-119,648,393
G-120,679,393
G-117,647,428
G-118,678,427
G-113,647,473
G-114,679,472
G-108,663,543
G-101,664,617
I-140,812,83
H-123,758,248
H-119,745,394
H-120,775,392
H-117,743,424
H-118,777,424
H-115,744,457
H-116,775,456
H-113,742,487
H-114,775,488
H-107,743,560
H-108,777,575
H-101,761,636
I-123,855,248
I-119,839,392
I-120,873,392
I-117,839,423
I-114,871,463
I-113,841,472
I-107,839,560
I-108,871,558
I-101,854,641
J-131,933,187
J-129,935,221
J-130,967,220
J-127,935,251
J-128,969,253
J-125,935,284
J-123,935,317
J-124,966,299
J-119,935,393
J-120,967,392
J-117,935,425
J-118,967,425
J-115,935,458
J-113,936,490
J-114,969,470
J-107,932,561
J-108,968,575
J-105,936,607
J-106,968,605
J-101,952,653
K-140,1066,80
K-131,1031,188
K-132,1062,187
K-129,1031,222
K-130,1064,222
K-127,1031,254
K-128,1063,254
K-123,1031,295
K-124,1061,295
K-119,1031,394
K-120,1063,394
K-117,1031,427
K-118,1061,425
K-113,1033,471
K-114,1062,471
K-109,1031,542
K-110,1063,541
K-101,1046,616
L-131,1127,189
L-129,1126,219
L-127,1127,248
L-128,1161,235
L-123,1127,298
L-124,1160,297
L-119,1124,389
L-117,1128,426
L-118,1160,409
L-113,1128,474
L-114,1160,473
L-101,1144,606
M-127,1227,251
M-128,1260,253
M-123,1228,300
M-126,1261,284
M-124,1261,314
M-117,1227,408
M-118,1262,406
M-113,1246,473
M-107,1230,555
M-108,1261,556
M-101,1243,641
N-127,1324,253
N-128,1356,253
N-125,1325,283
N-124,1357,297
N-123,1323,317
N-113,1342,442
N-109,1323,542
N-107,1323,576
N-108,1357,574
N-101,1340,636
O-121,1436,277
O-115,1434,408
O-111,1434,473
O-107,1420,540
O-105,1420,576
O-106,1452,555
O-101,1436,621
P-114,1516,253
P-113,1517,287
P-112,1517,315
P-110,1516,346
P-109,1516,394
P-108,1516,451
P-107,1516,481
P-106,1518,512
P-105,1515,544
P-104,1516,576
P-103,1517,616
P-101,1516,667
